Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.16,2.16,1.7,1.84,5000,9.2,,1,2012
2012-01-04,1.79,1.99,1.75,1.98,5600,9.9,,1,2012
2012-01-05,1.92,1.93,1.8,1.86,3100,9.3,,1,2012
2012-01-06,1.87,1.98,1.84,1.98,2400,9.9,,1,2012
2012-01-09,1.92,2.02,1.84,1.99,7000,9.95,,1,2012
2012-01-10,1.99,2.09,1.89,1.92,4400,9.600001,,1,2012
2012-01-11,1.93,2.01,1.89,1.99,5700,9.95,,1,2012
2012-01-12,1.89,2.0,1.89,1.9,500,9.5,,1,2012
2012-01-13,1.9,2.0,1.89,1.92,3300,9.600001,,1,2012
2012-01-17,1.89,1.96,1.89,1.91,2500,9.55,,1,2012
2012-01-18,1.9,1.91,1.77,1.85,9200,9.25,,1,2012
2012-01-19,1.85,1.9,1.77,1.86,2300,9.3,,1,2012
2012-01-20,1.84,1.86,1.79,1.85,1100,9.25,,1,2012
2012-01-23,1.83,1.83,1.75,1.76,6600,8.8,,1,2012
2012-01-24,1.78,1.8,1.78,1.8,300,9.0,47.6744186047,1,2012
2012-01-25,1.85,1.95,1.75,1.89,5900,9.45,52.9742765273,1,2012
2012-01-26,1.85,1.85,1.75,1.81,2400,9.05,48.2919954904,1,2012
2012-01-27,1.81,1.85,1.76,1.8,1900,9.0,47.7241562537,1,2012
2012-01-30,1.76,1.91,1.76,1.91,1600,9.55,54.1155186401,1,2012
2012-01-31,1.86,1.86,1.78,1.79,4900,8.95,47.3187990976,1,2012
2012-02-01,1.75,1.84,1.75,1.84,5800,9.2,50.1293778119,1,2012
2012-02-02,1.84,1.85,1.75,1.8,7000,9.0,47.9264996971,1,2012
2012-02-03,1.8,1.85,1.73,1.85,3500,9.25,50.8348721545,1,2012
2012-02-06,1.87,1.87,1.76,1.8,4100,9.0,47.9507519479,1,2012
2012-02-07,1.79,1.79,1.75,1.76,2900,8.8,45.7161707605,1,2012
2012-02-08,1.78,1.83,1.71,1.74,7700,8.7,44.5970887529,1,2012
2012-02-09,1.7,1.78,1.7,1.72,10200,8.600001,43.4516325055,1,2012
2012-02-10,1.72,1.79,1.59,1.69,7400,8.45,41.7205980906,1,2012
2012-02-13,1.73,1.79,1.73,1.76,2800,8.8,47.0238090843,1,2012
2012-02-14,1.71,1.76,1.68,1.74,4200,8.7,45.7430553565,1,2012
2012-02-15,1.67,1.76,1.67,1.73,1000,8.65,45.0818981976,1,2012
2012-02-16,1.68,1.75,1.67,1.74,1200,8.7,45.9236262089,1,2012
2012-02-17,1.72,1.76,1.7,1.72,800,8.600001,44.4560604424,1,2012
2012-02-21,1.71,1.72,1.68,1.68,1400,8.4,41.5931707088,1,2012
2012-02-22,1.68,1.72,1.66,1.72,15100,8.600001,45.3810952383,1,2012
2012-02-23,1.7,1.82,1.64,1.82,3900,9.100001,53.5002500936,1,2012
