Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-03-04,6.15,6.24,6.06,6.08,34900,6.08,,1,2015
2015-03-05,6.19,6.19,6.07,6.15,9200,6.15,,1,2015
2015-03-06,6.12,6.2,6.05,6.08,23300,6.08,,1,2015
2015-03-09,6.09,6.19,6.0,6.12,22700,6.12,,1,2015
2015-03-10,6.02,6.15,6.02,6.02,19400,6.02,,1,2015
2015-03-11,6.05,6.15,6.0,6.06,17900,6.06,,1,2015
2015-03-12,6.14,6.14,6.02,6.13,15100,6.13,,1,2015
2015-03-13,6.13,6.15,6.04,6.05,13300,6.05,,1,2015
2015-03-16,6.09,6.15,6.0,6.01,25300,6.01,,1,2015
2015-03-17,6.08,6.128,6.01,6.01,16200,6.01,,1,2015
2015-03-18,5.9,6.3,5.6,5.76,18500,5.76,,1,2015
2015-03-19,5.75,5.95,5.7,5.8,8400,5.8,,1,2015
2015-03-20,5.7,5.94,5.7,5.88,25400,5.88,,1,2015
2015-03-23,5.85,5.85,5.7,5.7,28500,5.7,,1,2015
2015-03-24,5.66,5.8,5.65,5.76,23300,5.76,35.7142857143,1,2015
2015-03-25,5.6,5.7,5.6,5.7,17800,5.7,33.7662337662,1,2015
2015-03-26,5.6,5.7,5.5,5.54,17400,5.54,29.1932976334,1,2015
2015-03-27,5.6,5.67,5.4,5.54,35200,5.54,29.1932976334,1,2015
2015-03-30,5.51,5.55,5.4,5.4,25200,5.4,25.6659570434,1,2015
2015-03-31,5.37,5.59,5.36,5.5,24600,5.5,31.9873206627,1,2015
2015-04-01,5.9,5.9,5.3,5.35,5500,5.35,28.1238803868,2,2015
2015-04-02,5.74,5.74,5.433,5.62,15300,5.62,41.7595952707,2,2015
2015-04-06,5.6,5.74,5.5,5.64,12600,5.64,42.627846399,2,2015
2015-04-07,5.64,5.64,5.576,5.576,6100,5.576,40.5448371693,2,2015
2015-04-08,5.52,5.61,5.45,5.45,6300,5.45,36.7386014833,2,2015
2015-04-09,5.4,5.4,5.24,5.24,8200,5.24,31.4408891898,2,2015
2015-04-10,5.3,5.5,5.3,5.48,8600,5.48,41.7745708288,2,2015
2015-04-13,5.5,5.5,5.09,5.2,14900,5.2,35.123144763,2,2015
2015-04-14,5.272,5.39,5.18,5.34,7100,5.34,40.2461342635,2,2015
2015-04-15,5.17,5.3,5.16,5.29,2800,5.29,39.059844355,2,2015
2015-04-16,5.29,5.29,5.09,5.164,7200,5.164,36.1667575581,2,2015
2015-04-17,5.09,5.116,5.0,5.0,10800,5.0,32.7650301217,2,2015
2015-04-20,5.1,5.1,4.5,4.83,13500,4.83,29.6516732803,2,2015
2015-04-21,4.6,4.661,4.57,4.57,4700,4.57,25.639042171,2,2015
2015-04-22,4.3,4.41,4.3,4.4,2500,4.4,23.4084839007,2,2015
2015-04-23,4.327,4.45,4.21,4.21,3400,4.21,21.1896493988,2,2015
2015-04-24,4.11,4.24,4.11,4.24,2400,4.24,22.4397448927,2,2015
2015-04-27,4.25,4.99,4.204,4.582,19100,4.582,35.081757492,2,2015
2015-04-28,4.72,4.99,4.6,4.82,2700,4.82,42.148614282,2,2015
2015-04-29,4.97,5.24,4.22,4.79,59400,4.79,41.5348506227,2,2015
2015-04-30,4.45,5.19,4.37,5.19,1800,5.19,51.6454833728,2,2015
2015-05-01,5.14,5.14,4.64,4.64,600,4.64,41.1165317993,2,2015
2015-05-04,4.57,4.94,4.57,4.94,1900,4.94,47.4140023849,2,2015
2015-05-05,5.08,5.08,4.44,4.62,4700,4.62,42.2263622459,2,2015
2015-05-06,4.62,4.62,4.62,4.62,0,4.62,42.2263622459,2,2015
2015-05-07,4.72,4.75,4.6,4.6,5300,4.6,41.8941117821,2,2015
2015-05-08,4.6,4.6,4.6,4.6,0,4.6,41.8941117821,2,2015
2015-05-11,4.62,4.72,4.62,4.72,1400,4.72,44.9103955577,2,2015
2015-05-12,4.75,4.75,4.4,4.4,2200,4.4,39.083947365,2,2015
2015-05-13,4.4,4.4,4.4,4.4,0,4.4,39.083947365,2,2015
2015-05-14,4.4,4.65,4.4,4.65,3000,4.65,45.4913475796,2,2015
2015-05-15,4.46,4.53,4.46,4.52,900,4.52,42.9608221325,2,2015
2015-05-18,4.48,4.64,4.4,4.57,25300,4.57,44.2454390659,2,2015
2015-05-19,4.48,4.5,3.79,4.22,69300,4.22,37.8237699779,2,2015
2015-05-20,4.25,4.88,3.923,4.4,110300,4.4,42.4498684997,2,2015
2015-05-21,4.5,4.75,4.48,4.48,22900,4.48,44.4288513516,2,2015
2015-05-22,4.55,4.55,4.13,4.32,13200,4.32,41.3651594244,2,2015
2015-05-26,4.48,4.48,4.48,4.48,800,4.48,45.4184744646,2,2015
2015-05-27,4.58,4.98,4.2,4.36,138100,4.36,43.0166715802,2,2015
2015-05-28,4.3,4.3,4.3,4.3,100,4.3,41.8256964621,2,2015
2015-05-29,4.24,4.306,4.24,4.3,700,4.3,41.8256964621,2,2015
2015-06-01,4.106,4.21,4.1,4.18,4700,4.18,39.3017663978,2,2015
