Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,42.82,43.48,42.82,43.23,2292700,43.125027,,1,2012
2012-01-04,43.02,43.43,42.720001,43.209999,1773700,43.105075,,1,2012
2012-01-05,43.150002,43.389999,42.759998,43.209999,2206200,43.105075,,1,2012
2012-01-06,43.189999,44.34,43.119999,43.610001,2436600,43.504105,,1,2012
2012-01-09,43.740002,43.91,43.200001,43.779999,2296100,43.673691,,1,2012
2012-01-10,44.139999,45.700001,43.84,45.669998,6217900,45.559101,,1,2012
2012-01-11,45.549999,45.950001,45.279999,45.759998,2211700,45.648882,,1,2012
2012-01-12,45.639999,45.849998,45.040001,45.380001,2322300,45.269808,,1,2012
2012-01-13,44.919998,45.619999,44.509998,45.610001,3705200,45.499249,,1,2012
2012-01-17,45.82,47.5,45.82,46.669998,5118600,46.556673,,1,2012
2012-01-18,46.580002,47.09,46.23,46.939999,3315600,46.826017,,1,2012
2012-01-19,46.73,46.869999,46.009998,46.279999,4246200,46.16762,,1,2012
2012-01-20,46.419998,46.540001,45.759998,46.139999,2295300,46.027961,,1,2012
2012-01-23,46.09,46.77,45.75,45.880001,2013300,45.768594,,1,2012
2012-01-24,45.59,45.900002,45.02,45.389999,3048600,45.279782,67.8218053532,1,2012
2012-01-25,44.700001,45.91,43.860001,45.77,3622800,45.65886,69.8573405908,1,2012
2012-01-26,46.130001,46.130001,43.990002,44.099998,3823000,43.992913,53.7617296271,1,2012
2012-01-27,43.990002,45.57,43.93,45.18,2992600,45.070293,60.155489551,1,2012
2012-01-30,44.900002,44.950001,44.200001,44.5,3504900,44.391944,54.9987355611,1,2012
2012-01-31,44.75,45.779999,44.73,44.830002,4800900,44.721144,56.9284071451,1,2012
2012-02-01,45.0,46.029999,44.900002,45.68,5777900,45.569079,61.5069607776,1,2012
2012-02-02,42.34,44.459999,41.139999,44.130001,16708000,44.022843,50.8845880211,1,2012
2012-02-03,44.07,44.07,43.259998,43.549999,7466900,43.44425,47.5736872801,1,2012
2012-02-06,43.18,43.25,42.369999,42.919998,4718500,42.815778,44.2088320657,1,2012
2012-02-07,42.900002,43.349998,42.759998,43.240002,5521300,43.135005,46.2869848189,1,2012
2012-02-08,43.310001,43.73,43.110001,43.349998,4820200,43.244735,47.017542578,1,2012
2012-02-09,43.32,43.900002,43.099998,43.540001,3074800,43.434276,48.3249718939,1,2012
2012-02-10,43.23,43.720001,43.080002,43.540001,2254600,43.434276,48.3249718939,1,2012
2012-02-13,43.540001,43.740002,42.869999,43.18,3951400,43.075149,45.8393295716,1,2012
2012-02-14,43.110001,44.0,43.110001,43.990002,2431900,43.883184,51.8414809742,1,2012
2012-02-15,44.25,44.790001,44.0,44.130001,4026800,44.022843,52.8147932824,1,2012
2012-02-16,44.150002,44.709999,44.07,44.700001,2203600,44.591459,56.6557987694,1,2012
2012-02-17,45.110001,45.32,44.779999,44.93,3087100,44.8209,58.1366442298,1,2012
2012-02-21,45.18,46.029999,45.099998,45.369999,3552700,45.25983,60.889485586,1,2012
2012-02-22,45.200001,45.599998,44.93,45.139999,3225600,45.030389,58.7159648269,1,2012
2012-02-23,44.990002,45.16,44.560001,44.830002,2330900,44.721144,55.8235835427,1,2012
2012-02-24,44.799999,45.380001,44.799999,45.09,2585900,44.980511,57.7054154171,1,2012
2012-02-27,44.860001,45.32,44.630001,44.639999,3229700,44.531603,53.4606664171,1,2012
2012-02-28,44.700001,44.700001,44.169998,44.34,3139400,44.232332,50.7789600783,1,2012
2012-02-29,44.299999,44.52,43.869999,44.110001,2182900,44.002891,48.7595361798,1,2012
2012-03-01,44.23,44.669998,43.900002,44.540001,2227800,44.431847,52.558203161,1,2012
2012-03-02,44.27,44.66,43.880001,44.200001,1777500,44.092673,49.4373871273,1,2012
2012-03-05,43.869999,44.900002,43.869999,44.450001,2888200,44.342066,51.7080306861,1,2012
2012-03-06,43.66,44.18,43.060001,43.279999,3005300,43.174905,42.164705562,1,2012
