Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-01-30,9.9,10.15,8.13,8.18,1759600,8.18,,1,2014
2014-01-31,8.0,8.64,7.93,8.47,282500,8.47,,1,2014
2014-02-03,8.35,8.68,7.9,8.0,117900,8.0,,1,2014
2014-02-04,8.0,8.01,7.45,7.5,378800,7.5,,1,2014
2014-02-05,7.5,7.7,7.5,7.7,83400,7.7,,1,2014
2014-02-06,7.51,7.95,7.5,7.86,15900,7.86,,1,2014
2014-02-07,7.99,8.0,7.5,7.53,53900,7.53,,1,2014
2014-02-10,7.8,7.8,7.5,7.51,108600,7.51,,1,2014
2014-02-11,7.5,7.75,7.5,7.69,50300,7.69,,1,2014
2014-02-12,7.7,7.7,7.5,7.56,39400,7.56,,1,2014
2014-02-13,7.5,7.64,7.5,7.6,26400,7.6,,1,2014
2014-02-14,7.75,7.75,7.54,7.55,19700,7.55,,1,2014
2014-02-18,7.69,7.69,7.5,7.5,33800,7.5,,1,2014
2014-02-19,7.57,7.6,7.5,7.5,34400,7.5,,1,2014
2014-02-20,7.62,7.75,7.5,7.56,34500,7.56,37.5,1,2014
2014-02-21,7.67,7.67,7.5,7.57,20200,7.57,37.7702285361,1,2014
2014-02-24,9.17,14.68,8.69,9.5,3213200,9.5,67.2242936863,1,2014
2014-02-25,10.18,10.9,9.23,10.79,1071500,10.79,75.5531737406,1,2014
2014-02-26,10.9,12.22,10.05,11.41,453400,11.41,78.3948725392,1,2014
2014-02-27,11.58,12.6,11.2,12.54,249100,12.54,82.408445883,1,2014
2014-02-28,12.94,12.94,11.28,11.3,187900,11.3,67.5737032499,1,2014
2014-03-03,11.61,11.61,10.528,10.84,77300,10.84,63.0400756093,1,2014
2014-03-04,10.98,11.83,10.98,11.83,123900,11.83,68.0139100743,1,2014
2014-03-05,11.82,12.08,10.991,11.3,122700,11.3,63.1168971286,1,2014
2014-03-06,11.25,11.812,11.14,11.54,58600,11.54,64.3680020695,1,2014
2014-03-07,11.75,11.78,11.1,11.5,94000,11.5,63.9784785992,1,2014
2014-03-10,11.6,11.76,10.96,11.59,90600,11.59,64.4990387452,1,2014
2014-03-11,11.58,12.66,11.402,12.27,133400,12.27,68.2342799719,1,2014
2014-03-12,12.5,13.91,12.21,13.54,189300,13.54,73.7824539693,1,2014
