Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-03-24,41.5,41.5,41.5,41.5,0,41.5,,1,2015
2015-03-25,41.5,42.040001,38.150002,39.299999,4185700,39.299999,,1,2015
2015-03-26,38.009998,38.290001,34.860001,37.349998,1400700,37.349998,,1,2015
2015-03-27,36.5,37.25,34.860001,35.0,938400,35.0,,1,2015
2015-03-30,36.150002,36.150002,34.813999,35.200001,306400,35.200001,,1,2015
2015-03-31,34.220001,35.41,34.09,34.580002,399400,34.580002,,1,2015
2015-04-01,34.25,34.549999,33.130001,33.470001,331300,33.470001,,2,2015
2015-04-02,32.52,32.75,30.860001,32.25,424100,32.25,,2,2015
2015-04-06,32.34,33.220001,32.060001,32.860001,203000,32.860001,,2,2015
2015-04-07,32.450001,32.75,31.77,31.889999,238700,31.889999,,2,2015
2015-04-08,30.51,31.700001,30.4,31.52,291900,31.52,,2,2015
2015-04-09,31.629999,32.23,31.5,32.209999,185000,32.209999,,2,2015
2015-04-10,32.380001,35.200001,32.110001,34.869999,400500,34.869999,,2,2015
2015-04-13,34.849998,34.880001,33.650002,34.200001,255900,34.200001,,2,2015
2015-04-14,33.630001,34.029999,33.150002,33.669998,94200,33.669998,25.758513744,2,2015
2015-04-15,34.02,34.18,32.200001,32.400002,162400,32.400002,23.7474263162,2,2015
2015-04-16,32.41,32.41,31.700001,31.950001,105900,31.950001,23.0604008867,2,2015
2015-04-17,31.290001,32.810001,31.129999,32.59,123400,32.59,26.3249787627,2,2015
2015-04-20,34.150002,34.150002,32.279999,32.490002,233900,32.490002,26.1383613459,2,2015
2015-04-21,32.16,32.459999,31.32,32.209999,224300,32.209999,25.5913042966,2,2015
2015-04-22,31.74,31.84,31.209999,31.299999,82600,31.299999,23.8446438246,2,2015
2015-04-23,32.0,32.709999,31.58,32.68,148200,32.68,31.4820062678,2,2015
2015-04-24,31.98,32.82,31.9,32.610001,118100,32.610001,31.3104803327,2,2015
2015-04-27,32.419998,33.34,32.419998,33.049999,166300,33.049999,33.7537545609,2,2015
2015-04-28,32.900002,33.220001,32.439999,32.509998,136200,32.509998,32.2381683727,2,2015
2015-04-29,32.709999,32.91,31.74,32.23,119800,32.23,31.4496365407,2,2015
2015-04-30,32.580002,33.5,32.23,32.900002,107500,32.900002,35.5142432063,2,2015
2015-05-01,33.09,33.259998,32.82,32.91,29600,32.91,35.5756308063,2,2015
2015-05-04,32.939999,33.02,32.610001,32.630001,37200,32.630001,34.5827337878,2,2015
2015-05-05,32.66,32.799999,31.32,31.450001,49200,31.450001,30.6947383774,2,2015
2015-05-06,31.940001,32.110001,30.92,31.1,43800,31.1,29.6306455953,2,2015
2015-05-07,31.360001,31.798,31.202999,31.549999,25600,31.549999,32.8536784596,2,2015
2015-05-08,32.07,32.25,31.290001,31.65,47900,31.65,33.5817036001,2,2015
2015-05-11,31.610001,32.0,31.525,31.67,25200,31.67,33.7364459588,2,2015
2015-05-12,31.58,32.0,31.377001,31.73,40600,31.73,34.2314917926,2,2015
2015-05-13,32.700001,33.380001,32.319,32.470001,130600,32.470001,40.1684834045,2,2015
2015-05-14,32.599998,32.599998,31.059999,31.389999,82900,31.389999,35.1774574619,2,2015
2015-05-15,31.68,32.580002,31.59,32.25,30500,32.25,41.4193678074,2,2015
2015-05-18,32.299999,32.459999,31.209999,31.700001,58600,31.700001,38.8433115661,2,2015
2015-05-19,31.26,31.41,30.809999,31.219999,49500,31.219999,36.6981412772,2,2015
2015-05-20,30.91,31.094999,30.43,30.65,32600,30.65,34.2772919571,2,2015
2015-05-21,30.879999,30.969999,30.51,30.799999,91400,30.799999,35.4834215438,2,2015
2015-05-22,32.380001,37.470001,31.764999,34.0,1681600,34.0,54.6176803924,2,2015
2015-05-26,35.490002,36.84,34.709999,36.450001,615300,36.450001,63.5347200923,2,2015
2015-05-27,39.400002,43.549999,38.240002,40.990002,1531700,40.990002,73.8057560264,2,2015
2015-05-28,40.209999,50.0,38.990002,47.66,1885200,47.66,81.8805846783,2,2015
2015-05-29,44.549999,46.700001,42.549999,42.900002,1502300,42.900002,66.1974037156,2,2015
2015-06-01,43.66,43.790001,40.66,41.400002,426900,41.400002,62.1571076728,2,2015
