Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-13,0.8,0.8,0.8,0.8,0,0.8,,4,2014
2014-11-14,0.7,0.72,0.7,0.72,6400,0.72,,4,2014
2014-11-17,0.72,0.72,0.72,0.72,0,0.72,,4,2014
2014-11-18,0.8,0.8,0.8,0.8,200,0.8,,4,2014
2014-11-19,0.7,0.7,0.66,0.67,4600,0.67,,4,2014
2014-11-20,0.69,0.69,0.69,0.69,200,0.69,,4,2014
2014-11-21,0.68,0.68,0.58,0.58,600,0.58,,4,2014
2014-11-24,0.65,0.65,0.65,0.65,200,0.65,,4,2014
2014-11-25,0.65,0.65,0.65,0.65,0,0.65,,4,2014
2014-11-26,0.65,0.65,0.65,0.65,0,0.65,,4,2014
2014-11-28,0.65,0.65,0.65,0.65,0,0.65,,4,2014
2014-12-01,0.65,0.65,0.65,0.65,0,0.65,,4,2014
2014-12-02,0.65,0.65,0.65,0.65,0,0.65,,4,2014
2014-12-03,0.65,0.65,0.65,0.65,0,0.65,,4,2014
2014-12-04,0.7,0.7,0.69,0.69,600,0.69,39.6226415094,4,2014
2014-12-05,0.7,0.7,0.7,0.7,500,0.7,40.8250355619,4,2014
2014-12-08,0.7,0.7,0.7,0.7,1700,0.7,40.8250355619,4,2014
2014-12-09,0.7,0.7,0.7,0.7,1000,0.7,40.8250355619,4,2014
2014-12-10,0.7,0.88,0.7,0.8,4400,0.8,52.6118514962,4,2014
2014-12-11,0.8,0.8,0.8,0.8,400,0.8,52.6118514962,4,2014
2014-12-12,0.8,0.8,0.8,0.8,100,0.8,52.6118514962,4,2014
2014-12-15,0.8,0.8,0.79,0.79,2000,0.79,51.3347540637,4,2014
2014-12-16,0.8,0.8,0.78,0.78,3300,0.78,50.0269896958,4,2014
2014-12-17,0.88,0.88,0.81,0.81,1600,0.81,53.8272204795,4,2014
2014-12-18,0.81,0.81,0.81,0.81,0,0.81,53.8272204795,4,2014
2014-12-19,0.92,0.99,0.9,0.9,2600,0.9,63.4877983023,4,2014
2014-12-22,0.83,0.88,0.8,0.88,3700,0.88,60.4604616907,4,2014
2014-12-23,0.85,0.85,0.85,0.85,200,0.85,56.1364086351,4,2014
2014-12-24,0.83,0.83,0.83,0.83,0,0.83,53.394761067,4,2014
2014-12-26,0.87,0.88,0.87,0.88,500,0.88,58.8107258585,4,2014
2014-12-29,0.88,0.88,0.789,0.8,22400,0.8,48.9992339515,4,2014
2014-12-30,0.8,0.8,0.8,0.8,500,0.8,48.9992339515,4,2014
2014-12-31,0.8,0.8,0.8,0.8,1100,0.8,48.9992339515,4,2014
2015-01-02,0.79,0.79,0.78,0.79,1700,0.79,47.7553925933,1,2015
2015-01-05,0.78,0.78,0.78,0.78,2000,0.78,46.4846147838,1,2015
2015-01-06,0.775,0.79,0.775,0.79,1400,0.79,47.9754852924,1,2015
2015-01-07,0.775,0.775,0.775,0.775,1000,0.775,45.9094428784,1,2015
2015-01-08,0.75,0.769,0.75,0.769,2100,0.769,45.0732935889,1,2015
2015-01-09,0.74,0.75,0.74,0.75,1100,0.75,42.4374586813,1,2015
2015-01-12,0.651,0.71,0.646,0.67,30500,0.67,33.5429617813,1,2015
2015-01-13,0.7,0.7,0.67,0.67,3500,0.67,33.5429617813,1,2015
2015-01-14,0.7,0.7,0.68,0.68,7800,0.68,35.5026775393,1,2015
2015-01-15,0.476,0.68,0.441,0.68,13200,0.68,35.5026775393,1,2015
2015-01-16,0.43,0.66,0.43,0.66,300,0.66,33.2297845433,1,2015
2015-01-20,0.6,0.666,0.6,0.666,900,0.666,34.5828397233,1,2015
2015-01-21,0.671,0.671,0.56,0.6,6400,0.6,27.888158066,1,2015
2015-01-22,0.555,0.59,0.555,0.59,1500,0.59,27.0342247718,1,2015
2015-01-23,0.57,0.57,0.489,0.57,20700,0.57,25.3616111332,1,2015
2015-01-26,0.57,0.57,0.57,0.57,0,0.57,25.3616111332,1,2015
2015-01-27,0.57,0.57,0.57,0.57,200,0.57,25.3616111332,1,2015
2015-01-28,0.6,0.6,0.57,0.6,17000,0.6,33.1144270822,1,2015
2015-01-29,0.6,0.6,0.6,0.6,7700,0.6,33.1144270822,1,2015
2015-01-30,0.6,0.6,0.6,0.6,0,0.6,33.1144270822,1,2015
2015-02-02,0.6,0.6,0.6,0.6,0,0.6,33.1144270822,1,2015
2015-02-03,0.6,0.6,0.6,0.6,16000,0.6,33.1144270822,1,2015
2015-02-04,0.6,0.6,0.6,0.6,0,0.6,33.1144270822,1,2015
2015-02-05,0.6,0.6,0.6,0.6,0,0.6,33.1144270822,1,2015
2015-02-06,0.6,0.6,0.6,0.6,0,0.6,33.1144270822,1,2015
2015-02-09,0.58,0.58,0.58,0.58,200,0.58,29.4277093812,1,2015
2015-02-10,0.546,0.56,0.546,0.56,9000,0.56,26.2771635224,1,2015
2015-02-11,0.5,0.54,0.45,0.53,23600,0.53,22.402745055,1,2015
2015-02-12,0.5,0.5,0.5,0.5,100,0.5,19.3329410247,1,2015
2015-02-13,0.5,0.5,0.5,0.5,36200,0.5,19.3329410247,1,2015
2015-02-17,0.52,0.52,0.52,0.52,200,0.52,27.060628337,1,2015
2015-02-18,0.47,0.55,0.46,0.46,1300,0.46,20.6648712662,1,2015
2015-02-19,0.5,0.562,0.5,0.5,77500,0.5,32.1740286635,1,2015
2015-02-20,0.56,0.56,0.56,0.56,200,0.56,45.0510001284,1,2015
2015-02-23,0.56,0.56,0.56,0.56,0,0.56,45.0510001284,1,2015
2015-02-24,0.56,0.56,0.56,0.56,0,0.56,45.0510001284,1,2015
2015-02-25,0.56,0.56,0.56,0.56,0,0.56,45.0510001284,1,2015
2015-02-26,0.56,0.56,0.56,0.56,0,0.56,45.0510001284,1,2015
2015-02-27,0.6,0.6,0.6,0.6,100,0.6,53.5643651797,1,2015
2015-03-02,0.609,0.62,0.609,0.62,2500,0.62,57.1399632242,1,2015
2015-03-03,0.6,0.6,0.6,0.6,100,0.6,52.7645020798,1,2015
2015-03-04,0.6,0.6,0.6,0.6,100,0.6,52.7645020798,1,2015
2015-03-05,0.6,0.6,0.6,0.6,200,0.6,52.7645020798,1,2015
2015-03-06,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-09,0.6,0.6,0.6,0.6,200,0.6,52.7645020798,1,2015
2015-03-10,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-11,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-12,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-13,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-16,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-17,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-18,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-19,0.6,0.6,0.6,0.6,0,0.6,52.7645020798,1,2015
2015-03-20,0.61,0.62,0.61,0.62,600,0.62,60.6590853747,1,2015
2015-03-23,0.65,0.65,0.65,0.65,1300,0.65,69.0224908066,1,2015
2015-03-24,0.65,0.65,0.65,0.65,0,0.65,69.0224908066,1,2015
2015-03-25,0.72,0.74,0.72,0.74,2500,0.74,82.1933052878,1,2015
2015-03-26,0.7,0.79,0.421,0.79,30700,0.79,85.8043548614,1,2015
2015-03-27,0.785,0.785,0.785,0.785,200,0.785,83.9705140529,1,2015
2015-03-30,0.785,0.785,0.785,0.785,0,0.785,83.9705140529,1,2015
2015-03-31,0.78,0.78,0.78,0.78,200,0.78,81.9394906429,1,2015
2015-04-01,0.78,0.78,0.78,0.78,100,0.78,81.9394906429,2,2015
2015-04-02,0.79,0.79,0.79,0.79,1000,0.79,82.8989158484,2,2015
2015-04-06,0.78,0.78,0.78,0.78,100,0.78,78.4129730321,2,2015
2015-04-07,0.8,0.85,0.8,0.8,11500,0.8,80.6663479672,2,2015
2015-04-08,0.75,0.824,0.75,0.824,1400,0.824,82.9644192607,2,2015
2015-04-09,0.71,0.82,0.71,0.82,1100,0.82,81.2313860063,2,2015
2015-04-10,0.85,0.85,0.85,0.85,200,0.85,83.9408507266,2,2015
2015-04-13,0.85,0.85,0.85,0.85,0,0.85,83.9408507266,2,2015
2015-04-14,0.85,0.85,0.85,0.85,0,0.85,83.9408507266,2,2015
2015-04-15,0.82,0.9,0.82,0.9,1700,0.9,87.6516208648,2,2015
2015-04-16,0.9,0.9,0.9,0.9,200,0.9,87.6516208648,2,2015
2015-04-17,0.897,0.9,0.897,0.9,800,0.9,87.6516208648,2,2015
2015-04-20,0.9,0.9,0.9,0.9,500,0.9,87.6516208648,2,2015
2015-04-21,0.9,0.9,0.9,0.9,0,0.9,87.6516208648,2,2015
2015-04-22,0.9,0.9,0.9,0.9,0,0.9,87.6516208648,2,2015
2015-04-23,0.8,0.845,0.65,0.845,2700,0.845,62.7652500989,2,2015
2015-04-24,0.775,0.838,0.775,0.78,31300,0.78,46.1049020543,2,2015
2015-04-27,0.78,0.78,0.78,0.78,0,0.78,46.1049020543,2,2015
2015-04-28,0.78,0.78,0.78,0.78,0,0.78,46.1049020543,2,2015
2015-04-29,0.78,0.78,0.78,0.78,0,0.78,46.1049020543,2,2015
2015-04-30,0.77,0.77,0.77,0.77,200,0.77,43.7043305046,2,2015
2015-05-01,0.77,0.77,0.77,0.77,0,0.77,43.7043305046,2,2015
2015-05-04,0.8,0.8,0.8,0.8,3000,0.8,52.3385893579,2,2015
2015-05-05,0.8,0.8,0.8,0.8,100,0.8,52.3385893579,2,2015
2015-05-06,0.8,0.8,0.8,0.8,0,0.8,52.3385893579,2,2015
2015-05-07,0.8,0.8,0.8,0.8,0,0.8,52.3385893579,2,2015
2015-05-08,0.8,0.8,0.8,0.8,0,0.8,52.3385893579,2,2015
2015-05-11,0.76,0.85,0.76,0.76,13100,0.76,40.3779053805,2,2015
2015-05-12,0.76,0.76,0.76,0.76,9000,0.76,40.3779053805,2,2015
2015-05-13,0.76,0.76,0.76,0.76,500,0.76,40.3779053805,2,2015
2015-05-14,0.78,0.78,0.78,0.78,14100,0.78,47.8240043173,2,2015
2015-05-15,0.8,0.8,0.8,0.8,500,0.8,54.0094984863,2,2015
2015-05-18,0.8,0.8,0.8,0.8,0,0.8,54.0094984863,2,2015
2015-05-19,0.8,0.8,0.8,0.8,0,0.8,54.0094984863,2,2015
2015-05-20,0.8,0.8,0.8,0.8,0,0.8,54.0094984863,2,2015
2015-05-21,0.77,0.77,0.69,0.7,11200,0.7,30.0506400756,2,2015
2015-05-22,0.72,0.78,0.72,0.78,7100,0.78,49.3920906866,2,2015
2015-05-26,0.781,0.781,0.781,0.781,1100,0.781,49.5797650105,2,2015
2015-05-27,0.781,0.781,0.781,0.781,0,0.781,49.5797650105,2,2015
2015-05-28,0.8,0.8,0.8,0.8,1400,0.8,53.3886763811,2,2015
2015-05-29,0.774,0.774,0.77,0.77,1200,0.77,47.3113361259,2,2015
2015-06-01,0.77,0.77,0.77,0.77,0,0.77,47.3113361259,2,2015
