Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.72,1.789999,1.72,1.72,53600,7.74775,,1,2012
2012-01-04,1.740001,1.800001,1.72,1.789999,43900,8.06306,,1,2012
2012-01-05,1.78,1.949999,1.749999,1.849999,132500,8.33333,,1,2012
2012-01-06,1.88,1.929999,1.86,1.92,56800,8.64865,,1,2012
2012-01-09,1.949999,1.949999,1.809999,1.849999,55500,8.33333,,1,2012
2012-01-10,1.869999,1.9,1.740001,1.82,53600,8.1982,,1,2012
2012-01-11,1.82,1.84,1.749999,1.800001,28200,8.108111,,1,2012
2012-01-12,1.82,1.849999,1.749999,1.749999,59800,7.88288,,1,2012
2012-01-13,1.78,1.78,1.669999,1.729999,137000,7.79279,,1,2012
2012-01-17,1.729999,1.82,1.640001,1.700001,94400,7.65766,,1,2012
2012-01-18,1.700001,1.709999,1.660001,1.660001,77100,7.47748,,1,2012
2012-01-19,1.689999,1.769999,1.680001,1.729999,91500,7.79279,,1,2012
2012-01-20,1.749999,1.800001,1.700001,1.709999,112400,7.7027,,1,2012
2012-01-23,1.72,1.740001,1.640001,1.689999,93300,7.61261,,1,2012
2012-01-24,1.709999,1.86,1.700001,1.740001,128700,7.83784,51.6129032258,1,2012
2012-01-25,1.789999,1.82,1.749999,1.789999,61900,8.06306,55.4793730763,1,2012
2012-01-26,1.809999,1.86,1.769999,1.769999,71400,7.97297,53.6331972238,1,2012
2012-01-27,1.809999,1.829999,1.78,1.829999,74100,8.24324,58.1341772891,1,2012
2012-01-30,1.809999,1.94,1.809999,1.92,129000,8.64865,63.8093334905,1,2012
2012-01-31,1.969999,2.109999,1.949999,2.109999,291500,9.504501,72.3351337393,1,2012
2012-02-01,2.16,2.189999,2.029999,2.069999,128000,9.32432,68.6675051091,1,2012
2012-02-02,2.069999,2.12,1.94,1.969999,134600,8.87387,60.4197247061,1,2012
2012-02-03,2.029999,2.04,1.929999,1.949999,72400,8.78378,58.8960691151,1,2012
2012-02-06,1.949999,2.089999,1.94,2.02,106000,9.0991,62.463994293,1,2012
2012-02-07,2.08,2.34,2.069999,2.22,432500,10.0,70.3759890904,1,2012
2012-02-08,2.22,2.290001,2.18,2.189999,86400,9.86486,68.0585277515,1,2012
2012-02-09,2.2,2.24,2.049999,2.089999,140500,9.41441,60.8640956299,1,2012
2012-02-10,2.1,2.1,2.0,2.029999,64900,9.14414,56.9726050719,1,2012
2012-02-13,2.109999,2.109999,1.800001,1.929999,125500,8.69369,51.1075353592,1,2012
2012-02-14,1.989999,1.989999,1.869999,1.92,84200,8.64865,50.5472093804,1,2012
2012-02-15,1.98,1.98,1.869999,1.909999,39800,8.6036,49.9572321027,1,2012
2012-02-16,2.2,2.209999,2.04,2.069999,222300,9.32432,58.3356043237,1,2012
2012-02-17,2.1,2.18,2.08,2.1,123500,9.45946,59.6981325932,1,2012
2012-02-21,2.109999,2.2,2.069999,2.089999,188200,9.41441,59.0053966326,1,2012
2012-02-22,2.109999,2.109999,2.029999,2.06,56500,9.27928,56.8735356591,1,2012
2012-02-23,2.069999,2.149999,2.06,2.06,70700,9.27928,56.8735356591,1,2012
2012-02-24,2.1,2.109999,2.049999,2.069999,68100,9.32432,57.4675588858,1,2012
2012-02-27,2.129999,2.129999,2.049999,2.089999,69200,9.41441,58.6931470794,1,2012
2012-02-28,2.089999,2.24,2.049999,2.089999,191600,9.41441,58.6931470794,1,2012
2012-02-29,2.189999,2.189999,2.049999,2.06,130700,9.27928,55.8914929089,1,2012
2012-03-01,2.08,2.14,2.029999,2.04,117200,9.18919,54.0394644365,1,2012
2012-03-02,2.089999,2.089999,2.0,2.02,92500,9.0991,52.1775061375,1,2012
2012-03-05,2.049999,2.12,1.989999,2.089999,130900,9.41441,57.6742938799,1,2012
2012-03-06,2.069999,2.1,2.0,2.069999,123300,9.32432,55.7041943379,1,2012
2012-03-07,2.049999,2.089999,1.78,1.809999,333200,8.15315,37.6831173379,1,2012
2012-03-08,1.909999,1.909999,1.729999,1.76,150700,7.92793,35.3169383648,1,2012
2012-03-09,1.660001,1.769999,1.660001,1.709999,204300,7.7027,33.0799217597,1,2012
2012-03-12,1.700001,1.789999,1.689999,1.689999,73400,7.61261,32.2013144863,1,2012
2012-03-13,1.700001,1.76,1.640001,1.640001,156500,7.38739,30.0523750715,1,2012
2012-03-14,1.649999,1.729999,1.649999,1.700001,110400,7.65766,35.6059411336,1,2012
2012-03-15,1.76,1.76,1.649999,1.709999,142300,7.7027,36.5106011751,1,2012
2012-03-16,1.709999,1.76,1.680001,1.689999,137200,7.61261,35.438159566,1,2012
2012-03-19,1.629999,1.909999,1.629999,1.86,198900,8.37838,49.1190987342,1,2012
2012-03-20,1.88,1.98,1.849999,1.949999,130500,8.78378,54.6035364766,1,2012
2012-03-21,1.98,2.04,1.92,1.94,116400,8.73874,53.908300438,1,2012
2012-03-22,1.929999,1.989999,1.829999,1.869999,91600,8.42342,49.1866228428,1,2012
2012-03-23,1.86,1.86,1.809999,1.829999,37500,8.24324,46.671098852,1,2012
2012-03-26,1.889999,1.94,1.809999,1.9,70700,8.55856,51.3593458515,1,2012
2012-03-27,1.9,2.0,1.889999,1.909999,45000,8.6036,52.0083464693,1,2012
2012-03-28,1.949999,1.969999,1.889999,1.929999,62800,8.69369,53.3491590272,1,2012
2012-03-29,1.869999,1.929999,1.869999,1.92,58800,8.64865,52.5585671454,1,2012
2012-03-30,1.92,1.969999,1.88,1.9,44800,8.55856,50.9327025205,1,2012
2012-04-02,1.92,1.94,1.889999,1.889999,50300,8.51351,50.0981277483,2,2012
2012-04-03,1.889999,1.889999,1.82,1.829999,48100,8.24324,45.3021708126,2,2012
2012-04-04,1.82,1.82,1.78,1.809999,38700,8.15315,43.797081141,2,2012
2012-04-05,1.769999,1.82,1.76,1.78,53400,8.01802,41.5663602589,2,2012
2012-04-09,1.72,1.86,1.72,1.86,74200,8.37838,49.0230099191,2,2012
2012-04-10,1.76,1.829999,1.76,1.789999,87000,8.06306,43.7608269628,2,2012
2012-04-11,1.82,1.88,1.789999,1.849999,47500,8.33333,48.8307995278,2,2012
2012-04-12,1.849999,1.98,1.849999,1.98,99200,8.91892,57.7237121131,2,2012
2012-04-13,2.02,2.1,1.98,2.029999,141100,9.14414,60.5625598255,2,2012
2012-04-16,2.049999,2.049999,1.849999,1.909999,80900,8.6036,51.6058280861,2,2012
2012-04-17,1.909999,1.909999,1.849999,1.849999,62000,8.33333,47.7993606489,2,2012
2012-04-18,1.849999,1.869999,1.809999,1.849999,34800,8.33333,47.7993606489,2,2012
2012-04-19,1.88,1.98,1.869999,1.909999,64900,8.6036,51.9129494288,2,2012
2012-04-20,1.949999,1.989999,1.909999,1.92,68400,8.64865,52.583689797,2,2012
2012-04-23,2.0,2.02,1.88,1.949999,68800,8.78378,54.6280409741,2,2012
2012-04-24,1.949999,1.969999,1.889999,1.96,43100,8.82883,55.319667817,2,2012
2012-04-25,1.989999,1.989999,1.929999,1.949999,26800,8.78378,54.4262038617,2,2012
2012-04-26,1.949999,2.069999,1.949999,1.969999,148900,8.87387,55.9581022944,2,2012
2012-04-27,1.989999,2.04,1.969999,2.04,66800,9.18919,60.9106921262,2,2012
2012-04-30,2.049999,2.14,1.989999,1.989999,169600,8.96396,56.0612835412,2,2012
2012-05-01,2.0,2.04,1.969999,2.009999,45700,9.054051,57.5182108886,2,2012
2012-05-02,2.009999,2.02,1.96,1.989999,56000,8.96396,55.5351186419,2,2012
2012-05-03,1.949999,1.98,1.909999,1.94,45400,8.73874,50.8181138284,2,2012
2012-05-04,1.96,1.96,1.86,1.9,42400,8.55856,47.3529039425,2,2012
2012-05-07,1.9,1.929999,1.86,1.889999,71000,8.51351,46.4991573527,2,2012
2012-05-08,1.92,1.969999,1.9,1.969999,53800,8.87387,53.6914881777,2,2012
2012-05-09,1.969999,2.009999,1.94,1.96,27900,8.82883,52.737215012,2,2012
2012-05-10,2.0,2.009999,1.949999,2.0,40100,9.00901,56.0987457172,2,2012
2012-05-11,2.0,2.049999,1.98,2.009999,65600,9.054051,56.9235367622,2,2012
2012-05-14,2.02,2.02,1.929999,1.989999,57900,8.96396,54.7094853332,2,2012
2012-05-15,2.009999,2.009999,1.849999,1.889999,58300,8.51351,45.2356373879,2,2012
2012-05-16,1.889999,1.909999,1.849999,1.849999,49500,8.33333,42.0955304264,2,2012
2012-05-17,1.92,1.94,1.769999,1.800001,73700,8.108111,38.4981473694,2,2012
2012-05-18,1.82,1.84,1.729999,1.76,52700,7.92793,35.8580156124,2,2012
2012-05-21,1.800001,1.88,1.76,1.88,31800,8.46847,47.4916995287,2,2012
2012-05-22,1.9,1.9,1.829999,1.849999,36100,8.33333,45.2805052934,2,2012
2012-05-23,1.869999,1.929999,1.800001,1.909999,46800,8.6036,50.267595771,2,2012
2012-05-24,2.02,2.04,1.929999,1.969999,129000,8.87387,54.7125539771,2,2012
2012-05-25,1.98,2.02,1.88,1.9,65400,8.55856,49.1889747945,2,2012
2012-05-29,1.9,1.96,1.9,1.96,30200,8.82883,53.5204906771,2,2012
2012-05-30,1.94,1.98,1.889999,1.96,41500,8.82883,53.5204906771,2,2012
2012-05-31,1.949999,2.0,1.88,1.909999,43800,8.6036,49.4465412469,2,2012
2012-06-01,1.909999,1.949999,1.88,1.92,39900,8.64865,50.262064861,2,2012
2012-06-04,1.98,2.129999,1.96,2.04,251900,9.18919,58.8415692367,2,2012
2012-06-05,2.1,2.129999,2.029999,2.1,86700,9.45946,62.3395295439,2,2012
2012-06-06,2.1,2.22,2.1,2.18,156400,9.819821,66.4355341318,2,2012
2012-06-07,2.189999,2.450001,2.18,2.26,259100,10.18018,69.9546548427,2,2012
2012-06-08,2.26,2.3,2.2,2.250001,100600,10.135141,68.9811836253,2,2012
2012-06-11,2.26,2.28,2.14,2.149999,77300,9.68468,59.9896105115,2,2012
2012-06-12,2.129999,2.129999,2.009999,2.069999,65000,9.32432,53.9330747817,2,2012
