Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-07-25,11.0,11.24,9.08,9.5,3417700,9.5,,3,2013
2013-07-26,9.22,9.88,9.05,9.6,160000,9.6,,3,2013
2013-07-29,9.67,9.79,9.16,9.35,66000,9.35,,3,2013
2013-07-30,9.5,9.5,8.67,9.15,85900,9.15,,3,2013
2013-07-31,9.1,9.49,8.26,9.12,81800,9.12,,3,2013
2013-08-01,9.18,9.18,8.79,9.07,41100,9.07,,3,2013
2013-08-02,9.5,9.5,8.91,8.91,26600,8.91,,3,2013
2013-08-05,9.62,9.62,9.2,9.62,46100,9.62,,3,2013
2013-08-06,9.72,9.72,9.49,9.61,31500,9.61,,3,2013
2013-08-07,9.07,9.7,9.07,9.31,38900,9.31,,3,2013
2013-08-08,9.66,9.66,9.08,9.24,27300,9.24,,3,2013
2013-08-09,9.55,9.55,9.0,9.0,21300,9.0,,3,2013
2013-08-12,9.0,9.29,9.0,9.29,16700,9.29,,3,2013
2013-08-13,9.01,9.08,8.68,9.0,43000,9.0,,3,2013
2013-08-14,8.91,9.25,8.86,9.01,25100,9.01,40.9594095941,3,2013
2013-08-15,8.92,9.3,8.92,9.3,22700,9.3,47.0603206923,3,2013
2013-08-16,9.3,9.55,9.26,9.29,105000,9.29,46.8804243949,3,2013
2013-08-19,9.5,9.55,9.0,9.14,39400,9.14,44.1538824573,3,2013
2013-08-20,9.29,9.29,8.53,8.91,12700,8.91,40.2850021098,3,2013
2013-08-21,9.33,9.33,8.96,8.99,2400,8.99,42.1826744792,3,2013
2013-08-22,9.11,9.11,8.93,8.93,6700,8.93,41.1270455775,3,2013
2013-08-23,9.0,9.16,8.95,9.09,10700,9.09,45.0743937563,3,2013
2013-08-26,9.6,9.6,9.12,9.21,10800,9.21,47.8960629213,3,2013
2013-08-27,9.5,9.5,8.98,8.98,3400,8.98,43.3041654757,3,2013
2013-08-28,9.05,9.23,9.05,9.06,5300,9.06,45.2696403692,3,2013
2013-08-29,9.05,9.23,9.02,9.05,10000,9.05,45.0593612853,3,2013
2013-08-30,9.24,9.35,9.05,9.09,16700,9.09,46.1371242194,3,2013
2013-09-03,9.08,9.27,8.55,9.09,19900,9.09,46.1371242194,3,2013
2013-09-04,9.34,9.45,8.94,9.04,33200,9.04,44.8613287601,3,2013
2013-09-05,8.88,9.02,8.81,8.85,26100,8.85,40.3008256632,3,2013
2013-09-06,8.91,8.91,8.68,8.77,19000,8.77,38.5249843217,3,2013
2013-09-09,8.75,8.86,8.53,8.58,14500,8.58,34.6228571468,3,2013
2013-09-10,8.69,8.97,8.51,8.62,38200,8.62,36.0904836751,3,2013
2013-09-11,8.85,8.86,8.66,8.7,16100,8.7,39.0380471495,3,2013
2013-09-12,8.85,9.46,8.8,9.19,41200,9.19,53.2579384049,3,2013
2013-09-13,9.39,9.39,9.2,9.25,10400,9.25,54.6527894608,3,2013
2013-09-16,9.25,9.6,9.19,9.45,30200,9.45,59.0405007134,3,2013
2013-09-17,9.51,9.76,9.39,9.49,35500,9.49,59.8766792413,3,2013
2013-09-18,9.26,9.75,9.22,9.65,24300,9.65,63.1199317522,3,2013
2013-09-19,9.74,10.12,9.01,9.61,42800,9.61,61.7755421319,3,2013
2013-09-20,9.41,9.77,9.41,9.62,53800,9.62,61.9934843559,3,2013
2013-09-23,9.65,10.05,9.32,10.03,71200,10.03,69.6372826821,3,2013
2013-09-24,9.95,10.4,9.6,9.6,39200,9.6,56.7469779514,3,2013
2013-09-25,9.72,10.4,9.72,10.4,35700,10.4,68.4486029638,3,2013
