Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,40.68,40.939999,39.779999,40.009998,787400,20.004999,,1,2012
2012-01-04,39.669998,39.84,39.290001,39.349998,487200,19.674999,,1,2012
2012-01-05,39.259998,41.25,38.970001,41.099998,834000,20.549999,,1,2012
2012-01-06,41.009998,42.709999,40.799999,42.360001,1355000,21.18,,1,2012
2012-01-09,42.509998,43.630001,42.360001,43.599998,1826000,21.799999,,1,2012
2012-01-10,43.900002,44.16,43.34,43.599998,1073200,21.799999,,1,2012
2012-01-11,43.419998,44.349998,43.279999,43.889999,831600,21.945,,1,2012
2012-01-12,43.82,44.099998,43.619999,44.060001,821000,22.030001,,1,2012
2012-01-13,43.509998,44.029999,43.310001,43.869999,785400,21.934999,,1,2012
2012-01-17,44.09,44.689999,43.98,44.490002,1349800,22.245001,,1,2012
2012-01-18,44.57,44.880001,44.119999,44.57,1169000,22.285,,1,2012
2012-01-19,44.689999,44.73,44.16,44.360001,991400,22.18,,1,2012
2012-01-20,44.380001,44.59,43.389999,43.869999,581800,21.934999,,1,2012
2012-01-23,43.77,43.830002,42.91,43.369999,1341800,21.684999,,1,2012
2012-01-24,43.299999,44.060001,43.130001,44.029999,1007000,22.014999,74.7536579995,1,2012
2012-01-25,43.799999,43.990002,42.790001,43.66,1131600,21.83,71.2569864467,1,2012
2012-01-26,43.669998,43.68,42.75,43.009998,754600,21.504999,65.4637252917,1,2012
2012-01-27,42.900002,44.5,42.82,44.279999,532200,22.139999,70.5087425561,1,2012
2012-01-30,43.91,43.959999,43.330002,43.75,399200,21.875,66.164938064,1,2012
2012-01-31,44.099998,45.450001,44.0,45.200001,1656800,22.6,71.3629171859,1,2012
2012-02-01,45.540001,47.119999,45.369999,46.34,1507200,23.17,74.6590988708,1,2012
2012-02-02,46.049999,46.669998,45.990002,46.639999,1365600,23.32,75.4596056078,1,2012
2012-02-03,47.27,47.389999,45.93,46.279999,964000,23.139999,72.4998988792,1,2012
2012-02-06,45.950001,46.389999,45.330002,45.599998,1240400,22.799999,67.1428843383,1,2012
2012-02-07,45.220001,46.299999,44.16,45.77,2290000,22.885,67.783783583,1,2012
2012-02-08,45.900002,47.66,45.650002,47.66,1762600,23.83,73.8830230612,1,2012
2012-02-09,47.619999,48.169998,46.82,47.080002,1148200,23.540001,69.5325292614,1,2012
2012-02-10,46.650002,47.970001,46.279999,47.32,950800,23.66,70.3115468743,1,2012
2012-02-13,47.689999,49.290001,47.5,49.07,1186800,24.535,75.2757458707,1,2012
2012-02-14,48.779999,49.099998,48.450001,48.669998,772000,24.334999,72.299915316,1,2012
2012-02-15,49.630001,50.0,48.48,48.700001,1326200,24.35,72.3880856277,1,2012
2012-02-16,48.68,49.799999,48.59,49.75,940000,24.875,75.3457984095,1,2012
2012-02-17,50.080002,50.360001,49.529999,49.740002,773800,24.870001,75.2631279672,1,2012
2012-02-21,49.740002,50.150002,49.32,49.77,805800,24.885,75.3505181941,1,2012
2012-02-22,49.650002,49.880001,48.389999,48.509998,1357800,24.254999,64.9684431978,1,2012
2012-02-23,48.689999,49.130001,48.369999,48.48,946800,24.24,64.7397387501,1,2012
2012-02-24,48.59,49.040001,48.59,48.900002,643600,24.450001,66.5169571858,1,2012
