Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,26.110001,26.34,25.889999,26.0,119000,24.322602,,1,2012
2012-01-04,26.110001,27.16,26.110001,26.440001,394600,24.734216,,1,2012
2012-01-05,26.41,26.530001,26.08,26.459999,297000,24.752925,,1,2012
2012-01-06,26.370001,26.780001,26.1,26.629999,299400,24.911957,,1,2012
2012-01-09,26.66,26.91,26.450001,26.790001,178500,25.061636,,1,2012
2012-01-10,27.08,27.120001,26.73,26.889999,112200,25.155183,,1,2012
2012-01-11,26.799999,26.940001,26.67,26.860001,180700,25.12712,,1,2012
2012-01-12,27.0,27.129999,26.49,27.0,117400,25.258087,,1,2012
2012-01-13,27.0,27.379999,26.559999,27.139999,186400,25.389054,,1,2012
2012-01-17,27.35,27.58,27.030001,27.4,153100,25.632281,,1,2012
2012-01-18,27.33,27.940001,27.27,27.83,114200,26.034539,,1,2012
2012-01-19,27.92,28.26,27.84,28.219999,70800,26.399378,,1,2012
2012-01-20,28.25,28.57,28.110001,28.51,180300,26.670669,,1,2012
2012-01-23,28.440001,28.75,28.280001,28.469999,63100,26.633249,,1,2012
2012-01-24,28.299999,28.9,28.26,28.73,101500,26.876475,97.5610083137,1,2012
2012-01-25,28.709999,29.200001,28.66,29.059999,163200,27.185185,97.8297455182,1,2012
2012-01-26,29.15,29.370001,29.040001,29.33,196000,27.437766,98.0217991496,1,2012
2012-01-27,29.209999,29.5,29.110001,29.450001,130700,27.550025,98.1021834552,1,2012
2012-01-30,29.299999,29.459999,29.040001,29.299999,111300,27.409701,93.0142009458,1,2012
2012-01-31,29.549999,29.780001,29.200001,29.4,115700,27.50325,93.2649835867,1,2012
2012-02-01,29.5,30.09,29.459999,29.799999,246600,27.877444,94.1670022883,1,2012
2012-02-02,29.9,29.91,29.58,29.809999,384400,27.886799,94.1879596765,1,2012
2012-02-03,30.200001,30.709999,29.9,30.469999,115100,28.504218,95.3702492164,1,2012
2012-02-06,30.33,30.6,30.0,30.42,51700,28.457445,93.8133524945,1,2012
2012-02-07,30.280001,30.690001,30.110001,30.440001,129900,28.476155,93.8565563011,1,2012
2012-02-08,30.57,30.67,30.049999,30.190001,76500,28.242284,85.7916567087,1,2012
2012-02-09,30.25,30.25,29.35,29.389999,96200,27.493895,66.1910565628,1,2012
