Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-04-03,8.26,8.48,7.67,8.0,3351300,8.0,,2,2014
2014-04-04,8.0,8.14,7.95,7.95,363600,7.95,,2,2014
2014-04-07,7.85,8.04,7.78,8.0,86100,8.0,,2,2014
2014-04-08,7.77,8.04,7.77,8.04,94200,8.04,,2,2014
2014-04-09,8.06,8.06,7.95,7.95,61200,7.95,,2,2014
2014-04-10,8.04,8.059,7.95,8.0,13500,8.0,,2,2014
2014-04-11,8.0,8.0,7.76,7.97,31900,7.97,,2,2014
2014-04-14,7.95,8.03,7.95,8.02,10400,8.02,,2,2014
2014-04-15,7.96,8.01,7.76,8.0,32900,8.0,,2,2014
2014-04-16,7.97,8.25,7.92,8.0,66500,8.0,,2,2014
2014-04-17,8.03,8.16,8.01,8.14,10600,8.14,,2,2014
2014-04-21,8.18,8.18,8.0,8.01,32500,8.01,,2,2014
2014-04-22,8.08,8.23,8.0,8.0,45000,8.0,,2,2014
2014-04-23,8.14,8.18,7.91,8.18,5800,8.18,,2,2014
2014-04-24,8.23,8.23,7.86,8.17,27800,8.17,60.0,2,2014
2014-04-25,8.1,8.22,8.02,8.19,16300,8.19,60.9885260371,2,2014
2014-04-28,8.13,8.316,7.93,7.99,101000,7.99,48.1688026168,2,2014
2014-04-29,8.05,8.05,7.45,7.47,30500,7.47,30.3223628692,2,2014
2014-04-30,7.47,7.62,7.4,7.55,21100,7.55,34.3521103781,2,2014
2014-05-01,7.56,7.81,7.37,7.4,82400,7.4,30.7599479027,2,2014
2014-05-02,7.41,7.697,7.41,7.47,46100,7.47,34.2170133453,2,2014
2014-05-05,7.33,7.34,6.996,7.34,125100,7.34,31.1104090919,2,2014
2014-05-06,7.23,7.25,7.0,7.05,55700,7.05,25.5398213687,2,2014
2014-05-07,7.1,7.105,7.0,7.02,39200,7.02,25.0403127515,2,2014
2014-05-08,6.95,7.125,6.802,6.822,3500,6.822,21.9842306326,2,2014
2014-05-09,6.76,6.82,6.1,6.62,21700,6.62,19.3849096389,2,2014
2014-05-12,6.8,7.02,6.79,6.8,700,6.8,27.5996718489,2,2014
2014-05-13,6.8,6.8,6.5,6.56,20900,6.56,24.0767717552,2,2014
2014-05-14,6.52,6.74,6.5,6.56,3400,6.56,24.0767717552,2,2014
2014-05-15,6.6,6.79,6.55,6.6,13900,6.6,25.9048891339,2,2014
2014-05-16,7.0,7.0,6.85,6.98,3200,6.98,40.5499159946,2,2014
2014-05-19,6.9,7.25,6.626,7.08,38000,7.08,43.7033535271,2,2014
2014-05-20,6.99,7.29,6.52,7.1,10900,7.1,44.33926314,2,2014
2014-05-21,6.9,7.055,6.75,7.04,15000,7.04,42.7781277254,2,2014
2014-05-22,6.99,7.015,6.5,6.9,10300,6.9,39.3010255226,2,2014
2014-05-23,6.94,7.0,6.881,6.96,3700,6.96,41.4958035325,2,2014
2014-05-27,7.0,7.05,6.97,6.97,4700,6.97,41.8730457136,2,2014
2014-05-28,6.965,7.047,6.735,6.9,10900,6.9,39.93199467,2,2014
2014-05-29,7.1,7.1,6.908,6.91,39500,6.91,40.3573442629,2,2014
2014-05-30,6.99,7.25,6.67,7.1,3400,7.1,47.9053803326,2,2014
2014-06-02,7.15,7.25,7.1,7.17,11700,7.17,50.3960841048,2,2014
2014-06-03,7.19,7.48,7.1,7.35,15000,7.35,56.1957692056,2,2014
2014-06-04,7.375,7.83,7.375,7.51,22500,7.51,60.6049898207,2,2014
2014-06-05,7.68,7.94,7.47,7.91,45100,7.91,69.0047305173,2,2014
2014-06-06,7.89,7.9,7.52,7.7,47800,7.7,61.5811039199,2,2014
2014-06-09,7.85,8.0,7.54,7.81,32300,7.81,63.7792319478,2,2014
2014-06-10,7.51,7.99,7.51,7.98,39500,7.98,66.9284555573,2,2014
2014-06-11,7.99,8.055,7.8,8.02,17600,8.02,67.6413608608,2,2014
2014-06-12,8.05,8.17,7.75,7.91,41400,7.91,63.5822524122,2,2014
2014-06-13,7.95,8.15,7.922,8.09,23500,8.09,67.0651340934,2,2014
2014-06-16,8.02,8.18,7.93,8.14,21300,8.14,67.9811716059,2,2014
2014-06-17,8.14,8.2,7.955,8.14,29300,8.14,67.9811716059,2,2014
2014-06-18,8.16,8.49,8.03,8.1,70400,8.1,66.2709979067,2,2014
2014-06-19,8.16,8.3,7.79,8.15,57500,8.15,67.3758040768,2,2014
2014-06-20,8.24,8.24,6.6,6.6,287500,6.6,32.1829369304,2,2014
2014-06-23,7.23,7.25,6.91,7.24,105200,7.24,44.9655174121,2,2014
2014-06-24,7.17,7.65,7.16,7.54,30000,7.54,49.7470496296,2,2014
2014-06-25,7.54,7.64,7.424,7.6,12400,7.6,50.6701661646,2,2014
2014-06-26,7.57,7.84,7.45,7.78,17600,7.78,53.4337471497,2,2014
2014-06-27,7.78,7.8,7.425,7.56,28500,7.56,49.7641846007,2,2014
2014-06-30,7.64,7.85,7.57,7.77,1700,7.77,53.0767755375,2,2014
2014-07-01,7.66,7.85,7.66,7.8,9300,7.8,53.5480188906,3,2014
2014-07-02,7.75,7.99,7.75,7.88,23200,7.88,54.8501861424,3,2014
2014-07-03,7.75,7.88,7.71,7.85,7000,7.85,54.2361871896,3,2014
2014-07-07,7.91,7.91,7.65,7.83,4200,7.83,53.8037772039,3,2014
2014-07-08,7.86,7.91,7.195,7.75,4000,7.75,52.0172937739,3,2014
2014-07-09,7.8,7.98,7.57,7.87,34000,7.87,54.4599143557,3,2014
2014-07-10,7.78,7.78,7.25,7.48,10900,7.48,46.2240801463,3,2014
2014-07-11,7.7,7.75,7.6,7.69,2300,7.69,50.5596992068,3,2014
2014-07-14,7.58,7.75,7.378,7.55,6600,7.55,47.7932466482,3,2014
2014-07-15,7.578,7.578,7.3,7.41,14900,7.41,45.1337187692,3,2014
2014-07-16,7.1,7.27,7.01,7.25,10000,7.25,42.2407342935,3,2014
2014-07-17,7.08,7.08,6.91,6.97,12300,6.97,37.6880139999,3,2014
2014-07-18,6.94,7.34,6.91,7.02,10800,7.02,38.9533275611,3,2014
2014-07-21,7.21,7.24,7.03,7.21,900,7.21,43.6370242568,3,2014
2014-07-22,7.19,7.19,6.91,6.93,7000,6.93,38.900390147,3,2014
2014-07-23,6.97,7.04,6.85,6.85,8800,6.85,37.6431526119,3,2014
2014-07-24,6.85,7.0,6.85,6.91,1700,6.91,39.2295136694,3,2014
2014-07-25,6.901,6.98,6.901,6.96,1600,6.96,40.5859838077,3,2014
2014-07-28,7.0,7.0,6.71,6.71,5600,6.71,36.2313044409,3,2014
2014-07-29,6.72,6.74,6.62,6.65,9300,6.65,35.2536615169,3,2014
2014-07-30,6.61,6.82,6.6,6.82,5000,6.82,40.1789605204,3,2014
2014-07-31,6.62,6.635,6.42,6.51,8800,6.51,34.9568387524,3,2014
2014-08-01,6.62,6.62,6.21,6.29,35000,6.29,31.7982228565,3,2014
2014-08-04,6.21,6.39,6.13,6.31,4300,6.31,32.3962589462,3,2014
2014-08-05,6.2,6.29,5.91,6.26,15900,6.26,31.6490920037,3,2014
2014-08-06,6.15,6.15,5.81,5.99,4800,5.99,27.9062407576,3,2014
2014-08-07,5.83,5.85,5.81,5.85,800,5.85,26.1775427008,3,2014
2014-08-08,5.95,5.95,5.72,5.74,4000,5.74,24.8737504004,3,2014
2014-08-11,5.71,5.81,5.62,5.66,4600,5.66,23.9398864587,3,2014
2014-08-12,5.65,5.77,5.61,5.66,10900,5.66,23.9398864587,3,2014
2014-08-13,5.7,6.0,5.65,5.85,34600,5.85,31.0683210963,3,2014
2014-08-14,5.97,6.02,5.81,5.95,12400,5.95,34.5453537167,3,2014
2014-08-15,5.9,6.0,5.82,5.85,6200,5.85,32.7654724712,3,2014
2014-08-18,5.81,6.12,5.81,5.9,106400,5.9,34.5804189774,3,2014
2014-08-19,5.92,6.15,5.9,6.14,4000,6.14,42.5912162073,3,2014
2014-08-20,6.1,6.12,5.81,5.82,10300,5.82,36.2222764451,3,2014
2014-08-21,5.85,5.96,5.85,5.93,12000,5.93,39.5676452783,3,2014
2014-08-22,5.86,6.06,5.86,6.01,14500,6.01,41.9523869672,3,2014
2014-08-25,6.05,6.16,5.935,6.09,6200,6.09,44.3186669747,3,2014
2014-08-26,6.1,6.33,6.0,6.33,6300,6.33,50.7985294654,3,2014
2014-08-27,6.23,6.56,6.145,6.25,14700,6.25,48.7615029696,3,2014
2014-08-28,6.25,6.544,6.21,6.23,1300,6.23,48.2406876866,3,2014
2014-08-29,6.23,6.415,6.23,6.415,400,6.415,53.2181755266,3,2014
2014-09-02,6.39,6.62,6.38,6.6,8100,6.6,57.6083951974,3,2014
2014-09-03,6.613,6.76,6.61,6.67,5400,6.67,59.1697518242,3,2014
2014-09-04,6.67,6.96,6.52,6.93,25400,6.93,64.4127180865,3,2014
2014-09-05,6.81,6.95,6.67,6.72,3100,6.72,57.9411063078,3,2014
2014-09-08,6.9,6.9,6.71,6.84,4700,6.84,60.3901188265,3,2014
2014-09-09,6.93,6.93,6.72,6.92,2100,6.92,61.9795574148,3,2014
2014-09-10,6.83,6.9,6.71,6.9,6400,6.9,61.3171172841,3,2014
2014-09-11,6.74,6.89,6.71,6.89,1900,6.89,60.966250435,3,2014
2014-09-12,6.93,6.94,6.87,6.9,7100,6.9,61.2053162653,3,2014
2014-09-15,6.94,6.95,6.74,6.94,4700,6.94,62.2025219234,3,2014
2014-09-16,6.949,6.95,6.83,6.95,3000,6.95,62.4623014094,3,2014
2014-09-17,6.9,6.925,6.7,6.7,11000,6.7,52.7090027929,3,2014
2014-09-18,6.72,6.74,6.7,6.74,12800,6.74,53.9480454907,3,2014
2014-09-19,6.71,6.95,6.7,6.7,10700,6.7,52.4676289707,3,2014
2014-09-22,6.745,6.85,6.24,6.27,21900,6.27,39.8179334591,3,2014
2014-09-23,6.52,6.54,6.31,6.32,2900,6.32,41.5816317232,3,2014
2014-09-24,6.31,6.95,6.21,6.3,5100,6.3,41.0632435125,3,2014
2014-09-25,6.3,6.72,6.3,6.42,16300,6.42,45.4569303429,3,2014
2014-09-26,6.68,6.76,6.29,6.34,5000,6.34,43.1475653074,3,2014
2014-09-29,6.27,6.5,6.27,6.35,2600,6.35,43.5337332807,3,2014
2014-09-30,6.27,6.49,6.12,6.14,17600,6.14,37.7368239375,3,2014
2014-10-01,6.144,6.15,5.91,5.92,323500,5.92,32.8080481773,4,2014
2014-10-02,5.92,5.94,5.51,5.89,24000,5.89,32.1906201847,4,2014
2014-10-03,5.62,5.93,5.62,5.85,6600,5.85,31.3436295141,4,2014
2014-10-06,5.62,5.8,5.61,5.63,6700,5.63,27.1174705155,4,2014
2014-10-07,5.76,5.83,5.51,5.72,7100,5.72,31.2040853575,4,2014
2014-10-08,5.72,5.72,5.51,5.55,8400,5.55,28.0093532457,4,2014
2014-10-09,5.68,5.69,5.561,5.561,1800,5.561,28.5193179571,4,2014
2014-10-10,5.62,5.62,5.51,5.51,29700,5.51,27.5450686991,4,2014
2014-10-13,5.51,5.725,5.445,5.473,2300,5.473,26.8290048576,4,2014
2014-10-14,5.63,5.65,5.44,5.44,1200,5.44,26.175425197,4,2014
2014-10-15,5.61,5.65,5.37,5.395,5800,5.395,25.2713477698,4,2014
2014-10-16,5.32,5.81,5.32,5.76,9000,5.76,42.5915431877,4,2014
2014-10-17,5.4,5.73,5.4,5.73,4400,5.73,41.7353287426,4,2014
2014-10-20,5.42,5.601,5.42,5.43,3700,5.43,34.3079070352,4,2014
2014-10-21,5.73,6.0,5.51,5.915,41200,5.915,49.8472912645,4,2014
2014-10-22,5.88,5.88,5.56,5.75,1500,5.75,45.8717783168,4,2014
2014-10-23,5.76,5.77,5.615,5.67,11400,5.67,44.0379064038,4,2014
2014-10-24,5.6,5.6,5.33,5.45,8600,5.45,39.3759150969,4,2014
2014-10-27,5.34,5.68,5.3,5.38,5500,5.38,37.9975617434,4,2014
2014-10-28,5.261,5.261,5.26,5.26,1000,5.26,35.6910427602,4,2014
2014-10-29,5.37,5.71,5.28,5.61,5200,5.61,45.9890780594,4,2014
2014-10-30,5.57,5.58,5.3,5.55,6500,5.55,44.668535177,4,2014
2014-10-31,5.31,5.56,5.26,5.42,6200,5.42,41.8636706153,4,2014
2014-11-03,5.71,5.75,5.43,5.74,8400,5.74,50.159894227,4,2014
2014-11-04,5.339,5.75,5.339,5.69,10700,5.69,48.9836733033,4,2014
