Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.51,3.58,3.45,3.5,130100,3.5,,1,2012
2012-01-04,3.49,3.52,3.43,3.44,46600,3.44,,1,2012
2012-01-05,3.38,3.47,3.37,3.44,429400,3.44,,1,2012
2012-01-06,3.45,3.48,3.43,3.44,171600,3.44,,1,2012
2012-01-09,3.44,3.52,3.17,3.2,267100,3.2,,1,2012
2012-01-10,3.24,3.24,2.82,2.98,588300,2.98,,1,2012
2012-01-11,2.93,3.01,2.72,3.0,673700,3.0,,1,2012
2012-01-12,3.0,3.04,2.92,3.04,217000,3.04,,1,2012
2012-01-13,3.0,3.17,3.0,3.14,233300,3.14,,1,2012
2012-01-17,3.15,3.17,3.05,3.12,351700,3.12,,1,2012
2012-01-18,3.24,3.41,3.14,3.4,313800,3.4,,1,2012
2012-01-19,3.39,3.42,3.29,3.34,150900,3.34,,1,2012
2012-01-20,3.33,3.36,3.29,3.32,138300,3.32,,1,2012
2012-01-23,3.32,3.4,3.25,3.4,126600,3.4,,1,2012
2012-01-24,3.38,3.5,3.25,3.48,272600,3.48,49.1803278689,1,2012
2012-01-25,3.48,3.55,3.41,3.49,610800,3.49,49.625,1,2012
2012-01-26,3.49,3.55,3.47,3.53,294900,3.53,51.4547813195,1,2012
2012-01-27,3.51,3.55,3.29,3.43,574200,3.43,46.8711043009,1,2012
2012-01-30,3.41,3.43,3.21,3.4,310200,3.4,45.5598806116,1,2012
2012-01-31,3.41,3.47,3.28,3.43,584900,3.43,47.1520327754,1,2012
2012-02-01,3.46,3.67,3.16,3.25,1020900,3.25,39.6577582588,1,2012
2012-02-02,3.28,3.42,3.23,3.32,283800,3.32,43.4237027633,1,2012
2012-02-03,3.41,3.45,3.25,3.29,394800,3.29,42.2079245104,1,2012
2012-02-06,3.28,3.39,3.26,3.33,379800,3.33,44.4415040255,1,2012
2012-02-07,3.36,3.47,3.28,3.45,515000,3.45,50.6087223746,1,2012
2012-02-08,3.46,3.47,3.25,3.27,627000,3.27,42.9136870689,1,2012
2012-02-09,3.26,3.31,3.06,3.08,550400,3.08,36.5894653672,1,2012
2012-02-10,3.05,3.05,2.5,2.76,1538800,2.76,28.8720771665,1,2012
2012-02-13,2.8,2.84,2.7,2.83,682400,2.83,32.2389532616,1,2012
2012-02-14,2.82,2.84,2.74,2.76,431700,2.76,30.6752312934,1,2012
2012-02-15,2.75,2.81,2.66,2.67,310800,2.67,28.7447471015,1,2012
2012-02-16,2.7,3.26,2.7,2.88,1452100,2.88,38.4743687148,1,2012
2012-02-17,2.9,3.1,2.83,3.03,1459800,3.03,44.3224795972,1,2012
2012-02-21,4.5,4.9,4.31,4.45,11892900,4.45,71.7235065701,1,2012
2012-02-22,4.41,4.52,4.0,4.08,2387200,4.08,63.0205431276,1,2012
2012-02-23,4.06,4.23,4.0,4.17,815700,4.17,64.1597488509,1,2012
