Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.48,5.77,5.48,5.68,50800,5.68,,1,2012
2012-01-04,5.59,5.79,5.56,5.7,15000,5.7,,1,2012
2012-01-05,5.67,5.75,5.56,5.73,9700,5.73,,1,2012
2012-01-06,5.75,5.79,5.65,5.73,12500,5.73,,1,2012
2012-01-09,5.78,5.88,5.68,5.86,27000,5.86,,1,2012
2012-01-10,5.87,5.94,5.83,5.91,11100,5.91,,1,2012
2012-01-11,5.91,5.91,5.76,5.88,8000,5.88,,1,2012
2012-01-12,5.9,5.95,5.88,5.93,5400,5.93,,1,2012
2012-01-13,5.94,6.05,5.79,6.05,18500,6.05,,1,2012
2012-01-17,6.05,6.05,5.88,6.03,25500,6.03,,1,2012
2012-01-18,6.0,6.14,5.98,6.12,25200,6.12,,1,2012
2012-01-19,5.85,6.13,5.85,6.04,15200,6.04,,1,2012
2012-01-20,6.08,6.14,5.98,6.07,17600,6.07,,1,2012
2012-01-23,5.96,6.11,5.96,6.1,5100,6.1,,1,2012
2012-01-24,6.03,6.14,6.0,6.0,6600,6.0,70.5128205128,1,2012
2012-01-25,6.0,6.1,5.82,5.94,15900,5.94,65.1183970856,1,2012
2012-01-26,5.99,6.1,5.92,6.04,8100,6.04,69.3298016509,1,2012
2012-01-27,6.14,6.15,5.95,6.1,16200,6.1,71.5493217761,1,2012
2012-01-30,6.1,6.15,6.02,6.07,23000,6.07,68.8658257903,1,2012
2012-01-31,6.11,6.15,5.93,6.07,31600,6.07,68.8658257903,1,2012
2012-02-01,6.1,6.14,6.02,6.07,14800,6.07,68.8658257903,1,2012
2012-02-02,6.09,6.13,6.0,6.12,10100,6.12,71.1205197492,1,2012
2012-02-03,6.15,6.15,6.07,6.12,15700,6.12,71.1205197492,1,2012
2012-02-06,6.11,6.14,6.05,6.06,16700,6.06,64.6088430898,1,2012
2012-02-07,6.06,6.1,6.05,6.05,19600,6.05,63.5642568222,1,2012
2012-02-08,6.07,6.97,6.07,6.75,225600,6.75,83.578681188,1,2012
2012-02-09,7.5,8.02,7.25,7.5,367100,7.5,89.9491030998,1,2012
2012-02-10,7.5,7.74,7.38,7.64,126100,7.64,90.676219065,1,2012
2012-02-13,7.71,7.8,7.56,7.68,72800,7.68,90.8792426093,1,2012
2012-02-14,7.72,7.72,7.58,7.68,22900,7.68,90.8792426093,1,2012
2012-02-15,7.69,7.69,7.37,7.5,123400,7.5,81.6054881753,1,2012
2012-02-16,7.5,7.64,7.5,7.5,26500,7.5,81.6054881753,1,2012
2012-02-17,7.49,7.59,7.49,7.59,70900,7.59,82.6331524425,1,2012
2012-02-21,7.74,7.93,7.5,7.87,116600,7.87,85.3713641551,1,2012
2012-02-22,7.93,8.0,7.79,7.91,103000,7.91,85.7178038663,1,2012
2012-02-23,7.97,7.97,7.67,7.8,45200,7.8,80.0999134581,1,2012
2012-02-24,7.79,7.94,7.75,7.88,24800,7.88,81.0715402642,1,2012
2012-02-27,7.67,7.81,7.62,7.72,16700,7.72,73.3571492525,1,2012
2012-02-28,7.68,7.77,7.57,7.73,21300,7.73,73.5267024426,1,2012
2012-02-29,8.0,8.0,7.52,7.93,91900,7.93,76.7179543602,1,2012
2012-03-01,7.51,7.9,7.12,7.71,102600,7.71,67.1315239806,1,2012
2012-03-02,7.72,7.94,7.54,7.84,27800,7.84,69.5526364074,1,2012
2012-03-05,7.83,7.86,7.67,7.79,32200,7.79,67.4933916138,1,2012
2012-03-06,7.76,7.88,7.49,7.6,44000,7.6,60.1995563447,1,2012
2012-03-07,7.61,7.73,7.49,7.57,101200,7.57,59.113300212,1,2012
2012-03-08,7.53,7.54,7.5,7.54,20900,7.54,57.986490812,1,2012
2012-03-09,7.5,7.73,7.49,7.73,32500,7.73,62.820286832,1,2012
2012-03-12,7.74,7.74,7.6,7.72,11400,7.72,62.4132746444,1,2012
2012-03-13,7.68,7.72,7.64,7.66,11500,7.66,59.9053801548,1,2012
2012-03-14,7.58,7.76,7.58,7.76,19400,7.76,62.6025466373,1,2012
2012-03-15,7.72,7.79,7.69,7.75,23600,7.75,62.1522865532,1,2012
2012-03-16,7.73,7.74,7.65,7.72,23900,7.72,60.7408598768,1,2012
2012-03-19,7.72,7.79,7.57,7.74,29800,7.74,61.3706731018,1,2012
2012-03-20,7.73,7.74,7.61,7.74,19500,7.74,61.3706731018,1,2012
2012-03-21,7.65,7.73,7.63,7.72,16800,7.72,60.2496998567,1,2012
2012-03-22,7.68,7.7,7.45,7.59,101000,7.59,53.4195166257,1,2012
2012-03-23,7.59,7.6,7.53,7.55,23900,7.55,51.4854848889,1,2012
2012-03-26,7.55,7.56,7.5,7.55,18200,7.55,51.4854848889,1,2012
2012-03-27,7.54,7.57,7.5,7.51,36900,7.51,49.4107873875,1,2012
2012-03-28,7.55,7.55,7.46,7.53,66700,7.53,50.4851723861,1,2012
2012-03-29,7.5,7.53,7.4,7.53,48200,7.53,50.4851723861,1,2012
2012-03-30,7.5,7.55,7.4,7.5,45900,7.5,48.6864235956,1,2012
2012-04-02,7.48,7.63,7.47,7.6,130200,7.6,54.5052022704,2,2012
2012-04-03,7.65,7.73,7.65,7.69,98000,7.69,59.0102744826,2,2012
2012-04-04,7.73,7.73,7.63,7.68,17200,7.68,58.3192489182,2,2012
2012-04-05,7.67,7.68,7.61,7.61,30000,7.61,53.5885910335,2,2012
2012-04-09,7.6,7.63,7.5,7.59,15800,7.59,52.2836462782,2,2012
2012-04-10,7.62,7.62,7.14,7.46,32400,7.46,44.6693846164,2,2012
2012-04-11,7.47,7.62,7.47,7.5,25200,7.5,47.2165717127,2,2012
2012-04-12,7.52,7.56,7.23,7.54,90100,7.54,49.7098073627,2,2012
2012-04-13,7.58,7.58,7.44,7.5,21000,7.5,47.3035390541,2,2012
2012-04-16,7.49,7.58,7.45,7.48,24500,7.48,46.1018960942,2,2012
2012-04-17,7.5,7.53,7.45,7.53,18200,7.53,49.5521359483,2,2012
2012-04-18,7.34,7.86,7.34,7.81,32600,7.81,63.6032583384,2,2012
2012-04-19,7.73,7.8,7.65,7.71,36800,7.71,57.4489790559,2,2012
2012-04-20,7.72,7.86,7.69,7.69,18400,7.69,56.2761442414,2,2012
2012-04-23,7.69,7.69,7.59,7.6,16500,7.6,51.2096926178,2,2012
