Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.35,1.36,1.27,1.3,224100,1.3,,1,2012
2012-01-04,1.3,1.38,1.3,1.34,192900,1.34,,1,2012
2012-01-05,1.31,1.35,1.25,1.3,164100,1.3,,1,2012
2012-01-06,1.33,1.33,1.2,1.2,258700,1.2,,1,2012
2012-01-09,1.2,1.23,1.12,1.17,195500,1.17,,1,2012
2012-01-10,1.19,1.22,1.16,1.21,91900,1.21,,1,2012
2012-01-11,1.21,1.25,1.2,1.2,82900,1.2,,1,2012
2012-01-12,1.23,1.24,1.19,1.22,88000,1.22,,1,2012
2012-01-13,1.2,1.2,1.16,1.19,85300,1.19,,1,2012
2012-01-17,1.22,1.25,1.18,1.2,118400,1.2,,1,2012
2012-01-18,1.19,1.22,1.19,1.19,86100,1.19,,1,2012
2012-01-19,1.22,1.27,1.16,1.18,85300,1.18,,1,2012
2012-01-20,1.19,1.24,1.13,1.17,113800,1.17,,1,2012
2012-01-23,1.15,1.2,1.15,1.17,82100,1.17,,1,2012
2012-01-24,1.21,1.21,1.14,1.14,87600,1.14,28.9473684211,1,2012
2012-01-25,1.17,1.17,1.1,1.12,146700,1.12,27.3946360153,1,2012
2012-01-26,1.12,1.17,1.1,1.15,77400,1.15,33.1841605641,1,2012
2012-01-27,1.15,1.16,1.1,1.11,105900,1.11,29.774986428,1,2012
2012-01-30,1.06,1.11,1.05,1.09,128200,1.09,28.2142092042,1,2012
2012-01-31,1.07,1.09,1.05,1.08,121800,1.08,27.4397055327,1,2012
2012-02-01,1.06,1.1,1.03,1.1,124400,1.1,31.4903315105,1,2012
2012-02-02,1.08,1.09,1.05,1.08,49300,1.08,29.7045405128,1,2012
2012-02-03,1.08,1.13,1.08,1.09,55600,1.09,31.787459175,1,2012
2012-02-06,1.09,1.16,1.09,1.12,128200,1.12,37.7469807273,1,2012
2012-02-07,1.15,1.16,1.1,1.11,89600,1.11,36.599140392,1,2012
2012-02-08,1.14,1.14,1.09,1.1,89400,1.1,35.4385993734,1,2012
2012-02-09,1.15,1.15,1.11,1.12,22100,1.12,39.5660800948,1,2012
2012-02-10,1.12,1.14,1.06,1.07,115500,1.07,33.7559353904,1,2012
2012-02-13,1.15,1.16,1.07,1.1,186100,1.1,39.4968108299,1,2012
2012-02-14,1.12,1.18,1.1,1.16,142200,1.16,49.0137797069,1,2012
2012-02-15,1.17,1.18,1.14,1.14,80000,1.14,46.3941093134,1,2012
2012-02-16,1.14,1.14,1.12,1.14,40000,1.14,46.3941093134,1,2012
2012-02-17,1.13,1.15,1.12,1.13,46400,1.13,44.9994284991,1,2012
2012-02-21,1.12,1.17,1.09,1.11,109900,1.11,42.2629829497,1,2012
2012-02-22,1.1,1.13,1.09,1.11,45000,1.11,42.2629829497,1,2012
2012-02-23,1.11,1.13,1.09,1.1,19400,1.1,40.8234266974,1,2012
2012-02-24,1.1,1.15,1.08,1.1,32800,1.1,40.8234266974,1,2012
2012-02-27,1.09,1.12,1.08,1.1,32200,1.1,40.8234266974,1,2012
2012-02-28,1.09,1.12,1.07,1.1,70200,1.1,40.8234266974,1,2012
2012-02-29,1.08,1.12,1.08,1.11,32600,1.11,43.4158277785,1,2012
2012-03-01,1.11,1.12,1.1,1.11,9100,1.11,43.4158277785,1,2012
2012-03-02,1.11,1.14,1.11,1.13,17000,1.13,48.635189906,1,2012
2012-03-05,1.13,1.13,1.08,1.08,57300,1.08,38.9598821241,1,2012
2012-03-06,1.08,1.12,1.08,1.1,40500,1.1,43.7778744981,1,2012
2012-03-07,1.1,1.1,1.07,1.1,17700,1.1,43.7778744981,1,2012
2012-03-08,1.1,1.12,1.08,1.11,48000,1.11,46.2385865374,1,2012
2012-03-09,1.12,1.12,1.1,1.12,48900,1.12,48.6585369004,1,2012
2012-03-12,1.11,1.12,1.1,1.11,22300,1.11,46.4088540003,1,2012
2012-03-13,1.08,1.12,1.08,1.11,29500,1.11,46.4088540003,1,2012
2012-03-14,1.08,1.1,1.07,1.1,50200,1.1,44.04702625,1,2012
2012-03-15,1.1,1.14,1.09,1.13,47100,1.13,51.9477525915,1,2012
2012-03-16,1.13,1.13,1.02,1.05,88000,1.05,36.9601790192,1,2012
2012-03-19,1.08,1.11,1.06,1.1,71800,1.1,47.2112777294,1,2012
