Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.26,0.26,0.26,0.26,100,0.26,,1,2012
2012-01-04,0.24,0.3,0.24,0.3,75500,0.3,,1,2012
2012-01-05,0.29,0.35,0.27,0.3,63300,0.3,,1,2012
2012-01-06,0.29,0.32,0.29,0.29,3900,0.29,,1,2012
2012-01-09,0.27,0.3,0.27,0.28,24900,0.28,,1,2012
2012-01-10,0.29,0.3,0.29,0.3,3100,0.3,,1,2012
2012-01-11,0.3,0.37,0.28,0.33,15800,0.33,,1,2012
2012-01-12,0.33,0.37,0.33,0.37,21300,0.37,,1,2012
2012-01-13,0.33,0.37,0.33,0.37,1500,0.37,,1,2012
2012-01-17,0.49,0.49,0.35,0.39,43900,0.39,,1,2012
2012-01-18,0.39,0.45,0.39,0.43,20000,0.43,,1,2012
2012-01-19,0.43,0.45,0.43,0.45,7100,0.45,,1,2012
2012-01-20,0.43,0.43,0.42,0.42,1000,0.42,,1,2012
2012-01-23,0.4,0.4,0.38,0.38,7600,0.38,,1,2012
2012-01-24,0.38,0.43,0.37,0.42,6800,0.42,73.5294117647,1,2012
2012-01-25,0.42,0.42,0.37,0.41,12100,0.41,71.2719298246,1,2012
2012-01-26,0.42,0.42,0.4,0.4,3400,0.4,68.9908556499,1,2012
2012-01-27,0.38,0.38,0.37,0.38,5100,0.38,64.5417156287,1,2012
2012-01-30,0.37,0.4,0.37,0.38,7800,0.38,64.5417156287,1,2012
2012-01-31,0.37,0.45,0.33,0.34,16000,0.34,56.1435611118,1,2012
2012-02-01,0.34,0.43,0.34,0.43,6100,0.43,66.6564558655,1,2012
2012-02-02,0.43,0.43,0.39,0.43,5900,0.43,66.6564558655,1,2012
2012-02-03,0.43,0.43,0.43,0.43,300,0.43,66.6564558655,1,2012
2012-02-06,0.43,0.43,0.41,0.41,1200,0.41,62.4983185966,1,2012
2012-02-07,0.43,0.43,0.39,0.4,11300,0.4,60.4672186985,1,2012
2012-02-08,0.34,0.42,0.34,0.39,7900,0.39,58.4225263706,1,2012
2012-02-09,0.39,0.4,0.39,0.4,2900,0.4,59.883413393,1,2012
2012-02-10,0.39,0.44,0.39,0.43,7300,0.43,63.9731113086,1,2012
2012-02-13,0.41,0.41,0.38,0.38,17000,0.38,54.0779879137,1,2012
2012-02-14,0.37,0.42,0.37,0.42,1500,0.42,59.4779402265,1,2012
2012-02-15,0.4,0.4,0.4,0.4,3500,0.4,55.9362003142,1,2012
2012-02-16,0.39,0.39,0.37,0.37,1200,0.37,51.0277633225,1,2012
2012-02-17,0.37,0.37,0.37,0.37,300,0.37,51.0277633225,1,2012
2012-02-21,0.36,0.36,0.35,0.35,3100,0.35,47.7856662659,1,2012
2012-02-22,0.35,0.37,0.35,0.36,3700,0.36,49.5129133863,1,2012
2012-02-23,0.34,0.43,0.34,0.42,14100,0.42,58.4039561271,1,2012
2012-02-24,0.42,0.42,0.42,0.42,5600,0.42,58.4039561271,1,2012
2012-02-27,0.4,0.4,0.4,0.4,100,0.4,54.6812485587,1,2012
2012-02-28,0.38,0.4,0.35,0.36,19100,0.36,48.0804048336,1,2012
2012-02-29,0.35,0.35,0.35,0.35,100,0.35,46.5669700832,1,2012
2012-03-01,0.34,0.36,0.33,0.33,14300,0.33,43.6103224917,1,2012
2012-03-02,0.32,0.37,0.32,0.34,10300,0.34,45.474452945,1,2012
2012-03-05,0.36,0.39,0.35,0.39,22100,0.39,53.713640712,1,2012
2012-03-06,0.39,0.39,0.37,0.37,300,0.37,50.43097678,1,2012
2012-03-07,0.35,0.35,0.33,0.33,7100,0.33,44.564879639,1,2012
2012-03-08,0.33,0.35,0.33,0.33,600,0.33,44.564879639,1,2012
2012-03-09,0.33,0.35,0.33,0.35,4100,0.35,48.0677826126,1,2012
2012-03-12,0.33,0.39,0.31,0.33,10400,0.33,45.0051823047,1,2012
2012-03-13,0.32,0.41,0.31,0.32,73700,0.32,43.5123751386,1,2012
2012-03-14,0.33,0.39,0.32,0.36,37900,0.36,50.5745219153,1,2012
2012-03-15,0.33,0.37,0.32,0.37,19600,0.37,52.1839867078,1,2012
2012-03-16,0.34,0.57,0.33,0.55,89100,0.55,70.6871462,1,2012
2012-03-19,0.55,0.57,0.47,0.47,119900,0.47,59.6408106411,1,2012
2012-03-20,0.46,0.62,0.44,0.49,40500,0.49,61.2702822837,1,2012
2012-03-21,0.47,0.51,0.43,0.49,34600,0.49,61.2702822837,1,2012
2012-03-22,0.51,0.51,0.46,0.46,11200,0.46,57.2492738793,1,2012
2012-03-23,0.45,0.48,0.45,0.45,15100,0.45,55.9316064189,1,2012
2012-03-26,0.46,0.5,0.46,0.48,17100,0.48,58.9817409836,1,2012
2012-03-27,0.47,0.48,0.47,0.47,5700,0.47,57.55181283,1,2012
2012-03-28,0.45,0.48,0.45,0.48,40300,0.48,58.6318711099,1,2012
2012-03-29,0.45,0.46,0.45,0.46,1100,0.46,55.585623486,1,2012
2012-03-30,0.47,0.48,0.46,0.47,10300,0.47,56.7943462954,1,2012
2012-04-02,0.47,0.48,0.47,0.48,10100,0.48,58.0245669559,2,2012
