Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.66,2.69,2.52,2.68,30000,13.4,,1,2012
2012-01-04,2.66,2.69,2.6,2.65,25400,13.25,,1,2012
2012-01-05,2.64,2.66,2.6,2.62,8200,13.100001,,1,2012
2012-01-06,2.62,2.64,2.6,2.61,22100,13.05,,1,2012
2012-01-09,2.64,2.64,2.59,2.61,49800,13.05,,1,2012
2012-01-10,2.65,2.66,2.57,2.61,76100,13.05,,1,2012
2012-01-11,2.62,2.62,2.46,2.46,74200,12.3,,1,2012
2012-01-12,2.35,2.52,2.35,2.5,55200,12.5,,1,2012
2012-01-13,2.5,2.58,2.46,2.49,60300,12.45,,1,2012
2012-01-17,2.5,2.53,2.44,2.46,26500,12.3,,1,2012
2012-01-18,2.46,2.5,2.35,2.43,35500,12.15,,1,2012
2012-01-19,2.43,2.5,2.42,2.46,60000,12.3,,1,2012
2012-01-20,2.46,2.5,2.44,2.49,25100,12.45,,1,2012
2012-01-23,2.48,2.49,2.4,2.41,24100,12.05,,1,2012
2012-01-24,2.41,2.47,2.35,2.39,80200,11.95,20.4081632653,1,2012
2012-01-25,2.41,2.42,2.35,2.37,46900,11.850001,19.5488804116,1,2012
2012-01-26,2.4,2.41,2.32,2.36,36000,11.8,19.1154840683,1,2012
2012-01-27,2.34,2.37,2.3,2.35,31600,11.75,18.6697479715,1,2012
2012-01-30,2.33,2.4,2.31,2.32,79000,11.600001,17.36180048,1,2012
2012-01-31,2.35,2.38,2.31,2.37,8900,11.850001,26.5923867581,1,2012
2012-02-01,2.36,2.47,2.35,2.36,12100,11.8,25.9676396137,1,2012
2012-02-02,2.38,2.4,2.33,2.38,6700,11.9,29.5332758676,1,2012
2012-02-03,2.42,2.46,2.35,2.41,34000,12.05,34.6199795043,1,2012
2012-02-06,2.37,2.57,2.36,2.56,15700,12.8,52.9197547893,1,2012
2012-02-07,2.56,2.64,2.52,2.52,44200,12.600001,48.9825052382,1,2012
2012-02-08,2.55,2.64,2.5,2.62,13300,13.100001,57.4963905376,1,2012
2012-02-09,2.62,2.69,2.55,2.55,15600,12.75,51.0714275773,1,2012
2012-02-10,2.54,2.54,2.4,2.41,25200,12.05,41.1639972798,1,2012
2012-02-13,2.42,2.46,2.38,2.43,34500,12.15,42.8690626001,1,2012
2012-02-14,2.41,2.45,2.36,2.37,17500,11.850001,39.1989701095,1,2012
2012-02-15,2.38,2.41,2.35,2.36,5700,11.8,38.605732891,1,2012
2012-02-16,2.37,2.42,2.35,2.39,8700,11.95,41.4675865173,1,2012
2012-02-17,2.39,2.41,2.37,2.38,7500,11.9,40.7851147112,1,2012
2012-02-21,2.42,2.42,2.25,2.26,24900,11.3,33.6320082927,1,2012
2012-02-22,2.28,2.28,2.15,2.22,48900,11.100001,31.6400017777,1,2012
2012-02-23,2.21,2.28,2.21,2.25,22100,11.25,34.7609790832,1,2012
2012-02-24,2.25,2.29,2.2,2.27,24000,11.350001,36.8315469593,1,2012
2012-02-27,2.24,2.26,2.2,2.25,34600,11.25,35.6142662987,1,2012
2012-02-28,2.23,2.25,2.18,2.24,26300,11.2,34.9915583756,1,2012
2012-02-29,2.25,2.26,2.17,2.23,17400,11.15,34.3448526139,1,2012
2012-03-01,2.28,2.28,2.06,2.14,55000,10.7,29.1272589372,1,2012
2012-03-02,2.16,2.24,2.13,2.19,13900,10.95,35.0322419987,1,2012
2012-03-05,2.16,2.19,2.07,2.11,12500,10.55,30.6342773656,1,2012
2012-03-06,2.09,2.11,2.02,2.09,31900,10.45,29.632710674,1,2012
2012-03-07,2.09,2.12,2.01,2.05,22100,10.25,27.6832939977,1,2012
2012-03-08,2.06,2.11,2.03,2.05,13700,10.25,27.6832939977,1,2012
2012-03-09,2.09,2.11,2.06,2.06,14600,10.3,29.0368479442,1,2012
2012-03-12,2.06,2.08,1.97,1.98,22200,9.9,25.0047256346,1,2012
2012-03-13,1.98,2.03,1.98,1.99,13500,9.95,26.3808874442,1,2012
2012-03-14,2.01,2.01,1.92,1.96,42000,9.8,24.9044389426,1,2012
2012-03-15,1.93,2.02,1.93,1.98,24800,9.9,27.8053045908,1,2012
2012-03-16,1.96,1.98,1.91,1.93,68500,9.65,25.185938618,1,2012
2012-03-19,1.28,1.28,0.84,0.88,3235800,4.4,8.04545447806,1,2012
2012-03-20,0.88,0.89,0.84,0.85,450400,4.25,7.88043627839,1,2012
2012-03-21,0.85,0.85,0.79,0.81,435600,4.05,7.65498685342,1,2012
2012-03-22,0.78,0.85,0.78,0.79,317100,3.95,7.53885300091,1,2012
2012-03-23,0.8,0.81,0.78,0.8,150800,4.0,8.28804823778,1,2012
2012-03-26,0.8,0.82,0.78,0.8,113900,4.0,8.28804823778,1,2012
2012-03-27,0.81,0.81,0.76,0.77,203300,3.85,8.06079797752,1,2012
2012-03-28,0.77,0.77,0.72,0.73,217000,3.65,7.75545845987,1,2012
2012-03-29,0.74,0.77,0.69,0.73,129200,3.65,7.75545845987,1,2012
2012-03-30,0.73,0.73,0.69,0.71,89000,3.55,7.58876616695,1,2012
2012-04-02,0.72,0.72,0.69,0.7,109700,3.5,7.50194282822,2,2012
2012-04-03,0.71,0.71,0.65,0.65,187500,3.25,7.06660083692,2,2012
2012-04-04,0.62,0.69,0.62,0.68,198100,3.4,10.4253521749,2,2012
2012-04-05,0.67,0.68,0.63,0.63,69000,3.15,9.79026422025,2,2012
2012-04-09,0.65,0.65,0.59,0.59,84200,2.95,9.30206489316,2,2012
2012-04-10,0.6,0.6,0.56,0.57,125200,2.85,9.05882799037,2,2012
