Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-07-31,20.0,20.33,19.299999,19.99,14208700,19.99,,3,2014
2014-08-01,20.0,20.1,19.34,19.85,2125600,19.85,,3,2014
2014-08-04,19.85,20.1,19.6,20.01,592800,20.01,,3,2014
2014-08-05,19.940001,20.48,19.77,20.209999,1077600,20.209999,,3,2014
2014-08-06,20.200001,20.33,20.049999,20.33,900900,20.33,,3,2014
2014-08-07,20.33,20.49,20.299999,20.42,546000,20.42,,3,2014
2014-08-08,20.49,20.68,20.4,20.530001,402500,20.530001,,3,2014
2014-08-11,20.51,20.6,20.440001,20.5,442500,20.5,,3,2014
2014-08-12,20.450001,20.549999,20.450001,20.5,240700,20.5,,3,2014
2014-08-13,20.5,20.6,20.469999,20.530001,438500,20.530001,,3,2014
2014-08-14,20.5,20.59,20.450001,20.5,200600,20.5,,3,2014
2014-08-15,20.68,20.68,20.450001,20.51,143300,20.51,,3,2014
2014-08-18,21.200001,21.200001,20.41,20.66,186900,20.66,,3,2014
2014-08-19,20.5,20.68,20.5,20.629999,404000,20.629999,,3,2014
2014-08-20,20.51,20.75,20.5,20.58,291100,20.58,75.6520846884,3,2014
2014-08-21,20.540001,20.74,20.540001,20.719999,221900,20.719999,78.4741701941,3,2014
2014-08-22,20.75,20.91,20.665001,20.85,259700,20.85,80.7100383599,3,2014
2014-08-25,20.74,21.309999,20.549999,21.200001,558900,21.200001,85.1747672,3,2014
2014-08-26,21.15,21.450001,21.15,21.32,691000,21.32,86.3419662622,3,2014
2014-08-27,21.200001,21.35,21.15,21.27,265100,21.27,83.3957515376,3,2014
2014-08-28,21.1,21.700001,21.023001,21.5,3070200,21.5,85.7966593243,3,2014
2014-08-29,21.5,21.74,21.33,21.5,1271800,21.5,85.7966593243,3,2014
2014-09-02,21.35,21.790001,21.325001,21.700001,665700,21.700001,87.6042597018,3,2014
2014-09-03,21.639999,21.799999,21.523001,21.68,329700,21.68,86.4197754823,3,2014
2014-09-04,21.59,21.950001,21.209999,21.5,445600,21.5,76.4072404499,3,2014
2014-09-05,21.5,22.549999,21.5,22.4,835300,22.4,85.4711664467,3,2014
2014-09-08,22.35,22.799999,22.26,22.5,654100,22.5,86.1097108038,3,2014
2014-09-09,22.530001,23.09,22.193001,22.48,945800,22.48,85.3022241427,3,2014
2014-09-10,22.48,23.184999,22.4,22.99,976600,22.99,88.3120779209,3,2014
2014-09-11,22.809999,23.700001,22.601,23.25,930000,23.25,89.4933401195,3,2014
2014-09-12,23.0,23.9,23.0,23.49,691100,23.49,90.4525606874,3,2014
2014-09-15,23.58,24.879999,23.58,24.84,1157500,24.84,93.852441483,3,2014
2014-09-16,25.049999,25.398001,23.82,24.219999,974600,24.219999,79.7980411705,3,2014
2014-09-17,24.290001,24.9,24.150999,24.309999,750600,24.309999,80.2601511738,3,2014
2014-09-18,24.309999,24.438999,23.959999,24.190001,751300,24.190001,77.7078440668,3,2014
2014-09-19,24.120001,24.629999,23.09,23.68,2784800,23.68,67.8344798316,3,2014
2014-09-22,23.639999,24.059999,23.41,23.99,713000,23.99,70.3043203851,3,2014
2014-09-23,24.120001,24.200001,23.58,23.969999,1185700,23.969999,69.9312213286,3,2014
2014-09-24,23.969999,25.0,23.83,24.84,1333000,24.84,75.917936087,3,2014
2014-09-25,24.91,25.148001,24.65,24.68,1202600,24.68,73.0378487018,3,2014
2014-09-26,24.6,25.120001,24.5,25.040001,927500,25.040001,75.3076704102,3,2014
2014-09-29,24.719999,25.23,24.514999,25.17,876200,25.17,76.0904327231,3,2014
2014-09-30,25.129999,25.299999,24.67,25.030001,4606500,25.030001,73.3921523626,3,2014
2014-10-01,24.93,25.105,23.209999,23.85,1214500,23.85,55.5208796582,4,2014
2014-10-02,23.9,25.690001,23.875,25.35,945400,25.35,66.6410568574,4,2014
2014-10-03,25.66,25.74,25.1,25.129999,339000,25.129999,64.1094534491,4,2014
2014-10-06,25.17,25.193001,24.639999,24.98,520500,24.98,62.3697462323,4,2014
2014-10-07,24.84,25.030001,24.540001,24.73,396000,24.73,59.4730011808,4,2014
2014-10-08,24.65,25.59,24.58,25.48,425500,25.48,64.7607296159,4,2014
2014-10-09,25.35,25.48,24.379999,24.42,469100,24.42,54.0308307346,4,2014
2014-10-10,24.219999,24.225,23.639999,23.67,639800,23.67,47.9741922863,4,2014
2014-10-13,23.66,23.983999,23.43,23.52,451000,23.52,46.8432213703,4,2014
2014-10-14,23.57,23.91,23.43,23.73,468500,23.73,48.6677341883,4,2014
2014-10-15,23.49,24.299999,23.224001,24.219999,337600,24.219999,52.7435101758,4,2014
2014-10-16,24.01,24.59,23.799999,24.25,395200,24.25,52.9896255833,4,2014
2014-10-17,24.440001,24.67,23.530001,23.629999,225300,23.629999,47.4855980516,4,2014
2014-10-20,23.629999,24.209999,23.459999,23.959999,246900,23.959999,50.4365203162,4,2014
2014-10-21,23.99,25.280001,23.85,25.190001,624800,25.190001,59.5583982172,4,2014
2014-10-22,25.129999,25.24,24.040001,24.07,284300,24.07,50.4528615932,4,2014
2014-10-23,24.200001,24.4,24.110001,24.26,509900,24.26,51.7991469876,4,2014
2014-10-24,24.370001,25.040001,24.215,24.940001,241800,24.940001,56.3685440342,4,2014
2014-10-27,24.68,24.795,23.450001,24.459999,308600,24.459999,52.5794255271,4,2014
2014-10-28,24.5,25.459999,24.4,25.200001,488700,25.200001,57.3403687072,4,2014
2014-10-29,25.280001,25.620001,25.040001,25.549999,254100,25.549999,59.4157643974,4,2014
2014-10-30,25.379999,26.0,24.870001,25.639999,306000,25.639999,59.9552636922,4,2014
2014-10-31,26.030001,26.34,25.6,26.030001,367100,26.030001,62.2943637135,4,2014
2014-11-03,26.0,26.25,25.5,25.9,228200,25.9,61.0149697502,4,2014
2014-11-04,25.85,25.889999,25.25,25.35,158000,25.35,55.7940819639,4,2014
2014-11-05,25.440001,25.440001,24.870001,25.09,263000,25.09,53.4650611571,4,2014
2014-11-06,25.040001,25.280001,24.440001,24.74,255100,24.74,50.4142327991,4,2014
2014-11-07,24.58,24.924999,24.370001,24.73,272100,24.73,50.3258728084,4,2014
2014-11-10,24.809999,25.01,24.42,24.77,251100,24.77,50.698102326,4,2014
2014-11-11,24.809999,24.969999,24.17,24.209999,354700,24.209999,45.5517541514,4,2014
2014-11-12,24.15,24.305,23.639999,23.719999,776500,23.719999,41.5749754545,4,2014
2014-11-13,23.860001,24.540001,23.74,23.809999,458400,23.809999,42.5667676573,4,2014
2014-11-14,24.139999,24.4,22.85,24.049999,743800,24.049999,45.2364922369,4,2014
2014-11-17,23.93,26.16,23.700001,25.639999,514300,25.639999,58.8753023963,4,2014
2014-11-18,25.809999,26.040001,25.16,25.43,330600,25.43,56.8610903219,4,2014
