Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.24,3.24,2.85,2.97,56900,2.399648,,1,2012
2012-01-04,2.94,2.97,2.94,2.97,400,2.399648,,1,2012
2012-01-05,3.09,3.09,3.0,3.0,1100,2.423886,,1,2012
2012-01-06,3.05,3.08,2.85,3.08,53100,2.488523,,1,2012
2012-01-09,3.04,3.08,2.93,3.08,7400,2.488523,,1,2012
2012-01-10,3.08,3.08,2.91,3.0,24600,2.423886,,1,2012
2012-01-11,3.07,3.07,2.86,3.04,3400,2.456205,,1,2012
2012-01-12,3.01,3.03,2.91,3.0,2100,2.423886,,1,2012
2012-01-13,3.01,3.01,2.85,2.85,4300,2.302692,,1,2012
2012-01-17,3.05,3.05,3.03,3.05,1500,2.464284,,1,2012
2012-01-18,2.86,2.86,2.86,2.86,400,2.310772,,1,2012
2012-01-19,2.86,2.86,2.86,2.86,0,2.310772,,1,2012
2012-01-20,3.03,3.03,3.03,3.03,200,2.448125,,1,2012
2012-01-23,3.03,3.03,3.03,3.03,0,2.448125,,1,2012
2012-01-24,3.03,3.03,3.03,3.03,0,2.448125,53.0611858283,1,2012
2012-01-25,3.03,3.05,3.03,3.05,200,2.464284,54.0706102177,1,2012
2012-01-26,3.04,3.04,3.04,3.04,500,2.456205,53.451695266,1,2012
2012-01-27,3.04,3.04,3.04,3.04,0,2.456205,53.451695266,1,2012
2012-01-30,3.04,3.04,3.04,3.04,0,2.456205,53.451695266,1,2012
2012-01-31,3.04,3.04,3.04,3.04,0,2.456205,53.451695266,1,2012
2012-02-01,2.86,2.86,2.75,2.75,5200,2.221896,36.9519520555,1,2012
2012-02-02,2.72,2.72,2.6,2.6,3800,2.100701,31.5303790625,1,2012
2012-02-03,2.58,2.87,2.35,2.85,7100,2.302692,45.8027772982,1,2012
2012-02-06,2.7,2.75,2.46,2.75,6800,2.221896,42.0288856142,1,2012
2012-02-07,2.47,2.47,2.45,2.45,2900,1.979507,33.1929715726,1,2012
2012-02-08,2.45,2.45,2.45,2.45,0,1.979507,33.1929715726,1,2012
2012-02-09,2.53,2.53,2.5,2.5,900,2.019905,35.8017842136,1,2012
2012-02-10,2.49,2.5,2.49,2.49,1000,2.011826,35.5031973966,1,2012
2012-02-13,2.49,2.49,2.49,2.49,0,2.011826,35.5031973966,1,2012
2012-02-14,2.52,2.52,2.49,2.5,3600,2.019905,36.1210615727,1,2012
2012-02-15,2.5,2.5,2.5,2.5,1000,2.019905,36.1210615727,1,2012
2012-02-16,2.5,2.54,2.45,2.54,2200,2.052224,38.8393563496,1,2012
2012-02-17,2.54,2.54,2.54,2.54,0,2.052224,38.8393563496,1,2012
2012-02-21,2.87,2.87,2.85,2.85,1000,2.302692,55.7600225328,1,2012
2012-02-22,2.86,2.86,2.86,2.86,300,2.310772,56.1811851673,1,2012
2012-02-23,2.86,3.04,2.86,2.99,900,2.415807,61.3342827817,1,2012
2012-02-24,3.04,3.06,3.04,3.06,400,2.472364,63.802712561,1,2012
2012-02-27,3.06,3.06,3.06,3.06,0,2.472364,63.802712561,1,2012
2012-02-28,3.06,3.06,3.06,3.06,0,2.472364,63.802712561,1,2012
2012-02-29,3.09,3.3,3.09,3.3,4200,2.666275,71.5738259938,1,2012
2012-03-01,3.28,3.4,2.75,2.96,7300,2.391568,53.9147865863,1,2012
2012-03-02,3.0,3.0,3.0,3.0,300,2.423886,55.3116894661,1,2012
2012-03-05,2.46,3.9,2.46,3.08,10800,2.488523,58.0504455793,1,2012
2012-03-06,2.98,3.31,2.95,3.0,5300,2.423886,54.4563266037,1,2012
2012-03-07,3.0,3.27,3.0,3.0,1500,2.423886,54.4563266037,1,2012
2012-03-08,2.84,2.84,2.81,2.81,2500,2.270374,46.5225353175,1,2012
2012-03-09,3.45,3.45,3.25,3.25,300,2.625877,60.7747841135,1,2012
2012-03-12,3.25,3.25,3.25,3.25,0,2.625877,60.7747841135,1,2012
2012-03-13,3.25,3.25,3.25,3.25,0,2.625877,60.7747841135,1,2012
2012-03-14,3.25,3.25,3.25,3.25,0,2.625877,60.7747841135,1,2012
2012-03-15,2.84,2.84,2.84,2.84,300,2.294612,45.5573335712,1,2012
2012-03-16,2.8,2.81,2.8,2.81,1000,2.270374,44.6758838611,1,2012
2012-03-19,2.81,2.81,2.81,2.81,0,2.270374,44.6758838611,1,2012
2012-03-20,2.81,2.81,2.81,2.81,0,2.270374,44.6758838611,1,2012
2012-03-21,2.81,2.81,2.81,2.81,0,2.270374,44.6758838611,1,2012
2012-03-22,2.81,2.81,2.81,2.81,0,2.270374,44.6758838611,1,2012
2012-03-23,2.81,2.81,2.81,2.81,0,2.270374,44.6758838611,1,2012
2012-03-26,2.53,2.53,2.53,2.53,2000,2.044144,34.8564947887,1,2012
2012-03-27,2.53,2.53,2.53,2.53,0,2.044144,34.8564947887,1,2012
2012-03-28,2.53,2.53,2.53,2.53,0,2.044144,34.8564947887,1,2012
2012-03-29,2.53,2.53,2.53,2.53,0,2.044144,34.8564947887,1,2012
2012-03-30,2.53,2.53,2.53,2.53,0,2.044144,34.8564947887,1,2012
2012-04-02,2.53,2.53,2.53,2.53,0,2.044144,34.8564947887,2,2012
