Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,17.610001,17.879999,17.040001,17.219999,1551100,17.075874,,1,2012
2012-01-04,17.209999,17.34,16.809999,17.15,1169300,17.006461,,1,2012
2012-01-05,16.959999,17.639999,16.82,17.450001,1403600,17.303951,,1,2012
2012-01-06,17.469999,18.6,17.200001,18.309999,2068600,18.156752,,1,2012
2012-01-09,18.309999,18.41,17.790001,18.07,1331400,17.918761,,1,2012
2012-01-10,18.25,18.299999,17.299999,17.469999,2249200,17.323782,,1,2012
2012-01-11,17.27,17.959999,17.049999,17.9,1967300,17.750183,,1,2012
2012-01-12,17.92,18.059999,17.16,17.24,1300800,17.095707,,1,2012
2012-01-13,17.049999,17.190001,16.610001,16.700001,1426000,16.560228,,1,2012
2012-01-17,16.959999,17.09,16.65,16.690001,1245200,16.550311,,1,2012
2012-01-18,16.68,17.07,16.370001,17.030001,1719600,16.887466,,1,2012
2012-01-19,16.98,17.48,16.77,16.780001,2542900,16.639558,,1,2012
2012-01-20,16.780001,17.52,16.780001,17.280001,2475200,17.135374,,1,2012
2012-01-23,17.32,17.709999,17.17,17.57,2438900,17.422945,,1,2012
2012-01-24,17.49,18.52,17.360001,18.379999,2624500,18.226165,59.8305101838,1,2012
2012-01-25,18.4,19.4,18.190001,19.23,2983400,19.069052,65.2257434257,1,2012
2012-01-26,19.299999,19.41,18.440001,18.629999,2419800,18.474073,59.1830795995,1,2012
2012-01-27,18.57,19.389999,18.49,19.219999,1616800,19.059135,62.8296987942,1,2012
2012-01-30,19.040001,19.120001,18.75,18.879999,1181400,18.721981,59.5291153548,1,2012
2012-01-31,19.049999,19.35,18.58,18.700001,1303100,18.543489,57.7980477436,1,2012
2012-02-01,18.83,19.360001,18.76,18.879999,1628900,18.721981,59.0795222789,1,2012
2012-02-02,18.889999,19.049999,18.6,18.969999,1167200,18.811228,59.7378377883,1,2012
2012-02-03,19.32,20.059999,19.309999,20.01,2207400,19.842524,66.4538369789,1,2012
2012-02-06,20.48,20.889999,19.51,19.77,2344900,19.604533,63.8086581586,1,2012
2012-02-07,19.700001,19.969999,19.370001,19.889999,1573600,19.723528,64.568079043,1,2012
2012-02-08,19.940001,20.07,19.620001,19.92,1739900,19.753277,64.7671254169,1,2012
2012-02-09,19.940001,20.17,19.690001,19.85,1989700,19.683863,63.8655836728,1,2012
2012-02-10,19.6,20.24,19.5,20.030001,2310400,19.862357,65.2067643005,1,2012
2012-02-13,20.25,20.43,19.91,20.139999,1629100,19.971435,66.0363827348,1,2012
2012-02-14,20.16,20.639999,20.040001,20.610001,2193600,20.437503,69.3943885048,1,2012
2012-02-15,20.76,20.82,20.5,20.76,2740100,20.586247,70.4002325588,1,2012
2012-02-16,20.700001,21.09,20.59,21.07,2274300,20.893652,72.4177419428,1,2012
2012-02-17,21.120001,21.15,20.540001,20.73,1820500,20.556497,67.0220363582,1,2012
2012-02-21,20.9,21.32,20.530001,20.66,2821900,20.487083,65.9328374881,1,2012
2012-02-22,23.07,24.129999,21.620001,23.85,8251100,23.650385,81.0481947379,1,2012
2012-02-23,24.110001,25.1,24.07,24.690001,3618500,24.483354,83.166245262,1,2012
2012-02-24,24.76,25.6,24.52,25.110001,2517700,24.899839,84.1217722679,1,2012
2012-02-27,25.040001,25.690001,24.77,25.49,2357700,25.276658,84.9539254739,1,2012
2012-02-28,24.629999,25.540001,24.35,25.5,3634900,25.286575,84.9762412538,1,2012
2012-02-29,25.57,25.74,25.09,25.24,2979000,25.02875,81.5882230765,1,2012
2012-03-01,25.24,25.48,24.83,24.91,1547500,24.701512,77.3717068224,1,2012
2012-03-02,24.9,25.059999,24.040001,24.18,2698700,23.977623,68.8901362719,1,2012
2012-03-05,24.18,24.559999,23.65,24.059999,1915600,23.858626,67.5786838204,1,2012
2012-03-06,23.889999,24.129999,23.16,23.299999,1653100,23.104987,59.8126293059,1,2012
2012-03-07,23.42,24.23,23.389999,23.91,2311000,23.709882,63.4438486694,1,2012
2012-03-08,24.059999,24.17,23.34,23.48,2134200,23.283481,59.3713344765,1,2012
2012-03-09,23.48,24.4,23.48,23.879999,1627200,23.680133,61.826130376,1,2012
2012-03-12,23.790001,23.790001,23.030001,23.290001,1521900,23.095072,56.4119794919,1,2012
2012-03-13,23.48,23.719999,23.200001,23.68,1776800,23.481808,58.9697445241,1,2012
2012-03-14,23.610001,24.0,23.389999,23.67,1122600,23.471891,58.8743397858,1,2012
2012-03-15,23.67,24.190001,23.52,24.08,1785400,23.878459,61.6160875738,1,2012
2012-03-16,24.01,24.540001,23.639999,24.450001,2580100,24.245363,63.9517129638,1,2012
2012-03-19,24.370001,24.530001,23.959999,24.18,1303800,23.977623,61.0331746157,1,2012
2012-03-20,23.99,24.190001,23.0,23.200001,1518700,23.005825,51.7938749785,1,2012
2012-03-21,23.35,23.35,22.360001,23.040001,2440500,22.847165,50.4510499332,1,2012
2012-03-22,22.799999,23.09,22.35,22.49,1284700,22.301767,46.0329028887,1,2012
2012-03-23,22.48,22.57,22.120001,22.48,1651300,22.29185,45.9540993587,1,2012
2012-03-26,22.73,23.18,22.73,22.85,1497800,22.658754,49.4050689602,1,2012
2012-03-27,22.85,23.040001,22.370001,22.58,1576300,22.391014,47.0444170002,1,2012
2012-03-28,22.6,22.719999,21.959999,22.16,1612200,21.974529,43.5578525208,1,2012
2012-03-29,21.969999,22.530001,21.4,22.280001,2487100,22.093525,44.8162518757,1,2012
2012-03-30,22.440001,22.48,21.73,22.24,1492300,22.053859,44.4604082977,1,2012
2012-04-02,22.219999,23.360001,22.09,23.16,2469300,22.966159,53.5880286182,2,2012
2012-04-03,23.16,23.91,22.969999,23.190001,1864900,22.995909,53.854358289,2,2012
2012-04-04,22.91,23.16,22.540001,23.02,1852600,22.827332,52.032314885,2,2012
2012-04-05,22.99,23.059999,22.43,22.5,1025400,22.311683,46.8148229046,2,2012
2012-04-09,22.09,22.09,21.639999,21.870001,1683400,21.686957,41.3986236895,2,2012
2012-04-10,21.860001,21.98,21.09,21.209999,1386300,21.032479,36.6188620028,2,2012
2012-04-11,21.5,21.790001,21.26,21.379999,1039300,21.201057,38.5857517161,2,2012
2012-04-12,21.52,22.610001,21.459999,22.389999,1537100,22.202603,48.7596374847,2,2012
2012-04-13,22.389999,22.389999,21.59,21.82,1095500,21.637374,44.2994392256,2,2012
2012-04-16,21.959999,22.370001,21.700001,21.950001,1414700,21.766287,45.523381128,2,2012
2012-04-17,22.09,23.49,22.08,23.059999,1487200,22.866996,54.6802891492,2,2012
