Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,11.99,12.33,11.64,12.1,40600,12.1,,1,2012
2012-01-04,12.0,12.64,11.95,12.48,28000,12.48,,1,2012
2012-01-05,12.4,12.4,11.95,12.25,16200,12.25,,1,2012
2012-01-06,12.16,12.31,11.92,12.0,26700,12.0,,1,2012
2012-01-09,12.05,12.28,11.97,12.12,18100,12.12,,1,2012
2012-01-10,12.32,12.32,12.16,12.25,8000,12.25,,1,2012
2012-01-11,12.16,12.3,12.12,12.3,9100,12.3,,1,2012
2012-01-12,12.27,12.3,12.09,12.3,6700,12.3,,1,2012
2012-01-13,12.1,12.25,11.74,12.15,18100,12.15,,1,2012
2012-01-17,12.25,12.36,12.05,12.36,11300,12.36,,1,2012
2012-01-18,12.0,13.08,12.0,13.02,22200,13.02,,1,2012
2012-01-19,12.97,13.2,12.84,12.89,22600,12.89,,1,2012
2012-01-20,12.94,12.96,12.63,12.92,9400,12.92,,1,2012
2012-01-23,12.8,12.86,12.6,12.62,32600,12.62,,1,2012
2012-01-24,12.57,12.64,12.19,12.61,22900,12.61,59.6226415094,1,2012
2012-01-25,12.51,12.97,12.51,12.97,9400,12.97,64.775892631,1,2012
2012-01-26,12.82,13.16,12.82,13.01,19100,13.01,65.3057308954,1,2012
2012-01-27,12.93,13.21,12.93,13.12,12800,13.12,66.7853514695,1,2012
2012-01-30,13.21,14.36,13.21,14.02,78400,14.02,75.8574880744,1,2012
2012-01-31,14.24,14.44,13.87,13.93,26800,13.93,73.6899202788,1,2012
2012-02-01,14.11,14.11,13.41,13.71,43800,13.71,68.5346737678,1,2012
2012-02-02,13.53,13.81,13.44,13.74,35000,13.74,68.8546500752,1,2012
2012-02-03,13.81,13.88,13.63,13.8,74900,13.8,69.5222001893,1,2012
2012-02-06,13.46,13.74,13.3,13.66,27100,13.66,65.9692146302,1,2012
2012-02-07,13.62,13.62,13.37,13.51,22400,13.51,62.2957468259,1,2012
2012-02-08,13.48,13.61,13.33,13.58,7900,13.58,63.3221782144,1,2012
2012-02-09,13.54,13.7,13.46,13.53,18700,13.53,62.0233507777,1,2012
2012-02-10,13.49,13.59,13.2,13.24,13000,13.24,54.9795154642,1,2012
2012-02-13,13.44,13.89,13.25,13.89,58500,13.89,64.6656608571,1,2012
2012-02-14,14.0,16.690001,14.0,16.440001,442400,16.440001,81.4904241587,1,2012
2012-02-15,17.48,17.58,15.81,16.459999,264200,16.459999,81.5645613897,1,2012
2012-02-16,16.540001,17.5,15.81,17.34,124000,17.34,84.5055727768,1,2012
2012-02-17,17.5,17.68,17.23,17.32,122400,17.32,84.1768970308,1,2012
2012-02-21,17.450001,17.799999,17.440001,17.559999,147800,17.559999,84.9341484754,1,2012
2012-02-22,17.68,17.68,17.5,17.620001,57500,17.620001,85.1258046934,1,2012
2012-02-23,17.549999,17.83,17.549999,17.780001,118100,17.780001,85.6500313751,1,2012
2012-02-24,17.75,17.809999,17.610001,17.75,72900,17.75,85.0447828357,1,2012
2012-02-27,17.620001,17.93,17.6,17.75,72800,17.75,85.0447828357,1,2012
2012-02-28,17.83,18.200001,17.75,18.18,137300,18.18,86.6168356303,1,2012
2012-02-29,18.24,18.629999,17.77,17.790001,94700,17.790001,78.5517330508,1,2012
2012-03-01,17.799999,17.9,17.35,17.35,66600,17.35,70.5682603154,1,2012
2012-03-02,17.370001,17.559999,16.6,16.68,71800,16.68,60.487216596,1,2012
2012-03-05,16.780001,17.200001,16.6,16.99,90900,16.99,63.1128989587,1,2012
2012-03-06,16.82,17.08,16.67,16.809999,67300,16.809999,60.5949946448,1,2012
2012-03-07,16.93,17.27,16.84,17.049999,58700,17.049999,62.7300117366,1,2012
2012-03-08,17.190001,17.370001,16.879999,17.24,34900,17.24,64.375620539,1,2012
2012-03-09,17.280001,17.9,17.280001,17.780001,59300,17.780001,68.6168110243,1,2012
2012-03-12,17.780001,18.209999,17.700001,18.18,42500,18.18,71.3387857068,1,2012
2012-03-13,18.41,19.440001,18.16,19.280001,216600,19.280001,77.1962767045,1,2012
2012-03-14,19.35,19.5,18.26,18.469999,45000,18.469999,66.4301396621,1,2012
2012-03-15,18.48,18.790001,17.969999,18.77,25800,18.77,68.1991237671,1,2012
2012-03-16,18.76,18.76,18.190001,18.290001,84000,18.290001,62.5222251794,1,2012
2012-03-19,18.299999,18.540001,18.08,18.309999,52700,18.309999,62.6616750409,1,2012
2012-03-20,18.16,18.299999,17.92,18.129999,28100,18.129999,60.4803072178,1,2012
2012-03-21,18.18,18.18,17.75,17.92,99000,17.92,57.9458853323,1,2012
2012-03-22,17.67,17.950001,17.5,17.950001,9400,17.950001,58.2152779109,1,2012
2012-03-23,18.01,18.290001,17.780001,17.91,24000,17.91,57.6846898231,1,2012
2012-03-26,18.09,18.559999,17.959999,18.0,48500,18.0,58.598987934,1,2012
2012-03-27,18.049999,18.049999,17.84,17.85,16100,17.85,56.4112783554,1,2012
2012-03-28,17.83,18.0,17.68,17.93,61700,17.93,57.3263245395,1,2012
2012-03-29,17.82,18.0,17.690001,17.940001,36700,17.940001,57.4465901256,1,2012
2012-03-30,18.0,18.0,17.860001,17.860001,36100,17.860001,56.0849605259,1,2012
2012-04-02,17.85,18.1,17.84,18.1,59200,18.1,59.2086438635,2,2012
2012-04-03,18.09,18.1,17.969999,18.030001,90300,18.030001,57.914716943,2,2012
2012-04-04,17.879999,18.049999,17.82,17.969999,29100,17.969999,56.7694728244,2,2012
2012-04-05,17.879999,18.030001,17.799999,17.82,90300,17.82,53.8999805426,2,2012
2012-04-09,17.57,17.969999,17.530001,17.610001,37700,17.610001,50.0832112191,2,2012
2012-04-10,17.790001,18.049999,17.530001,17.68,91300,17.68,51.3206156703,2,2012
2012-04-11,17.93,18.559999,17.719999,18.49,84900,18.49,62.8094406183,2,2012
2012-04-12,18.559999,18.99,18.440001,18.85,63500,18.85,66.5841632205,2,2012
2012-04-13,18.790001,19.870001,18.66,19.780001,180100,19.780001,73.9421170461,2,2012
