Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.14,3.29,3.14,3.26,34900,52.16,,1,2012
2012-01-04,3.25,3.29,3.1,3.25,30900,52.0,,1,2012
2012-01-05,3.3,3.6,3.25,3.56,52600,56.959999,,1,2012
2012-01-06,3.58,3.94,3.43,3.87,74700,61.919998,,1,2012
2012-01-09,3.92,4.4,3.73,4.16,77600,66.559998,,1,2012
2012-01-10,4.28,4.38,3.87,4.08,87500,65.279999,,1,2012
2012-01-11,4.02,4.25,3.89,4.12,42500,65.919998,,1,2012
2012-01-12,4.22,4.25,4.02,4.21,33700,67.360001,,1,2012
2012-01-13,4.18,4.48,4.05,4.16,66800,66.559998,,1,2012
2012-01-17,4.18,4.21,3.37,3.63,95300,58.080002,,1,2012
2012-01-18,3.51,3.83,3.48,3.78,35700,60.48,,1,2012
2012-01-19,3.76,3.99,3.76,3.87,30500,61.919998,,1,2012
2012-01-20,3.89,4.07,3.81,3.99,28200,63.84,,1,2012
2012-01-23,4.01,4.05,3.85,3.9,31700,62.400002,,1,2012
2012-01-24,3.9,3.99,3.8,3.86,20300,61.759998,63.6363615702,1,2012
2012-01-25,3.84,4.0,3.76,3.94,23600,63.040001,65.0067306525,1,2012
2012-01-26,3.95,3.96,3.78,3.81,20300,60.959999,60.9848460885,1,2012
2012-01-27,3.75,3.9,3.74,3.85,24300,61.599998,61.7686211914,1,2012
2012-01-30,3.81,3.88,3.71,3.79,18600,60.639999,59.8271427605,1,2012
2012-01-31,3.82,4.0,3.79,3.97,24100,63.52,63.5305418469,1,2012
2012-02-01,4.0,4.2,3.93,4.1,48100,65.599998,65.9704787471,1,2012
2012-02-02,4.35,4.47,4.21,4.26,44800,68.160004,68.7423224636,1,2012
2012-02-03,4.34,4.38,4.19,4.35,30000,69.599998,70.2121179488,1,2012
2012-02-06,4.33,4.67,4.31,4.49,59900,71.839996,72.3872308113,1,2012
2012-02-07,4.54,4.54,4.31,4.36,30700,69.760002,67.4612185593,1,2012
2012-02-08,4.36,4.39,4.25,4.32,27000,69.120003,65.9735530465,1,2012
2012-02-09,4.35,4.35,4.2,4.24,20200,67.839996,62.9820750592,1,2012
2012-02-10,4.06,4.22,4.05,4.14,21800,66.239998,59.3588666449,1,2012
2012-02-13,4.17,4.25,4.13,4.23,19500,67.68,61.5052448585,1,2012
2012-02-14,4.34,4.45,4.25,4.33,40500,69.279999,63.7933207982,1,2012
2012-02-15,4.36,4.36,4.14,4.15,26500,66.400002,57.2024811312,1,2012
