Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.31,5.42,5.19,5.35,421800,5.35,,1,2012
2012-01-04,5.29,5.34,5.22,5.3,348900,5.3,,1,2012
2012-01-05,5.42,5.64,5.35,5.6,540500,5.6,,1,2012
2012-01-06,5.78,5.78,5.45,5.48,472700,5.48,,1,2012
2012-01-09,5.49,5.58,5.37,5.53,659500,5.53,,1,2012
2012-01-10,5.6,5.61,5.53,5.57,512500,5.57,,1,2012
2012-01-11,5.57,5.85,5.57,5.85,592800,5.85,,1,2012
2012-01-12,5.9,6.18,5.82,6.11,869000,6.11,,1,2012
2012-01-13,6.1,6.27,6.0,6.1,1097700,6.1,,1,2012
2012-01-17,6.15,6.21,6.07,6.14,969200,6.14,,1,2012
2012-01-18,6.15,6.24,6.05,6.1,705100,6.1,,1,2012
2012-01-19,6.15,6.22,6.12,6.14,425400,6.14,,1,2012
2012-01-20,6.17,6.2,6.07,6.16,617000,6.16,,1,2012
2012-01-23,6.2,6.47,6.16,6.32,436200,6.32,,1,2012
2012-01-24,6.24,6.24,5.81,6.0,852100,6.0,68.7861271676,1,2012
2012-01-25,5.98,6.07,5.87,6.0,615600,6.0,68.7861271676,1,2012
2012-01-26,6.07,6.1,5.92,5.92,434700,5.92,65.2848563545,1,2012
2012-01-27,5.9,6.1,5.9,6.03,306500,6.03,67.7180255846,1,2012
2012-01-30,6.02,6.13,5.97,6.07,383600,6.07,68.5804195719,1,2012
2012-01-31,6.12,6.19,5.93,6.0,308000,6.0,65.2931452122,1,2012
2012-02-01,6.05,6.18,5.96,6.02,468800,6.02,65.7975848758,1,2012
2012-02-02,6.05,6.4,5.99,6.39,890700,6.39,73.4776154378,1,2012
2012-02-03,6.52,6.75,6.52,6.7,904500,6.7,77.9458943854,1,2012
2012-02-06,6.84,7.15,6.84,7.06,1137800,7.06,81.7839218697,1,2012
2012-02-07,7.04,7.06,6.86,6.92,430100,6.92,76.2281520977,1,2012
2012-02-08,6.93,7.02,6.87,6.93,338000,6.93,76.3517275973,1,2012
2012-02-09,6.95,7.0,6.49,6.53,739200,6.53,62.3823820403,1,2012
2012-02-10,6.44,6.5,6.35,6.49,396700,6.49,61.1769854772,1,2012
2012-02-13,6.59,6.69,6.47,6.55,222600,6.55,62.3521118073,1,2012
2012-02-14,6.51,6.6,6.39,6.45,219500,6.45,59.139162273,1,2012
2012-02-15,6.51,6.55,6.38,6.48,320300,6.48,59.8082689847,1,2012
2012-02-16,6.5,6.8,6.41,6.8,381800,6.8,66.1715811153,1,2012
2012-02-17,6.85,6.85,6.64,6.68,205500,6.68,62.1949303504,1,2012
2012-02-21,6.68,6.72,6.56,6.6,332800,6.6,59.6224663726,1,2012
2012-02-22,6.59,6.63,6.37,6.38,273800,6.38,53.1161085603,1,2012
2012-02-23,6.42,6.7,6.35,6.66,241000,6.66,59.2161924636,1,2012
2012-02-24,6.65,6.76,6.65,6.73,124000,6.73,60.5964870701,1,2012
2012-02-27,6.68,6.69,6.5,6.52,190700,6.52,54.6237738593,1,2012
2012-02-28,6.55,6.64,6.52,6.55,186800,6.55,55.3015762032,1,2012
2012-02-29,6.57,6.61,6.26,6.29,376700,6.29,48.5350338257,1,2012
2012-03-01,6.34,6.37,6.18,6.19,332400,6.19,46.1939050192,1,2012
2012-03-02,6.21,6.33,6.16,6.16,277400,6.16,45.4850706229,1,2012
2012-03-05,6.16,6.24,5.89,6.19,455400,6.19,46.3712918042,1,2012
2012-03-06,6.07,6.16,5.88,5.96,334400,5.96,40.8838522794,1,2012
2012-03-07,6.0,6.12,5.95,6.1,236400,6.1,45.1394956968,1,2012
2012-03-08,6.13,6.3,6.1,6.29,298000,6.29,50.3620524684,1,2012
2012-03-09,6.03,6.09,5.8,6.08,923400,6.08,45.2362661039,1,2012
2012-03-12,6.13,6.19,5.98,6.0,416700,6.0,43.4231172764,1,2012
2012-03-13,6.04,6.1,5.97,6.07,306500,6.07,45.4822181242,1,2012
2012-03-14,6.04,6.07,5.92,5.97,373600,5.97,43.0706124707,1,2012
2012-03-15,5.97,6.04,5.94,6.03,294500,6.03,44.9564615537,1,2012
2012-03-16,6.0,6.0,5.9,6.0,402700,6.0,44.1686198963,1,2012
2012-03-19,6.0,6.19,5.95,6.11,378800,6.11,47.7820740667,1,2012
2012-03-20,6.06,6.09,5.98,6.08,182100,6.08,46.8907319003,1,2012
2012-03-21,6.07,6.22,6.05,6.21,450300,6.21,51.1438322878,1,2012
2012-03-22,6.23,6.28,6.13,6.21,240000,6.21,51.1438322878,1,2012
2012-03-23,6.21,6.49,6.16,6.48,347600,6.48,59.0440963628,1,2012
2012-03-26,6.56,6.69,6.49,6.54,299800,6.54,60.5699798699,1,2012
2012-03-27,6.55,6.7,6.49,6.5,245000,6.5,58.9920355562,1,2012
2012-03-28,6.54,6.56,6.27,6.42,448400,6.42,55.8577923741,1,2012
2012-03-29,6.39,6.42,6.25,6.37,271400,6.37,53.9292534153,1,2012
2012-03-30,6.44,6.44,6.21,6.26,425800,6.26,49.8514194221,1,2012
2012-04-02,6.25,6.47,6.21,6.46,340900,6.46,56.3187127083,2,2012
2012-04-03,6.45,6.45,6.26,6.28,246600,6.28,50.0613201414,2,2012
2012-04-04,6.22,6.24,6.03,6.11,414500,6.11,44.9784788866,2,2012
2012-04-05,6.1,6.31,6.1,6.24,278800,6.24,49.2240978181,2,2012
2012-04-09,6.09,6.26,6.03,6.06,495200,6.06,44.1448196096,2,2012
2012-04-10,6.06,6.14,5.9,5.93,504000,5.93,40.8651306463,2,2012
2012-04-11,6.0,6.04,5.93,5.98,344300,5.98,42.6305383674,2,2012
2012-04-12,5.99,6.3,5.96,6.27,302500,6.27,51.6470234905,2,2012
2012-04-13,6.22,6.25,6.07,6.24,259000,6.24,50.7582902558,2,2012
2012-04-16,6.27,6.3,6.05,6.05,291500,6.05,45.4267266255,2,2012
2012-04-17,6.13,6.36,6.1,6.29,361300,6.29,52.2495950329,2,2012
2012-04-18,6.47,6.57,6.4,6.44,650300,6.44,55.9558864616,2,2012
2012-04-19,6.43,6.47,6.29,6.33,994900,6.33,52.7239938883,2,2012
