Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-10-03,18.0,18.5,15.02,15.55,5631300,15.55,,4,2014
2014-10-06,15.65,15.65,14.14,14.85,978400,14.85,,4,2014
2014-10-07,14.55,15.08,14.4,14.68,215400,14.68,,4,2014
2014-10-08,14.35,14.85,14.35,14.55,216100,14.55,,4,2014
2014-10-09,14.59,14.76,14.212,14.39,209900,14.39,,4,2014
2014-10-10,14.38,14.61,14.023,14.12,191800,14.12,,4,2014
2014-10-13,14.33,14.387,13.39,13.52,36100,13.52,,4,2014
2014-10-14,13.61,14.335,12.675,13.62,148500,13.62,,4,2014
2014-10-15,13.37,14.48,12.76,14.13,65000,14.13,,4,2014
2014-10-16,14.0,14.08,12.85,14.08,7600,14.08,,4,2014
2014-10-17,13.62,14.27,13.62,14.17,54800,14.17,,4,2014
2014-10-20,14.02,14.49,13.74,14.48,28200,14.48,,4,2014
2014-10-21,14.34,15.15,14.34,14.8,40800,14.8,,4,2014
2014-10-22,14.55,15.44,14.5,14.56,9200,14.56,,4,2014
2014-10-23,14.95,15.08,13.32,14.62,88200,14.62,37.4663072776,4,2014
2014-10-24,14.922,15.3,14.72,15.07,36900,15.07,44.6909957821,4,2014
2014-10-27,15.3,15.59,15.08,15.5,50700,15.5,50.5679740787,4,2014
2014-10-28,15.48,16.316999,15.02,16.17,115000,16.17,58.0479831173,4,2014
2014-10-29,16.35,16.77,15.97,16.4,78700,16.4,60.2704973839,4,2014
2014-10-30,16.07,16.33,16.07,16.33,15200,16.33,59.241829777,4,2014
2014-10-31,16.469999,16.628,14.923,15.37,97900,15.37,47.3149563884,4,2014
2014-11-03,15.32,15.36,15.2,15.2,9500,15.2,45.5655250742,4,2014
2014-11-04,15.22,16.01,15.22,15.39,18400,15.39,47.8847999531,4,2014
2014-11-05,15.94,16.02,15.47,15.8,8100,15.8,52.5800056448,4,2014
2014-11-06,15.9,16.0,15.01,15.37,17100,15.37,47.723825945,4,2014
2014-11-07,15.45,16.139999,15.45,15.78,10100,15.78,52.2520597923,4,2014
2014-11-10,16.120001,16.120001,15.75,15.97,6400,15.97,54.2306428744,4,2014
2014-11-11,16.299999,16.299999,15.9,16.030001,6900,16.030001,54.8666858288,4,2014
2014-11-12,15.99,16.33,15.84,16.25,47000,16.25,57.2144560669,4,2014
2014-11-13,16.25,16.346001,15.62,16.24,68300,16.24,57.0691366499,4,2014
2014-11-14,16.18,16.18,15.76,16.049999,25200,16.049999,54.2497404619,4,2014
2014-11-17,16.0,16.52,15.5,15.97,36700,15.97,53.0611163298,4,2014
2014-11-18,16.0,16.370001,16.0,16.290001,86500,16.290001,57.1093107714,4,2014
2014-11-19,16.5,16.5,15.86,16.01,40300,16.01,52.8169624385,4,2014
2014-11-20,16.08,16.309999,16.0,16.200001,83800,16.200001,55.2735564766,4,2014
2014-11-21,16.43,16.59,16.01,16.360001,43500,16.360001,57.2901764021,4,2014
2014-11-24,16.34,17.33,16.129999,16.6,76900,16.6,60.189716326,4,2014
2014-11-25,16.49,17.209999,16.035,17.0,129600,17.0,64.5138174348,4,2014
2014-11-26,16.940001,17.870001,16.82,17.25,86800,17.25,66.9313987692,4,2014
2014-11-28,17.07,17.25,17.014999,17.25,22000,17.25,66.9313987692,4,2014
2014-12-01,17.219999,17.25,16.26,16.67,36600,16.67,56.5630018808,4,2014
2014-12-02,16.200001,17.120001,16.200001,17.07,61600,17.07,61.0449068157,4,2014
2014-12-03,17.08,17.5,16.639999,17.09,92600,17.09,61.2601431248,4,2014
2014-12-04,16.9,17.5,16.684999,17.219999,45100,17.219999,62.7026694175,4,2014
2014-12-05,17.35,17.877001,17.219999,17.5,64600,17.5,65.6679746539,4,2014
2014-12-08,17.59,17.98,16.84,17.84,43900,17.84,68.9012224517,4,2014
2014-12-09,17.934999,17.940001,16.35,17.73,30300,17.73,66.7122338477,4,2014
2014-12-10,17.790001,18.52,17.209999,18.059999,245600,18.059999,69.8108778257,4,2014
2014-12-11,18.15,22.299999,18.1,20.92,133100,20.92,83.8458124461,4,2014
2014-12-12,20.65,21.855,19.459999,20.0,128700,20.0,72.21537833,4,2014
2014-12-15,19.950001,22.23,19.950001,21.370001,172700,21.370001,77.2713623565,4,2014
2014-12-16,21.17,22.938,19.695,21.030001,114900,21.030001,73.6876068437,4,2014
2014-12-17,20.59,21.559999,19.51,21.299999,228800,21.299999,74.6914222533,4,2014
2014-12-18,21.5,21.75,20.35,21.74,131200,21.74,76.2795801557,4,2014
2014-12-19,21.65,21.85,20.030001,20.290001,1188600,20.290001,62.3860619465,4,2014
2014-12-22,20.42,21.860001,19.58,19.709999,91100,19.709999,57.8473377875,4,2014
2014-12-23,20.77,20.77,18.24,19.27,135000,19.27,54.6019877062,4,2014
2014-12-24,19.25,20.305,18.07,19.65,62400,19.65,56.8533325537,4,2014
2014-12-26,19.73,20.200001,18.4,18.57,53300,18.57,49.3610459738,4,2014
2014-12-29,18.629999,20.620001,18.5,18.92,132400,18.92,51.5876529443,4,2014
2014-12-30,18.950001,18.950001,17.379999,18.219999,110600,18.219999,47.1246959833,4,2014
2014-12-31,18.299999,18.629999,17.9,18.110001,30300,18.110001,46.4447346343,4,2014
2015-01-02,18.16,18.440001,17.379999,17.700001,40500,17.700001,43.9019851485,1,2015
2015-01-05,17.690001,17.77,17.4,17.65,53800,17.65,43.5885705417,1,2015
2015-01-06,17.75,18.33,17.559999,17.799999,67200,17.799999,44.860297421,1,2015
2015-01-07,18.5,20.0,18.450001,19.959999,52000,19.959999,59.1438017028,1,2015
2015-01-08,19.950001,21.27,19.09,20.059999,74000,20.059999,59.6647398306,1,2015
2015-01-09,19.450001,20.02,18.75,19.41,22800,19.41,54.7758041251,1,2015
2015-01-12,19.450001,19.58,18.780001,19.290001,54000,19.290001,53.8977588636,1,2015
2015-01-13,19.309999,19.549999,19.15,19.52,110700,19.52,55.3743020948,1,2015
2015-01-14,19.4,19.665001,18.969999,19.129999,66600,19.129999,52.3146509144,1,2015
2015-01-15,19.34,19.969999,19.280001,19.790001,46000,19.790001,56.6772370245,1,2015
2015-01-16,19.690001,20.01,18.764999,19.98,53400,19.98,57.8721040124,1,2015
2015-01-20,20.0,20.0,18.709999,19.27,38400,19.27,52.0904363027,1,2015
2015-01-21,19.24,19.32,18.120001,18.200001,41600,18.200001,44.8228092254,1,2015
2015-01-22,18.690001,18.9,17.860001,18.09,67000,18.09,44.1409816349,1,2015
