Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.6,5.8,5.55,5.79,8000,5.139103,,1,2012
2012-01-04,5.79,5.8,5.55,5.66,6200,5.023717,,1,2012
2012-01-05,5.69,5.72,5.6,5.67,7500,5.032593,,1,2012
2012-01-06,5.56,5.66,5.55,5.66,1500,5.023717,,1,2012
2012-01-09,5.6,5.77,5.6,5.71,4500,5.068096,,1,2012
2012-01-10,5.7,6.1,5.7,5.81,5600,5.156854,,1,2012
2012-01-11,5.84,5.86,5.78,5.8,2700,5.147979,,1,2012
2012-01-12,5.8,5.8,5.55,5.7,29300,5.05922,,1,2012
2012-01-13,5.63,5.78,5.63,5.77,5200,5.121351,,1,2012
2012-01-17,5.8,5.8,5.79,5.8,3000,5.147979,,1,2012
2012-01-18,5.76,5.82,5.76,5.8,7800,5.147979,,1,2012
2012-01-19,5.8,5.84,5.7,5.72,8800,5.076972,,1,2012
2012-01-20,5.81,5.81,5.74,5.75,3000,5.103599,,1,2012
2012-01-23,5.81,5.81,5.71,5.79,3800,5.139103,,1,2012
2012-01-24,5.79,5.79,5.7,5.7,3900,5.05922,43.9999759648,1,2012
2012-01-25,5.71,5.9,5.71,5.9,1300,5.236737,56.4940015863,1,2012
2012-01-26,5.74,5.74,5.68,5.68,2300,5.041468,44.6841225615,1,2012
2012-01-27,5.72,5.79,5.72,5.72,1100,5.076972,46.8593209695,1,2012
2012-01-30,5.75,5.75,5.74,5.74,300,5.094723,47.9611320457,1,2012
2012-01-31,5.71,5.77,5.7,5.77,6100,5.121351,49.6476846348,1,2012
2012-02-01,5.69,5.9,5.69,5.9,7100,5.236737,56.2625996187,1,2012
2012-02-02,5.83,5.83,5.75,5.75,10400,5.103599,48.3669617328,1,2012
2012-02-03,5.79,5.9,5.75,5.85,3800,5.192357,53.0929803642,1,2012
2012-02-06,5.88,5.95,5.88,5.92,4700,5.254488,56.1206823979,1,2012
2012-02-07,5.87,5.92,5.87,5.92,14500,5.254488,56.1206823979,1,2012
2012-02-08,5.91,5.92,5.9,5.9,3300,5.236737,54.9455371113,1,2012
2012-02-09,5.9,5.9,5.9,5.9,0,5.236737,54.9455371113,1,2012
2012-02-10,5.92,6.29,5.92,6.0,4800,5.325495,59.8240637069,1,2012
2012-02-13,6.04,6.05,5.88,6.04,1900,5.360998,61.6145055845,1,2012
2012-02-14,5.94,6.22,5.94,6.03,2000,5.352123,60.8840634065,1,2012
2012-02-15,5.99,5.99,5.95,5.95,600,5.281116,55.2413894767,1,2012
2012-02-16,6.04,6.04,5.95,5.96,1300,5.289992,55.7929255373,1,2012
2012-02-17,5.99,6.04,5.99,6.0,2600,5.325495,58.0211566174,1,2012
2012-02-21,6.09,6.28,6.0,6.01,2200,5.334371,58.583215423,1,2012
2012-02-22,6.06,6.1,6.01,6.01,2100,5.334371,58.583215423,1,2012
2012-02-23,5.98,5.98,5.98,5.98,800,5.307743,55.9756164914,1,2012
2012-02-24,5.98,6.09,5.95,6.09,1700,5.405377,62.5565907462,1,2012
2012-02-27,6.11,6.25,6.11,6.15,700,5.458632,65.5790710892,1,2012
2012-02-28,6.09,6.21,6.0,6.0,1800,5.325495,53.8714241296,1,2012
2012-02-29,6.02,6.24,6.02,6.24,1200,5.538514,64.7231423489,1,2012
2012-03-01,6.2,6.24,6.2,6.2,2000,5.503011,62.100987345,1,2012
2012-03-02,6.18,6.18,6.02,6.05,1800,5.369874,53.3691186797,1,2012
2012-03-05,6.24,6.9,6.03,6.06,34400,5.37875,53.8351587366,1,2012
2012-03-06,6.01,6.01,6.01,6.01,300,5.334371,51.086020381,1,2012
2012-03-07,6.02,6.1,6.02,6.02,4900,5.343247,51.6181743628,1,2012
2012-03-08,6.0,6.0,5.75,5.86,26400,5.201233,43.4694913153,1,2012
2012-03-09,5.84,5.99,5.8,5.8,3000,5.147979,40.8643282809,1,2012
2012-03-12,5.8,5.8,5.8,5.8,0,5.147979,40.8643282809,1,2012
2012-03-13,5.84,6.01,5.84,5.96,4000,5.289992,50.1112684164,1,2012
2012-03-14,5.96,6.15,5.96,6.11,10200,5.423129,56.9134142831,1,2012
2012-03-15,6.17,6.17,5.86,5.87,1500,5.210109,46.0861203833,1,2012
2012-03-16,5.87,6.15,5.66,5.68,15700,5.041468,39.6544384189,1,2012
2012-03-19,5.69,5.7,5.66,5.66,4000,5.023717,39.0368858753,1,2012
2012-03-20,5.65,5.79,5.65,5.7,4000,5.05922,41.0154374951,1,2012
2012-03-21,5.65,5.65,5.55,5.6,3800,4.970462,37.7195394993,1,2012
2012-03-22,5.57,5.58,5.54,5.55,800,4.926083,36.1551279811,1,2012
2012-03-23,5.59,5.59,5.54,5.54,1900,4.917207,35.8350052157,1,2012
2012-03-26,5.55,5.59,5.54,5.54,2400,4.917207,35.8350052157,1,2012
2012-03-27,5.58,5.66,5.15,5.33,7800,4.730815,29.4783438208,1,2012
2012-03-28,5.31,5.37,5.15,5.15,7800,4.61871,26.4404483942,1,2012
2012-03-29,5.18,5.19,5.18,5.19,1300,4.654583,28.9632338614,1,2012
2012-03-30,5.21,5.24,5.17,5.18,2600,4.645615,28.6982561527,1,2012
2012-04-02,5.17,5.39,5.16,5.34,3300,4.789109,38.408031845,2,2012
2012-04-03,5.26,5.28,5.15,5.15,2400,4.61871,32.7113105481,2,2012
2012-04-04,5.17,5.17,5.11,5.11,1400,4.582837,31.6471127566,2,2012
2012-04-05,5.09,5.59,4.79,5.05,5600,4.529026,30.0669499593,2,2012
2012-04-09,5.05,5.59,5.05,5.59,400,5.013318,52.8732963862,2,2012
2012-04-10,5.48,5.52,5.14,5.2,6400,4.663552,42.1756151771,2,2012
2012-04-11,5.22,5.47,5.22,5.47,2700,4.905698,49.754947676,2,2012
2012-04-12,5.47,5.47,5.47,5.47,0,4.905698,49.754947676,2,2012
2012-04-13,5.39,5.39,4.93,5.04,10000,4.520058,40.0571318867,2,2012
2012-04-16,5.07,5.12,5.07,5.12,1400,4.591805,42.3100438488,2,2012
2012-04-17,5.26,5.26,4.8,4.85,9200,4.349659,37.2249490844,2,2012
2012-04-18,4.85,4.85,4.85,4.85,0,4.349659,37.2249490844,2,2012
2012-04-19,4.89,4.97,4.89,4.95,2200,4.439342,40.3066043534,2,2012
2012-04-20,4.89,4.89,4.89,4.89,200,4.385532,39.0673831086,2,2012
2012-04-23,4.89,4.94,4.8,4.85,5000,4.349659,38.2236707356,2,2012
2012-04-24,4.81,5.28,4.81,5.2,4200,4.663552,48.669725534,2,2012
2012-04-25,5.39,5.39,4.91,5.27,400,4.72633,50.4734844993,2,2012
2012-04-26,4.93,4.99,4.93,4.99,800,4.475216,43.8375867137,2,2012
2012-04-27,5.02,5.08,4.75,5.08,4300,4.555931,46.2822670772,2,2012
2012-04-30,4.94,5.0,4.84,5.0,3300,4.484184,44.4308874126,2,2012
2012-05-01,5.0,5.0,5.0,5.0,200,4.484184,44.4308874126,2,2012
2012-05-02,4.84,4.92,4.83,4.83,900,4.331722,40.4437641091,2,2012
2012-05-03,4.85,4.85,4.85,4.85,300,4.349659,41.1132861482,2,2012
2012-05-04,4.84,4.9,4.79,4.79,3000,4.295849,39.6724182126,2,2012
2012-05-07,4.86,4.86,4.82,4.82,600,4.322754,40.789778822,2,2012
2012-05-08,4.82,4.84,4.79,4.8,2100,4.304817,40.2544838095,2,2012
2012-05-09,4.8,4.8,4.7,4.71,4800,4.224102,37.8475260461,2,2012
2012-05-10,4.57,4.57,4.01,4.34,13000,3.892272,29.9254215925,2,2012
2012-05-11,7.5,7.54,6.8,6.82,241800,6.116428,72.0919111251,2,2012
2012-05-14,6.81,7.01,6.25,6.95,62400,6.233016,73.0087708705,2,2012
2012-05-15,6.67,6.8,6.23,6.26,24000,5.614199,61.4662069312,2,2012
2012-05-16,6.55,6.55,6.3,6.37,10900,5.712851,62.4844852648,2,2012
2012-05-17,6.37,6.4,5.6,5.82,35400,5.219591,54.7009907696,2,2012
2012-05-18,5.8,5.9,5.65,5.88,6700,5.273401,55.3543519604,2,2012
2012-05-21,5.91,6.0,5.7,5.95,9300,5.336179,56.148997274,2,2012
2012-05-22,5.89,6.01,5.87,5.95,7100,5.336179,56.148997274,2,2012
2012-05-23,5.86,6.01,5.8,6.01,7200,5.38999,56.9114087841,2,2012
2012-05-24,6.0,6.0,5.59,5.94,7400,5.327211,55.6947955299,2,2012
2012-05-25,6.0,6.2,5.96,6.2,5500,5.560388,59.1848381496,2,2012
2012-05-29,6.2,6.21,6.17,6.21,3000,5.569357,59.3175854516,2,2012
2012-05-30,6.17,6.17,6.17,6.17,300,5.533484,58.4980757159,2,2012
2012-05-31,6.18,6.18,5.92,6.04,7500,5.416895,55.7998501763,2,2012
2012-06-01,6.0,6.0,5.95,5.99,2900,5.372053,54.7537751901,2,2012
2012-06-04,6.0,6.0,5.85,5.96,1000,5.345148,54.098464238,2,2012
2012-06-05,5.89,6.01,5.89,5.92,10800,5.309274,53.1844571174,2,2012
2012-06-06,6.0,6.11,5.99,6.1,2300,5.470705,56.7274399548,2,2012
2012-06-07,6.06,6.1,5.98,6.1,900,5.470705,56.7274399548,2,2012
2012-06-08,6.11,6.15,5.95,6.15,4400,5.515547,57.7573459477,2,2012
2012-06-11,6.21,6.49,6.1,6.27,9300,5.623167,60.2052982258,2,2012
2012-06-12,5.98,6.27,5.98,6.22,2700,5.578325,58.6794393224,2,2012
2012-06-13,6.24,6.31,6.24,6.25,5900,5.60523,59.3452091371,2,2012
2012-06-14,6.25,6.25,6.2,6.2,300,5.560388,57.6771988802,2,2012
2012-06-15,6.06,6.72,6.06,6.6,8200,5.919123,65.9278167759,2,2012
2012-06-18,6.5,6.5,6.15,6.23,1300,5.587294,55.2069252562,2,2012
2012-06-19,6.24,6.42,6.24,6.35,6500,5.694914,57.6143062955,2,2012
2012-06-20,6.43,6.43,6.28,6.28,400,5.632136,55.7326394051,2,2012
2012-06-21,6.46,6.88,6.46,6.88,11700,6.170238,65.9868289882,2,2012
2012-06-22,6.88,6.92,6.5,6.92,21200,6.206111,66.543232002,2,2012
2012-06-25,6.85,6.99,6.63,6.65,12600,5.963965,59.471212796,2,2012
2012-06-26,6.72,6.75,6.65,6.68,19000,5.99087,59.9801397918,2,2012
2012-06-27,6.47,6.74,6.43,6.43,1200,5.814535,55.0968875755,2,2012
2012-06-28,6.4,6.52,6.11,6.32,11600,5.715064,52.5002821234,2,2012
2012-06-29,6.4,6.75,6.4,6.55,1400,5.923049,57.0573733011,2,2012
2012-07-02,6.55,7.07,6.5,6.58,12800,5.950178,57.6284020647,3,2012
2012-07-03,6.58,6.58,6.58,6.58,0,5.950178,57.6284020647,3,2012
2012-07-05,6.51,6.94,6.51,6.85,1100,6.194334,62.7925875236,3,2012
2012-07-06,6.55,6.55,6.5,6.55,1300,5.923049,54.8005908865,3,2012
2012-07-09,6.64,6.64,6.64,6.64,100,6.004435,56.5857929977,3,2012
2012-07-10,6.69,6.74,6.69,6.73,600,6.08582,58.3570260928,3,2012
2012-07-11,6.65,6.65,6.65,6.65,4100,6.013478,56.1635678966,3,2012
2012-07-12,6.66,6.66,6.56,6.65,800,6.013478,56.1635678966,3,2012
2012-07-13,6.7,6.7,6.65,6.65,800,6.013478,56.1635678966,3,2012
2012-07-16,6.71,6.71,6.56,6.61,700,5.977306,54.8754652101,3,2012
2012-07-17,6.56,6.65,6.56,6.65,1500,6.013478,55.9631345299,3,2012
2012-07-18,6.6,6.92,6.6,6.6,5400,5.968263,54.2043486619,3,2012
2012-07-19,6.89,6.91,6.26,6.4,13200,5.787407,47.7412630354,3,2012
2012-07-20,6.79,6.79,5.71,5.95,16900,5.38048,37.0398090693,3,2012
2012-07-23,6.05,6.5,5.62,6.1,15500,5.516122,41.7286582416,3,2012
2012-07-24,6.14,6.14,6.14,6.14,1300,5.552293,42.9488157716,3,2012
2012-07-25,6.1,6.34,6.1,6.11,1000,5.525165,42.2345324308,3,2012
2012-07-26,6.24,6.35,6.24,6.35,5300,5.742193,49.4741500822,3,2012
2012-07-27,6.14,6.77,6.13,6.7,5700,6.058691,57.7835383542,3,2012
2012-07-30,6.64,6.64,6.23,6.23,1600,5.633679,46.6812437095,3,2012
2012-07-31,6.58,6.58,6.56,6.56,300,5.932092,53.4448399022,3,2012
2012-08-01,6.56,6.7,6.29,6.55,5000,5.923049,53.2245022364,3,2012
2012-08-02,6.54,6.54,6.35,6.47,1300,5.850706,51.3989028548,3,2012
2012-08-03,6.62,6.68,6.27,6.62,5600,5.986349,54.5469583353,3,2012
2012-08-06,6.51,6.57,6.25,6.37,2000,5.760278,48.8658401207,3,2012
2012-08-07,6.51,6.51,6.21,6.21,4300,5.615593,45.5929999737,3,2012
2012-08-08,5.09,5.95,5.09,5.94,20600,5.371437,40.6457572413,3,2012
2012-08-09,5.86,6.0,5.85,5.86,2300,5.299095,39.2855481886,3,2012
2012-08-10,5.86,5.9,5.86,5.9,2200,5.335266,40.3602328948,3,2012
2012-08-13,5.88,6.18,5.88,6.13,500,5.543251,46.2515343216,3,2012
2012-08-14,6.14,6.14,5.86,5.86,700,5.299095,41.1168346313,3,2012
2012-08-15,5.86,5.86,5.86,5.86,0,5.299095,41.1168346313,3,2012
2012-08-16,6.11,6.18,6.11,6.18,1300,5.588465,48.9125908867,3,2012
2012-08-17,6.04,6.1,6.04,6.05,2400,5.470908,46.2345720968,3,2012
2012-08-20,6.05,6.05,6.05,6.05,0,5.470908,46.2345720968,3,2012
2012-08-21,6.05,6.05,6.05,6.05,0,5.470908,46.2345720968,3,2012
2012-08-22,6.09,6.35,6.08,6.35,4100,5.742193,53.5626738928,3,2012
