Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-08-06,6.1,6.248,6.0,6.0,1764100,6.0,,3,2014
2014-08-07,6.01,6.03,6.0,6.01,271000,6.01,,3,2014
2014-08-08,6.1,6.15,6.0,6.08,52100,6.08,,3,2014
2014-08-11,6.14,6.59,6.06,6.555,123400,6.555,,3,2014
2014-08-12,6.8,6.8,6.5,6.79,59100,6.79,,3,2014
2014-08-13,6.56,6.68,6.4,6.6,58700,6.6,,3,2014
2014-08-14,6.21,6.75,6.21,6.75,63800,6.75,,3,2014
2014-08-15,6.47,6.78,6.39,6.54,66600,6.54,,3,2014
2014-08-18,6.39,6.681,6.39,6.4,31000,6.4,,3,2014
2014-08-19,6.4,6.48,6.0,6.22,77600,6.22,,3,2014
2014-08-20,6.2,6.42,6.09,6.19,39400,6.19,,3,2014
2014-08-21,6.09,6.29,6.09,6.11,10800,6.11,,3,2014
2014-08-22,6.12,6.3,6.12,6.15,44000,6.15,,3,2014
2014-08-25,6.14,6.56,6.12,6.16,319900,6.16,,3,2014
2014-08-26,6.15,6.5,6.0,6.09,46500,6.09,52.380952381,3,2014
2014-08-27,6.12,6.46,6.12,6.17,23000,6.17,54.4569871545,3,2014
2014-08-28,6.16,6.16,6.01,6.1,6600,6.1,52.3080905404,3,2014
2014-08-29,6.14,6.25,6.14,6.15,33100,6.15,53.7130918562,3,2014
2014-09-02,6.08,6.22,5.63,5.68,137700,5.68,41.3742435787,3,2014
2014-09-03,5.93,5.98,5.69,5.9,66300,5.9,47.4584866442,3,2014
2014-09-04,5.97,5.97,5.31,5.37,54300,5.37,37.3909637136,3,2014
2014-09-05,5.41,6.05,5.41,5.97,50700,5.97,50.2559645903,3,2014
2014-09-08,6.02,6.5,5.75,6.09,70900,6.09,52.3642085536,3,2014
2014-09-09,6.09,6.33,6.09,6.29,195300,6.29,55.7316973178,3,2014
2014-09-10,6.5,7.38,6.25,7.0,153300,7.0,65.1502722325,3,2014
2014-09-11,7.41,7.48,6.64,6.7,68100,6.7,59.3995418044,3,2014
2014-09-12,6.99,7.58,6.71,7.23,156100,7.23,65.2374550512,3,2014
2014-09-15,7.23,7.55,6.158,6.51,138900,6.51,53.8991113601,3,2014
2014-09-16,6.2,6.8,5.94,6.04,51300,6.04,48.0306877356,3,2014
2014-09-17,6.04,6.2,5.75,6.1,39400,6.1,48.7971174581,3,2014
2014-09-18,6.14,6.3,6.01,6.208,55100,6.208,50.2202178843,3,2014
2014-09-19,6.2,6.4,6.01,6.06,41300,6.06,48.241496914,3,2014
2014-09-22,6.02,6.46,5.81,6.09,56500,6.09,48.6828767501,3,2014
2014-09-23,5.88,6.24,5.8,5.91,39100,5.91,46.1404494907,3,2014
2014-09-24,5.85,6.29,5.815,5.87,26900,5.87,45.5708992095,3,2014
2014-09-25,6.07,6.07,5.75,5.77,24100,5.77,44.1051350511,3,2014
2014-09-26,5.9,6.024,5.86,6.0,10500,6.0,48.2296257063,3,2014
2014-09-29,5.9,5.94,5.85,5.85,1200,5.85,45.8532419968,3,2014
2014-09-30,5.89,6.01,5.77,5.77,25600,5.77,44.5913089676,3,2014
2014-10-01,5.951,5.951,5.75,5.75,9600,5.75,44.2633382151,4,2014
2014-10-02,5.75,6.03,5.48,5.57,62400,5.57,41.3178973985,4,2014
2014-10-03,5.605,5.605,5.3,5.32,13300,5.32,37.5777470359,4,2014
2014-10-06,5.38,5.44,5.2,5.42,11100,5.42,39.9204757936,4,2014
2014-10-07,5.4,5.44,4.73,4.82,19600,4.82,32.129057959,4,2014
2014-10-08,4.95,5.18,4.95,4.96,4900,4.96,35.302076411,4,2014
2014-10-09,5.0,5.27,4.84,4.91,10100,4.91,34.6785197486,4,2014
2014-10-10,4.939,5.04,4.91,4.91,3700,4.91,34.6785197486,4,2014
2014-10-13,4.94,4.94,4.55,4.75,9700,4.75,32.5450800948,4,2014
2014-10-14,4.8,4.8,4.6,4.6,3600,4.6,30.6418522392,4,2014
2014-10-15,4.6,4.65,4.14,4.42,8200,4.42,28.4888416705,4,2014
2014-10-16,4.25,4.33,4.1,4.17,9900,4.17,25.7795336008,4,2014
2014-10-17,4.31,4.669,4.25,4.266,13500,4.266,28.5880091508,4,2014
2014-10-20,4.47,4.63,4.455,4.63,5200,4.63,38.1452943648,4,2014
2014-10-21,4.64,4.7,4.64,4.7,1000,4.7,39.813478511,4,2014
2014-10-22,4.78,4.8,4.29,4.38,13500,4.38,35.1469349488,4,2014
2014-10-23,4.42,4.75,4.42,4.541,6200,4.541,39.0196512667,4,2014
2014-10-24,4.58,5.2,4.5,4.55,35800,4.55,39.2380841181,4,2014
2014-10-27,5.11,5.11,4.57,4.68,6000,4.68,42.4450634226,4,2014
2014-10-28,4.68,4.69,4.66,4.66,3400,4.66,42.0771191705,4,2014
2014-10-29,4.69,4.72,4.5,4.521,4600,4.521,39.5134095678,4,2014
2014-10-30,4.5,4.509,4.5,4.5,1300,4.5,39.1255518072,4,2014
2014-10-31,4.57,4.61,4.51,4.566,3400,4.566,41.0829461357,4,2014
2014-11-03,4.59,4.6,4.21,4.26,8300,4.26,35.3996032673,4,2014
2014-11-04,4.36,4.66,4.35,4.36,900,4.36,38.3987325152,4,2014
2014-11-05,4.64,4.64,4.55,4.63,7600,4.63,45.7253791027,4,2014
2014-11-06,4.473,4.67,4.47,4.67,4000,4.67,46.7360959412,4,2014
2014-11-07,4.54,4.64,4.463,4.61,3200,4.61,45.3712324366,4,2014
2014-11-10,4.589,4.589,4.4,4.4,2800,4.4,40.8722148539,4,2014
2014-11-11,4.41,4.432,4.4,4.4,4700,4.4,40.8722148539,4,2014
2014-11-12,4.53,4.6,4.35,4.38,7300,4.38,40.4294077686,4,2014
2014-11-13,4.33,4.33,4.155,4.21,5800,4.21,36.7816865698,4,2014
2014-11-14,4.21,4.26,4.15,4.19,4700,4.19,36.3659814928,4,2014
2014-11-17,4.57,4.59,4.25,4.25,10900,4.25,38.6076624226,4,2014
2014-11-18,4.46,4.68,4.43,4.516,5400,4.516,47.4466046787,4,2014
