Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,17.219999,17.27,16.66,17.0,167400,17.0,,1,2012
2012-01-04,16.860001,17.059999,16.719999,16.969999,148700,16.969999,,1,2012
2012-01-05,16.83,17.15,16.83,17.030001,227400,17.030001,,1,2012
2012-01-06,16.969999,17.110001,16.959999,17.02,279700,17.02,,1,2012
2012-01-09,17.07,17.27,16.92,17.110001,142000,17.110001,,1,2012
2012-01-10,17.24,17.790001,17.24,17.77,151800,17.77,,1,2012
2012-01-11,17.709999,17.809999,17.549999,17.75,214700,17.75,,1,2012
2012-01-12,17.73,17.82,17.360001,17.5,161600,17.5,,1,2012
2012-01-13,17.23,17.6,17.030001,17.440001,125500,17.440001,,1,2012
2012-01-17,17.65,17.780001,17.43,17.469999,85400,17.469999,,1,2012
2012-01-18,17.450001,17.450001,17.139999,17.290001,109200,17.290001,,1,2012
2012-01-19,17.280001,17.360001,17.040001,17.23,64300,17.23,,1,2012
2012-01-20,17.219999,17.34,17.059999,17.139999,100500,17.139999,,1,2012
2012-01-23,17.129999,17.139999,16.799999,16.879999,60600,16.879999,,1,2012
2012-01-24,16.77,17.139999,16.700001,17.139999,114200,17.139999,53.3980323311,1,2012
2012-01-25,17.17,17.4,16.940001,17.23,123300,17.23,55.4921505603,1,2012
2012-01-26,17.370001,17.370001,16.92,17.25,174500,17.25,55.9656892738,1,2012
2012-01-27,17.23,17.610001,17.200001,17.379999,254600,17.379999,59.0178560027,1,2012
2012-01-30,17.200001,17.540001,17.09,17.110001,136800,17.110001,51.0962806344,1,2012
2012-01-31,17.23,17.23,16.9,16.969999,123400,16.969999,47.5335212406,1,2012
2012-02-01,17.07,17.4,16.969999,17.34,178000,17.34,56.2213777037,1,2012
2012-02-02,17.42,17.68,17.190001,17.559999,125300,17.559999,60.418271392,1,2012
2012-02-03,17.790001,18.32,17.790001,18.27,109900,18.27,70.3104582162,1,2012
2012-02-06,18.23,18.34,18.1,18.34,100500,18.34,71.0779098097,1,2012
2012-02-07,18.26,18.26,18.030001,18.120001,127400,18.120001,65.3596417477,1,2012
2012-02-08,18.1,18.1,17.57,17.85,139300,17.85,59.0778453088,1,2012
2012-02-09,17.85,17.85,17.5,17.719999,111400,17.719999,56.2734222637,1,2012
2012-02-10,17.51,17.6,17.309999,17.35,79600,17.35,49.125721503,1,2012
2012-02-13,17.48,17.6,17.09,17.110001,103800,17.110001,45.1221601971,1,2012
2012-02-14,17.08,17.1,16.58,16.940001,136500,16.940001,42.4812192696,1,2012
2012-02-15,16.99,17.33,16.889999,17.08,81400,17.08,45.3195411788,1,2012
2012-02-16,17.07,17.35,16.91,16.99,79800,16.99,43.8224411994,1,2012
2012-02-17,16.99,17.08,16.629999,16.66,67800,16.66,38.7657173343,1,2012
2012-02-21,16.700001,16.700001,16.290001,16.33,55500,16.33,34.4808680946,1,2012
2012-02-22,16.33,16.370001,15.89,16.02,68300,16.02,31.0129901767,1,2012
2012-02-23,16.040001,16.290001,15.85,16.23,80100,16.23,35.7286788013,1,2012
2012-02-24,16.24,16.24,15.93,16.0,82000,16.0,33.0629689685,1,2012
2012-02-27,15.54,15.61,15.14,15.29,407800,15.29,26.4920431189,1,2012
2012-02-28,15.22,15.6,15.2,15.42,505700,15.42,29.2640517836,1,2012
2012-02-29,15.49,15.84,15.27,15.27,186600,15.27,27.9541489069,1,2012
2012-03-01,15.3,15.55,15.26,15.31,189000,15.31,28.8685146205,1,2012
2012-03-02,15.25,15.44,14.87,14.89,298900,14.89,25.2455085431,1,2012
2012-03-05,14.85,15.03,14.65,14.71,240500,14.71,23.8632715698,1,2012
2012-03-06,14.57,14.65,14.22,14.32,289300,14.32,21.1599936314,1,2012
2012-03-07,14.32,14.64,14.32,14.49,234200,14.49,25.1408334413,1,2012
2012-03-08,14.55,14.93,14.42,14.65,267100,14.65,28.7854554777,1,2012
2012-03-09,15.55,16.389999,14.71,16.0,434500,16.0,50.6274235968,1,2012
2012-03-12,16.0,16.0,15.78,15.83,195300,15.83,48.6057521731,1,2012
2012-03-13,15.91,16.049999,15.78,16.049999,305900,16.049999,51.3151634289,1,2012
2012-03-14,15.94,16.030001,15.61,15.73,161500,15.73,47.4008204786,1,2012
2012-03-15,15.78,15.78,15.5,15.75,238300,15.75,47.6694997125,1,2012
2012-03-16,15.77,15.86,15.47,15.5,382700,15.5,44.6025310918,1,2012
2012-03-19,15.45,15.7,15.28,15.66,157100,15.66,46.9547612008,1,2012
2012-03-20,15.53,15.64,15.42,15.5,104900,15.5,44.9015397194,1,2012
2012-03-21,15.48,15.73,15.37,15.61,98400,15.61,46.6294270264,1,2012
2012-03-22,15.49,15.58,15.36,15.52,187800,15.52,45.3756134482,1,2012
2012-03-23,15.47,15.62,15.26,15.58,104400,15.58,46.4101570483,1,2012
2012-03-26,15.73,16.309999,15.65,16.26,175600,16.26,56.471920019,1,2012
2012-03-27,16.24,16.25,16.0,16.08,182000,16.08,53.6029339772,1,2012
2012-03-28,16.040001,16.34,16.030001,16.07,320800,16.07,53.4404993682,1,2012
2012-03-29,15.98,16.219999,15.85,16.0,157400,16.0,52.2469680424,1,2012
2012-03-30,16.110001,16.110001,15.92,16.0,179800,16.0,52.2469680424,1,2012
2012-04-02,15.95,16.280001,15.76,16.27,195500,16.27,56.5845047647,2,2012
2012-04-03,16.219999,16.32,16.0,16.139999,103400,16.139999,54.0393178385,2,2012
2012-04-04,15.96,16.0,15.63,15.77,129600,15.77,47.4917649544,2,2012
2012-04-05,15.68,15.83,15.64,15.74,76900,15.74,46.9945750841,2,2012
2012-04-09,15.49,15.55,15.11,15.14,123900,15.14,38.3477198675,2,2012
2012-04-10,15.13,15.13,14.65,14.66,153100,14.66,33.1005998853,2,2012
2012-04-11,14.81,14.88,14.63,14.75,126000,14.75,34.8992770287,2,2012
2012-04-12,14.73,14.99,14.55,14.64,90400,14.64,33.7064463003,2,2012
2012-04-13,14.57,14.57,14.22,14.24,129600,14.24,29.727462123,2,2012
2012-04-16,14.24,14.29,13.98,14.08,118600,14.08,28.2889272366,2,2012
2012-04-17,14.17,14.46,14.17,14.42,81900,14.42,35.4384956055,2,2012
2012-04-18,14.28,14.28,14.04,14.12,77000,14.12,32.3716916151,2,2012
2012-04-19,14.17,14.37,13.9,13.96,129300,13.96,30.8388666586,2,2012
2012-04-20,14.05,14.36,14.02,14.3,99100,14.3,37.6005039171,2,2012
2012-04-23,14.1,14.19,13.96,14.02,62900,14.02,34.6004102585,2,2012
2012-04-24,14.02,14.33,13.96,14.33,99900,14.33,40.2815804431,2,2012
2012-04-25,14.51,14.66,14.44,14.65,134300,14.65,45.5406420677,2,2012
2012-04-26,14.62,14.67,14.47,14.52,71600,14.52,43.8511393552,2,2012
2012-04-27,14.5,14.55,13.88,14.46,190400,14.46,43.0571806503,2,2012
2012-04-30,14.44,14.5,14.06,14.06,69000,14.06,38.1040317129,2,2012
2012-05-01,14.07,14.15,13.76,13.82,153200,13.82,35.4676734196,2,2012
2012-05-02,13.71,13.99,13.68,13.99,84000,13.99,38.7028369675,2,2012
2012-05-03,14.01,14.07,13.77,13.83,146500,13.83,36.8313274752,2,2012
2012-05-04,13.71,14.49,13.62,14.32,341300,14.32,45.5198910256,2,2012
2012-05-07,14.3,14.55,14.26,14.46,161000,14.46,47.7319620566,2,2012
2012-05-08,14.38,15.32,14.38,15.18,182600,15.18,57.3280232104,2,2012
2012-05-09,15.01,15.35,15.01,15.17,223000,15.17,57.1710285067,2,2012
2012-05-10,15.31,15.74,15.15,15.21,254500,15.21,57.6703808253,2,2012
2012-05-11,15.07,15.24,14.99,15.15,91000,15.15,56.6042887727,2,2012
2012-05-14,14.99,15.11,14.89,14.94,100900,14.94,52.9171374844,2,2012
2012-05-15,14.93,15.04,14.81,14.92,73000,14.92,52.5659479986,2,2012
2012-05-16,14.96,15.09,14.66,14.66,82300,14.66,48.0971328966,2,2012
2012-05-17,14.62,14.67,14.39,14.39,94000,14.39,43.9213433814,2,2012
2012-05-18,14.36,14.54,13.88,13.91,93800,13.91,37.661305788,2,2012
2012-05-21,13.99,14.36,13.87,13.93,242200,13.93,38.0574595468,2,2012
2012-05-22,13.87,14.26,13.83,13.91,96800,13.91,37.7987761815,2,2012
2012-05-23,13.77,13.9,13.67,13.87,55000,13.87,37.2533837424,2,2012
2012-05-24,13.86,13.98,13.62,13.77,43300,13.77,35.8603223531,2,2012
2012-05-25,13.73,13.81,13.67,13.7,52400,13.7,34.8771531173,2,2012
2012-05-29,14.12,15.25,14.12,14.91,393200,14.91,56.8828843987,2,2012
2012-05-30,14.75,15.04,14.55,14.98,455200,14.98,57.7718838404,2,2012
2012-05-31,14.94,14.96,14.37,14.42,174600,14.42,49.0575820317,2,2012
2012-06-01,14.19,14.94,13.5,14.08,115400,14.08,44.6535761816,2,2012
2012-06-04,14.08,14.11,13.73,13.86,104400,13.86,42.0246733051,2,2012
2012-06-05,13.77,13.94,13.65,13.77,86000,13.77,40.9622284856,2,2012
2012-06-06,13.84,13.92,13.75,13.84,98500,13.84,42.1864827983,2,2012
2012-06-07,14.04,14.07,13.84,13.86,170700,13.86,42.5530262633,2,2012
2012-06-08,13.8,14.08,13.8,13.97,102700,13.97,44.6322459086,2,2012
2012-06-11,14.33,14.42,13.57,13.73,349200,13.73,41.134096036,2,2012
2012-06-12,13.74,13.82,13.3,13.5,393300,13.5,38.055790678,2,2012
2012-06-13,13.43,13.66,13.36,13.5,207000,13.5,38.055790678,2,2012
2012-06-14,13.47,13.6,13.38,13.57,161200,13.57,39.6499329146,2,2012
2012-06-15,13.5,13.85,13.42,13.64,369900,13.64,41.2774149508,2,2012
2012-06-18,13.56,14.48,13.56,14.41,275400,14.41,55.4949698661,2,2012
2012-06-19,14.49,15.01,14.46,15.0,177700,15.0,62.9058692516,2,2012
2012-06-20,15.05,15.27,14.94,15.06,141800,15.06,63.5702273009,2,2012
2012-06-21,15.06,15.14,14.85,15.02,209200,15.02,62.7631866462,2,2012
2012-06-22,15.1,15.37,14.87,15.3,1012100,15.3,66.0155879928,2,2012
2012-06-25,15.07,15.21,14.58,14.73,146500,14.73,55.4061761101,2,2012
2012-06-26,14.72,14.97,14.65,14.67,104800,14.67,54.4148347925,2,2012
2012-06-27,14.68,15.06,14.52,14.97,144100,14.97,58.4207047009,2,2012
2012-06-28,14.81,14.91,14.32,14.69,131000,14.69,53.6793543084,2,2012
2012-06-29,14.96,15.18,14.87,15.15,171100,15.15,59.4953564582,2,2012
2012-07-02,15.08,15.59,14.96,15.58,148000,15.58,64.0406050108,3,2012
2012-07-03,15.54,15.84,15.46,15.79,93000,15.79,66.0446024608,3,2012
2012-07-05,15.73,15.87,15.47,15.5,119400,15.5,60.9897871462,3,2012
2012-07-06,15.33,15.42,15.01,15.02,101800,15.02,53.6680860888,3,2012
2012-07-09,14.99,15.06,14.61,14.64,229300,14.64,48.6852216795,3,2012
2012-07-10,14.77,14.78,14.07,14.07,207000,14.07,42.335641023,3,2012
2012-07-11,14.12,14.81,14.04,14.67,230300,14.67,49.7629739658,3,2012
2012-07-12,14.64,15.09,14.49,14.91,190600,14.91,52.4038149008,3,2012
2012-07-13,14.99,15.09,14.84,14.92,103400,14.92,52.5158207489,3,2012
2012-07-16,14.94,14.94,14.54,14.58,106300,14.58,48.34975224,3,2012
2012-07-17,14.68,14.83,14.46,14.73,91600,14.73,50.2257736646,3,2012
2012-07-18,14.68,14.85,14.33,14.43,113900,14.43,46.5816357964,3,2012
2012-07-19,14.47,14.56,14.31,14.43,74100,14.43,46.5816357964,3,2012
2012-07-20,14.32,14.35,14.17,14.23,98600,14.23,44.1073102118,3,2012
2012-07-23,14.0,14.18,13.7,14.08,103100,14.08,42.2928197145,3,2012
2012-07-24,14.15,14.17,13.67,13.74,91700,13.74,38.4333736705,3,2012
2012-07-25,13.87,14.11,13.5,13.62,134700,13.62,37.1449889131,3,2012
2012-07-26,13.81,13.83,13.49,13.77,100900,13.77,39.8589449528,3,2012
2012-07-27,13.88,14.56,13.82,14.48,118000,14.48,50.7079836506,3,2012
2012-07-30,14.51,14.74,14.19,14.47,135600,14.47,50.5696154792,3,2012
2012-07-31,14.46,14.82,14.41,14.61,375300,14.61,52.5228622195,3,2012
2012-08-01,14.7,14.81,14.1,14.1,219600,14.1,45.4735210976,3,2012
2012-08-02,14.01,14.42,13.75,14.31,212700,14.31,48.5364284929,3,2012
2012-08-03,14.03,14.54,13.88,14.37,148000,14.37,49.4108096316,3,2012
2012-08-06,14.4,14.79,14.4,14.54,88300,14.54,51.9042004815,3,2012
2012-08-07,14.58,14.77,14.41,14.63,134700,14.63,53.2187670037,3,2012
2012-08-08,14.55,14.65,14.5,14.58,162400,14.58,52.3625024011,3,2012
2012-08-09,14.55,14.68,14.53,14.55,89600,14.55,51.8237269997,3,2012
2012-08-10,14.59,14.82,14.55,14.79,131600,14.79,55.7466367658,3,2012
2012-08-13,14.8,14.88,14.55,14.88,117000,14.88,57.1555543789,3,2012
2012-08-14,15.0,15.0,14.72,14.81,112300,14.81,55.6709585736,3,2012
2012-08-15,14.81,15.4,14.81,15.35,166400,15.35,63.5388827066,3,2012
2012-08-16,15.3,15.37,14.94,15.26,128900,15.26,61.5772156282,3,2012
2012-08-17,15.16,15.53,15.15,15.5,84300,15.5,64.7064261577,3,2012
2012-08-20,15.44,15.44,15.11,15.27,101600,15.27,59.6894205126,3,2012
2012-08-21,15.3,15.8,15.22,15.42,95600,15.42,61.7712055607,3,2012
2012-08-22,15.45,15.45,14.9,15.0,167200,15.0,53.4479934273,3,2012
2012-08-23,14.94,14.99,14.81,14.81,111300,14.81,50.1555887291,3,2012
2012-08-24,14.74,14.94,14.74,14.85,226500,14.85,50.8421288904,3,2012
2012-08-27,14.89,15.06,14.75,15.0,98900,15.0,53.4324229515,3,2012
2012-08-28,15.0,15.2,14.9,15.07,112400,15.07,54.633801455,3,2012
2012-08-29,15.1,15.2,14.9,15.01,176600,15.01,53.3630095963,3,2012
2012-08-30,14.95,15.01,14.73,14.82,127700,14.82,49.4411787823,3,2012
2012-08-31,14.97,14.97,14.69,14.73,81000,14.73,47.654581016,3,2012
2012-09-04,14.7,14.92,14.52,14.81,92900,14.81,49.4047495869,3,2012
2012-09-05,14.85,14.88,14.49,14.64,76600,14.64,45.8932424112,3,2012
2012-09-06,14.71,15.03,14.7,15.02,158300,15.02,53.7982554566,3,2012
2012-09-07,15.1,15.1,14.94,15.02,75700,15.02,53.7982554566,3,2012
2012-09-10,14.98,15.0,14.82,14.95,76800,14.95,52.1698793388,3,2012
2012-09-11,14.94,15.0,14.68,14.98,86900,14.98,52.8288572045,3,2012
2012-09-12,14.98,14.98,14.25,14.38,124900,14.38,40.7395748189,3,2012
2012-09-13,14.42,15.0,14.4,14.97,123100,14.97,52.2991284615,3,2012
2012-09-14,15.0,15.1,14.85,14.88,110400,14.88,50.6752722412,3,2012
2012-09-17,14.82,14.95,14.6,14.73,80300,14.73,48.0002345002,3,2012
2012-09-18,14.69,15.01,14.67,14.98,97400,14.98,52.5006718754,3,2012
2012-09-19,15.01,15.1,14.69,14.81,173100,14.81,49.3715417545,3,2012
2012-09-20,14.78,14.95,14.66,14.79,68500,14.79,49.0015142386,3,2012
2012-09-21,14.97,15.06,14.61,14.83,378900,14.83,49.8116814371,3,2012
