Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.24,2.3,2.21,2.25,8400,22.5,,1,2012
2012-01-04,2.27,2.27,2.2,2.2,8100,22.0,,1,2012
2012-01-05,2.18,2.21,2.06,2.11,7400,21.100001,,1,2012
2012-01-06,2.15,2.15,2.05,2.05,5100,20.5,,1,2012
2012-01-09,2.07,2.22,2.07,2.18,3100,21.8,,1,2012
2012-01-10,2.22,2.22,2.1,2.12,3800,21.200001,,1,2012
2012-01-11,2.09,2.18,2.04,2.18,4100,21.8,,1,2012
2012-01-12,2.2,2.2,2.01,2.08,3400,20.8,,1,2012
2012-01-13,2.05,2.1,2.03,2.1,2300,21.0,,1,2012
2012-01-17,2.1,2.2,2.04,2.1,4900,21.0,,1,2012
2012-01-18,2.06,2.14,2.05,2.11,4000,21.100001,,1,2012
2012-01-19,2.14,2.18,2.11,2.12,4900,21.200001,,1,2012
2012-01-20,2.1,2.15,2.09,2.1,3200,21.0,,1,2012
2012-01-23,2.09,2.1,1.99,2.06,12200,20.600001,,1,2012
2012-01-24,2.05,2.08,1.96,2.0,20800,20.0,32.3943661972,1,2012
2012-01-25,2.0,2.1,2.0,2.06,5400,20.600001,38.0337722694,1,2012
2012-01-26,2.03,2.1,2.03,2.04,2100,20.4,36.9279865321,1,2012
2012-01-27,2.1,2.1,1.99,2.04,8700,20.4,36.9279865321,1,2012
2012-01-30,2.05,2.1,2.0,2.01,5100,20.100001,35.1501735916,1,2012
2012-01-31,2.05,2.05,1.96,1.98,6900,19.8,33.4175940119,1,2012
2012-02-01,2.0,2.02,1.97,1.98,5000,19.8,33.4175940119,1,2012
2012-02-02,1.97,2.02,1.97,2.02,6900,20.200001,38.1331354443,1,2012
2012-02-03,2.0,2.01,1.96,1.96,5500,19.600001,34.2183658824,1,2012
2012-02-06,1.98,1.99,1.8,1.9,23700,19.0,30.8118750667,1,2012
2012-02-07,1.86,2.03,1.86,1.97,14500,19.700001,38.5036830279,1,2012
2012-02-08,1.95,2.03,1.95,2.0,11600,20.0,41.5050629949,1,2012
2012-02-09,2.0,2.0,1.97,1.97,4500,19.700001,39.432485815,1,2012
2012-02-10,1.97,2.0,1.91,1.91,4600,19.100001,35.6032237848,1,2012
2012-02-13,1.94,2.0,1.92,1.97,6100,19.700001,41.700176832,1,2012
2012-02-14,1.97,1.99,1.94,1.94,8000,19.4,39.6773995821,1,2012
2012-02-15,1.97,1.97,1.89,1.91,6800,19.100001,37.7076051621,1,2012
2012-02-16,1.92,1.93,1.86,1.91,25700,19.100001,37.7076051621,1,2012
2012-02-17,1.91,1.96,1.85,1.93,14600,19.3,40.0102764519,1,2012
2012-02-21,1.95,1.95,1.89,1.89,7100,18.9,37.0596446454,1,2012
2012-02-22,1.88,1.9,1.81,1.85,14100,18.5,34.3329339082,1,2012
2012-02-23,1.81,1.81,1.62,1.77,44400,17.700001,29.6364005661,1,2012
2012-02-24,1.95,1.99,1.77,1.77,25700,17.700001,29.6364005661,1,2012
2012-02-27,1.75,1.87,1.75,1.83,11900,18.3,37.1184439435,1,2012
2012-02-28,1.87,1.97,1.82,1.83,7500,18.3,37.1184439435,1,2012
2012-02-29,1.83,1.87,1.83,1.86,5700,18.600001,40.7706136498,1,2012
2012-03-01,1.84,1.91,1.83,1.89,4800,18.9,44.2571834683,1,2012
2012-03-02,1.9,1.96,1.85,1.9,9400,19.0,45.410725262,1,2012
2012-03-05,1.92,2.0,1.92,1.97,15500,19.700001,52.7774905242,1,2012
2012-03-06,1.99,2.21,1.96,2.15,29900,21.5,65.6239567831,1,2012
2012-03-07,2.19,2.19,2.05,2.15,8700,21.5,65.6239567831,1,2012
2012-03-08,2.13,2.35,2.1,2.29,21400,22.9,72.3974031846,1,2012
2012-03-09,2.33,2.36,2.2,2.21,8400,22.100001,64.568183614,1,2012
2012-03-12,2.24,2.24,1.96,1.98,12400,19.8,48.3719971824,1,2012
2012-03-13,2.05,2.18,1.98,2.14,15700,21.4,56.539124246,1,2012
2012-03-14,2.14,2.18,2.1,2.16,4500,21.600001,57.4453325881,1,2012
2012-03-15,2.19,2.25,2.1,2.16,5700,21.600001,57.4453325881,1,2012
2012-03-16,2.25,2.25,2.0,2.1,6100,21.0,53.5597403807,1,2012
2012-03-19,2.15,2.15,2.05,2.08,5900,20.8,52.2900888064,1,2012
2012-03-20,2.08,2.1,1.98,1.98,11900,19.8,46.3710920281,1,2012
2012-03-21,2.01,2.05,1.95,2.05,5600,20.5,50.5875505336,1,2012
2012-03-22,2.04,2.04,1.98,2.0,2400,20.0,47.7025423428,1,2012
2012-03-23,2.0,2.03,1.98,1.99,4600,19.9,47.1237037285,1,2012
2012-03-26,2.01,2.01,1.94,1.99,3400,19.9,47.1237037285,1,2012
2012-03-27,1.96,2.06,1.94,2.04,7800,20.4,50.5997420615,1,2012
2012-03-28,1.94,1.99,1.94,1.95,5100,19.5,44.8805008545,1,2012
2012-03-29,1.91,1.96,1.9,1.93,5900,19.3,43.6984707999,1,2012
2012-03-30,1.91,2.05,1.84,2.02,10300,20.200001,50.0711241102,1,2012
2012-04-02,2.12,2.12,1.9,1.9,6000,19.0,43.0709637302,2,2012
2012-04-03,1.89,1.98,1.87,1.9,5300,19.0,43.0709637302,2,2012
2012-04-04,1.93,1.93,1.85,1.87,2800,18.700001,41.3931019268,2,2012
2012-04-05,1.82,1.99,1.82,1.89,5600,18.9,42.9876343706,2,2012
2012-04-09,1.88,1.9,1.86,1.88,5500,18.8,42.3669529942,2,2012
2012-04-10,1.88,1.88,1.75,1.81,8600,18.100001,38.2081937563,2,2012
2012-04-11,1.77,1.9,1.76,1.83,9100,18.3,40.0197827362,2,2012
2012-04-12,1.88,1.97,1.82,1.85,7300,18.5,41.8555757352,2,2012
2012-04-13,1.86,1.89,1.85,1.87,7100,18.700001,43.7109289912,2,2012
2012-04-16,1.9,1.97,1.81,1.95,5800,19.5,50.5131440594,2,2012
2012-04-17,2.0,2.01,1.9,1.94,7000,19.4,49.7045736018,2,2012
2012-04-18,1.92,1.93,1.88,1.9,800,19.0,46.4983370236,2,2012
2012-04-19,1.88,1.93,1.87,1.87,1400,18.700001,44.1957088459,2,2012
2012-04-20,1.87,1.92,1.8,1.85,3300,18.5,42.6783406974,2,2012
2012-04-23,1.8,1.82,1.75,1.77,6100,17.700001,37.179662951,2,2012
2012-04-24,1.77,1.86,1.77,1.86,3000,18.600001,45.6616049413,2,2012
2012-04-25,1.82,1.84,1.75,1.79,8300,17.9,41.0222716233,2,2012
2012-04-26,1.84,2.02,1.8,1.97,8500,19.700001,53.9725728973,2,2012
