Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-02-06,12.5,12.66,11.82,12.0,2687100,12.0,,1,2014
2014-02-07,12.0,12.07,12.0,12.0,152300,12.0,,1,2014
2014-02-10,12.0,12.28,12.0,12.09,68700,12.09,,1,2014
2014-02-11,12.0,12.2,12.0,12.18,84200,12.18,,1,2014
2014-02-12,12.4,12.4,12.1,12.22,40100,12.22,,1,2014
2014-02-13,12.25,12.25,12.0,12.02,178700,12.02,,1,2014
2014-02-14,12.0,12.15,12.0,12.1,38600,12.1,,1,2014
2014-02-18,12.0,12.1,12.0,12.065,21200,12.065,,1,2014
2014-02-19,12.03,12.1,12.0,12.05,26900,12.05,,1,2014
2014-02-20,12.2,12.4,12.0,12.1,76100,12.1,,1,2014
2014-02-21,12.06,12.28,12.02,12.09,26400,12.09,,1,2014
2014-02-24,12.15,12.38,12.09,12.38,79100,12.38,,1,2014
2014-02-25,12.35,13.08,12.3,12.63,208600,12.63,,1,2014
2014-02-26,12.75,13.17,12.7,12.7,88800,12.7,,1,2014
2014-02-27,12.74,13.67,12.7,13.17,92300,13.17,84.6153846154,1,2014
2014-02-28,13.4,13.54,12.7,12.87,32400,12.87,71.0355368743,1,2014
2014-03-03,13.69,13.924,12.27,13.04,255600,13.04,73.6192541429,1,2014
2014-03-04,13.31,15.51,13.06,15.13,215700,15.13,87.904464703,1,2014
2014-03-05,15.25,18.0,15.25,16.549999,166800,16.549999,91.3368829055,1,2014
2014-03-06,17.120001,17.690001,14.26,15.6,195200,15.6,75.8326249452,1,2014
2014-03-07,15.6,15.63,14.26,14.99,125800,14.99,67.8664259938,1,2014
2014-03-10,15.27,19.1,15.27,18.83,145900,18.83,81.2322069193,1,2014
2014-03-11,18.209999,19.0,17.809999,18.610001,96100,18.610001,79.1996955464,1,2014
2014-03-12,18.440001,18.6,15.41,17.809999,75000,17.809999,72.1318529351,1,2014
2014-03-13,17.99,18.805,16.57,18.030001,41700,18.030001,72.8494203411,1,2014
2014-03-14,18.190001,19.85,17.700001,18.09,52000,18.09,73.0532014178,1,2014
2014-03-17,18.950001,18.950001,17.546,18.43,43200,18.43,74.2334165309,1,2014
2014-03-18,18.49,18.51,16.58,17.41,82800,17.41,65.0313994789,1,2014
2014-03-19,17.780001,18.290001,17.35,17.52,44700,17.52,65.5276845787,1,2014
2014-03-20,17.370001,17.66,16.879999,17.129999,17000,17.129999,62.159335697,1,2014
2014-03-21,17.129999,17.49,15.71,15.95,110000,15.95,53.2417873258,1,2014
2014-03-24,16.186001,16.66,15.35,16.01,44000,16.01,53.6062498536,1,2014
2014-03-25,16.4,16.4,14.291,15.4,87400,15.4,49.3911542927,1,2014
2014-03-26,15.34,16.59,14.17,14.36,77100,14.36,43.1600862928,1,2014
2014-03-27,14.3,15.11,12.15,13.01,101300,13.01,36.6895432234,1,2014
2014-03-28,12.98,13.38,12.16,12.32,54700,12.32,33.8927209504,1,2014
2014-03-31,12.77,14.718,12.61,13.99,415000,13.99,44.8503667316,1,2014
2014-04-01,14.08,14.66,13.13,14.0,61600,14.0,44.9092531103,2,2014
2014-04-02,13.97,14.16,13.61,13.97,73900,13.97,44.7548633856,2,2014
2014-04-03,13.95,13.95,13.33,13.7,22600,13.7,43.3117016672,2,2014
2014-04-04,13.65,14.13,12.79,12.79,41400,12.79,38.7736095374,2,2014
2014-04-07,12.68,12.95,12.2,12.78,86600,12.78,38.725590947,2,2014
2014-04-08,12.83,12.95,12.5,12.79,80100,12.79,38.8072037242,2,2014
2014-04-09,12.83,12.9,12.32,12.57,48600,12.57,37.6200531846,2,2014
2014-04-10,12.65,12.9,12.19,12.3,43200,12.3,36.1581279983,2,2014
2014-04-11,12.2,12.2,10.751,11.26,65800,11.26,31.1386377908,2,2014
2014-04-14,11.41,12.17,10.62,11.12,54700,11.12,30.5243394701,2,2014
2014-04-15,11.12,11.16,9.955,10.13,69800,10.13,26.5374775044,2,2014
2014-04-16,10.22,10.22,9.8,10.16,31500,10.16,26.8492762015,2,2014
2014-04-17,10.09,10.09,9.65,9.84,36400,9.84,25.6010874092,2,2014
2014-04-21,9.62,10.87,9.54,10.72,32900,10.72,34.6046054231,2,2014
