Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-02-12,15.5,16.440001,12.75,12.83,5948300,12.83,,1,2014
2014-02-13,12.51,13.48,12.47,13.22,487400,13.22,,1,2014
2014-02-14,13.2,13.59,12.76,12.8,107200,12.8,,1,2014
2014-02-18,13.0,13.07,12.6,12.94,81700,12.94,,1,2014
2014-02-19,12.71,12.95,11.74,12.14,273300,12.14,,1,2014
2014-02-20,12.0,12.05,11.55,11.65,244400,11.65,,1,2014
2014-02-21,11.61,12.3,11.41,12.05,283700,12.05,,1,2014
2014-02-24,12.2,12.45,11.84,12.05,124400,12.05,,1,2014
2014-02-25,12.26,13.5,12.05,13.35,406600,13.35,,1,2014
2014-02-26,13.5,14.32,13.5,14.0,425100,14.0,,1,2014
2014-02-27,14.0,14.47,13.57,13.89,220500,13.89,,1,2014
2014-02-28,13.95,14.4,13.06,13.76,130200,13.76,,1,2014
2014-03-03,13.72,13.95,13.38,13.48,63500,13.48,,1,2014
2014-03-04,13.7,13.9,13.22,13.26,114800,13.26,,1,2014
2014-03-05,13.49,14.96,13.45,14.79,471400,14.79,64.2857142857,1,2014
2014-03-06,14.97,15.1,14.15,14.49,295700,14.49,61.3943028486,1,2014
2014-03-07,14.82,15.09,14.11,14.92,164200,14.92,63.9005715518,1,2014
2014-03-10,15.1,15.34,14.66,14.89,457400,14.89,63.5903976489,1,2014
2014-03-11,15.01,15.09,13.852,14.17,118000,14.17,56.5018232865,1,2014
2014-03-12,14.23,14.55,13.73,14.1,123900,14.1,55.8499838413,1,2014
2014-03-13,14.23,14.89,13.54,14.78,245900,14.78,60.6046369623,1,2014
2014-03-14,14.69,14.87,14.16,14.5,93700,14.5,57.8423566245,1,2014
2014-03-17,14.57,14.6,14.05,14.11,114200,14.11,54.1408524256,1,2014
2014-03-18,14.07,14.49,14.0,14.33,98200,14.33,55.8569324432,1,2014
2014-03-19,14.41,14.76,14.28,14.48,138000,14.48,57.0374034877,1,2014
2014-03-20,15.31,15.48,14.5,14.7,313000,14.7,58.7785380046,1,2014
2014-03-21,14.7,14.83,14.19,14.6,167100,14.6,57.6351561876,1,2014
2014-03-24,14.69,14.97,13.1,13.61,173900,13.61,47.7352405244,1,2014
2014-03-25,13.75,14.05,13.37,13.55,74500,13.55,47.2060134119,1,2014
