Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,11.63,11.8,11.57,11.68,291300,11.68,,1,2012
2012-01-04,11.58,11.75,11.5,11.64,219100,11.64,,1,2012
2012-01-05,11.58,11.7,11.4,11.53,197500,11.53,,1,2012
2012-01-06,11.52,11.63,11.31,11.45,175800,11.45,,1,2012
2012-01-09,11.52,11.52,11.28,11.31,212100,11.31,,1,2012
2012-01-10,11.45,11.65,11.42,11.53,284900,11.53,,1,2012
2012-01-11,11.49,11.65,11.39,11.61,191100,11.61,,1,2012
2012-01-12,11.65,11.78,11.5,11.78,324800,11.78,,1,2012
2012-01-13,11.66,12.7,11.54,12.63,1144300,12.63,,1,2012
2012-01-17,12.15,12.42,12.01,12.35,781700,12.35,,1,2012
2012-01-18,12.37,12.75,12.2,12.48,655400,12.48,,1,2012
2012-01-19,12.56,12.6,12.3,12.59,332400,12.59,,1,2012
2012-01-20,12.55,12.65,12.14,12.23,207300,12.23,,1,2012
2012-01-23,12.24,12.42,12.15,12.37,163700,12.37,,1,2012
2012-01-24,12.34,12.46,12.19,12.29,224500,12.29,60.9318996416,1,2012
2012-01-25,12.34,12.87,12.17,12.85,312200,12.85,67.8757651326,1,2012
2012-01-26,12.89,12.95,12.39,12.6,320800,12.6,62.5323329531,1,2012
2012-01-27,12.6,13.39,12.56,13.03,613900,13.03,67.3005799487,1,2012
2012-01-30,12.99,13.07,12.66,12.93,250100,12.93,65.2217880293,1,2012
2012-01-31,12.96,13.12,12.83,12.98,357900,12.98,65.7907592972,1,2012
2012-02-01,13.06,13.28,12.86,12.96,340200,12.96,65.3303514103,1,2012
2012-02-02,13.09,13.36,13.01,13.3,439300,13.3,69.2677213639,1,2012
2012-02-03,13.48,13.67,13.24,13.46,297900,13.46,70.9402530721,1,2012
2012-02-06,13.39,13.46,13.09,13.16,269200,13.16,63.9163644295,1,2012
2012-02-07,13.11,13.29,12.55,12.73,343200,12.73,55.4428712939,1,2012
2012-02-08,12.74,13.04,12.45,12.76,233500,12.76,55.8823123621,1,2012
2012-02-09,12.81,12.83,12.52,12.75,89400,12.75,55.6851670744,1,2012
