Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-03-21,14.51,17.85,14.31,17.18,1763600,17.18,,1,2013
2013-03-22,17.57,17.57,16.709999,16.809999,75200,16.809999,,1,2013
2013-03-25,17.4,17.4,16.799999,16.83,24100,16.83,,1,2013
2013-03-26,16.91,17.313999,16.9,17.09,27000,17.09,,1,2013
2013-03-27,16.950001,17.23,16.58,17.09,33900,17.09,,1,2013
2013-03-28,16.98,18.5,16.92,18.200001,57700,18.200001,,1,2013
2013-04-01,18.26,21.809,18.26,19.93,68200,19.93,,2,2013
2013-04-02,20.129999,21.379999,19.540001,20.16,130700,20.16,,2,2013
2013-04-03,20.209999,20.59,19.5,19.93,98300,19.93,,2,2013
2013-04-04,19.98,20.407,19.58,19.84,35500,19.84,,2,2013
2013-04-05,19.85,20.431,19.709999,20.34,42900,20.34,,2,2013
2013-04-08,21.190001,21.190001,20.190001,20.799999,93100,20.799999,,2,2013
2013-04-09,20.99,21.0,20.5,20.65,82100,20.65,,2,2013
2013-04-10,20.493999,22.17,20.493999,21.690001,74500,21.690001,,2,2013
2013-04-11,21.5,21.719999,21.030001,21.120001,32300,21.120001,79.1420149198,2,2013
2013-04-12,20.93,20.93,19.049999,19.68,59300,19.68,64.3743017576,2,2013
2013-04-15,20.27,21.0,19.780001,20.35,183200,20.35,67.4204300158,2,2013
2013-04-16,21.57,21.799999,19.879999,20.0,107100,20.0,64.3262134087,2,2013
2013-04-17,20.5,20.5,19.5,19.9,40200,19.9,63.4304900494,2,2013
2013-04-18,20.360001,20.639999,20.0,20.639999,71200,20.639999,67.0832314199,2,2013
2013-04-19,20.799999,20.82,20.030001,20.129999,142100,20.129999,62.4532569005,2,2013
2013-04-22,20.233,20.82,20.233,20.43,124400,20.43,64.0261137332,2,2013
2013-04-23,21.209999,22.4,20.35,20.99,165100,20.99,66.8202052415,2,2013
2013-04-24,21.198999,21.32,20.73,21.01,111800,21.01,66.9190282743,2,2013
2013-04-25,21.000999,21.5,18.0,18.52,166200,18.52,47.8219854873,2,2013
2013-04-26,18.75,20.950001,18.75,20.620001,175000,20.620001,58.5622995227,2,2013
2013-04-29,21.290001,21.290001,20.049999,20.43,89900,20.43,57.4108511125,2,2013
2013-04-30,20.5,20.5,19.700001,19.959999,53900,19.959999,54.5534190339,2,2013
2013-05-01,20.105,20.49,19.5,19.73,50600,19.73,53.1590710817,2,2013
2013-05-02,19.91,20.16,18.790001,19.57,95600,19.57,52.1602954231,2,2013
2013-05-03,19.639999,20.379999,18.771,19.370001,37700,19.370001,50.8736005607,2,2013
2013-05-06,19.34,20.32,19.32,19.9,26400,19.9,54.1045979871,2,2013
2013-05-07,19.780001,20.040001,19.700001,19.92,18400,19.92,54.2269387725,2,2013
2013-05-08,19.969999,20.4,19.700001,20.07,17700,20.07,55.1916709877,2,2013
2013-05-09,20.1,20.1,19.9,20.049999,19600,20.049999,55.0251369205,2,2013
2013-05-10,20.08,20.1,19.450001,19.9,16700,19.9,53.7160898158,2,2013
2013-05-13,19.950001,19.950001,19.426001,19.790001,19900,19.790001,52.7254864607,2,2013
2013-05-14,19.67,19.9,19.5,19.76,27900,19.76,52.441431994,2,2013
2013-05-15,19.870001,20.620001,19.507999,20.4,69800,20.4,57.679388503,2,2013
2013-05-16,20.42,21.48,20.049999,20.85,34100,20.85,60.9371152537,2,2013
2013-05-17,20.459999,21.860001,20.32,20.879999,17400,20.879999,61.1518055947,2,2013
2013-05-20,20.889999,21.5,20.65,20.700001,8700,20.700001,59.0545696735,2,2013
2013-05-21,20.860001,21.23,20.15,20.4,36900,20.4,55.6301428944,2,2013
2013-05-22,20.57,20.57,20.049999,20.059999,6100,20.059999,51.9531844364,2,2013
2013-05-23,20.040001,20.190001,19.700001,19.860001,19800,19.860001,49.8652969143,2,2013
