Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.230246,1.240248,1.190238,1.220244,9400,73.214636,,1,2012
2012-01-04,1.210242,1.220244,1.170234,1.190238,7000,71.414281,,1,2012
2012-01-05,1.170234,1.20024,1.160232,1.190238,9400,71.414281,,1,2012
2012-01-06,1.190238,1.20024,1.160232,1.160232,6300,69.613918,,1,2012
2012-01-09,1.190238,1.30026,1.180236,1.270254,23400,76.215236,,1,2012
2012-01-10,1.290258,1.30026,1.220244,1.25025,12200,75.014999,,1,2012
2012-01-11,1.25025,1.260252,1.20024,1.25025,13300,75.014999,,1,2012
2012-01-12,1.25025,1.25025,1.190238,1.230246,14600,73.814762,,1,2012
2012-01-13,1.190238,1.220244,1.170234,1.170234,15200,70.214036,,1,2012
2012-01-17,1.180236,1.20024,1.110222,1.120224,20000,67.213436,,1,2012
2012-01-18,1.10022,1.120224,1.040208,1.10022,18000,66.013199,,1,2012
2012-01-19,1.110222,1.130226,1.080216,1.10022,10700,66.013199,,1,2012
2012-01-20,1.070214,1.15023,1.070214,1.140228,15600,68.413681,,1,2012
2012-01-23,1.140228,1.160232,1.120224,1.15023,7300,69.013799,,1,2012
2012-01-24,1.15023,1.160232,1.130226,1.15023,4100,69.013799,41.0256447505,1,2012
2012-01-25,1.160232,1.170234,1.120224,1.130226,10800,67.813562,38.8785126801,1,2012
2012-01-26,1.130226,1.15023,1.10022,1.110222,10500,66.613318,36.8041379655,1,2012
2012-01-27,1.120224,1.120224,1.080216,1.10022,8400,66.013199,35.7762980385,1,2012
2012-01-30,1.090218,1.120224,1.05021,1.05021,14200,63.012599,31.09960263,1,2012
2012-01-31,1.070214,1.080216,1.030206,1.070214,8800,64.212836,34.7725737788,1,2012
2012-02-01,1.080216,1.080216,1.020204,1.070214,25200,64.212836,34.7725737788,1,2012
2012-02-02,1.070214,1.080216,1.030206,1.05021,12200,63.012599,32.7479283002,1,2012
2012-02-03,1.080216,1.120224,1.060212,1.10022,44000,66.013199,41.8617383063,1,2012
2012-02-06,1.10022,1.25025,1.10022,1.190238,48100,71.414281,53.956999921,1,2012
2012-02-07,1.180236,1.210242,1.15023,1.170234,12500,70.214036,51.3979832203,1,2012
2012-02-08,1.180236,1.20024,1.110222,1.170234,16300,70.214036,51.3979832203,1,2012
2012-02-09,1.170234,1.190238,1.140228,1.15023,10500,69.013799,48.7182972717,1,2012
2012-02-10,1.140228,1.160232,1.110222,1.120224,12600,67.213436,44.9339565314,1,2012
2012-02-13,1.130226,1.15023,1.060212,1.070214,19100,64.212836,39.435751147,1,2012
2012-02-14,1.070214,1.090218,1.040208,1.05021,17600,63.012599,37.4611862467,1,2012
2012-02-15,1.05021,1.05021,1.020204,1.030206,23300,61.812359,35.5445483773,1,2012
2012-02-16,1.060212,1.070214,1.020204,1.040208,16100,62.412481,37.2726590491,1,2012
2012-02-17,1.040208,1.05021,1.020204,1.030206,11800,61.812359,36.2266750165,1,2012
2012-02-21,1.040208,1.05021,1.020204,1.030206,8400,61.812359,36.2266750165,1,2012
2012-02-22,1.030206,1.040208,0.970194,1.010202,18100,60.612118,34.0126935486,1,2012
2012-02-23,1.010202,1.040208,1.0002,1.040208,6400,62.412481,39.9418605692,1,2012
2012-02-24,1.05021,1.060212,1.020204,1.020204,11800,61.21224,37.5213614244,1,2012
2012-02-27,1.010202,1.020204,1.0002,1.010202,11100,60.612118,36.335686103,1,2012
2012-02-28,1.020204,1.040208,1.010202,1.030206,4200,61.812359,40.3926452579,1,2012
2012-02-29,1.030206,1.040208,1.0002,1.0002,10200,60.011999,36.6227356673,1,2012
2012-03-01,1.0002,1.010202,0.970194,0.980196,10600,58.811759,34.322854171,1,2012
2012-03-02,0.990198,1.0002,0.980196,0.980196,8600,58.811759,34.322854171,1,2012
2012-03-05,1.020204,1.120224,1.010202,1.05021,28800,63.012599,47.663987351,1,2012
2012-03-06,1.070214,1.070214,0.990198,1.010202,10700,60.612118,42.3678234395,1,2012
2012-03-07,1.010202,1.040208,1.0002,1.010202,7000,60.612118,42.3678234395,1,2012
2012-03-08,1.010202,1.10022,1.010202,1.080216,18100,64.812962,52.9731607311,1,2012
2012-03-09,1.10022,1.160232,1.090218,1.120224,25700,67.213436,57.7568295482,1,2012
2012-03-12,1.120224,1.130226,1.020204,1.030206,23400,61.812359,46.3359103201,1,2012
2012-03-13,1.05021,1.05021,1.010202,1.05021,18100,63.012599,48.7606959407,1,2012
2012-03-14,1.040208,1.05021,1.0002,1.010202,14500,60.612118,44.4361468219,1,2012
2012-03-15,1.020204,1.040208,1.020204,1.030206,15000,61.812359,46.9686972588,1,2012
2012-03-16,1.040208,1.040208,1.0002,1.010202,19200,60.612118,44.7710995573,1,2012
2012-03-19,1.010202,1.040208,0.980196,1.040208,26900,62.412481,48.6520582616,1,2012
2012-03-20,1.120224,1.140228,1.030206,1.060212,95800,63.612718,51.1181643012,1,2012
2012-03-21,1.070214,1.090218,1.030206,1.05021,38200,63.012599,49.8295275122,1,2012
2012-03-22,1.110222,1.110222,1.030206,1.05021,29700,63.012599,49.8295275122,1,2012
2012-03-23,1.060212,1.070214,1.020204,1.040208,30900,62.412481,48.4140741946,1,2012
2012-03-26,1.040208,1.070214,1.030206,1.060212,88900,63.612718,51.3882399441,1,2012
2012-03-27,1.090218,1.110222,1.060212,1.080216,80500,64.812962,54.2300903322,1,2012
2012-03-28,1.10022,1.260252,1.090218,1.25025,149000,75.014999,70.1850565444,1,2012
2012-03-29,1.260252,1.340268,1.170234,1.210242,130000,72.614518,64.4887198486,1,2012
2012-03-30,1.230246,1.25025,1.15023,1.20024,51100,72.014399,63.109698809,1,2012
2012-04-02,1.20024,1.20024,1.140228,1.190238,30800,71.414281,61.6890741518,2,2012
2012-04-03,1.190238,1.20024,1.15023,1.180236,18300,70.814162,60.2290020097,2,2012
2012-04-04,1.160232,1.170234,1.080216,1.110222,41200,66.613318,51.1098486753,2,2012
2012-04-05,1.15023,1.170234,1.120224,1.130226,21300,67.813562,53.2861172477,2,2012
2012-04-09,1.130226,1.140228,1.030206,1.060212,38600,63.612718,45.6302310271,2,2012
2012-04-10,1.060212,1.060212,1.020204,1.020204,30500,61.21224,41.9235492993,2,2012
2012-04-11,1.05021,1.080216,1.030206,1.060212,11500,63.612718,46.5954694816,2,2012
2012-04-12,1.05021,1.090218,1.040208,1.05021,11100,63.012599,45.607695002,2,2012
2012-04-13,1.05021,1.070214,1.030206,1.030206,10200,61.812359,43.6162082575,2,2012
2012-04-16,1.040208,1.060212,1.040208,1.060212,6500,63.612718,47.331284447,2,2012
2012-04-17,1.060212,1.090218,1.030206,1.090218,15900,65.413081,50.8209156626,2,2012
2012-04-18,1.090218,1.140228,1.060212,1.060212,24000,63.612718,47.4362058949,2,2012
2012-04-19,1.060212,1.10022,1.040208,1.040208,14600,62.412481,45.2715164174,2,2012
2012-04-20,1.070214,1.080216,1.040208,1.05021,12000,63.012599,46.5840515312,2,2012
2012-04-23,1.05021,1.070214,1.040208,1.040208,10300,62.412481,45.4111943703,2,2012
2012-04-24,1.05021,1.060212,1.030206,1.060212,7200,63.612718,48.2191612935,2,2012
2012-04-25,1.060212,1.070214,1.030206,1.05021,9500,63.012599,46.9195971518,2,2012
2012-04-26,1.060212,1.090218,1.05021,1.080216,9600,64.812962,51.1712793834,2,2012
