Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.46,0.46,0.42,0.45,800,0.45,,1,2012
2012-01-04,0.45,0.46,0.41,0.42,10000,0.42,,1,2012
2012-01-05,0.45,0.48,0.43,0.43,4200,0.43,,1,2012
2012-01-06,0.44,0.47,0.44,0.47,4100,0.47,,1,2012
2012-01-09,0.48,0.52,0.46,0.48,9300,0.48,,1,2012
2012-01-10,0.5,0.5,0.48,0.48,16600,0.48,,1,2012
2012-01-11,0.5,0.51,0.49,0.51,2000,0.51,,1,2012
2012-01-12,0.5,0.51,0.49,0.5,1100,0.5,,1,2012
2012-01-13,0.52,0.52,0.5,0.5,1000,0.5,,1,2012
2012-01-17,0.41,0.51,0.41,0.44,6300,0.44,,1,2012
2012-01-18,0.41,0.5,0.41,0.48,8100,0.48,,1,2012
2012-01-19,0.5,0.5,0.5,0.5,800,0.5,,1,2012
2012-01-20,0.5,0.5,0.5,0.5,0,0.5,,1,2012
2012-01-23,0.5,0.5,0.48,0.5,1100,0.5,,1,2012
2012-01-24,0.5,0.5,0.5,0.5,0,0.5,60.0,1,2012
2012-01-25,0.5,0.5,0.5,0.5,3900,0.5,60.0,1,2012
2012-01-26,0.5,0.5,0.5,0.5,2200,0.5,60.0,1,2012
2012-01-27,0.5,0.5,0.46,0.47,6600,0.47,52.1794892094,1,2012
2012-01-30,0.46,0.5,0.45,0.45,11400,0.45,47.7144317738,1,2012
2012-01-31,0.46,0.5,0.46,0.5,15000,0.5,57.5046675239,1,2012
2012-02-01,0.5,0.55,0.5,0.53,11500,0.53,62.0912265247,1,2012
2012-02-02,0.55,0.6,0.55,0.55,1900,0.55,64.8174793503,1,2012
2012-02-03,0.59,0.59,0.54,0.54,4100,0.54,62.4010560071,1,2012
2012-02-06,0.55,0.59,0.53,0.53,7700,0.53,59.9924691901,1,2012
2012-02-07,0.6,0.6,0.54,0.58,6000,0.58,66.8767423751,1,2012
2012-02-08,0.6,0.6,0.58,0.6,13500,0.6,69.1625490369,1,2012
2012-02-09,0.6,0.62,0.55,0.55,12900,0.55,58.3259508312,1,2012
2012-02-10,0.57,0.58,0.55,0.58,900,0.58,62.1572062369,1,2012
2012-02-13,0.56,0.6,0.55,0.57,19700,0.57,60.1714350595,1,2012
2012-02-14,0.59,0.6,0.57,0.6,11200,0.6,63.8977372939,1,2012
2012-02-15,0.6,0.61,0.6,0.6,10000,0.6,63.8977372939,1,2012
2012-02-16,0.6,0.6,0.56,0.6,7100,0.6,63.8977372939,1,2012
2012-02-17,0.61,0.61,0.55,0.56,17800,0.56,55.2842738556,1,2012
2012-02-21,0.56,0.56,0.56,0.56,0,0.56,55.2842738556,1,2012
2012-02-22,0.61,0.61,0.53,0.56,18900,0.56,55.2842738556,1,2012
2012-02-23,0.59,0.61,0.5,0.51,60400,0.51,45.6723603367,1,2012
2012-02-24,0.51,0.58,0.5,0.51,10900,0.51,45.6723603367,1,2012
2012-02-27,0.51,0.54,0.5,0.5,11600,0.5,43.9018814968,1,2012
2012-02-28,0.54,0.54,0.5,0.5,8900,0.5,43.9018814968,1,2012
2012-02-29,0.5,0.51,0.5,0.5,6200,0.5,43.9018814968,1,2012
2012-03-01,0.53,0.54,0.53,0.54,1300,0.54,53.0034686307,1,2012
2012-03-02,0.52,0.53,0.5,0.5,3200,0.5,45.119918625,1,2012
2012-03-05,0.5,0.5,0.5,0.5,800,0.5,45.119918625,1,2012
2012-03-06,0.53,0.53,0.5,0.52,5500,0.52,49.4774652033,1,2012
2012-03-07,0.54,0.55,0.53,0.53,2900,0.53,51.5489656534,1,2012
2012-03-08,0.53,0.53,0.53,0.53,2000,0.53,51.5489656534,1,2012
2012-03-09,0.5,0.54,0.5,0.54,800,0.54,53.7483276065,1,2012
2012-03-12,0.51,0.51,0.51,0.51,300,0.51,46.8739809021,1,2012
2012-03-13,0.54,0.54,0.54,0.54,1400,0.54,53.3055432839,1,2012
2012-03-14,0.51,0.54,0.51,0.54,800,0.54,53.3055432839,1,2012
2012-03-15,0.51,0.62,0.51,0.55,66100,0.55,55.3931968146,1,2012
2012-03-16,0.53,0.59,0.53,0.57,13900,0.57,59.3113470863,1,2012
2012-03-19,0.56,0.59,0.55,0.58,6500,0.58,61.1488924933,1,2012
2012-03-20,0.6,0.71,0.6,0.65,109500,0.65,71.0162703849,1,2012
2012-03-21,0.69,0.69,0.61,0.66,21100,0.66,72.106186064,1,2012
2012-03-22,0.71,0.71,0.62,0.63,6400,0.63,64.2949232363,1,2012
2012-03-23,0.66,0.71,0.64,0.67,6300,0.67,69.1012477302,1,2012
2012-03-26,0.71,0.71,0.63,0.66,25300,0.66,66.6844925403,1,2012
2012-03-27,0.68,0.75,0.63,0.7,97300,0.7,71.0465533476,1,2012
2012-03-28,0.72,0.74,0.71,0.71,17400,0.71,72.0324346632,1,2012
2012-03-29,0.7,0.74,0.68,0.69,1500,0.69,67.1105667828,1,2012
2012-03-30,0.72,0.74,0.66,0.66,4600,0.66,60.4394533163,1,2012
2012-04-02,0.68,0.68,0.66,0.67,7600,0.67,61.8024850256,2,2012
2012-04-03,0.68,0.69,0.66,0.69,6500,0.69,64.4412733535,2,2012
2012-04-04,0.66,0.69,0.6,0.63,43400,0.63,52.6829484723,2,2012
2012-04-05,0.63,0.63,0.63,0.63,13000,0.63,52.6829484723,2,2012
2012-04-09,0.64,0.64,0.6,0.6,4500,0.6,47.6420163773,2,2012
2012-04-10,0.6,0.61,0.6,0.6,6400,0.6,47.6420163773,2,2012
2012-04-11,0.6,0.68,0.6,0.68,12900,0.68,59.5979240815,2,2012
2012-04-12,0.64,0.64,0.6,0.6,6900,0.6,47.8346780716,2,2012
2012-04-13,0.63,0.63,0.62,0.62,2100,0.62,50.4668640034,2,2012
2012-04-16,0.6,0.63,0.6,0.63,1400,0.63,51.7770799008,2,2012
2012-04-17,0.65,0.68,0.6,0.6,15700,0.6,47.7006733757,2,2012
