Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-06-26,17.0,17.4,14.45,14.5,3083900,14.5,,2,2013
2013-06-27,14.49,14.72,13.73,14.0,527900,14.0,,2,2013
2013-06-28,13.76,14.3,13.65,14.1,158200,14.1,,2,2013
2013-07-01,14.21,14.25,13.55,14.01,127200,14.01,,3,2013
2013-07-02,14.2,14.6,14.06,14.57,123000,14.57,,3,2013
2013-07-03,14.75,14.75,14.61,14.61,70700,14.61,,3,2013
2013-07-05,14.75,14.79,14.52,14.58,47600,14.58,,3,2013
2013-07-08,14.88,14.99,14.57,14.94,73900,14.94,,3,2013
2013-07-09,14.93,15.74,14.92,15.7,70700,15.7,,3,2013
2013-07-10,15.52,16.24,15.52,16.049999,57200,16.049999,,3,2013
2013-07-11,16.639999,16.73,16.01,16.73,60200,16.73,,3,2013
2013-07-12,16.9,17.1,16.5,17.049999,41900,17.049999,,3,2013
2013-07-15,17.18,17.48,16.370001,17.209999,71700,17.209999,,3,2013
2013-07-16,17.57,18.950001,16.85,17.309999,55500,17.309999,,3,2013
2013-07-17,17.9,17.93,16.51,17.15,52200,17.15,81.4726990369,3,2013
2013-07-18,17.450001,17.450001,16.77,17.280001,85000,17.280001,82.0689847008,3,2013
2013-07-19,16.969999,17.34,16.82,16.9,114200,16.9,74.5192227551,3,2013
2013-07-22,17.74,17.889999,16.870001,17.049999,350200,17.049999,75.4781714162,3,2013
2013-07-23,17.4,18.0,17.01,17.110001,129000,17.110001,75.869384288,3,2013
2013-07-24,17.25,17.5,16.92,16.959999,50500,16.959999,72.7448965798,3,2013
2013-07-25,17.0,17.219999,16.620001,16.780001,93700,16.780001,69.0691007884,3,2013
2013-07-26,16.780001,17.110001,16.639999,17.07,58100,17.07,71.5622991397,3,2013
2013-07-29,17.15,17.5,17.1,17.41,55600,17.41,74.1891405345,3,2013
2013-07-30,17.5,17.700001,17.16,17.65,57900,17.65,75.8826439359,3,2013
2013-07-31,18.0,18.0,17.459999,17.84,78000,17.84,77.1602640164,3,2013
2013-08-01,18.0,18.879999,17.620001,17.790001,80000,17.790001,76.0189988025,3,2013
2013-08-02,17.9,18.49,17.9,18.25,33600,18.25,79.0841299572,3,2013
2013-08-05,18.120001,18.860001,18.120001,18.440001,20600,18.440001,80.2093206632,3,2013
2013-08-06,18.27,18.5,18.02,18.15,48500,18.15,73.692968529,3,2013
2013-08-07,18.0,18.75,17.610001,17.73,38700,17.73,65.4053888454,3,2013
2013-08-08,17.82,18.02,16.639999,17.23,43200,17.23,57.1635145647,3,2013
2013-08-09,17.030001,17.49,16.190001,16.690001,65000,16.690001,49.8564720835,3,2013
2013-08-12,16.639999,17.5,16.639999,17.23,19400,17.23,55.9239727901,3,2013
2013-08-13,20.1,20.1,17.139999,17.440001,89600,17.440001,58.0498657564,3,2013
2013-08-14,17.469999,17.73,17.040001,17.48,18300,17.48,58.4608348578,3,2013
2013-08-15,17.219999,17.35,17.049999,17.059999,17500,17.059999,52.6304312658,3,2013
2013-08-16,17.35,17.530001,16.950001,17.24,12100,17.24,54.7149129761,3,2013
2013-08-19,17.4,17.540001,16.9,16.93,7800,16.93,50.5863100241,3,2013
2013-08-20,17.200001,17.299999,16.610001,16.9,68700,16.9,50.1916049285,3,2013
2013-08-21,17.07,17.07,16.0,16.639999,54000,16.639999,46.7845390311,3,2013
2013-08-22,17.280001,17.299999,16.51,16.950001,36000,16.950001,51.0509969122,3,2013
2013-08-23,17.01,17.16,16.35,16.799999,47300,16.799999,49.0037230215,3,2013
2013-08-26,17.18,17.18,16.85,17.0,13900,17.0,51.7803381276,3,2013
2013-08-27,17.18,17.190001,16.76,16.76,35000,16.76,48.3764522982,3,2013
2013-08-28,16.940001,17.0,16.76,16.809999,26300,16.809999,49.1267512424,3,2013
2013-08-29,16.77,17.18,16.77,16.870001,67500,16.870001,50.0647087569,3,2013
2013-08-30,17.040001,17.040001,16.0,16.120001,40300,16.120001,40.1100363927,3,2013
2013-09-03,17.629999,17.950001,16.059999,16.4,177900,16.4,44.5433533506,3,2013
2013-09-04,16.299999,16.299999,15.1,15.44,69700,15.44,34.982009749,3,2013
2013-09-05,15.5,16.049999,15.1,15.27,194000,15.27,33.6063235127,3,2013
2013-09-06,15.42,15.54,14.8,15.4,39000,15.4,35.6890798912,3,2013
2013-09-09,15.5,15.59,14.86,14.99,217700,14.99,32.2526867641,3,2013
2013-09-10,15.16,15.76,14.89,14.97,231300,14.97,32.0903664073,3,2013
2013-09-11,15.07,15.63,15.07,15.47,51900,15.47,40.193946466,3,2013
2013-09-12,15.68,15.76,15.32,15.6,51700,15.6,42.1275845031,3,2013
2013-09-13,15.58,17.1,15.53,16.59,110400,16.59,54.2568086455,3,2013
2013-09-16,16.790001,17.450001,16.450001,16.719999,55900,16.719999,55.5735265855,3,2013
2013-09-17,16.75,17.200001,16.5,16.82,23100,16.82,56.6082458015,3,2013
2013-09-18,16.690001,17.389999,16.5,16.98,36100,16.98,58.282418,3,2013
2013-09-19,16.98,17.190001,16.57,16.82,49300,16.82,55.9573547207,3,2013
2013-09-20,16.780001,16.809999,16.700001,16.709999,78900,16.709999,54.3519889775,3,2013
2013-09-23,16.57,17.74,16.57,17.65,99500,17.65,63.8865753255,3,2013
2013-09-24,17.85,18.98,17.32,18.16,113600,18.16,67.8145294245,3,2013
2013-09-25,18.209999,18.43,18.049999,18.23,61800,18.23,68.3237939624,3,2013
2013-09-26,19.52,19.549999,18.51,18.870001,85100,18.870001,72.5935550297,3,2013
2013-09-27,18.74,19.15,18.059999,18.700001,50400,18.700001,69.8983590737,3,2013
2013-09-30,18.690001,19.16,18.209999,18.860001,556700,18.860001,70.9900386276,3,2013
2013-10-01,19.0,19.299999,18.58,18.870001,66300,18.870001,71.0606798216,4,2013
2013-10-02,18.809999,18.99,18.6,18.889999,55200,18.889999,71.2116526744,4,2013
2013-10-03,18.969999,19.08,18.57,18.76,30800,18.76,68.7025327693,4,2013
2013-10-04,18.709999,18.9,17.709999,18.610001,56000,18.610001,65.8207183878,4,2013
2013-10-07,18.389999,18.49,17.9,18.17,21000,18.17,58.1194112211,4,2013
2013-10-08,18.4,18.42,16.84,17.49,46700,17.49,48.6463193962,4,2013
2013-10-09,17.51,17.51,16.059999,16.459999,69900,16.459999,38.4288871578,4,2013
2013-10-10,16.6,16.75,16.360001,16.5,49800,16.5,38.9650396531,4,2013
2013-10-11,16.459999,16.83,16.450001,16.690001,203100,16.690001,41.5677948727,4,2013
2013-10-14,16.639999,16.91,16.5,16.68,39900,16.68,41.4675561959,4,2013
2013-10-15,16.709999,16.83,16.57,16.629999,11000,16.629999,40.9360549679,4,2013
2013-10-16,16.91,17.65,16.6,17.360001,39400,17.360001,50.8424587532,4,2013
2013-10-17,18.110001,18.110001,17.0,17.35,22700,17.35,50.7169567029,4,2013
2013-10-18,17.51,17.959999,17.07,17.200001,45200,17.200001,48.7723680888,4,2013
2013-10-21,17.25,17.34,16.309999,16.52,64100,16.52,41.0822255954,4,2013
2013-10-22,16.52,16.99,16.290001,16.57,33700,16.57,41.8087717435,4,2013
2013-10-23,16.59,16.59,15.5,15.66,113600,15.66,33.670646065,4,2013
2013-10-24,15.79,15.86,15.35,15.61,79600,15.61,33.2872495241,4,2013
2013-10-25,15.7,15.76,14.51,15.14,105000,15.14,29.846857801,4,2013
2013-10-28,15.17,15.81,15.12,15.67,39600,15.67,37.6701373243,4,2013
2013-10-29,15.62,16.01,15.6,15.79,34400,15.79,39.3201093051,4,2013
2013-10-30,16.09,16.1,15.7,15.75,54900,15.75,38.9499820304,4,2013
2013-10-31,15.78,15.8,15.55,15.67,37900,15.67,38.1759814907,4,2013
2013-11-01,15.66,15.66,14.75,14.9,46100,14.9,31.6556377586,4,2013
2013-11-04,14.99,15.68,14.97,15.03,19400,15.03,33.7140808869,4,2013
2013-11-05,15.01,15.49,14.94,15.01,23900,15.01,33.5466802702,4,2013
2013-11-06,15.42,15.8,14.75,14.77,61700,14.77,31.5238873476,4,2013
2013-11-07,14.95,15.12,14.49,14.51,29300,14.51,29.4520119493,4,2013
2013-11-08,14.5,15.07,14.5,14.85,18500,14.85,35.428612591,4,2013
2013-11-11,14.89,15.0,14.67,14.73,22700,14.73,34.3233973017,4,2013
2013-11-12,14.7,14.72,14.2,14.44,42400,14.44,31.7459900294,4,2013
2013-11-13,14.31,14.31,13.5,13.63,155700,13.63,25.8966367546,4,2013
2013-11-14,13.68,14.01,13.68,13.89,16000,13.89,30.3338836029,4,2013
2013-11-15,13.9,13.9,13.64,13.75,42700,13.75,29.3159509906,4,2013
2013-11-18,14.0,14.74,13.48,13.49,74800,13.49,27.4721515387,4,2013
2013-11-19,13.43,13.56,12.71,12.76,49500,12.76,23.0825281266,4,2013
2013-11-20,12.85,13.49,12.6,12.81,103600,12.81,23.9785172825,4,2013
2013-11-21,12.85,12.94,12.09,12.19,54700,12.19,20.7506489969,4,2013
2013-11-22,12.23,12.23,11.2,11.74,151800,11.74,18.7751269951,4,2013
2013-11-25,11.9,12.18,11.33,11.51,70800,11.51,17.8402568417,4,2013
2013-11-26,11.51,11.95,11.0,11.1,134400,11.1,16.283709083,4,2013
2013-11-27,11.1,11.37,10.9,11.29,233200,11.29,19.7768452244,4,2013
2013-11-29,11.59,12.03,11.28,11.93,34400,11.93,30.3232508347,4,2013
2013-12-02,11.94,12.6,11.43,11.93,59200,11.93,30.3232508347,4,2013
2013-12-03,12.07,12.22,11.77,12.11,66300,12.11,33.1882182388,4,2013
2013-12-04,12.1,12.44,11.89,12.26,21200,12.26,35.5658856534,4,2013
2013-12-05,12.33,12.74,12.06,12.6,48000,12.6,40.7159020266,4,2013
2013-12-06,12.75,13.47,12.6,13.32,39100,13.32,49.8559845639,4,2013
2013-12-09,13.57,14.0,13.41,13.64,70400,13.64,53.3019640048,4,2013
2013-12-10,13.67,13.92,13.05,13.09,48400,13.09,47.2870037156,4,2013
2013-12-11,13.1,13.28,12.18,12.68,58600,12.68,43.3589770204,4,2013
2013-12-12,12.82,13.38,12.22,13.02,44600,13.02,47.2706689135,4,2013
2013-12-13,12.97,13.0,12.5,12.91,33200,12.91,46.1599670683,4,2013
2013-12-16,13.01,14.45,12.92,13.61,128300,13.61,53.6271911778,4,2013
2013-12-17,13.76,14.22,13.1,13.51,81800,13.51,52.5068343945,4,2013
2013-12-18,13.48,14.24,12.73,13.98,38800,13.98,57.0486609631,4,2013
2013-12-19,14.01,14.58,12.76,12.77,67200,12.77,45.0928441364,4,2013
2013-12-20,12.82,13.93,12.52,12.92,391500,12.92,46.5872524945,4,2013
2013-12-23,12.97,13.99,12.52,13.92,63400,13.92,55.3182512457,4,2013
2013-12-24,14.0,14.0,13.69,13.83,31300,13.83,54.4554953934,4,2013
2013-12-26,13.91,13.91,13.24,13.3,33500,13.3,49.5541270143,4,2013
2013-12-27,13.71,13.94,13.01,13.07,36100,13.07,47.5538154349,4,2013
2013-12-30,13.17,13.17,12.62,12.79,44400,12.79,45.1636825658,4,2013
2013-12-31,12.86,13.85,12.79,13.74,45200,13.74,53.6717815441,4,2013
