Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.78,1.78,1.74,1.75,373000,1.75,,1,2012
2012-01-04,1.76,1.86,1.76,1.84,3300,1.84,,1,2012
2012-01-05,1.87,1.88,1.81,1.81,15900,1.81,,1,2012
2012-01-06,1.83,1.83,1.73,1.75,101800,1.75,,1,2012
2012-01-09,1.76,1.88,1.76,1.85,21000,1.85,,1,2012
2012-01-10,1.87,1.88,1.85,1.85,27600,1.85,,1,2012
2012-01-11,1.81,1.83,1.75,1.8,34700,1.8,,1,2012
2012-01-12,1.78,1.85,1.75,1.85,10900,1.85,,1,2012
2012-01-13,1.85,1.88,1.83,1.87,4700,1.87,,1,2012
2012-01-17,1.89,1.91,1.82,1.85,36200,1.85,,1,2012
2012-01-18,1.86,1.9,1.85,1.87,24600,1.87,,1,2012
2012-01-19,1.89,1.91,1.83,1.9,61000,1.9,,1,2012
2012-01-20,1.9,1.93,1.89,1.92,61600,1.92,,1,2012
2012-01-23,1.96,1.97,1.8,1.9,28900,1.9,,1,2012
2012-01-24,1.89,1.91,1.81,1.88,10100,1.88,62.2641509434,1,2012
2012-01-25,1.89,1.92,1.89,1.92,6100,1.92,65.1006711409,1,2012
2012-01-26,1.93,2.05,1.8,1.91,28500,1.91,63.8093310394,1,2012
2012-01-27,1.86,2.01,1.85,2.0,73400,2.0,69.6452474388,1,2012
2012-01-30,2.02,2.23,2.0,2.2,42600,2.2,78.0975820665,1,2012
2012-01-31,2.2,2.34,2.2,2.27,89200,2.27,80.177998249,1,2012
2012-02-01,2.3,2.34,2.21,2.24,123600,2.24,76.8106539611,1,2012
2012-02-02,2.25,2.25,2.04,2.15,35800,2.15,67.6336470671,1,2012
2012-02-03,2.19,2.22,1.99,2.2,68500,2.2,69.792887419,1,2012
2012-02-06,2.3,2.4,2.27,2.31,95400,2.31,73.9157014774,1,2012
2012-02-07,2.34,2.36,2.27,2.32,37900,2.32,74.2596480711,1,2012
2012-02-08,2.36,2.36,2.26,2.27,46700,2.27,69.3366528806,1,2012
2012-02-09,2.3,2.31,2.18,2.22,43600,2.22,64.7163025663,1,2012
2012-02-10,2.26,2.26,2.1,2.19,67600,2.19,62.0448132161,1,2012
2012-02-13,2.2,2.23,2.18,2.2,11200,2.2,62.5990380117,1,2012
2012-02-14,2.19,2.2,2.17,2.2,153300,2.2,62.5990380117,1,2012
2012-02-15,2.2,2.2,2.17,2.19,11900,2.19,61.5565797704,1,2012
2012-02-16,2.19,2.25,2.18,2.2,21200,2.2,62.2338751542,1,2012
2012-02-17,2.2,2.25,2.1,2.17,51500,2.17,58.8823157853,1,2012
2012-02-21,2.15,2.2,2.15,2.2,17500,2.2,61.1362903396,1,2012
2012-02-22,2.19,2.2,2.16,2.16,8700,2.16,56.6752397528,1,2012
2012-02-23,2.2,2.2,2.11,2.12,58800,2.12,52.5460677854,1,2012
2012-02-24,2.15,2.18,2.15,2.18,13400,2.18,57.5429113916,1,2012
2012-02-27,2.18,2.22,2.15,2.15,26000,2.15,54.4553285305,1,2012
2012-02-28,2.2,2.2,2.15,2.2,12600,2.2,58.456299514,1,2012
2012-02-29,2.19,2.19,2.14,2.18,15700,2.18,56.32486184,1,2012
2012-03-01,2.15,2.2,2.15,2.16,142900,2.16,54.1967273781,1,2012
2012-03-02,2.16,2.21,2.15,2.16,28200,2.16,54.1967273781,1,2012
2012-03-05,2.15,2.19,2.13,2.13,17600,2.13,50.8541176079,1,2012
2012-03-06,2.12,2.15,1.95,1.97,27000,1.97,37.5518119181,1,2012
2012-03-07,2.0,2.15,1.96,2.0,83100,2.0,40.6847589733,1,2012
2012-03-08,2.17,2.17,2.0,2.01,15700,2.01,41.7340868237,1,2012
2012-03-09,2.08,2.09,1.97,1.98,32000,1.98,39.4777534423,1,2012
2012-03-12,1.98,2.15,1.98,2.15,22200,2.15,54.4922316037,1,2012
2012-03-13,2.14,2.17,2.1,2.17,14900,2.17,55.8790073408,1,2012
2012-03-14,2.13,2.17,2.12,2.12,39800,2.12,51.6420971546,1,2012
2012-03-15,2.13,2.31,2.12,2.24,83300,2.24,59.5660620185,1,2012
2012-03-16,2.2,2.3,2.2,2.3,44300,2.3,62.8444022474,1,2012
2012-03-19,2.31,2.35,2.3,2.3,15500,2.3,62.8444022474,1,2012
2012-03-20,2.25,2.32,2.21,2.29,5800,2.29,61.874698235,1,2012
2012-03-21,2.27,2.35,2.18,2.18,69700,2.18,52.3125429284,1,2012
2012-03-22,2.22,2.24,2.15,2.24,11500,2.24,56.2812888647,1,2012
2012-03-23,2.18,2.35,2.15,2.27,33400,2.27,58.156424176,1,2012
2012-03-26,2.29,2.3,2.28,2.29,26500,2.29,59.4064408815,1,2012
2012-03-27,2.3,2.31,2.26,2.29,40100,2.29,59.4064408815,1,2012
2012-03-28,2.27,2.31,2.26,2.26,14700,2.26,56.4716437811,1,2012
2012-03-29,2.27,2.27,2.12,2.19,39600,2.19,50.235492011,1,2012
2012-03-30,2.22,2.3,2.16,2.26,268300,2.26,55.5246909777,1,2012
2012-04-02,2.26,2.3,2.2,2.3,22800,2.3,58.2550559736,2,2012
2012-04-03,2.4,2.9,2.4,2.45,1035600,2.45,66.5484749524,2,2012
2012-04-04,2.46,2.46,2.15,2.33,117300,2.33,56.8226609275,2,2012
2012-04-05,2.36,2.5,2.31,2.47,37400,2.47,63.5209364481,2,2012
2012-04-09,2.46,2.48,2.3,2.3,59700,2.3,52.8079201549,2,2012
2012-04-10,2.38,2.39,2.27,2.28,65500,2.28,51.7031358012,2,2012
2012-04-11,2.32,2.35,2.28,2.35,67300,2.35,55.2332348638,2,2012
2012-04-12,2.33,2.35,2.3,2.35,67800,2.35,55.2332348638,2,2012
2012-04-13,2.35,2.36,2.29,2.33,71100,2.33,53.9271342802,2,2012
2012-04-16,2.36,2.4,2.28,2.34,34400,2.34,54.5064043571,2,2012
2012-04-17,2.4,2.55,2.35,2.48,185000,2.48,61.7559735293,2,2012
2012-04-18,2.5,2.58,2.43,2.47,143800,2.47,61.0081375604,2,2012
2012-04-19,2.47,2.54,2.45,2.54,38600,2.54,64.2698449775,2,2012
2012-04-20,2.55,2.58,2.48,2.48,104300,2.48,59.6628975483,2,2012
2012-04-23,2.51,2.67,2.48,2.55,464000,2.55,62.995559894,2,2012
2012-04-24,2.59,2.85,2.53,2.76,202400,2.76,70.7919720515,2,2012
2012-04-25,2.8,2.95,2.7,2.85,286800,2.85,73.3804776521,2,2012
2012-04-26,2.88,2.9,2.72,2.77,83500,2.77,67.642014862,2,2012
2012-04-27,2.8,2.93,2.65,2.85,92000,2.85,70.1554343685,2,2012
2012-04-30,2.91,2.95,2.89,2.95,110500,2.95,72.9806588523,2,2012
2012-05-01,2.98,3.0,2.89,2.93,95000,2.93,71.5223676339,2,2012
2012-05-02,2.95,2.97,2.8,2.92,94000,2.92,70.7610160965,2,2012
2012-05-03,2.96,2.96,2.81,2.83,48500,2.83,64.1431106673,2,2012
2012-05-04,2.84,2.84,2.65,2.7,87300,2.7,55.9965664262,2,2012
2012-05-07,2.71,2.85,2.62,2.85,37800,2.85,61.9945094439,2,2012
2012-05-08,2.83,2.83,2.7,2.75,22800,2.75,56.4684556929,2,2012
2012-05-09,2.72,2.83,2.72,2.77,52200,2.77,57.2884704728,2,2012
