Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-04-25,11.0,11.34,9.53,10.0,1612200,10.0,,2,2014
2014-04-28,9.6,10.1999,9.56,10.01,61000,10.01,,2,2014
2014-04-29,9.93,10.19,9.93,10.0,58600,10.0,,2,2014
2014-04-30,9.71,10.01,9.5,9.83,17500,9.83,,2,2014
2014-05-01,9.8,9.9,9.8,9.85,2700,9.85,,2,2014
2014-05-02,9.99,9.99,9.704,9.9799,17800,9.9799,,2,2014
2014-05-05,9.55,9.8,9.1501,9.586,35200,9.586,,2,2014
2014-05-06,9.43,9.6,9.3003,9.51,31400,9.51,,2,2014
2014-05-07,9.495,9.595,9.3001,9.5,17000,9.5,,2,2014
2014-05-08,9.19,9.32,9.16,9.3,2800,9.3,,2,2014
2014-05-09,9.7,9.72,9.16,9.6,18200,9.6,,2,2014
2014-05-12,9.99,9.99,9.6,9.6,900,9.6,,2,2014
2014-05-13,9.41,9.65,9.17,9.305,5400,9.305,,2,2014
2014-05-14,9.17,9.22,8.51,8.749,30400,8.749,,2,2014
2014-05-15,8.5,8.75,8.5,8.5,9600,8.5,19.0057029507,2,2014
2014-05-16,8.51,8.7999,8.28,8.419,31500,8.419,18.344409875,2,2014
2014-05-19,7.43,8.0895,6.4401,7.74,35900,7.74,13.9595870627,2,2014
2014-05-20,7.31,7.78,7.3,7.75,54300,7.75,14.2845414203,2,2014
2014-05-21,7.71,8.0,7.59,7.59,44900,7.59,13.4117508941,2,2014
2014-05-22,7.56,8.0395,7.45,8.0,37400,8.0,25.9051423084,2,2014
2014-05-23,8.06,8.845,8.0,8.3,51900,8.3,33.4693780199,2,2014
2014-05-26,8.3,8.3,8.3,8.3,0,8.3,33.4693780199,2,2014
2014-05-27,8.5,8.5,8.03,8.08,13600,8.08,30.795537124,2,2014
2014-05-28,8.25,8.3,7.61,7.64,61600,7.64,26.2745090079,2,2014
2014-05-29,7.8,7.8,7.5,7.54,3100,7.54,25.3631598628,2,2014
2014-05-30,7.52,7.78,7.5,7.78,13600,7.78,31.5037862211,2,2014
2014-06-02,7.3,7.85,7.3,7.61,6100,7.61,29.6433730305,2,2014
2014-06-03,7.58,7.6,7.5,7.6,3800,7.6,29.5328918274,2,2014
2014-06-04,7.4,7.5999,7.3,7.302,14600,7.302,26.3778759785,2,2014
2014-06-05,7.29,7.29,6.6403,7.03,35900,7.03,23.8711532709,2,2014
2014-06-06,7.0,7.255,7.0,7.13,23200,7.13,26.6316730812,2,2014
2014-06-09,7.0,7.25,7.0,7.19,7800,7.19,28.3113583093,2,2014
2014-06-10,7.19,7.25,7.0,7.14,44400,7.14,27.7413897001,2,2014
2014-06-11,7.12,7.4,7.0375,7.11,4800,7.11,27.3851508317,2,2014
2014-06-12,7.4,7.97,7.05,7.38,6700,7.38,35.4226427664,2,2014
2014-06-13,7.63,7.63,7.0001,7.15,8800,7.15,32.1573364032,2,2014
2014-06-16,7.02,7.02,7.02,7.02,1000,7.02,30.448840528,2,2014
2014-06-17,7.03,7.25,7.03,7.15,14200,7.15,34.2129230764,2,2014
2014-06-18,7.59,7.83,7.51,7.65,12600,7.65,46.2595939167,2,2014
2014-06-19,7.86,7.86,7.25,7.41,7200,7.41,42.2594449641,2,2014
2014-06-20,6.95,7.505,6.95,7.29,22200,7.29,40.3793145396,2,2014
2014-06-23,7.29,7.29,7.29,7.29,0,7.29,40.3793145396,2,2014
2014-06-24,7.11,7.6,6.78,6.95,166500,6.95,35.2290228774,2,2014
2014-06-25,6.8,7.25,6.8,7.1,3600,7.1,38.9298507668,2,2014
2014-06-26,7.1,7.13,6.85,6.9955,14100,6.9955,37.3296231546,2,2014
2014-06-27,7.1,7.2,7.0,7.0,5500,7.0,37.4488612823,2,2014
2014-06-30,7.25,7.3,7.15,7.2,28300,7.2,42.6696883682,2,2014
2014-07-01,7.31,7.32,7.01,7.13,26800,7.13,41.3682489535,3,2014
2014-07-02,7.08,7.1499,6.95,6.99,21400,6.99,38.8181667266,3,2014
2014-07-03,7.0,7.0,6.8,7.0,4900,7.0,39.106909888,3,2014
2014-07-04,7.0,7.0,7.0,7.0,0,7.0,39.106909888,3,2014
2014-07-07,7.05,7.05,6.9,6.97,11400,6.97,38.4751383842,3,2014
2014-07-08,7.0,7.06,6.8,6.829,21100,6.829,35.5668685193,3,2014
2014-07-09,6.8,6.8897,6.5,6.8,14700,6.8,34.9811988007,3,2014
2014-07-10,6.84,6.84,6.77,6.77,6000,6.77,34.3510329257,3,2014
2014-07-11,6.65,6.8199,6.65,6.8199,2100,6.8199,36.4032307408,3,2014
2014-07-14,6.75,6.83,6.731,6.8,10700,6.8,35.9209758242,3,2014
2014-07-15,6.76,6.7997,6.75,6.75,4200,6.75,34.6779179155,3,2014
2014-07-16,6.67,6.73,6.4,6.4,12000,6.4,27.5031429462,3,2014
2014-07-17,6.44,6.6025,6.39,6.39,22900,6.39,27.3291633791,3,2014
2014-07-18,6.01,6.23,5.7158,6.1,24200,6.1,22.820708524,3,2014
2014-07-21,6.2,6.362,5.86,6.17,12000,6.17,25.9943018476,3,2014
2014-07-22,6.15,6.35,6.021,6.21,9400,6.21,27.8207587692,3,2014
2014-07-23,6.05,6.23,6.05,6.2,800,6.2,27.637121102,3,2014
2014-07-24,6.2,6.2,6.2,6.2,200,6.2,27.637121102,3,2014
2014-07-25,6.74,6.8997,6.285,6.285,3700,6.285,32.0581032002,3,2014
2014-07-28,6.12,6.49,5.79,5.79,5200,5.79,23.1775295592,3,2014
2014-07-29,5.8,6.1,5.76,5.825,29000,5.825,24.76451682,3,2014
2014-07-30,5.9,5.93,5.8,5.8,14300,5.8,24.3771479538,3,2014
2014-07-31,5.75,6.165,5.75,6.02,19900,6.02,34.1401415036,3,2014
2014-08-01,5.9,6.05,5.7745,5.9,53300,5.9,31.7336041936,3,2014
2014-08-04,5.94,6.0,5.75,5.95,15700,5.95,33.8266738826,3,2014
2014-08-05,6.0,6.0,5.8,5.88,21200,5.88,32.3320804031,3,2014
2014-08-06,5.91,6.14,5.9,6.01,16900,6.01,37.8262358615,3,2014
2014-08-07,6.02,6.1,5.784,5.8,15500,5.8,33.1446576569,3,2014
2014-08-08,5.82,5.86,5.5,5.7,10800,5.7,31.1665356461,3,2014
2014-08-11,5.8,5.95,5.58,5.8,24800,5.8,35.3234499099,3,2014
2014-08-12,5.75,5.82,5.65,5.67,3800,5.67,32.5697658454,3,2014
2014-08-13,5.68,6.19,5.572,5.61,125000,5.61,31.3548443148,3,2014
2014-08-14,5.8,6.1999,5.314,5.44,46500,5.44,28.1507458585,3,2014
2014-08-15,5.58,5.99,5.44,5.5,200800,5.5,30.8370889624,3,2014
2014-08-18,5.68,6.5,5.68,6.11,173400,6.11,50.9259195082,3,2014
2014-08-19,6.21,6.25,6.04,6.2,20700,6.2,53.0908135727,3,2014
2014-08-20,5.85,6.2201,5.84,6.22,99400,6.22,53.5808784366,3,2014
2014-08-21,6.42,6.47,6.1,6.2101,3200,6.2101,53.2841334062,3,2014
2014-08-22,6.32,6.46,6.3,6.35,7600,6.35,56.9154367009,3,2014
2014-08-25,6.45,6.834,6.45,6.834,6700,6.834,66.590959621,3,2014
2014-08-26,6.1,6.67,6.01,6.45,60400,6.45,55.8706563771,3,2014
2014-08-27,6.5,6.5,6.2101,6.3999,104600,6.3999,54.6348435863,3,2014
2014-08-28,6.35,6.5,6.2,6.5,38800,6.5,56.6958505548,3,2014
2014-08-29,6.37,7.77,6.2101,7.68,38600,7.68,72.5358652932,3,2014
2014-09-01,7.68,7.68,7.68,7.68,0,7.68,72.5358652932,3,2014
2014-09-02,7.48,7.48,7.07,7.25,15800,7.25,62.8239066836,3,2014
2014-09-03,7.08,7.1058,6.41,6.86,6400,6.86,55.5581235553,3,2014
2014-09-04,6.86,7.0,6.86,6.98,2400,6.98,57.1984064368,3,2014
2014-09-05,7.0,7.15,7.0,7.15,7700,7.15,59.4800491254,3,2014
2014-09-08,7.14,7.15,7.1,7.13,3500,7.13,59.081022883,3,2014
2014-09-09,7.14,7.259,7.06,7.07,42800,7.07,57.8276744981,3,2014
2014-09-10,7.2,7.2,6.9137,7.2,2700,7.2,59.8167254575,3,2014
2014-09-11,7.2,7.31,7.125,7.1275,1600,7.1275,58.1689836046,3,2014
2014-09-12,7.2,7.275,7.15,7.22,8600,7.22,59.6945080594,3,2014
2014-09-15,7.2,7.5399,7.2,7.28,9200,7.28,60.6957847082,3,2014
2014-09-16,7.45,7.45,7.3,7.3,1800,7.3,61.0431901968,3,2014
2014-09-17,7.0,7.4,6.84,7.21,5900,7.21,58.5358311298,3,2014
2014-09-18,7.43,7.78,7.43,7.45,19800,7.45,62.9108470697,3,2014
2014-09-19,7.5,7.52,7.3,7.37,48100,7.37,60.6149630331,3,2014
2014-09-22,7.4,7.48,7.39,7.41,29300,7.41,61.3739929927,3,2014
2014-09-23,7.62,7.62,7.4,7.481,26900,7.481,62.7463878754,3,2014
2014-09-24,7.31,7.48,7.31,7.41,6900,7.41,60.4339763324,3,2014
2014-09-25,7.25,7.4,6.52,7.26,6600,7.26,55.7587064831,3,2014
2014-09-26,7.49,7.67,7.337,7.34,2600,7.34,57.6408642098,3,2014
2014-09-29,7.38,7.49,7.28,7.43,6300,7.43,59.7171430072,3,2014
2014-09-30,7.55,7.69,7.47,7.69,22600,7.69,65.0472449283,3,2014
