Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,9.7,9.7,9.3,9.5,175200,9.5,,1,2012
2012-01-04,9.42,9.51,9.29,9.47,129200,9.47,,1,2012
2012-01-05,9.36,9.52,9.3,9.43,126500,9.43,,1,2012
2012-01-06,9.39,9.43,9.27,9.28,146400,9.28,,1,2012
2012-01-09,9.34,9.34,9.15,9.19,112000,9.19,,1,2012
2012-01-10,9.28,9.86,9.28,9.36,202000,9.36,,1,2012
2012-01-11,9.34,9.51,9.1,9.21,149700,9.21,,1,2012
2012-01-12,9.22,9.31,8.96,9.18,397300,9.18,,1,2012
2012-01-13,9.07,9.22,8.97,9.13,190400,9.13,,1,2012
2012-01-17,9.21,9.33,9.14,9.25,138400,9.25,,1,2012
2012-01-18,9.22,9.49,9.2,9.45,448700,9.45,,1,2012
2012-01-19,9.45,9.48,9.3,9.32,126500,9.32,,1,2012
2012-01-20,9.33,9.42,9.29,9.35,98000,9.35,,1,2012
2012-01-23,9.36,9.39,9.25,9.27,108800,9.27,,1,2012
2012-01-24,9.23,9.74,9.21,9.71,155100,9.71,56.1403508772,1,2012
2012-01-25,9.7,9.99,9.59,9.93,123700,9.93,61.4776768076,1,2012
2012-01-26,10.0,10.23,9.96,10.0,216800,10.0,63.0196936543,1,2012
2012-01-27,9.98,10.14,9.75,10.14,87900,10.14,65.9549454432,1,2012
2012-01-30,10.05,10.41,10.05,10.4,144400,10.4,70.6190723276,1,2012
2012-01-31,10.45,11.31,10.4,11.04,470500,11.04,78.4465842496,1,2012
2012-02-01,11.1,11.14,10.96,11.03,276400,11.03,78.0964823913,1,2012
2012-02-02,11.08,11.16,10.9,11.05,136500,11.05,78.3050247189,1,2012
2012-02-03,11.24,11.87,11.24,11.65,370500,11.65,83.40855324,1,2012
2012-02-06,11.63,11.88,11.58,11.61,111500,11.61,82.0232596168,1,2012
2012-02-07,11.61,11.61,10.71,10.79,221000,10.79,60.0170800061,1,2012
2012-02-08,10.83,10.89,10.61,10.72,117100,10.72,58.5724069561,1,2012
2012-02-09,10.74,10.91,10.36,10.53,163800,10.53,54.7220804939,1,2012
2012-02-10,10.44,10.53,10.22,10.25,140900,10.25,49.5524583401,1,2012
2012-02-13,10.31,10.36,10.13,10.2,133100,10.2,48.6682820319,1,2012
2012-02-14,10.18,10.27,10.04,10.14,107700,10.14,47.5713367778,1,2012
2012-02-15,10.22,10.27,9.99,10.02,138500,10.02,45.3688592982,1,2012
2012-02-16,10.0,10.3,9.85,10.24,164100,10.24,49.9444240134,1,2012
2012-02-17,10.28,10.53,10.25,10.27,110000,10.27,50.5526026053,1,2012
2012-02-21,10.31,10.54,10.07,10.16,109600,10.16,48.2382662903,1,2012
2012-02-22,10.15,10.27,10.02,10.12,65100,10.12,47.3886760481,1,2012
2012-02-23,10.13,10.81,10.13,10.8,84900,10.8,60.2165318689,1,2012
2012-02-24,10.83,11.09,10.63,10.79,113700,10.79,59.9849030615,1,2012
2012-02-27,10.71,10.71,10.44,10.62,61300,10.62,56.0385382056,1,2012
2012-02-28,10.62,11.25,10.48,11.1,192300,11.1,63.3668865362,1,2012
2012-02-29,11.16,11.16,10.03,10.32,525800,10.32,49.0560606525,1,2012
2012-03-01,10.39,10.65,10.19,10.45,280100,10.45,51.0406532901,1,2012
2012-03-02,10.45,10.57,10.15,10.17,124100,10.17,46.8108091776,1,2012
2012-03-05,10.13,10.13,9.89,10.0,163900,10.0,44.4047140757,1,2012
2012-03-06,9.9,9.97,9.65,9.68,218500,9.68,40.2145101114,1,2012
2012-03-07,9.7,9.84,9.62,9.75,97600,9.75,41.5146378201,1,2012
2012-03-08,9.85,10.18,9.72,10.17,115600,10.17,48.7202670364,1,2012
2012-03-09,10.23,11.12,10.19,11.11,223500,11.11,60.4613844665,1,2012
2012-03-12,11.14,11.49,10.87,11.2,165900,11.2,61.3732918132,1,2012
2012-03-13,11.33,11.34,11.01,11.22,220300,11.22,61.5853224503,1,2012
2012-03-14,11.25,11.39,11.12,11.28,105800,11.28,62.2547130192,1,2012
2012-03-15,11.31,11.41,11.03,11.27,154400,11.27,62.0606101874,1,2012
2012-03-16,11.28,11.65,11.28,11.55,188200,11.55,65.320995807,1,2012
2012-03-19,11.58,11.75,11.4,11.42,216000,11.42,62.6298929286,1,2012
2012-03-20,11.3,11.41,11.16,11.25,190000,11.25,59.1954516533,1,2012
2012-03-21,11.24,11.39,11.02,11.33,90300,11.33,60.2987781487,1,2012
