Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,8.28,8.32,8.01,8.07,437300,8.07,,1,2012
2012-01-04,8.0,8.14,7.9,7.93,336000,7.93,,1,2012
2012-01-05,8.09,8.36,7.95,8.25,710900,8.25,,1,2012
2012-01-06,8.41,8.48,8.25,8.34,727200,8.34,,1,2012
2012-01-09,8.42,8.86,8.34,8.83,750300,8.83,,1,2012
2012-01-10,9.0,9.04,8.8,8.9,626300,8.9,,1,2012
2012-01-11,8.88,9.0,8.8,8.95,374100,8.95,,1,2012
2012-01-12,8.95,9.57,8.9,9.49,1051800,9.49,,1,2012
2012-01-13,9.4,9.59,9.16,9.39,478500,9.39,,1,2012
2012-01-17,9.5,9.79,9.45,9.62,787200,9.62,,1,2012
2012-01-18,9.6,9.65,9.27,9.35,446900,9.35,,1,2012
2012-01-19,9.38,9.47,9.02,9.07,547900,9.07,,1,2012
2012-01-20,9.07,9.09,8.63,8.92,655100,8.92,,1,2012
2012-01-23,8.93,9.13,8.75,8.77,360200,8.77,,1,2012
2012-01-24,8.71,9.03,8.66,9.01,741800,9.01,65.0641025641,1,2012
2012-01-25,8.98,9.27,8.9,9.23,553400,9.23,67.5297891842,1,2012
2012-01-26,9.27,9.36,9.08,9.34,676500,9.34,68.7185844315,1,2012
2012-01-27,9.33,9.4,9.24,9.35,329300,9.35,68.830308426,1,2012
2012-01-30,9.23,9.36,9.08,9.1,403800,9.1,62.7923326547,1,2012
2012-01-31,9.17,9.36,9.12,9.34,301600,9.34,65.8861737244,1,2012
2012-02-01,9.39,9.6,9.28,9.47,526100,9.47,67.4643026153,1,2012
2012-02-02,9.46,9.57,9.31,9.36,318500,9.36,64.7354008947,1,2012
2012-02-03,9.5,9.73,9.29,9.48,451000,9.48,66.3351918879,1,2012
2012-02-06,9.42,9.6,9.13,9.52,230100,9.52,66.8746383552,1,2012
2012-02-07,9.53,9.6,9.32,9.4,305900,9.4,63.5829492031,1,2012
