Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.86,4.94,4.6,4.66,960400,4.66,,1,2012
2012-01-04,4.62,4.69,4.47,4.49,843900,4.49,,1,2012
2012-01-05,4.49,4.73,4.49,4.65,1761000,4.65,,1,2012
2012-01-06,4.65,4.85,4.62,4.79,1008800,4.79,,1,2012
2012-01-09,4.8,4.88,4.74,4.81,872100,4.81,,1,2012
2012-01-10,4.89,4.9,4.75,4.87,754500,4.87,,1,2012
2012-01-11,4.85,5.14,4.82,5.13,1518900,5.13,,1,2012
2012-01-12,5.18,5.18,4.9,5.0,1379900,5.0,,1,2012
2012-01-13,4.92,5.04,4.88,4.96,1035700,4.96,,1,2012
2012-01-17,4.95,5.07,4.9,4.95,1136000,4.95,,1,2012
2012-01-18,4.95,5.03,4.76,4.99,1474700,4.99,,1,2012
2012-01-19,5.0,5.01,4.91,4.96,477800,4.96,,1,2012
2012-01-20,4.96,5.27,4.9,5.0,3749100,5.0,,1,2012
2012-01-23,5.06,5.08,4.81,4.87,1139700,4.87,,1,2012
2012-01-24,4.84,4.95,4.75,4.91,770700,4.91,59.842519685,1,2012
2012-01-25,4.98,5.02,4.87,4.98,1098300,4.98,62.0926243568,1,2012
2012-01-26,5.02,5.42,5.02,5.4,2192200,5.4,72.1689431367,1,2012
2012-01-27,5.49,5.93,5.36,5.62,2733500,5.62,75.797954489,1,2012
2012-01-30,5.6,5.7,5.24,5.3,1687200,5.3,62.9418323237,1,2012
2012-01-31,5.34,5.39,5.15,5.32,1529200,5.32,63.3601163611,1,2012
2012-02-01,5.36,5.66,5.31,5.64,2004100,5.64,69.3258579754,1,2012
2012-02-02,5.7,6.01,5.65,6.0,2322100,6.0,74.3797982456,1,2012
2012-02-03,6.31,6.57,6.1,6.31,3786800,6.31,77.7755272483,1,2012
2012-02-06,6.34,6.5,6.2,6.47,1948200,6.47,79.3004712926,1,2012
2012-02-07,6.48,6.53,6.36,6.42,1926100,6.42,77.5106143297,1,2012
2012-02-08,6.41,6.48,6.06,6.14,2223700,6.14,68.2240934207,1,2012
2012-02-09,6.22,6.25,5.63,5.67,2665500,5.67,56.0786374295,1,2012
2012-02-10,5.66,6.27,5.6,6.14,10419300,6.14,63.1444707276,1,2012
2012-02-13,6.27,6.29,6.02,6.14,2871100,6.14,63.1444707276,1,2012
2012-02-14,6.23,6.24,5.83,5.95,2157900,5.95,58.7158542099,1,2012
2012-02-15,5.98,5.98,5.77,5.8,1287100,5.8,55.4117268846,1,2012
2012-02-16,5.83,5.99,5.75,5.92,1162100,5.92,57.473476592,1,2012
2012-02-17,5.96,5.99,5.75,5.78,1016700,5.78,54.317824411,1,2012
2012-02-21,5.81,5.88,5.55,5.62,1743200,5.62,50.8795424574,1,2012
2012-02-22,5.59,5.65,5.45,5.55,1777600,5.55,49.4060695099,1,2012
