Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-20,22.674999,24.02,21.25,23.6,2884000,23.6,,4,2014
2014-11-21,23.75,23.75,19.780001,21.139999,1349900,21.139999,,4,2014
2014-11-24,20.42,21.1,19.07,19.549999,703200,19.549999,,4,2014
2014-11-25,20.200001,20.200001,17.43,17.91,737700,17.91,,4,2014
2014-11-26,17.98,18.799999,16.950001,17.299999,619500,17.299999,,4,2014
2014-11-28,17.299999,17.639999,15.26,15.32,419200,15.32,,4,2014
2014-12-01,15.2,15.2,13.5,13.7,589800,13.7,,4,2014
2014-12-02,13.75,15.9,13.5,15.7,993300,15.7,,4,2014
2014-12-03,15.77,16.58,14.6,14.71,531900,14.71,,4,2014
2014-12-04,14.45,14.9,13.74,14.06,246300,14.06,,4,2014
2014-12-05,14.45,14.45,13.01,14.1,247100,14.1,,4,2014
2014-12-08,14.12,15.59,13.52,14.74,432400,14.74,,4,2014
2014-12-09,14.54,15.91,14.25,15.46,392500,15.46,,4,2014
2014-12-10,15.8,16.379999,14.6,14.94,458400,14.94,,4,2014
2014-12-11,15.28,15.74,14.3,14.53,268000,14.53,21.4240705734,4,2014
2014-12-12,14.21,15.49,14.15,15.24,120700,15.24,25.0358381503,4,2014
2014-12-15,15.14,15.3,13.95,14.11,179100,14.11,23.2074731348,4,2014
2014-12-16,13.75,14.37,13.57,13.76,144100,13.76,22.6555858989,4,2014
2014-12-17,14.25,14.48,13.01,13.21,190400,13.21,21.7791061746,4,2014
2014-12-18,13.56,13.68,11.82,12.58,432700,12.58,20.7870811433,4,2014
2014-12-19,12.59,12.74,11.07,11.19,964000,11.19,18.7570358778,4,2014
2014-12-22,11.08,11.879,10.36,10.6,551600,10.6,17.9554847321,4,2014
2014-12-23,10.61,10.85,10.0,10.15,404400,10.15,17.346611519,4,2014
2014-12-24,10.14,11.249,10.14,11.01,339600,11.01,22.7387621626,4,2014
2014-12-26,11.01,11.75,11.01,11.17,488500,11.17,23.7356111301,4,2014
2014-12-29,11.1,11.29,10.56,10.62,178600,10.62,22.6535985939,4,2014
2014-12-30,10.52,10.92,10.52,10.76,108600,10.76,23.6082142794,4,2014
2014-12-31,10.82,10.946,10.15,10.26,253700,10.26,22.5383299231,4,2014
2015-01-02,10.37,10.57,10.1,10.15,154100,10.15,22.2989075941,1,2015
2015-01-05,10.14,10.65,10.06,10.33,251800,10.33,23.7267480585,1,2015
2015-01-06,10.41,11.4,10.4,11.31,559000,11.31,31.1453811653,1,2015
2015-01-07,11.65,11.75,10.6,10.74,345900,10.74,29.356857627,1,2015
2015-01-08,10.8,11.28,10.66,10.96,260300,10.96,31.0037269902,1,2015
2015-01-09,11.0,11.14,10.63,10.84,202900,10.84,30.5848954395,1,2015
2015-01-12,12.26,12.65,11.3,11.75,1029200,11.75,37.4821227448,1,2015
2015-01-13,11.74,12.18,10.77,10.89,501700,10.89,34.0398164677,1,2015
2015-01-14,10.5,11.04,10.12,10.69,266400,10.69,33.2744792633,1,2015
2015-01-15,10.95,10.95,10.25,10.3,219500,10.3,31.7742414686,1,2015
2015-01-16,10.32,10.61,10.25,10.43,128900,10.43,32.8608869118,1,2015
2015-01-20,10.44,10.55,10.19,10.21,91400,10.21,31.9339376245,1,2015
2015-01-21,10.2,10.345,9.13,9.5,495900,9.5,29.0827098331,1,2015
2015-01-22,9.52,9.59,8.75,9.22,333200,9.22,28.020195093,1,2015
2015-01-23,9.17,9.17,8.58,8.62,362200,8.62,25.8415034249,1,2015
2015-01-26,8.54,9.07,8.05,8.94,248700,8.94,29.0117601821,1,2015
2015-01-27,8.77,9.71,8.57,9.57,310200,9.57,34.9112531134,1,2015
2015-01-28,9.65,9.688,9.13,9.5,143000,9.5,34.5675064403,1,2015
2015-01-29,9.63,9.63,8.99,9.28,86700,9.28,33.4526649805,1,2015
2015-01-30,9.23,9.36,8.65,8.78,72000,8.78,31.0052255077,1,2015
2015-02-02,8.78,8.78,8.35,8.43,124200,8.43,29.3845961968,1,2015
2015-02-03,8.72,9.27,8.6,9.01,222700,9.01,35.4096517249,1,2015
2015-02-04,9.1,9.344,9.0,9.1,92200,9.1,36.3176394129,1,2015
2015-02-05,9.08,9.82,9.03,9.81,203200,9.81,43.1117893906,1,2015
2015-02-06,9.93,9.93,9.41,9.81,88700,9.81,43.1117893906,1,2015
2015-02-09,10.0,10.0,9.5,9.51,56700,9.51,40.9698244795,1,2015
2015-02-10,9.54,9.55,9.1,9.26,106300,9.26,39.2210301486,1,2015
2015-02-11,9.26,9.35,8.97,9.15,111700,9.15,38.4434689815,1,2015
2015-02-12,9.25,9.25,9.01,9.14,173300,9.14,38.3689978383,1,2015
2015-02-13,9.1,9.2,8.91,8.95,75600,8.95,36.9061392314,1,2015
2015-02-17,8.97,9.0,8.76,8.82,44000,8.82,35.8976701389,1,2015
2015-02-18,8.78,8.83,8.62,8.72,46500,8.72,35.1030668309,1,2015
2015-02-19,8.85,9.0,8.31,8.88,132500,8.88,37.4873439119,1,2015
2015-02-20,8.87,8.92,8.61,8.75,96600,8.75,36.3197717965,1,2015
2015-02-23,8.75,8.95,8.34,8.48,283300,8.48,33.9543960004,1,2015
2015-02-24,10.1,11.64,9.55,11.2,5411500,11.2,61.2989044153,1,2015
2015-02-25,11.63,14.75,11.25,13.9,9906300,13.9,73.1725700906,1,2015
2015-02-26,13.05,13.49,11.78,11.8,2912200,11.8,58.2129276811,1,2015
2015-02-27,12.35,17.4,12.18,16.17,13127800,16.17,71.3426544639,1,2015
2015-03-02,16.0,17.66,14.5,15.04,8752600,15.04,65.6025942533,1,2015
2015-03-03,15.01,15.9,14.57,14.75,1627300,14.75,64.1755384926,1,2015
2015-03-04,14.6,15.44,14.2,14.91,1321600,14.91,64.6326572355,1,2015
2015-03-05,17.440001,19.629999,16.549999,17.07,12816100,17.07,70.1669858581,1,2015
2015-03-06,17.5,18.42,16.33,17.440001,4281900,17.440001,71.0040030674,1,2015
2015-03-09,18.0,18.299999,16.52,16.950001,2957800,16.950001,68.2721417656,1,2015
2015-03-10,16.379999,17.4,15.89,17.23,1476100,17.23,69.005977473,1,2015
2015-03-11,17.1,17.319,15.9,15.96,1513800,15.96,62.0012614501,1,2015
2015-03-12,15.93,16.41,13.93,13.97,2448000,13.97,52.9340635537,1,2015
2015-03-13,13.73,14.88,13.51,14.28,1240500,14.28,54.0611215331,1,2015
2015-03-16,14.29,14.29,12.67,12.75,1034900,12.75,47.9572143249,1,2015
2015-03-17,12.98,13.89,12.61,13.49,942600,13.49,50.8478311731,1,2015
2015-03-18,13.43,13.47,12.84,13.01,588100,13.01,48.9486562389,1,2015
2015-03-19,13.21,14.62,13.0,13.56,1481000,13.56,51.1979032558,1,2015
2015-03-20,13.66,13.95,13.01,13.67,1138500,13.67,51.6566587909,1,2015
2015-03-23,13.65,13.94,13.15,13.32,482600,13.32,50.0446747088,1,2015
2015-03-24,13.31,14.43,13.255,13.65,794300,13.65,51.5789360548,1,2015
2015-03-25,13.5,13.65,12.69,13.09,525100,13.09,48.8377891065,1,2015
2015-03-26,12.94,13.117,12.58,12.65,360900,12.65,46.7361311807,1,2015
2015-03-27,12.68,13.32,12.35,13.22,406100,13.22,49.7527811865,1,2015
2015-03-30,13.31,13.45,12.78,13.08,325800,13.08,49.0184538604,1,2015
2015-03-31,13.06,13.06,12.7,12.82,210100,12.82,47.6129645544,1,2015
2015-04-01,12.81,12.905,12.4,12.49,248500,12.49,45.8173099667,2,2015
2015-04-02,12.5,12.66,11.92,12.14,342000,12.14,43.9251843852,2,2015
2015-04-06,12.0,12.3,11.53,11.62,377800,11.62,41.2026962869,2,2015
2015-04-07,11.68,12.63,11.68,12.62,603200,12.62,47.891416146,2,2015
2015-04-08,14.97,15.6,13.676,14.0,5768900,14.0,55.4270641813,2,2015
2015-04-09,13.77,13.985,13.219,13.37,697400,13.37,51.7478917474,2,2015
2015-04-10,13.36,14.35,13.1,13.47,749200,13.47,52.2892547856,2,2015
2015-04-13,13.52,13.665,13.1,13.27,277500,13.27,51.0554981421,2,2015
2015-04-14,13.41,14.35,13.031,13.91,955300,13.91,54.7359812086,2,2015
2015-04-15,14.47,14.9,14.06,14.35,1054500,14.35,57.1231397992,2,2015
2015-04-16,14.17,14.65,14.1,14.21,353300,14.21,56.1091768135,2,2015
2015-04-17,14.14,14.15,13.3,13.46,500000,13.46,50.8969892575,2,2015
2015-04-20,13.63,14.21,13.32,13.37,318200,13.37,50.2932330321,2,2015
2015-04-21,13.51,13.75,13.25,13.32,167600,13.32,49.9388116533,2,2015
2015-04-22,13.41,13.543,13.15,13.26,196800,13.26,49.4881223383,2,2015
2015-04-23,13.3,14.24,13.2,13.7,637800,13.7,52.8487354126,2,2015
2015-04-24,13.78,13.89,13.3,13.35,403500,13.35,49.9991127941,2,2015
2015-04-27,13.37,13.5,12.36,12.4,644400,12.4,43.1915482739,2,2015
2015-04-28,12.4,12.5,11.54,12.06,481400,12.06,41.0379951049,2,2015
2015-04-29,11.99,12.279,11.6,11.62,276400,11.62,38.3715961295,2,2015
2015-04-30,11.65,11.92,11.35,11.62,275700,11.62,38.3715961295,2,2015
2015-05-01,11.67,12.12,11.67,11.87,193200,11.87,40.9018806472,2,2015
2015-05-04,11.82,12.45,11.72,12.22,303200,12.22,44.3468914226,2,2015
2015-05-05,12.22,12.4,11.86,12.4,178000,12.4,46.0874783348,2,2015
2015-05-06,12.42,12.59,11.75,11.93,244100,11.93,42.3619153464,2,2015
2015-05-07,12.16,12.263,11.81,12.12,123900,12.12,44.3213818278,2,2015
2015-05-08,12.17,12.39,11.25,11.8,457200,11.8,41.7472140054,2,2015
2015-05-11,11.8,11.9,11.4,11.8,247800,11.8,41.7472140054,2,2015
2015-05-12,11.74,11.79,11.5,11.62,208600,11.62,40.2231894546,2,2015
2015-05-13,11.58,11.89,11.5,11.63,254100,11.63,40.3534646896,2,2015
2015-05-14,12.0,13.33,11.28,12.71,1749100,12.71,52.4151118016,2,2015
2015-05-15,12.8,12.94,12.12,12.46,627000,12.46,49.8996383898,2,2015
2015-05-18,12.6,12.69,11.75,11.89,373400,11.89,44.6394469464,2,2015
2015-05-19,11.86,12.235,11.57,11.87,322400,11.87,44.4623397175,2,2015
2015-05-20,11.94,11.94,11.6,11.62,192500,11.62,42.2080611493,2,2015
2015-05-21,11.65,11.7,11.28,11.56,253700,11.56,41.6621116488,2,2015
2015-05-22,12.0,13.08,11.95,12.73,1028200,12.73,54.1235047695,2,2015
2015-05-26,12.85,13.48,12.8,12.96,725300,12.96,56.1083404197,2,2015
2015-05-27,13.08,13.3,12.77,12.9,489800,12.9,55.4345528939,2,2015
2015-05-28,12.84,14.27,12.71,13.89,1193400,13.89,63.2718040935,2,2015
2015-05-29,14.07,15.4,13.95,14.4,1612800,14.4,66.5365944616,2,2015
2015-06-01,14.48,15.0,13.18,14.25,741900,14.25,64.7145318998,2,2015
