Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-10-01,6.56,7.24,6.31,6.62,2079700,6.62,,4,2013
2013-10-02,6.65,7.15,6.65,6.95,311700,6.95,,4,2013
2013-10-03,6.9,6.97,6.85,6.9,110000,6.9,,4,2013
2013-10-04,6.95,7.2,6.8,7.15,61300,7.15,,4,2013
2013-10-07,7.93,9.0,7.37,8.5,381800,8.5,,4,2013
2013-10-08,8.49,9.19,7.83,7.94,284700,7.94,,4,2013
2013-10-09,7.53,7.61,6.06,6.7,381100,6.7,,4,2013
2013-10-10,7.4,7.4,6.5,6.96,91200,6.96,,4,2013
2013-10-11,7.1,7.25,6.81,7.05,30600,7.05,,4,2013
2013-10-14,7.1,7.2,6.64,7.01,80200,7.01,,4,2013
2013-10-15,6.99,7.19,6.83,7.19,42500,7.19,,4,2013
2013-10-16,7.15,7.15,6.59,7.0,103400,7.0,,4,2013
2013-10-17,6.92,7.03,6.76,7.03,25900,7.03,,4,2013
2013-10-18,7.01,7.1,6.87,7.0,50000,7.0,,4,2013
2013-10-21,7.0,7.05,6.87,7.0,20400,7.0,54.1304347826,4,2013
2013-10-22,7.1,7.1,6.6,6.72,30100,6.72,50.8003766478,4,2013
2013-10-23,6.8,7.11,6.75,6.85,88300,6.85,52.2685749086,4,2013
2013-10-24,6.61,6.93,6.61,6.93,53000,6.93,53.194239291,4,2013
2013-10-25,6.85,6.95,6.75,6.87,25000,6.87,52.373869312,4,2013
2013-10-28,7.1,7.12,6.25,6.45,248900,6.45,46.9190868989,4,2013
2013-10-29,6.25,6.51,6.05,6.3,72200,6.3,45.1119901275,4,2013
2013-10-30,6.4,6.64,6.25,6.25,24000,6.25,44.4967794476,4,2013
2013-10-31,6.27,6.35,6.0,6.0,108500,6.0,41.4528083416,4,2013
2013-11-01,6.01,6.15,6.0,6.01,56200,6.01,41.6248306514,4,2013
2013-11-04,6.1,6.31,6.0,6.29,131700,6.29,46.3758001918,4,2013
2013-11-05,6.25,6.43,6.02,6.11,21000,6.11,43.9021459314,4,2013
2013-11-06,6.1,6.18,5.94,5.95,15700,5.95,41.769405335,4,2013
2013-11-07,6.0,6.23,4.69,5.0,55800,5.0,31.8697643503,4,2013
2013-11-08,4.95,5.02,4.5,4.61,81900,4.61,28.8471058343,4,2013
2013-11-11,4.55,4.71,4.3,4.65,37900,4.65,29.584767002,4,2013
2013-11-12,4.51,5.15,4.51,4.77,70000,4.77,31.8668363878,4,2013
2013-11-13,4.83,5.51,4.83,5.16,54000,5.16,38.8078942821,4,2013
2013-11-14,4.97,5.05,4.5,4.86,72700,4.86,35.7876528635,4,2013
2013-11-15,4.93,5.42,4.9,5.1,22500,5.1,39.8225287904,4,2013
2013-11-18,5.14,5.15,4.9,4.95,7700,4.95,38.2066267256,4,2013
2013-11-19,5.12,5.12,4.95,5.0,5800,5.0,39.093805403,4,2013
2013-11-20,5.16,5.2,4.95,4.96,17000,4.96,38.6161520207,4,2013
2013-11-21,5.02,5.04,4.95,5.0,5600,5.0,39.4133506243,4,2013
2013-11-22,5.12,5.31,4.95,5.06,46700,5.06,40.6582906055,4,2013
2013-11-25,5.1,5.39,5.05,5.05,45200,5.05,40.5088890069,4,2013
2013-11-26,5.16,5.33,5.05,5.25,33100,5.25,44.8719700577,4,2013
2013-11-27,5.26,5.49,5.26,5.46,3700,5.46,49.0936664964,4,2013
2013-11-29,5.44,5.84,5.44,5.6,17800,5.6,51.7466550599,4,2013
2013-12-02,5.7,5.89,5.5,5.64,22600,5.64,52.5082056811,4,2013
2013-12-03,5.77,6.1,5.75,5.94,56100,5.94,57.8776560162,4,2013
2013-12-04,6.25,6.25,5.97,6.05,32500,6.05,59.6778172257,4,2013
2013-12-05,6.13,6.48,6.05,6.14,20900,6.14,61.1410857743,4,2013
2013-12-06,6.14,6.48,5.96,6.33,17300,6.33,64.1027571765,4,2013
2013-12-09,6.44,6.48,6.11,6.34,18800,6.34,64.2571639336,4,2013
2013-12-10,6.33,6.4,6.21,6.4,16800,6.4,65.2237139711,4,2013
2013-12-11,6.11,6.9,6.11,6.41,28800,6.41,65.3916907113,4,2013
2013-12-12,6.55,7.0,6.51,7.0,61700,7.0,73.5188602299,4,2013
2013-12-13,7.08,7.2,7.05,7.2,44700,7.2,75.6097797837,4,2013
2013-12-16,7.2,7.48,6.42,7.0,44100,7.0,69.684340806,4,2013
2013-12-17,6.99,7.53,6.71,6.84,34900,6.84,65.2769925887,4,2013
2013-12-18,7.07,7.7,6.81,7.19,29500,7.19,69.7796996199,4,2013
2013-12-19,7.33,7.5,7.06,7.19,12800,7.19,69.7796996199,4,2013
2013-12-20,7.27,7.34,6.75,6.82,102300,6.82,60.2075332535,4,2013
2013-12-23,6.89,6.89,6.36,6.55,26900,6.55,54.3486282909,4,2013
2013-12-24,6.11,6.83,6.06,6.83,10000,6.83,58.8236246272,4,2013
2013-12-26,6.68,7.04,6.41,7.01,29700,7.01,61.4404230546,4,2013
2013-12-27,6.97,6.97,6.97,6.97,200,6.97,60.5199879828,4,2013
2013-12-30,6.51,6.9,6.5,6.61,8300,6.61,52.8466609805,4,2013
2013-12-31,6.72,6.72,6.16,6.28,20500,6.28,46.9679440872,4,2013
2014-01-02,6.35,6.99,6.3,6.36,38400,6.36,48.4646315121,1,2014
2014-01-03,6.4,6.87,6.25,6.82,35300,6.82,56.1311986316,1,2014
2014-01-06,6.79,6.79,6.36,6.55,31800,6.55,51.3066180876,1,2014
2014-01-07,6.36,6.88,6.25,6.37,24100,6.37,48.3245569037,1,2014
2014-01-08,6.45,6.85,6.32,6.84,54000,6.84,55.583846793,1,2014
2014-01-09,6.52,6.8,6.38,6.62,17000,6.62,51.9080290027,1,2014
2014-01-10,6.66,6.85,6.37,6.61,16700,6.61,51.7405353722,1,2014
2014-01-13,6.5,6.85,6.38,6.43,31500,6.43,48.694724984,1,2014
2014-01-14,6.5,6.82,6.38,6.55,26500,6.55,50.7751394467,1,2014
2014-01-15,6.78,6.78,6.45,6.64,36600,6.64,52.3362094148,1,2014
2014-01-16,6.95,6.96,6.63,6.95,93000,6.95,57.3530439839,1,2014
2014-01-17,6.83,7.5,6.81,7.16,98600,7.16,60.3942232567,1,2014
2014-01-21,7.2,7.49,6.88,6.88,61200,6.88,54.784574179,1,2014
2014-01-22,7.12,7.5,6.99,7.02,82000,7.02,56.93827987,1,2014
2014-01-23,7.05,7.2,6.59,6.8,39800,6.8,52.6909581826,1,2014
2014-01-24,6.8,6.95,6.78,6.92,10900,6.92,54.6769313114,1,2014
2014-01-27,6.99,6.99,6.2,6.26,71300,6.26,43.7890754167,1,2014
2014-01-28,6.25,6.68,6.24,6.25,6300,6.25,43.6472559249,1,2014
2014-01-29,6.42,6.86,5.98,6.11,40200,6.11,41.6152035755,1,2014
2014-01-30,6.25,6.49,6.25,6.26,10400,6.26,44.5916695219,1,2014
2014-01-31,6.57,6.57,6.1,6.2,21600,6.2,43.6334492203,1,2014
2014-02-03,6.27,6.28,6.15,6.25,2500,6.25,44.6999004169,1,2014
2014-02-04,6.27,6.4,6.1,6.17,4400,6.17,43.2886684069,1,2014
2014-02-05,6.13,6.36,6.05,6.12,22400,6.12,42.3879298151,1,2014
2014-02-06,6.28,6.36,5.95,6.07,32300,6.07,41.4589055442,1,2014
2014-02-07,6.23,6.43,5.98,6.2,9700,6.2,44.8437419225,1,2014
2014-02-10,6.2,6.25,5.99,6.0,13700,6.0,40.9234335198,1,2014
2014-02-11,6.15,6.15,5.98,5.99,24200,5.99,40.7316966745,1,2014
2014-02-12,6.04,6.1,5.85,5.88,40500,5.88,38.5898705874,1,2014
2014-02-13,5.98,6.1,5.89,5.92,22700,5.92,39.8289280313,1,2014
2014-02-14,6.02,6.25,5.95,6.01,34100,6.01,42.6335639997,1,2014
2014-02-18,6.14,6.32,5.95,6.0,46400,6.0,42.3970988927,1,2014
2014-02-19,6.0,6.14,6.0,6.06,6900,6.06,44.3900819829,1,2014
2014-02-20,6.14,6.16,6.0,6.0,8400,6.0,42.795517017,1,2014
2014-02-21,6.08,6.09,5.98,6.0,4800,6.0,42.795517017,1,2014
2014-02-24,6.08,6.29,6.0,6.1,80700,6.1,46.509589044,1,2014
2014-02-25,6.18,6.35,6.18,6.19,11700,6.19,49.6763795067,1,2014
2014-02-26,6.48,6.81,6.25,6.26,59600,6.26,52.0539658532,1,2014
2014-02-27,6.68,7.1,6.27,7.1,46400,7.1,70.2302612575,1,2014
2014-02-28,7.1,7.18,6.9,6.97,38300,6.97,66.0565959327,1,2014
2014-03-03,7.03,9.0,6.7,8.98,104100,8.98,82.9390179384,1,2014
2014-03-04,8.97,8.97,7.75,8.67,58800,8.67,76.6102851867,1,2014
2014-03-05,8.88,8.88,8.41,8.82,34900,8.82,77.5047493659,1,2014
2014-03-06,8.8,10.0,8.32,9.47,62000,9.47,80.9113420091,1,2014
2014-03-07,9.58,9.89,8.45,9.09,56900,9.09,73.8685647668,1,2014
2014-03-10,9.09,9.43,8.7,9.04,31200,9.04,72.9685669501,1,2014
2014-03-11,9.0,9.2,8.64,8.99,32400,8.99,72.0235469849,1,2014
2014-03-12,8.75,9.08,8.12,8.83,99600,8.83,68.9463784207,1,2014
2014-03-13,9.08,9.15,8.44,8.77,24900,8.77,67.7769470622,1,2014
2014-03-14,8.85,12.81,8.7,11.15,294400,11.15,81.3151908967,1,2014
2014-03-17,10.75,11.02,10.19,10.43,87000,10.43,71.5249489181,1,2014
2014-03-18,10.45,11.6,10.21,11.51,94500,11.51,76.1613351771,1,2014
2014-03-19,11.51,11.96,11.06,11.07,48400,11.07,71.0832936815,1,2014
2014-03-20,11.61,11.83,10.52,11.65,29600,11.65,73.5836111003,1,2014
2014-03-21,11.81,11.84,10.66,11.45,73900,11.45,71.2943868084,1,2014
2014-03-24,11.3,11.9,10.5,11.35,40300,11.35,70.1197534854,1,2014
2014-03-25,11.51,12.01,10.99,11.0,33900,11.0,66.0198446067,1,2014
2014-03-26,11.25,13.55,11.18,12.28,124000,12.28,72.3801949878,1,2014
2014-03-27,12.17,12.78,11.18,11.75,46300,11.75,66.8043462706,1,2014
2014-03-28,12.26,12.26,10.9,11.26,30400,11.26,62.045451758,1,2014
2014-03-31,11.02,11.08,9.32,9.74,276600,9.74,50.1184522417,1,2014
2014-04-01,9.77,9.95,8.9,9.0,86300,9.0,45.5297552416,2,2014
2014-04-02,9.0,9.24,8.7,9.14,102600,9.14,46.5272378862,2,2014
2014-04-03,8.95,8.95,8.0,8.57,110400,8.57,43.0690925162,2,2014
2014-04-04,8.69,8.84,7.58,8.7,106000,8.7,44.0897513028,2,2014
2014-04-07,8.21,8.55,8.06,8.36,25300,8.36,41.9704330874,2,2014
2014-04-08,8.25,8.49,7.85,7.92,38900,7.92,39.3353177583,2,2014
2014-04-09,7.95,8.2,7.6,8.08,37300,8.08,40.7910958831,2,2014
2014-04-10,8.37,8.55,7.99,8.43,26300,8.43,43.9591785107,2,2014
2014-04-11,8.41,8.44,7.66,8.0,34700,8.0,41.0528926108,2,2014
2014-04-14,7.86,8.05,7.63,7.66,12000,7.66,38.8649209124,2,2014
2014-04-15,7.58,7.69,6.62,6.73,96600,6.73,33.5912521887,2,2014
2014-04-16,7.0,7.65,6.79,7.25,43500,7.25,38.6074623183,2,2014
2014-04-17,7.14,7.31,6.78,7.0,26400,7.0,37.1544071168,2,2014
2014-04-21,6.9,7.32,6.9,7.07,21800,7.07,37.859631623,2,2014
2014-04-22,7.11,7.7,6.98,7.11,44700,7.11,38.2858030069,2,2014
2014-04-23,7.3,7.38,6.77,6.99,54100,6.99,37.4558826169,2,2014
2014-04-24,6.95,7.35,6.63,7.04,56600,7.04,38.0583793276,2,2014
2014-04-25,7.01,7.01,6.69,6.97,17000,6.97,37.5135393427,2,2014
2014-04-28,6.67,7.1,6.55,7.02,69600,7.02,38.1941595609,2,2014
2014-04-29,7.05,7.33,6.95,7.24,75600,7.24,41.2275616972,2,2014
2014-04-30,6.94,7.25,6.85,6.88,55700,6.88,37.9456494433,2,2014
2014-05-01,7.0,7.24,6.84,7.2,53600,7.2,42.3395432299,2,2014
2014-05-02,7.06,7.2,6.75,7.11,28400,7.11,41.4505772979,2,2014
2014-05-05,7.18,7.2,7.0,7.01,40700,7.01,40.4347134776,2,2014
2014-05-06,7.0,7.09,6.91,7.09,2500,7.09,41.666394918,2,2014
2014-05-07,7.0,7.08,6.93,6.96,11200,6.96,40.211299998,2,2014
2014-05-08,6.96,7.0,6.75,6.84,25200,6.84,38.862166325,2,2014
2014-05-09,6.84,7.12,6.84,6.85,5800,6.85,39.0456995336,2,2014
2014-05-12,6.86,7.0,6.55,6.91,11800,6.91,40.2055484773,2,2014
2014-05-13,6.85,6.86,6.45,6.56,20600,6.56,35.9126906842,2,2014
2014-05-14,6.62,6.98,6.54,6.55,8600,6.55,35.7950924938,2,2014
2014-05-15,6.57,6.99,6.43,6.69,10400,6.69,38.815773648,2,2014
2014-05-16,6.59,6.79,6.59,6.65,2900,6.65,38.2618885224,2,2014
2014-05-19,6.74,6.95,6.56,6.6,21800,6.6,37.5407656379,2,2014
2014-05-20,6.6,6.6,6.45,6.46,5600,6.46,35.5220127698,2,2014
2014-05-21,6.41,6.77,6.02,6.2,22500,6.2,32.0726069726,2,2014
