Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.4,0.4,0.39,0.4,1900,10.0,,1,2012
2012-01-04,0.4,0.42,0.38,0.41,8200,10.25,,1,2012
2012-01-05,0.4,0.4,0.38,0.39,9100,9.75,,1,2012
2012-01-06,0.39,0.4,0.39,0.4,14100,10.0,,1,2012
2012-01-09,0.4,0.42,0.38,0.42,6100,10.5,,1,2012
2012-01-10,0.41,0.42,0.41,0.42,10500,10.5,,1,2012
2012-01-11,0.42,0.43,0.42,0.43,4600,10.75,,1,2012
2012-01-12,0.43,0.43,0.42,0.42,5800,10.5,,1,2012
2012-01-13,0.42,0.43,0.42,0.43,4100,10.75,,1,2012
2012-01-17,0.43,0.43,0.39,0.42,7400,10.5,,1,2012
2012-01-18,0.42,0.42,0.39,0.41,1500,10.25,,1,2012
2012-01-19,0.41,0.41,0.39,0.41,3600,10.25,,1,2012
2012-01-20,0.39,0.41,0.39,0.4,1200,10.0,,1,2012
2012-01-23,0.39,0.4,0.38,0.39,3600,9.75,,1,2012
2012-01-24,0.39,0.39,0.38,0.39,1100,9.75,46.1538461538,1,2012
2012-01-25,0.38,0.4,0.32,0.39,19700,9.75,46.1538461538,1,2012
2012-01-26,0.39,0.42,0.39,0.4,10800,10.0,50.5641454242,1,2012
2012-01-27,0.4,0.4,0.39,0.4,9400,10.0,50.5641454242,1,2012
2012-01-30,0.4,0.41,0.4,0.4,3700,10.0,50.5641454242,1,2012
2012-01-31,0.4,0.4,0.39,0.39,6800,9.75,45.8715722976,1,2012
2012-02-01,0.39,0.39,0.38,0.38,4400,9.5,41.7035844391,1,2012
2012-02-02,0.39,0.39,0.36,0.38,6200,9.5,41.7035844391,1,2012
2012-02-03,0.36,0.38,0.35,0.37,9600,9.25,37.7278758841,1,2012
2012-02-06,0.36,0.37,0.36,0.37,25200,9.25,37.7278758841,1,2012
2012-02-07,0.37,0.39,0.37,0.38,9900,9.5,43.9274368018,1,2012
2012-02-08,0.39,0.39,0.39,0.39,13500,9.75,49.3570730265,1,2012
2012-02-09,0.39,0.4,0.39,0.39,8300,9.75,49.3570730265,1,2012
2012-02-10,0.39,0.44,0.39,0.41,95200,10.25,58.6455050702,1,2012
2012-02-13,0.41,0.41,0.39,0.41,9900,10.25,58.6455050702,1,2012
2012-02-14,0.41,0.41,0.4,0.41,11000,10.25,58.6455050702,1,2012
2012-02-15,0.41,0.42,0.4,0.41,4400,10.25,58.6455050702,1,2012
2012-02-16,0.41,0.43,0.4,0.41,7000,10.25,58.6455050702,1,2012
2012-02-17,0.41,0.43,0.4,0.42,5100,10.5,63.4947326278,1,2012
2012-02-21,0.41,0.44,0.41,0.42,45400,10.5,63.4947326278,1,2012
2012-02-22,0.42,0.43,0.42,0.42,10100,10.5,63.4947326278,1,2012
2012-02-23,0.42,0.44,0.41,0.43,21800,10.75,68.1581303266,1,2012
2012-02-24,0.42,0.45,0.41,0.42,50200,10.5,59.9154170954,1,2012
2012-02-27,0.42,0.5,0.42,0.45,43000,11.25,71.1769665056,1,2012
2012-02-28,0.47,0.48,0.45,0.46,15300,11.5,73.8175200918,1,2012
2012-02-29,0.48,0.48,0.44,0.44,6200,11.0,61.6523166019,1,2012
2012-03-01,0.46,0.47,0.44,0.45,21800,11.25,64.7778918626,1,2012
2012-03-02,0.46,0.48,0.45,0.47,45200,11.75,70.0378107752,1,2012
2012-03-05,0.5,0.5,0.45,0.47,18100,11.75,70.0378107752,1,2012
