Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-01-29,19.0,19.5,14.8,14.95,5211600,14.95,,1,2015
2015-01-30,14.95,15.54,14.5,14.74,223600,14.74,,1,2015
2015-02-02,15.09,15.24,14.02,14.21,154900,14.21,,1,2015
2015-02-03,13.99,14.1,12.89,13.48,139200,13.48,,1,2015
2015-02-04,13.16,14.0,12.73,12.74,90500,12.74,,1,2015
2015-02-05,13.23,13.44,12.55,12.82,82700,12.82,,1,2015
2015-02-06,13.17,13.52,12.96,13.17,176300,13.17,,1,2015
2015-02-09,13.05,13.835,13.0,13.57,68400,13.57,,1,2015
2015-02-10,13.39,13.99,12.845,13.6,55800,13.6,,1,2015
2015-02-11,14.0,14.05,13.81,14.04,35600,14.04,,1,2015
2015-02-12,14.2,14.2,13.63,14.07,58600,14.07,,1,2015
2015-02-13,13.93,14.22,13.46,13.89,53200,13.89,,1,2015
2015-02-17,14.19,14.7,14.12,14.42,39400,14.42,,1,2015
2015-02-18,14.96,14.96,14.41,14.48,30500,14.48,,1,2015
2015-02-19,14.47,14.5,14.41,14.49,37300,14.49,44.6759259259,1,2015
2015-02-20,14.5,14.94,14.25,14.71,95500,14.71,47.5523295071,1,2015
2015-02-23,15.0,16.18,14.525,15.95,197200,15.95,60.1336412807,1,2015
2015-02-24,16.790001,17.280001,16.309999,17.200001,189000,17.200001,68.3705570235,1,2015
2015-02-25,17.5,18.049999,16.42,16.879999,103900,16.879999,64.6859190644,1,2015
2015-02-26,17.07,17.66,16.440001,17.530001,61100,17.530001,68.410022263,1,2015
2015-02-27,17.530001,17.85,17.02,17.385,54400,17.385,66.7197024283,1,2015
2015-03-02,17.4,18.5,17.0,17.780001,41000,17.780001,68.9690477797,1,2015
2015-03-03,17.93,19.98,17.93,19.700001,138600,19.700001,77.0786127047,1,2015
2015-03-04,19.559999,20.799999,19.110001,19.5,188500,19.5,74.8832673007,1,2015
2015-03-05,19.950001,19.950001,18.5,18.5,165800,18.5,64.9260006372,1,2015
2015-03-06,18.299999,18.549999,17.0,17.67,58300,17.67,58.0289581426,1,2015
2015-03-09,17.74,18.764999,17.23,18.26,89400,18.26,61.1854011682,1,2015
2015-03-10,18.0,18.738001,17.530001,18.08,46600,18.08,59.7100320597,1,2015
2015-03-11,18.07,18.74,18.01,18.16,42900,18.16,60.1697255337,1,2015
2015-03-12,18.190001,18.681999,18.16,18.629999,59000,18.629999,62.8513967827,1,2015
2015-03-13,18.700001,18.700001,18.17,18.389999,62200,18.389999,60.6074266485,1,2015
2015-03-16,18.5,21.870001,18.27,21.629999,212800,21.629999,74.0678580859,1,2015
2015-03-17,22.01,23.16,19.52,22.969999,152600,22.969999,77.4931926228,1,2015
2015-03-18,23.360001,23.360001,21.02,22.030001,96200,22.030001,70.4620384407,1,2015
2015-03-19,22.040001,22.74,19.629999,19.940001,81100,19.940001,57.8860763205,1,2015
2015-03-20,20.01,22.5,19.860001,20.15,277100,20.15,58.6839973985,1,2015
2015-03-23,20.09,20.879999,20.0,20.42,76000,20.42,59.7401759061,1,2015
2015-03-24,19.620001,21.9,19.620001,21.530001,74500,21.530001,63.8334463975,1,2015
2015-03-25,21.58,21.74,19.51,20.049999,106100,20.049999,55.7015887127,1,2015
2015-03-26,20.01,21.92,19.49,20.450001,104800,20.450001,57.2853962395,1,2015
2015-03-27,20.559999,20.969999,19.778,20.190001,79100,20.190001,55.8867151475,1,2015
2015-03-30,20.23,21.1,18.26,19.0,133700,19.0,49.8834203752,1,2015
2015-03-31,19.0,21.469999,18.4,19.6,750200,19.6,52.6454684705,1,2015
2015-04-01,20.200001,20.469999,19.030001,19.82,58600,19.82,53.6540652403,2,2015
2015-04-02,19.91,21.32,19.6,21.209999,38700,21.209999,59.5204222857,2,2015
2015-04-06,20.969999,23.120001,20.82,21.65,93700,21.65,61.1948635572,2,2015
2015-04-07,21.77,22.530001,20.09,20.200001,72300,20.200001,53.3613047302,2,2015
2015-04-08,20.290001,21.518,19.739,19.75,34500,19.75,51.1719962598,2,2015
2015-04-09,19.9,20.219999,19.209999,19.93,42400,19.93,52.0199744874,2,2015
2015-04-10,19.85,19.85,19.26,19.59,23400,19.59,50.2449701434,2,2015
2015-04-13,19.5,20.059999,19.15,19.459999,23000,19.459999,49.5488008032,2,2015
2015-04-14,20.190001,21.309999,19.0,19.66,110800,19.66,50.6809589127,2,2015
2015-04-15,19.98,20.700001,19.65,19.91,68000,19.91,52.1271232212,2,2015
2015-04-16,19.809999,20.190001,19.299999,19.450001,43700,19.450001,49.2646590549,2,2015
2015-04-17,19.25,21.200001,19.129999,20.360001,70200,20.360001,54.5784825868,2,2015
2015-04-20,20.65,22.764999,20.559999,22.34,269300,22.34,63.5290717545,2,2015
2015-04-21,22.620001,24.5,22.610001,24.17,217600,24.17,69.509419979,2,2015
2015-04-22,24.559999,24.82,21.5,22.84,210300,22.84,61.6032117929,2,2015
2015-04-23,22.719999,23.25,22.459999,22.91,58800,22.91,61.8491690636,2,2015
2015-04-24,22.799999,22.950001,22.33,22.559999,63100,22.559999,59.7869853573,2,2015
