Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.31,5.31,4.92,5.19,86900,5.19,,1,2012
2012-01-04,5.2,5.45,5.16,5.29,63300,5.29,,1,2012
2012-01-05,5.22,5.3,5.15,5.28,35000,5.28,,1,2012
2012-01-06,5.31,5.78,5.3,5.7,203100,5.7,,1,2012
2012-01-09,5.7,6.08,5.6,5.84,434300,5.84,,1,2012
2012-01-10,6.02,6.02,5.83,5.86,93600,5.86,,1,2012
2012-01-11,5.97,5.97,5.8,5.84,83200,5.84,,1,2012
2012-01-12,5.84,5.9,5.72,5.83,101000,5.83,,1,2012
2012-01-13,5.77,5.81,5.7,5.76,82500,5.76,,1,2012
2012-01-17,5.79,5.99,5.65,5.66,654800,5.66,,1,2012
2012-01-18,5.75,5.75,5.39,5.56,117400,5.56,,1,2012
2012-01-19,5.65,5.76,5.31,5.42,79300,5.42,,1,2012
2012-01-20,5.45,5.58,5.25,5.52,66600,5.52,,1,2012
2012-01-23,5.59,5.59,5.27,5.32,41700,5.32,,1,2012
2012-01-24,5.33,5.41,5.25,5.32,69300,5.32,54.5454545455,1,2012
2012-01-25,5.4,5.52,5.31,5.41,59300,5.41,57.4307304786,1,2012
2012-01-26,5.42,6.0,5.42,5.95,212100,5.95,69.8123059166,1,2012
2012-01-27,5.93,6.21,5.93,6.08,232400,6.08,71.9290624281,1,2012
2012-01-30,6.01,6.27,6.0,6.25,93200,6.25,74.4519028221,1,2012
2012-01-31,6.25,6.34,6.16,6.24,195200,6.24,74.0304210097,1,2012
2012-02-01,6.12,6.35,6.12,6.27,93000,6.27,74.4968682096,1,2012
2012-02-02,6.35,6.57,6.32,6.48,162800,6.48,77.5382065319,1,2012
2012-02-03,6.47,6.72,6.47,6.57,116100,6.57,78.7100094774,1,2012
2012-02-06,6.57,6.83,6.43,6.53,193700,6.53,76.7925275338,1,2012
2012-02-07,6.52,6.75,6.45,6.45,50300,6.45,72.9640598272,1,2012
2012-02-08,6.42,6.65,6.19,6.58,51700,6.58,75.1335508094,1,2012
2012-02-09,6.68,6.69,6.58,6.65,79900,6.65,76.2391986621,1,2012
2012-02-10,6.56,6.66,6.53,6.63,58100,6.63,75.210242949,1,2012
2012-02-13,6.72,6.81,6.64,6.64,44900,6.64,75.3890977421,1,2012
2012-02-14,6.63,6.77,6.6,6.67,34300,6.67,75.9496998819,1,2012
2012-02-15,6.66,6.72,6.65,6.68,97700,6.68,76.1447626514,1,2012
2012-02-16,6.65,6.94,6.65,6.87,176400,6.87,79.5401854681,1,2012
2012-02-17,6.86,7.09,6.86,6.96,67900,6.96,80.9251684114,1,2012
2012-02-21,6.93,6.93,6.39,6.4,106100,6.4,55.672244742,1,2012
2012-02-22,6.31,6.41,6.22,6.33,101600,6.33,53.4278936144,1,2012
2012-02-23,6.27,6.53,6.2,6.45,45100,6.45,56.6539329479,1,2012
2012-02-24,6.59,6.7,6.5,6.55,58200,6.55,59.1908417296,1,2012
2012-02-27,6.5,6.56,6.37,6.48,46600,6.48,56.689679408,1,2012
2012-02-28,6.44,6.53,6.32,6.32,21500,6.32,51.3486717371,1,2012
2012-02-29,6.36,6.4,6.24,6.39,29700,6.39,53.4164981317,1,2012
2012-03-01,6.33,6.65,6.27,6.33,35700,6.33,51.3998991952,1,2012
2012-03-02,6.45,6.9,6.45,6.63,81600,6.63,59.6103797706,1,2012
2012-03-05,6.7,6.88,6.6,6.75,87200,6.75,62.3502981401,1,2012
2012-03-06,6.61,6.76,6.45,6.48,63600,6.48,53.5483092035,1,2012
2012-03-07,6.6,6.94,6.52,6.78,97000,6.78,60.2610627972,1,2012
2012-03-08,6.91,7.08,6.8,7.03,37800,7.03,64.823112629,1,2012
2012-03-09,7.0,7.05,6.89,6.93,77500,6.93,61.7685042655,1,2012
2012-03-12,7.08,7.2,6.97,7.09,67700,7.09,64.6395988804,1,2012
2012-03-13,7.1,7.35,7.04,7.29,49300,7.29,67.8860891742,1,2012
2012-03-14,7.3,7.7,7.3,7.67,224700,7.67,72.9649113598,1,2012
2012-03-15,7.05,7.27,5.66,5.93,1029400,5.93,40.9946027595,1,2012
2012-03-16,5.85,5.93,5.49,5.89,288500,5.89,40.5546872714,1,2012
2012-03-19,5.95,6.05,5.68,5.72,160800,5.72,38.6560847714,1,2012
2012-03-20,5.73,5.77,5.53,5.56,67900,5.56,36.9048969309,1,2012
