Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-02-12,16.0,16.120001,14.56,14.71,1601700,14.71,,1,2014
2014-02-13,15.15,15.47,14.05,14.65,192300,14.65,,1,2014
2014-02-14,14.79,15.49,14.51,15.06,73400,15.06,,1,2014
2014-02-18,15.15,15.46,15.01,15.06,434400,15.06,,1,2014
2014-02-19,15.05,15.09,14.62,14.88,30400,14.88,,1,2014
2014-02-20,14.63,14.99,14.55,14.9,21800,14.9,,1,2014
2014-02-21,15.0,15.48,14.7,15.43,28300,15.43,,1,2014
2014-02-24,15.66,15.66,14.79,15.2,34000,15.2,,1,2014
2014-02-25,15.26,16.0,15.03,16.0,35500,16.0,,1,2014
2014-02-26,16.0,16.77,15.99,16.01,69400,16.01,,1,2014
2014-02-27,16.049999,16.450001,16.049999,16.450001,81300,16.450001,,1,2014
2014-02-28,16.01,19.75,16.01,18.4,105400,18.4,,1,2014
2014-03-03,18.4,19.24,16.360001,17.610001,131800,17.610001,,1,2014
2014-03-04,17.700001,18.799999,17.700001,18.040001,54700,18.040001,,1,2014
2014-03-05,18.360001,19.85,18.26,19.209999,221600,19.209999,82.0512886259,1,2014
2014-03-06,19.49,20.85,19.0,19.34,175900,19.34,82.4022438768,1,2014
2014-03-07,20.719999,20.719999,18.309999,19.26,66700,19.26,81.3481144455,1,2014
2014-03-10,19.27,19.99,18.57,19.219999,170900,19.219999,80.7915870021,1,2014
2014-03-11,19.4,19.559999,18.76,19.290001,84700,19.290001,81.0360939321,1,2014
2014-03-12,19.25,20.5,19.120001,19.700001,77300,19.700001,82.445530362,1,2014
2014-03-13,19.9,20.18,19.299999,19.75,87300,19.75,82.6152175693,1,2014
2014-03-14,20.0,20.0,17.51,18.51,89500,18.51,65.6629800683,1,2014
2014-03-17,18.65,18.74,17.700001,18.16,34400,18.16,61.8078280968,1,2014
2014-03-18,18.200001,19.040001,17.959999,18.98,56000,18.98,66.7354073175,1,2014
2014-03-19,19.110001,20.040001,19.110001,19.42,74900,19.42,69.0434078843,1,2014
2014-03-20,19.6,19.99,19.290001,19.5,33700,19.5,69.4583317831,1,2014
2014-03-21,19.66,19.66,18.209999,18.59,82900,18.59,59.6622767539,1,2014
2014-03-24,18.889999,19.5,16.41,17.959999,80500,17.959999,53.9856571841,1,2014
2014-03-25,18.0,18.57,16.459999,16.73,88200,16.73,44.9861798783,1,2014
2014-03-26,16.799999,16.799999,15.7,16.43,104200,16.43,43.099025105,1,2014
2014-03-27,17.49,17.49,14.55,15.76,144200,15.76,39.1491036573,1,2014
2014-03-28,15.86,17.309999,15.54,15.81,345400,15.81,39.5940225152,1,2014
2014-03-31,15.91,16.99,15.01,16.450001,675000,16.450001,45.1247895346,1,2014
2014-04-01,16.5,17.09,16.0,16.93,102100,16.93,48.9034785135,2,2014
2014-04-02,16.950001,17.709999,16.83,17.4,44600,17.4,52.3625212278,2,2014
2014-04-03,17.41,18.0,16.76,17.629999,72600,17.629999,54.0034970298,2,2014
2014-04-04,17.74,18.190001,16.799999,17.940001,46200,17.940001,56.193838568,2,2014
2014-04-07,17.82,18.23,15.45,17.25,40100,17.25,50.4367367204,2,2014
2014-04-08,17.110001,17.42,16.870001,17.120001,37900,17.120001,49.4096619285,2,2014
2014-04-09,17.120001,17.66,16.82,16.98,39800,16.98,48.2696611444,2,2014
2014-04-10,16.98,17.780001,16.07,16.65,108400,16.65,45.5990157787,2,2014
2014-04-11,16.6,16.639999,14.89,15.15,68300,15.15,35.8811600018,2,2014
2014-04-14,15.25,16.559999,15.25,16.15,24400,16.15,44.3898460976,2,2014
2014-04-15,16.24,16.299999,14.67,15.08,60900,15.08,38.5023275238,2,2014
2014-04-16,15.1,15.1,14.14,14.66,76000,14.66,36.4582620207,2,2014
2014-04-17,14.67,15.04,14.2,14.53,43400,14.53,35.8242985052,2,2014
2014-04-21,14.7,14.7,14.36,14.49,13400,14.49,35.6190631778,2,2014
2014-04-22,14.46,15.14,14.4,14.75,19800,14.75,38.1013592265,2,2014
2014-04-23,14.68,15.01,13.37,13.57,54200,13.57,32.0597836334,2,2014
2014-04-24,13.69,13.69,13.0,13.38,26900,13.38,31.2018640871,2,2014
2014-04-25,13.28,13.4,12.9,13.1,28300,13.1,29.9307270981,2,2014
2014-04-28,13.09,15.0,12.51,12.72,35000,12.72,28.2487455354,2,2014
2014-04-29,12.81,13.81,12.51,12.6,26600,12.6,27.7190041295,2,2014
2014-04-30,12.5,12.5,11.45,11.85,38200,11.85,24.6124158576,2,2014
2014-05-01,11.79,11.87,11.06,11.86,27400,11.86,24.7335400753,2,2014
2014-05-02,11.84,12.12,11.66,11.88,42800,11.88,24.9931056077,2,2014
2014-05-05,11.77,12.87,11.6,12.43,11800,12.43,31.9438350193,2,2014
2014-05-06,12.35,12.55,11.96,12.14,35000,12.14,30.3469828633,2,2014
2014-05-07,12.12,13.43,12.0,12.81,40500,12.81,38.0518867667,2,2014
2014-05-08,12.9,12.9,12.29,12.39,95600,12.39,35.4077450181,2,2014
2014-05-09,12.27,12.93,11.98,12.24,91800,12.24,34.48606777,2,2014
2014-05-12,12.27,13.4,12.27,12.41,30200,12.41,36.5033819358,2,2014
2014-05-13,12.37,12.63,12.3,12.47,48400,12.47,37.2379365598,2,2014
2014-05-14,12.41,12.75,12.41,12.45,34600,12.45,37.0839358396,2,2014
2014-05-15,12.41,13.02,12.37,12.86,76200,12.86,42.3476545069,2,2014
2014-05-16,12.86,12.86,12.51,12.6,10300,12.6,40.0588745537,2,2014
2014-05-19,13.0,13.0,12.5,12.65,29300,12.65,40.7223834534,2,2014
2014-05-20,12.67,12.78,12.46,12.64,36000,12.64,40.6255254462,2,2014
2014-05-21,12.66,12.8,12.42,12.56,18700,12.56,39.809757672,2,2014
2014-05-22,12.51,12.8,12.32,12.53,47400,12.53,39.489525164,2,2014
2014-05-23,12.49,12.85,12.49,12.66,31500,12.66,41.6788429008,2,2014
2014-05-27,12.75,13.06,12.66,12.99,55400,12.99,46.9281032683,2,2014
2014-05-28,12.86,12.88,12.53,12.6,39700,12.6,42.1048560727,2,2014
2014-05-29,12.64,12.64,12.42,12.54,22500,12.54,41.3998759282,2,2014
2014-05-30,12.72,12.85,12.56,12.74,22900,12.74,44.722321843,2,2014
2014-06-02,12.83,12.83,12.52,12.63,24700,12.63,43.2692531158,2,2014
2014-06-03,12.65,12.67,12.46,12.54,38400,12.54,42.0650015215,2,2014
2014-06-04,12.55,12.61,12.31,12.58,53200,12.58,42.8266137556,2,2014
2014-06-05,12.58,12.65,12.45,12.48,19600,12.48,41.3626642135,2,2014
2014-06-06,12.48,12.55,12.36,12.45,17500,12.45,40.9108531658,2,2014
2014-06-09,12.45,12.7,12.34,12.55,16600,12.55,43.1403949162,2,2014
2014-06-10,12.52,12.65,12.52,12.59,11600,12.59,44.0497934688,2,2014
2014-06-11,12.55,12.78,12.52,12.72,14700,12.72,47.015753062,2,2014
2014-06-12,12.9,12.9,12.61,12.81,19400,12.81,49.0302199628,2,2014
2014-06-13,12.84,12.99,12.7,12.95,15200,12.95,52.0821918172,2,2014
2014-06-16,13.1,13.23,12.95,13.03,56400,13.03,53.7851196077,2,2014
2014-06-17,13.03,13.07,12.81,12.88,31800,12.88,50.183899639,2,2014
2014-06-18,13.03,15.14,12.76,14.91,165000,14.91,74.7873342811,2,2014
2014-06-19,14.9,16.549999,13.81,14.06,122900,14.06,61.1653840462,2,2014
2014-06-20,14.02,15.99,13.88,13.88,133100,13.88,58.726001401,2,2014
2014-06-23,13.97,14.5,13.28,14.04,24300,14.04,60.2437902472,2,2014
2014-06-24,12.79,13.77,12.79,13.55,17600,13.55,53.7276096574,2,2014
