Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-09-25,31.5,36.049999,30.07,35.349998,7701400,35.349998,,3,2013
2013-09-26,34.610001,37.98,33.349998,36.630001,1000400,36.630001,,3,2013
2013-09-27,36.77,37.75,34.400002,35.650002,442000,35.650002,,3,2013
2013-09-30,35.419998,41.505001,35.360001,39.639999,555200,39.639999,,3,2013
2013-10-01,40.799999,40.84,36.16,36.790001,592600,36.790001,,4,2013
2013-10-02,37.810001,37.810001,36.110001,36.849998,453500,36.849998,,4,2013
2013-10-03,37.25,37.25,34.119999,34.84,499500,34.84,,4,2013
2013-10-04,35.0,37.799999,33.369999,33.43,542600,33.43,,4,2013
2013-10-07,33.400002,34.799999,31.25,32.540001,470100,32.540001,,4,2013
2013-10-08,32.07,33.02,31.16,31.76,394700,31.76,,4,2013
2013-10-09,31.459999,32.799999,30.59,30.68,321800,30.68,,4,2013
2013-10-10,31.25,31.440001,29.809999,30.42,506000,30.42,,4,2013
2013-10-11,30.34,34.25,29.92,33.700001,405500,33.700001,,4,2013
2013-10-14,33.700001,35.470001,33.099998,34.919998,143700,34.919998,,4,2013
2013-10-15,35.169998,35.93,34.009998,34.77,378800,34.77,48.5671977671,4,2013
2013-10-16,35.150002,35.299999,33.279999,34.0,126000,34.0,46.6557166057,4,2013
2013-10-17,34.139999,35.299999,34.139999,34.880001,111700,34.880001,49.1203277336,4,2013
2013-10-18,35.07,35.07,33.27,33.990002,290500,33.990002,46.766955348,4,2013
2013-10-21,34.0,34.0,32.009998,32.84,247800,32.84,43.8439296725,4,2013
2013-10-22,33.599998,34.32,31.32,31.450001,164300,31.450001,40.5452925164,4,2013
2013-10-23,30.85,31.450001,30.01,30.860001,384700,30.860001,39.1972521292,4,2013
2013-10-24,30.889999,31.450001,30.66,31.049999,75200,31.049999,39.8903402205,4,2013
2013-10-25,31.08,31.629999,30.76,30.870001,79500,30.870001,39.4317606195,4,2013
2013-10-28,30.889999,31.1,30.0,30.200001,178800,30.200001,37.6946842665,4,2013
2013-10-29,30.77,31.370001,30.1,31.07,316600,31.07,41.3101509681,4,2013
2013-10-30,31.209999,31.450001,30.4,31.34,193600,31.34,42.4267309781,4,2013
2013-10-31,31.110001,32.259998,30.5,32.07,180300,32.07,45.4486059307,4,2013
2013-11-01,32.240002,32.73,30.9,31.200001,501700,31.200001,42.5801798189,4,2013
2013-11-04,31.5,32.400002,31.200001,32.080002,105800,32.080002,46.2738484355,4,2013
