Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,70.629997,70.800003,70.129997,70.349998,259000,33.345063,,1,2012
2012-01-04,70.269997,70.650002,70.050003,70.480003,151200,33.406684,,1,2012
2012-01-05,70.790001,71.199997,70.110001,70.209999,186800,33.278705,,1,2012
2012-01-06,69.790001,70.110001,69.410004,69.620003,102800,32.999054,,1,2012
2012-01-09,69.389999,69.800003,69.160004,69.800003,105000,33.084372,,1,2012
2012-01-10,70.699997,70.970001,69.940002,70.160004,192400,33.255008,,1,2012
2012-01-11,69.190002,69.410004,68.82,69.389999,104000,32.890035,,1,2012
2012-01-12,68.739998,69.25,68.720001,69.160004,106200,32.78102,,1,2012
2012-01-13,67.970001,68.260002,67.379997,67.860001,180000,32.164834,,1,2012
2012-01-17,68.43,68.809998,68.150002,68.150002,154400,32.302291,,1,2012
2012-01-18,68.849998,69.889999,68.82,69.650002,232000,33.013273,,1,2012
2012-01-19,68.900002,69.370003,68.559998,69.300003,115000,32.847378,,1,2012
2012-01-20,69.57,69.809998,69.360001,69.639999,103800,33.008532,,1,2012
2012-01-23,69.68,69.940002,69.419998,69.660004,98400,33.018014,,1,2012
2012-01-24,69.949997,70.440002,69.860001,70.279999,93400,33.311884,49.4964056731,1,2012
2012-01-25,70.110001,71.010002,69.639999,71.0,69400,33.653156,54.5653766581,1,2012
2012-01-26,71.129997,71.989998,70.949997,71.300003,106800,33.795354,56.5234549647,1,2012
2012-01-27,70.610001,71.040001,70.580002,70.779999,84400,33.548878,52.3148878704,1,2012
2012-01-30,71.239998,71.529999,70.970001,71.43,159600,33.856971,56.6589575723,1,2012
2012-01-31,71.790001,71.860001,71.190002,71.5,257200,33.89015,57.1120795325,1,2012
2012-02-01,71.529999,71.910004,71.32,71.32,704000,33.804832,55.5050987088,1,2012
2012-02-02,71.669998,72.349998,71.580002,72.199997,459600,34.221941,61.2461468389,1,2012
2012-02-03,72.400002,72.540001,71.900002,72.18,582000,34.212462,61.0533552325,1,2012
2012-02-06,72.129997,72.190002,71.830002,71.959999,78000,34.108184,58.858365947,1,2012
2012-02-07,72.150002,72.809998,72.050003,72.620003,61800,34.421018,63.1397755801,1,2012
2012-02-08,72.620003,72.980003,71.720001,72.260002,119600,34.250382,59.5024554162,1,2012
2012-02-09,71.949997,72.160004,71.599998,71.980003,159000,34.117666,56.7634999739,1,2012
2012-02-10,71.879997,72.550003,71.879997,72.139999,107400,34.193502,57.9544857257,1,2012
2012-02-13,72.739998,72.980003,72.519997,72.870003,150400,34.539515,62.9669083999,1,2012
2012-02-14,72.18,72.910004,72.129997,72.910004,103200,34.558475,63.2256129459,1,2012
2012-02-15,74.370003,74.519997,73.849998,74.129997,171600,35.136738,70.0887209155,1,2012
2012-02-16,72.199997,72.809998,71.900002,72.610001,234200,34.416277,56.0527601287,1,2012
2012-02-17,71.949997,72.029999,71.349998,71.769997,91400,34.018125,50.0836070103,1,2012
2012-02-21,70.910004,71.080002,70.260002,70.330002,374400,33.335585,41.8549900033,1,2012
2012-02-22,70.440002,70.889999,70.25,70.68,216200,33.50148,44.252426385,1,2012
2012-02-23,70.230003,70.809998,69.870003,70.660004,141800,33.492002,44.1404466446,1,2012
2012-02-24,72.190002,72.669998,72.120003,72.260002,133400,34.250382,54.140201635,1,2012
2012-02-27,71.190002,72.199997,71.089996,71.720001,80400,33.994428,50.8327375828,1,2012
2012-02-28,71.18,72.040001,71.099998,71.830002,65800,34.046567,51.4829497798,1,2012
2012-02-29,71.459999,71.459999,70.07,70.32,161400,33.330844,43.0639595984,1,2012
2012-03-01,70.470001,70.68,70.239998,70.660004,222000,33.492002,45.2355931731,1,2012
2012-03-02,69.620003,69.800003,69.349998,69.709999,175400,33.041711,40.5784381484,1,2012
2012-03-05,69.760002,69.809998,69.199997,69.68,83200,33.027492,40.4368658239,1,2012
2012-03-06,68.790001,68.870003,67.949997,68.120003,122200,32.288072,33.8275003758,1,2012
2012-03-07,68.029999,68.360001,67.849998,67.970001,84000,32.216973,33.2644852423,1,2012
2012-03-08,68.230003,69.25,68.099998,69.010002,97000,32.709921,40.6411181604,1,2012
2012-03-09,67.190002,67.309998,66.699997,66.900002,237800,31.709806,32.735238749,1,2012
2012-03-12,66.809998,67.129997,66.410004,66.68,235000,31.605528,32.0354880868,1,2012
2012-03-13,68.019997,68.989998,67.970001,68.82,1640800,32.619862,44.469993206,1,2012
2012-03-14,67.959999,68.309998,67.870003,68.300003,115800,32.37339,42.4382221266,1,2012
2012-03-15,67.32,67.720001,67.089996,67.639999,109200,32.060556,39.9437017096,1,2012
2012-03-16,67.860001,68.150002,67.709999,68.0,160400,32.231192,41.9481164785,1,2012
2012-03-19,67.949997,69.080002,67.949997,68.839996,215800,32.62934,46.4399969107,1,2012
2012-03-20,68.220001,68.650002,68.18,68.459999,76800,32.449226,44.7529724697,1,2012
2012-03-21,68.849998,69.440002,68.779999,69.0,129600,32.70518,47.6626194997,1,2012
2012-03-22,68.440002,68.779999,68.349998,68.639999,120000,32.534544,45.9260818214,1,2012
2012-03-23,68.5,68.82,68.470001,68.739998,102200,32.581942,46.509070985,1,2012
2012-03-26,69.879997,70.410004,69.769997,70.370003,88000,33.354545,55.0215851154,1,2012
2012-03-27,69.470001,69.739998,69.339996,69.480003,106000,32.932696,50.3134678196,1,2012
2012-03-28,70.959999,70.959999,69.919998,70.209999,128000,33.278705,53.8050609435,1,2012
2012-03-29,70.519997,70.75,70.370003,70.720001,152600,33.52044,56.1248088298,1,2012
2012-03-30,70.790001,71.080002,70.650002,70.650002,135400,33.487261,55.7112873965,1,2012
2012-04-02,71.57,72.919998,71.419998,72.730003,177000,34.473157,64.1611509987,2,2012
2012-04-03,72.809998,72.879997,71.75,72.019997,131000,34.136623,59.956088449,2,2012
2012-04-04,70.519997,70.919998,69.339996,69.510002,154600,32.946915,47.9834933665,2,2012
2012-04-05,68.769997,69.239998,68.760002,68.900002,85600,32.657782,45.6002719148,2,2012
2012-04-09,68.050003,68.660004,68.019997,68.540001,79600,32.487146,44.2048668154,2,2012
2012-04-10,69.029999,69.260002,67.980003,67.980003,159000,32.221714,42.049312013,2,2012
2012-04-11,68.300003,68.839996,67.93,68.139999,187000,32.29755,42.9059292576,2,2012
