Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-09-18,16.0,16.0,13.02,13.08,4407400,13.08,,3,2013
2013-09-19,13.05,13.42,12.8,13.11,607600,13.11,,3,2013
2013-09-20,13.15,13.99,13.15,13.74,165500,13.74,,3,2013
2013-09-23,14.0,14.0,13.1,13.32,42000,13.32,,3,2013
2013-09-24,13.5,13.72,13.28,13.65,37700,13.65,,3,2013
2013-09-25,13.65,13.95,13.5,13.95,58700,13.95,,3,2013
2013-09-26,13.93,14.0,13.56,13.97,18100,13.97,,3,2013
2013-09-27,13.75,13.97,13.7,13.8,33900,13.8,,3,2013
2013-09-30,13.7,13.96,13.01,13.1,115600,13.1,,3,2013
2013-10-01,13.36,13.44,12.88,12.97,240400,12.97,,4,2013
2013-10-02,12.95,13.8,12.88,13.8,55900,13.8,,4,2013
2013-10-03,13.68,13.68,13.05,13.05,78300,13.05,,4,2013
2013-10-04,13.14,13.5,12.89,13.06,79300,13.06,,4,2013
2013-10-07,13.04,13.47,13.03,13.17,12700,13.17,,4,2013
2013-10-08,13.43,13.46,13.0,13.0,47600,13.0,49.1304347826,4,2013
2013-10-09,13.18,13.25,13.02,13.02,21800,13.02,49.3675099867,4,2013
2013-10-10,13.15,13.4,13.03,13.21,35800,13.21,51.6717993841,4,2013
2013-10-11,13.19,13.23,13.0,13.19,25800,13.19,51.4065907756,4,2013
2013-10-14,13.55,13.7,13.06,13.25,94500,13.25,52.199228747,4,2013
2013-10-15,13.75,13.75,13.26,13.39,61900,13.39,54.0813520202,4,2013
2013-10-16,13.9,13.9,13.32,13.46,45900,13.46,55.0346868735,4,2013
2013-10-17,13.77,13.77,13.4,13.57,43700,13.57,56.5609045535,4,2013
2013-10-18,13.59,14.5,13.5,13.82,39600,13.82,59.8928130601,4,2013
2013-10-21,13.95,13.95,13.5,13.82,29000,13.82,59.8928130601,4,2013
2013-10-22,13.8,14.15,13.5,13.7,36600,13.7,57.4401468941,4,2013
2013-10-23,14.1,14.1,13.7,13.96,41500,13.96,61.1521435326,4,2013
2013-10-24,13.94,14.1,13.8,13.8,12100,13.8,57.8106063612,4,2013
2013-10-25,13.82,13.88,13.26,13.88,28000,13.88,59.0164712467,4,2013
2013-10-28,13.85,14.02,13.27,13.68,43500,13.68,54.799535944,4,2013
2013-10-29,13.65,13.7,13.13,13.5,146300,13.5,51.2502049693,4,2013
2013-10-30,13.35,13.49,13.05,13.33,48900,13.33,48.0826845366,4,2013
2013-10-31,13.28,13.28,11.55,12.21,106700,12.21,33.4253836356,4,2013
2013-11-01,12.21,12.26,10.01,10.48,144600,10.48,22.1788775333,4,2013
2013-11-04,10.8,10.8,9.97,10.68,26700,10.68,25.307732569,4,2013
2013-11-05,10.69,10.77,10.25,10.77,27900,10.77,26.7352461331,4,2013
2013-11-06,10.56,10.75,9.94,10.6,77900,10.6,25.7347494798,4,2013
2013-11-07,10.46,10.46,9.0,10.07,94500,10.07,22.8622376846,4,2013
2013-11-08,9.92,10.21,9.04,9.05,109700,9.05,18.5669566473,4,2013
2013-11-11,9.05,9.22,8.43,8.72,53700,8.72,17.4262468729,4,2013
2013-11-12,8.67,8.79,8.02,8.49,109300,8.49,16.6580759621,4,2013
2013-11-13,9.06,10.0,8.92,9.28,45200,9.28,28.3423213365,4,2013
2013-11-14,9.3,9.85,9.28,9.31,32700,9.31,28.7508248854,4,2013
2013-11-15,9.38,10.25,9.38,9.75,9300,9.75,34.6363535109,4,2013
2013-11-18,9.68,9.97,8.82,8.93,11200,8.93,29.7106949372,4,2013
2013-11-19,9.05,9.76,8.4,8.58,48900,8.58,27.8877068864,4,2013
2013-11-20,8.7,8.91,8.5,8.67,30900,8.67,29.0925268893,4,2013
2013-11-21,8.7,9.22,8.41,8.85,67400,8.85,31.5555351832,4,2013
2013-11-22,9.23,9.35,8.74,8.91,35700,8.91,32.398469668,4,2013
2013-11-25,8.94,9.14,8.71,9.0,35600,9.0,33.7171293888,4,2013
2013-11-26,9.02,9.11,8.67,9.05,95000,9.05,34.481758144,4,2013
