Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.09,3.19,3.01,3.17,219600,3.17,,1,2012
2012-01-04,3.14,3.2,2.96,3.06,381700,3.06,,1,2012
2012-01-05,3.02,3.16,3.01,3.06,209900,3.06,,1,2012
2012-01-06,3.07,3.12,2.92,3.0,491800,3.0,,1,2012
2012-01-09,3.01,3.11,2.95,3.07,184300,3.07,,1,2012
2012-01-10,3.09,3.16,3.03,3.13,226600,3.13,,1,2012
2012-01-11,3.11,3.11,3.02,3.05,404400,3.05,,1,2012
2012-01-12,3.05,3.12,3.03,3.1,217100,3.1,,1,2012
2012-01-13,3.05,3.06,3.01,3.04,138600,3.04,,1,2012
2012-01-17,3.1,3.1,3.03,3.05,263000,3.05,,1,2012
2012-01-18,3.05,3.19,3.03,3.19,219700,3.19,,1,2012
2012-01-19,3.2,3.46,3.2,3.42,321000,3.42,,1,2012
2012-01-20,3.42,3.59,3.4,3.53,315500,3.53,,1,2012
2012-01-23,3.54,3.57,3.4,3.46,206800,3.46,,1,2012
2012-01-24,3.44,3.52,3.4,3.49,162000,3.49,64.8148148148,1,2012
2012-01-25,3.48,3.57,3.45,3.52,143400,3.52,65.836791148,1,2012
2012-01-26,3.53,3.57,3.47,3.5,271200,3.5,64.4919228765,1,2012
2012-01-27,3.47,3.5,3.44,3.5,183100,3.5,64.4919228765,1,2012
2012-01-30,3.47,3.57,3.46,3.5,157300,3.5,64.4919228765,1,2012
2012-01-31,3.51,3.69,3.5,3.63,387300,3.63,69.5428166691,1,2012
2012-02-01,3.69,3.75,3.57,3.66,287400,3.66,70.5827505577,1,2012
2012-02-02,3.67,3.72,3.64,3.66,241600,3.66,70.5827505577,1,2012
2012-02-03,3.71,3.88,3.68,3.85,249800,3.85,76.4811457524,1,2012
2012-02-06,3.85,3.86,3.77,3.8,171100,3.8,72.3688480201,1,2012
2012-02-07,3.78,3.82,3.73,3.81,149400,3.81,72.6851800628,1,2012
2012-02-08,3.83,3.85,3.73,3.79,116900,3.79,70.9360351792,1,2012
2012-02-09,3.8,3.83,3.63,3.65,276300,3.65,60.0435071043,1,2012
2012-02-10,3.62,3.64,3.5,3.5,135100,3.5,51.0063129083,1,2012
2012-02-13,3.55,3.82,3.55,3.82,314400,3.82,63.5948182765,1,2012
2012-02-14,3.81,3.85,3.72,3.81,237800,3.81,63.0496240456,1,2012
2012-02-15,3.8,3.82,3.53,3.6,416600,3.6,52.8106782423,1,2012
2012-02-16,3.7,3.7,3.54,3.62,364700,3.62,53.583782165,1,2012
2012-02-17,3.65,3.75,3.61,3.62,159800,3.62,53.583782165,1,2012
2012-02-21,3.66,3.7,3.55,3.58,256800,3.58,51.6220977022,1,2012
2012-02-22,3.56,3.61,3.47,3.57,146600,3.57,51.1182532453,1,2012
2012-02-23,3.59,3.75,3.57,3.75,264000,3.75,58.8952216663,1,2012
2012-02-24,3.75,3.85,3.75,3.8,174500,3.8,60.7626562633,1,2012
2012-02-27,3.77,3.95,3.73,3.86,337000,3.86,62.9385677182,1,2012
2012-02-28,3.87,3.89,3.71,3.74,142000,3.74,56.2231715446,1,2012
2012-02-29,3.76,3.76,3.54,3.54,251000,3.54,47.1865439316,1,2012
2012-03-01,3.54,3.58,3.4,3.41,370400,3.41,42.4145098366,1,2012
2012-03-02,3.4,3.46,3.21,3.27,234600,3.27,37.9620097971,1,2012
2012-03-05,3.27,3.29,3.13,3.18,242000,3.18,35.3900188775,1,2012
2012-03-06,3.13,3.16,3.02,3.09,261300,3.09,32.9834360484,1,2012
2012-03-07,3.1,3.2,3.09,3.12,159600,3.12,34.5803864299,1,2012
2012-03-08,3.16,3.18,3.09,3.18,88000,3.18,37.7740941772,1,2012
2012-03-09,3.17,3.36,3.17,3.31,176800,3.31,44.1374306702,1,2012
2012-03-12,3.36,3.36,3.18,3.2,200700,3.2,40.3750657158,1,2012
2012-03-13,3.24,3.3,3.19,3.29,185200,3.29,44.5405360621,1,2012
2012-03-14,3.28,3.3,3.19,3.24,110300,3.24,42.7535526517,1,2012
2012-03-15,3.25,3.3,3.25,3.28,106400,3.28,44.6661801833,1,2012
2012-03-16,3.29,3.35,3.27,3.34,295900,3.34,47.4996587493,1,2012
2012-03-19,3.33,3.54,3.29,3.5,194400,3.5,54.2303583511,1,2012
2012-03-20,3.49,3.49,3.37,3.4,105100,3.4,49.9225210619,1,2012
2012-03-21,3.42,3.45,3.31,3.4,143600,3.4,49.9225210619,1,2012
2012-03-22,3.38,3.4,3.22,3.32,184300,3.32,46.4957181245,1,2012
2012-03-23,3.32,3.35,3.24,3.28,115000,3.28,44.8384311463,1,2012
2012-03-26,3.32,3.53,3.32,3.47,247200,3.47,53.3451130401,1,2012
2012-03-27,3.49,3.5,3.34,3.34,133500,3.34,47.901951485,1,2012
2012-03-28,3.36,3.45,3.18,3.33,443800,3.33,47.5004422223,1,2012
2012-03-29,3.3,3.46,3.29,3.43,168600,3.43,51.8470453298,1,2012
2012-03-30,3.44,3.45,3.38,3.41,134500,3.41,50.9386878975,1,2012
2012-04-02,3.4,3.6,3.37,3.54,531600,3.54,56.2982535502,2,2012
2012-04-03,3.54,3.57,3.47,3.51,233900,3.51,54.8102138481,2,2012
2012-04-04,3.46,3.53,3.45,3.47,206300,3.47,52.8060790113,2,2012
2012-04-05,3.45,3.5,3.45,3.47,255200,3.47,52.8060790113,2,2012
2012-04-09,3.37,3.44,3.33,3.36,289000,3.36,47.2910652773,2,2012
