Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.47,0.49,0.44,0.47,98800,0.47,,1,2012
2012-01-04,0.45,0.47,0.45,0.46,134800,0.46,,1,2012
2012-01-05,0.44,0.47,0.43,0.44,221800,0.44,,1,2012
2012-01-06,0.47,0.58,0.46,0.57,664600,0.57,,1,2012
2012-01-09,0.63,0.67,0.56,0.66,1055200,0.66,,1,2012
2012-01-10,0.69,0.8,0.68,0.75,1178400,0.75,,1,2012
2012-01-11,0.74,0.77,0.67,0.69,524600,0.69,,1,2012
2012-01-12,0.74,0.75,0.69,0.72,286900,0.72,,1,2012
2012-01-13,0.7,0.73,0.67,0.68,422200,0.68,,1,2012
2012-01-17,0.76,0.76,0.67,0.7,561800,0.7,,1,2012
2012-01-18,0.74,0.76,0.68,0.76,324700,0.76,,1,2012
2012-01-19,0.77,0.77,0.71,0.71,150700,0.71,,1,2012
2012-01-20,0.77,0.77,0.68,0.69,890000,0.69,,1,2012
2012-01-23,0.74,0.74,0.67,0.69,305900,0.69,,1,2012
2012-01-24,0.69,0.69,0.6,0.68,323100,0.68,66.6666666667,1,2012
2012-01-25,0.67,0.7,0.63,0.66,243000,0.66,64.4628099174,1,2012
2012-01-26,0.69,0.69,0.62,0.64,326300,0.64,62.2467771639,1,2012
2012-01-27,0.64,0.65,0.6,0.65,93100,0.65,62.932912977,1,2012
2012-01-30,0.65,0.65,0.59,0.65,379200,0.65,62.932912977,1,2012
2012-01-31,0.64,0.65,0.62,0.63,289300,0.63,60.3872513211,1,2012
2012-02-01,0.63,0.65,0.62,0.64,167400,0.64,61.2316639039,1,2012
2012-02-02,0.65,0.83,0.65,0.79,1795500,0.79,71.1619464213,1,2012
2012-02-03,0.83,1.04,0.8,1.04,3071200,1.04,80.2444703858,1,2012
2012-02-06,1.06,1.39,1.04,1.26,5663000,1.26,84.7855911081,1,2012
2012-02-07,1.2,1.2,0.98,1.01,3286700,1.01,66.1713151506,1,2012
2012-02-08,1.09,1.13,1.01,1.04,1242900,1.04,67.1046229473,1,2012
2012-02-09,1.1,1.18,1.08,1.1,1666000,1.1,68.9497230657,1,2012
2012-02-10,1.11,1.13,1.04,1.09,803100,1.09,68.2624953582,1,2012
2012-02-13,1.14,1.16,1.04,1.05,908000,1.05,65.4522924944,1,2012
2012-02-14,1.1,1.1,1.04,1.04,562800,1.04,64.7347989342,1,2012
2012-02-15,1.04,1.08,0.9,0.93,1206300,0.93,57.2946051931,1,2012
2012-02-16,0.9,0.98,0.85,0.94,1241200,0.94,57.769789063,1,2012
2012-02-17,0.94,1.05,0.94,1.03,730800,1.03,61.8808109978,1,2012
2012-02-21,1.09,1.13,1.04,1.13,1046100,1.13,65.8578478119,1,2012
2012-02-22,1.13,1.13,1.01,1.07,494800,1.07,61.6984886956,1,2012
2012-02-23,1.09,1.11,1.01,1.05,382400,1.05,60.3306948649,1,2012
2012-02-24,1.09,1.09,1.03,1.07,315400,1.07,61.2556885025,1,2012
2012-02-27,1.08,1.21,1.05,1.18,1770900,1.18,65.9573835455,1,2012
2012-02-28,1.22,1.33,1.08,1.13,2118200,1.13,62.2590104151,1,2012
2012-02-29,1.12,1.14,1.05,1.07,621900,1.07,58.0523898707,1,2012
2012-03-01,1.1,1.31,1.1,1.28,2356800,1.28,66.5669130263,1,2012
2012-03-02,1.35,1.48,1.31,1.45,4726700,1.45,71.5936174547,1,2012
