Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.960019,0.98002,0.940019,0.98002,10400,5.880118,,1,2012
2012-01-04,0.960019,0.99002,0.960019,0.960019,8800,5.760115,,1,2012
2012-01-05,0.960019,0.960019,0.900018,0.950019,3900,5.700114,,1,2012
2012-01-06,0.900018,0.98002,0.900018,0.98002,20200,5.880118,,1,2012
2012-01-09,0.98002,0.99002,0.900018,0.99002,9100,5.940119,,1,2012
2012-01-10,0.970019,0.98002,0.920018,0.920018,6300,5.52011,,1,2012
2012-01-11,0.920018,0.940019,0.900018,0.930019,16400,5.580111,,1,2012
2012-01-12,0.930019,0.940019,0.910018,0.930019,4400,5.580111,,1,2012
2012-01-13,0.910018,0.940019,0.890018,0.900018,7400,5.400108,,1,2012
2012-01-17,0.880018,0.880018,0.830017,0.840017,24400,5.040101,,1,2012
2012-01-18,0.840017,0.930019,0.830017,0.830017,8100,4.980099,,1,2012
2012-01-19,0.830017,0.900018,0.830017,0.850017,6700,5.100102,,1,2012
2012-01-20,0.850017,0.860017,0.820016,0.850017,8700,5.100102,,1,2012
2012-01-23,0.850017,0.850017,0.820016,0.850017,6800,5.100102,,1,2012
2012-01-24,0.850017,0.850017,0.800016,0.840017,12000,5.040101,25.0000148806,1,2012
2012-01-25,0.830017,0.840017,0.800016,0.840017,6700,5.040101,25.0000148806,1,2012
2012-01-26,0.810016,0.840017,0.750015,0.810016,25900,4.860097,22.2368519277,1,2012
2012-01-27,0.780016,0.840017,0.770015,0.840017,20600,5.040101,30.5083391825,1,2012
2012-01-30,0.800016,0.850017,0.790016,0.810016,18200,4.860097,27.3727906294,1,2012
2012-01-31,0.800016,0.810016,0.790016,0.810016,19500,4.860097,27.3727906294,1,2012
2012-02-01,0.820016,0.900018,0.810016,0.870017,27200,5.220104,41.3536562561,1,2012
2012-02-02,0.840017,0.850017,0.800016,0.850017,7600,5.100102,38.6807034529,1,2012
2012-02-03,0.850017,0.850017,0.830017,0.850017,6600,5.100102,38.6807034529,1,2012
2012-02-06,0.850017,0.850017,0.810016,0.850017,4800,5.100102,38.6807034529,1,2012
2012-02-07,0.850017,0.850017,0.790016,0.820016,14900,4.920098,34.5026194547,1,2012
2012-02-08,0.820016,0.870017,0.800016,0.850017,13200,5.100102,41.3275989079,1,2012
2012-02-09,0.850017,0.850017,0.790016,0.810016,10700,4.860097,35.9488072889,1,2012
2012-02-10,0.810016,0.810016,0.750015,0.780016,25700,4.680093,32.5292837593,1,2012
2012-02-13,0.780016,0.800016,0.760015,0.770015,24700,4.620092,31.4552085437,1,2012
2012-02-14,0.770015,0.800016,0.760015,0.800016,22100,4.800096,38.0624828498,1,2012
2012-02-15,0.790016,0.800016,0.760015,0.780016,22100,4.680093,35.5988367852,1,2012
2012-02-16,0.770015,0.810016,0.770015,0.810016,10400,4.860097,41.6950654639,1,2012
2012-02-17,0.810016,0.810016,0.790016,0.790016,4500,4.740094,39.0417353739,1,2012
2012-02-21,0.790016,0.880018,0.700014,0.850017,93000,5.100102,49.4371715018,1,2012
2012-02-22,0.860017,0.860017,0.790016,0.860017,48100,5.160103,50.9388563789,1,2012
2012-02-23,0.890018,0.900018,0.810016,0.900018,16700,5.400108,56.503623679,1,2012
2012-02-24,0.860017,0.900018,0.830017,0.900018,15800,5.400108,56.503623679,1,2012
2012-02-27,0.900018,0.900018,0.840017,0.860017,18000,5.160103,49.9348746172,1,2012
2012-02-28,0.860017,0.880018,0.840017,0.880018,7700,5.280106,52.8842431323,1,2012
2012-02-29,0.870017,0.870017,0.830017,0.860017,6100,5.160103,49.7293052903,1,2012
2012-03-01,0.850017,0.870017,0.850017,0.870017,3300,5.220104,51.2938898126,1,2012
2012-03-02,0.870017,0.870017,0.840017,0.850017,7500,5.100102,48.0714414513,1,2012
2012-03-05,0.840017,0.840017,0.820016,0.840017,8900,5.040101,46.4984950759,1,2012
2012-03-06,0.820016,0.820016,0.730015,0.750015,54800,4.50009,35.302532563,1,2012
2012-03-07,0.740015,0.780016,0.720014,0.750015,32500,4.50009,35.302532563,1,2012
2012-03-08,0.740015,0.750015,0.650013,0.750015,50100,4.50009,35.302532563,1,2012
2012-03-09,0.730015,0.810016,0.680014,0.780016,48300,4.680093,41.1971065335,1,2012
2012-03-12,0.780016,0.850017,0.770015,0.830017,26900,4.980099,49.461686187,1,2012
2012-03-13,0.850017,0.880018,0.790016,0.880018,89700,5.280106,56.1055113903,1,2012
2012-03-14,0.900018,0.960019,0.880018,0.940019,79800,5.640112,62.4797235416,1,2012
2012-03-15,0.940019,0.99002,0.920018,0.970019,43500,5.820116,65.2008124106,1,2012
2012-03-16,0.960019,0.98002,0.920018,0.970019,18600,5.820116,65.2008124106,1,2012
2012-03-19,0.970019,1.00002,0.950019,0.970019,22500,5.820116,65.2008124106,1,2012
2012-03-20,0.970019,0.970019,0.890018,0.960019,27100,5.760115,63.2898969793,1,2012
2012-03-21,0.900018,1.00002,0.900018,1.00002,47300,6.00012,67.4050438991,1,2012
2012-03-22,0.98002,1.00002,0.930019,0.99002,5500,5.940119,65.4303408046,1,2012
2012-03-23,4.03,6.0,4.0,4.45,124800,4.45,36.685830546,1,2012
2012-03-26,4.85,5.14,4.5,5.14,109500,5.14,48.0636701999,1,2012
2012-03-27,5.2,5.2,4.4,4.57,202200,4.57,41.4388113113,1,2012
2012-03-28,4.69,4.69,4.2,4.2,64700,4.2,37.79691477,1,2012
2012-03-29,4.2,4.4,3.75,4.34,141400,4.34,39.9475274573,1,2012
2012-03-30,4.31,4.4,3.91,4.04,39200,4.04,36.9957726329,1,2012
2012-04-02,4.04,4.28,4.0,4.14,26800,4.14,38.6237711572,2,2012
2012-04-03,4.2,4.4,3.93,4.02,45600,4.02,37.3756993476,2,2012
2012-04-04,4.02,4.04,3.83,3.99,45300,3.99,37.0533424401,2,2012
2012-04-05,3.9,4.05,3.89,4.0,55500,4.0,37.2476283144,2,2012
2012-04-09,3.9,4.0,3.9,3.99,27100,3.99,37.1242295858,2,2012
2012-04-10,3.93,4.04,3.71,3.75,53600,3.75,34.1961355801,2,2012
2012-04-11,3.81,3.98,3.3,3.6,44600,3.6,32.4722642802,2,2012
2012-04-12,3.55,3.6,3.11,3.25,143900,3.25,28.8213353692,2,2012
2012-04-13,3.2,3.3,2.53,3.0,147200,3.0,26.5271036212,2,2012
2012-04-16,2.96,2.96,2.69,2.81,51000,2.81,24.9045461317,2,2012
2012-04-17,2.78,2.99,2.75,2.89,46100,2.89,26.9311260895,2,2012
2012-04-18,2.81,2.95,2.81,2.93,22700,2.93,27.9777044338,2,2012
2012-04-19,3.0,3.14,2.94,3.08,112400,3.08,31.9159317419,2,2012
2012-04-20,3.18,3.18,2.9,2.95,45900,2.95,30.3661846673,2,2012
2012-04-23,2.95,2.96,2.81,2.82,23300,2.82,28.8571757525,2,2012
2012-04-24,2.9,3.05,2.9,3.04,44500,3.04,34.7652331156,2,2012
2012-04-25,3.11,3.2,2.97,3.14,86600,3.14,37.3135265902,2,2012
2012-04-26,3.24,3.33,3.1,3.29,19400,3.29,41.0344007813,2,2012
2012-04-27,3.31,3.48,3.12,3.17,18400,3.17,39.0380627688,2,2012
2012-04-30,3.1,3.16,3.04,3.11,5800,3.11,38.0415142144,2,2012
2012-05-01,3.11,3.15,3.1,3.11,22000,3.11,38.0415142144,2,2012
2012-05-02,3.1,3.1,3.0,3.0,27100,3.0,36.0830131856,2,2012
2012-05-03,2.93,2.96,2.85,2.87,26000,2.87,33.8640971892,2,2012
2012-05-04,2.9,3.1,2.9,2.95,11400,2.95,36.4538517907,2,2012
2012-05-07,2.95,2.99,2.93,2.99,11000,2.99,37.7660616604,2,2012
2012-05-08,2.91,2.98,2.91,2.97,13700,2.97,37.3507557138,2,2012
2012-05-09,2.95,2.99,2.89,2.97,17000,2.97,37.3507557138,2,2012
2012-05-10,2.98,3.0,2.91,2.98,4800,2.98,37.7477287636,2,2012
2012-05-11,2.92,2.95,2.89,2.93,19800,2.93,36.5022966354,2,2012
2012-05-14,2.87,2.91,2.54,2.54,36500,2.54,28.5811475509,2,2012
2012-05-15,2.62,2.63,2.17,2.31,62000,2.31,25.1191913868,2,2012
2012-05-16,2.21,2.25,2.1,2.15,29400,2.15,23.0294069671,2,2012
2012-05-17,2.17,2.29,2.02,2.02,74000,2.02,21.4667280945,2,2012
2012-05-18,2.03,2.05,2.0,2.04,39800,2.04,22.3398135264,2,2012
2012-05-21,2.27,2.27,1.96,1.96,47000,1.96,21.318847148,2,2012
2012-05-22,2.0,2.13,1.97,2.08,176000,2.08,26.7281929067,2,2012
2012-05-23,2.1,2.53,2.08,2.34,163000,2.34,36.8573562401,2,2012
2012-05-24,2.36,2.47,2.32,2.41,80000,2.41,39.290688181,2,2012
2012-05-25,2.49,2.49,2.38,2.38,52300,2.38,38.604063338,2,2012
2012-05-29,2.48,2.48,2.31,2.4,53100,2.4,39.3648238206,2,2012
2012-05-30,2.3,2.35,2.3,2.3,34900,2.3,36.9026401756,2,2012
2012-05-31,2.3,2.39,2.26,2.34,26300,2.34,38.5581103799,2,2012
2012-06-01,2.25,2.33,2.25,2.32,23800,2.32,38.0209696838,2,2012
2012-06-04,2.27,2.3,2.15,2.19,37300,2.19,34.6427866627,2,2012
2012-06-05,2.2,2.2,2.15,2.17,9500,2.17,34.1402154938,2,2012
2012-06-06,2.23,2.28,2.19,2.28,8500,2.28,39.3515818199,2,2012
2012-06-07,2.21,2.28,2.21,2.26,18800,2.26,38.7511851425,2,2012
2012-06-08,2.2,2.2,2.11,2.14,20400,2.14,35.2737163756,2,2012
2012-06-11,2.1,2.13,2.08,2.1,47400,2.1,34.1728788036,2,2012
2012-06-12,2.05,2.1,2.03,2.08,19900,2.08,33.6081098676,2,2012
2012-06-13,2.02,2.09,1.99,2.0,50700,2.0,31.3744836593,2,2012
2012-06-14,2.0,2.03,1.98,2.0,19500,2.0,31.3744836593,2,2012
2012-06-15,1.97,2.05,1.97,1.98,56100,1.98,30.7813354257,2,2012
2012-06-18,1.96,2.04,1.89,2.02,35800,2.02,33.4895988255,2,2012
2012-06-19,2.03,2.07,2.0,2.05,20500,2.05,35.5270680229,2,2012
2012-06-20,2.1,2.15,2.05,2.14,37500,2.14,41.3333571659,2,2012
2012-06-21,2.1,2.15,2.07,2.14,9600,2.14,41.3333571659,2,2012
2012-06-22,2.12,2.15,2.1,2.15,73600,2.15,42.0063777254,2,2012
2012-06-25,2.2,2.2,2.11,2.16,13800,2.16,42.714110711,2,2012
2012-06-26,2.1,2.22,2.03,2.08,23600,2.08,38.6504416449,2,2012
2012-06-27,2.11,2.18,2.04,2.09,11900,2.09,39.4262000316,2,2012
2012-06-28,2.12,2.12,2.01,2.04,27900,2.04,36.9128807332,2,2012
2012-06-29,2.13,2.13,2.01,2.05,8200,2.05,37.7673485866,2,2012
2012-07-02,2.0,2.0,1.76,1.76,94700,1.76,26.5407007766,3,2012
2012-07-03,1.8,1.8,1.65,1.65,79700,1.65,23.6669136277,3,2012
2012-07-05,1.95,1.95,1.75,1.89,85600,1.89,39.1485363927,3,2012
2012-07-06,1.75,1.92,1.75,1.86,35100,1.86,38.1080997288,3,2012
2012-07-09,1.86,1.97,1.86,1.92,14100,1.92,41.4590980201,3,2012
2012-07-10,1.93,1.93,1.79,1.85,18500,1.85,38.818452642,3,2012
2012-07-11,1.8,1.92,1.8,1.84,23800,1.84,38.441766011,3,2012
2012-07-12,1.8,1.91,1.75,1.84,25300,1.84,38.441766011,3,2012
2012-07-13,1.78,1.91,1.78,1.82,17200,1.82,37.5955565666,3,2012
2012-07-16,1.71,1.8,1.71,1.77,28900,1.77,35.492111994,3,2012
2012-07-17,1.78,1.78,1.68,1.68,15800,1.68,32.0194276649,3,2012
2012-07-18,1.71,1.85,1.61,1.78,35200,1.78,39.1442972577,3,2012
2012-07-19,1.8,1.81,1.71,1.8,11500,1.8,40.4877220426,3,2012
2012-07-20,1.8,1.8,1.7,1.77,23200,1.77,39.0936220439,3,2012
2012-07-23,1.75,3.48,1.75,2.9,2565300,2.9,74.587718107,3,2012
2012-07-24,2.95,2.97,2.36,2.48,530900,2.48,60.4798976234,3,2012
2012-07-25,2.82,3.25,2.77,2.82,1378700,2.82,66.0741013073,3,2012
2012-07-26,2.8,2.9,2.56,2.57,249600,2.57,59.414359274,3,2012
2012-07-27,2.57,2.79,2.57,2.7,110600,2.7,61.5827637141,3,2012
2012-07-30,2.7,3.07,2.51,2.54,128600,2.54,57.5101458315,3,2012
2012-07-31,2.58,2.58,2.22,2.34,124500,2.34,52.8088667509,3,2012
