Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-10-09,7.12,9.08,5.68,5.87,1293100,5.87,,4,2014
2014-10-10,5.5,6.395,5.21,5.93,186800,5.93,,4,2014
2014-10-13,5.71,5.71,4.83,5.1,51300,5.1,,4,2014
2014-10-14,4.88,5.25,4.75,4.91,50100,4.91,,4,2014
2014-10-15,4.91,5.36,4.9,5.35,38800,5.35,,4,2014
2014-10-16,5.49,5.61,5.0,5.03,34000,5.03,,4,2014
2014-10-17,4.99,5.33,4.99,5.11,19600,5.11,,4,2014
2014-10-20,5.08,5.1,4.7,4.75,23900,4.75,,4,2014
2014-10-21,4.77,5.27,4.6,5.25,26600,5.25,,4,2014
2014-10-22,5.48,6.3,5.35,6.12,120800,6.12,,4,2014
2014-10-23,6.15,6.17,5.57,5.57,42500,5.57,,4,2014
2014-10-24,5.57,5.669,5.36,5.36,8100,5.36,,4,2014
2014-10-27,5.49,6.12,5.35,5.99,105100,5.99,,4,2014
2014-10-28,5.8,6.17,5.75,6.17,26100,6.17,,4,2014
2014-10-29,6.17,6.17,5.57,5.9,27600,5.9,50.2732240437,4,2014
2014-10-30,5.91,6.14,5.52,5.67,6200,5.67,48.1029628637,4,2014
2014-10-31,5.684,5.684,5.562,5.6,5000,5.6,47.4318429107,4,2014
2014-11-03,5.45,5.67,5.37,5.59,8800,5.59,47.3302522497,4,2014
2014-11-04,5.5,5.59,5.36,5.46,10300,5.46,45.9523464894,4,2014
2014-11-05,5.35,5.51,5.35,5.35,6900,5.35,44.7647980256,4,2014
2014-11-06,5.38,5.38,5.02,5.185,27900,5.185,42.9709147117,4,2014
2014-11-07,5.06,5.1,4.85,5.02,14300,5.02,41.1931776009,4,2014
2014-11-10,4.86,4.988,4.25,4.75,19000,4.75,38.3940579726,4,2014
2014-11-11,4.62,4.87,4.611,4.68,7300,4.68,37.679204793,4,2014
2014-11-12,4.65,4.65,4.26,4.35,17000,4.35,34.4251198797,4,2014
2014-11-13,4.19,4.48,4.1,4.16,8900,4.16,32.6753851476,4,2014
