Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,1.18,1.27,1.18,1.24,517400,1.24,,1,2012
2012-01-04,1.23,1.28,1.21,1.26,104100,1.26,,1,2012
2012-01-05,1.26,1.3,1.2,1.29,898600,1.29,,1,2012
2012-01-06,1.32,1.32,1.25,1.25,88900,1.25,,1,2012
2012-01-09,1.25,1.3,1.24,1.25,406500,1.25,,1,2012
2012-01-10,1.27,1.29,1.25,1.26,177300,1.26,,1,2012
2012-01-11,1.22,1.29,1.22,1.28,1839400,1.28,,1,2012
2012-01-12,1.29,1.29,1.24,1.25,804300,1.25,,1,2012
2012-01-13,1.3,1.3,1.24,1.29,476200,1.29,,1,2012
2012-01-17,1.26,1.29,1.24,1.27,163800,1.27,,1,2012
2012-01-18,1.27,1.29,1.24,1.29,306100,1.29,,1,2012
2012-01-19,1.29,1.3,1.27,1.29,417000,1.29,,1,2012
2012-01-20,1.3,1.3,1.27,1.3,134600,1.3,,1,2012
2012-01-23,1.26,1.3,1.26,1.29,418200,1.29,,1,2012
2012-01-24,1.27,1.29,1.27,1.29,76400,1.29,60.0,1,2012
2012-01-25,1.27,1.29,1.26,1.29,175100,1.29,60.0,1,2012
2012-01-26,1.26,1.29,1.25,1.29,77300,1.29,60.0,1,2012
2012-01-27,1.27,1.29,1.25,1.26,116900,1.26,52.1794892094,1,2012
2012-01-30,1.25,1.27,1.25,1.26,110700,1.26,52.1794892094,1,2012
2012-01-31,1.25,1.3,1.24,1.29,417100,1.29,58.4590549121,1,2012
2012-02-01,1.28,1.3,1.25,1.25,170100,1.25,49.1849671072,1,2012
2012-02-02,1.27,1.27,1.22,1.27,88400,1.27,53.1841139279,1,2012
2012-02-03,1.26,1.28,1.23,1.25,208800,1.25,49.0287360941,1,2012
2012-02-06,1.22,1.28,1.22,1.28,196400,1.28,54.7410142891,1,2012
2012-02-07,1.25,1.3,1.25,1.29,101500,1.29,56.4913563174,1,2012
2012-02-08,1.26,1.29,1.25,1.29,117400,1.29,56.4913563174,1,2012
2012-02-09,1.29,1.31,1.26,1.29,427800,1.29,56.4913563174,1,2012
2012-02-10,1.27,1.29,1.27,1.29,311300,1.29,56.4913563174,1,2012
2012-02-13,1.27,1.3,1.26,1.29,332100,1.29,56.4913563174,1,2012
2012-02-14,1.27,1.29,1.25,1.29,64500,1.29,56.4913563174,1,2012
2012-02-15,1.27,1.29,1.27,1.29,646800,1.29,56.4913563174,1,2012
2012-02-16,1.27,1.29,1.26,1.28,112100,1.28,53.0450360312,1,2012
2012-02-17,1.28,1.35,1.28,1.35,388700,1.35,67.8366983046,1,2012
2012-02-21,1.35,1.35,1.29,1.35,341800,1.35,67.8366983046,1,2012
2012-02-22,1.32,1.34,1.3,1.33,246500,1.33,61.424881299,1,2012
2012-02-23,1.3,1.32,1.3,1.32,203900,1.32,58.450091393,1,2012
2012-02-24,1.3,1.32,1.3,1.32,201600,1.32,58.450091393,1,2012
2012-02-27,1.3,1.32,1.3,1.31,450400,1.31,55.3417126179,1,2012
2012-02-28,1.31,1.34,1.3,1.34,189200,1.34,61.8895611961,1,2012
2012-02-29,1.31,1.33,1.28,1.3,2073300,1.3,51.1258809487,1,2012
2012-03-01,1.29,1.3,1.25,1.27,578400,1.27,44.8287088609,1,2012
2012-03-02,1.27,1.28,1.24,1.28,88200,1.28,47.1648090644,1,2012
2012-03-05,1.26,1.28,1.25,1.28,309200,1.28,47.1648090644,1,2012
2012-03-06,1.28,1.34,1.23,1.31,242600,1.31,53.9491353949,1,2012
2012-03-07,1.29,1.34,1.29,1.32,558600,1.32,55.9782839593,1,2012
2012-03-08,1.3,1.35,1.3,1.35,376800,1.35,61.4641692311,1,2012
2012-03-09,1.34,1.36,1.33,1.36,434200,1.36,63.1142376242,1,2012
2012-03-12,1.36,1.36,1.32,1.36,555400,1.36,63.1142376242,1,2012
2012-03-13,1.34,1.37,1.33,1.37,242300,1.37,64.8593231195,1,2012
2012-03-14,1.35,1.37,1.33,1.35,111400,1.35,58.8613709671,1,2012
2012-03-15,1.35,1.37,1.31,1.37,94600,1.37,62.5872979799,1,2012
2012-03-16,1.34,1.37,1.32,1.36,353600,1.36,59.6769441457,1,2012
2012-03-19,1.33,1.36,1.3,1.3,137400,1.3,45.8888876461,1,2012
2012-03-20,1.3,1.33,1.3,1.33,197300,1.33,51.8759445303,1,2012
2012-03-21,1.3,1.33,1.3,1.32,264400,1.32,49.8942318329,1,2012
2012-03-22,1.3,1.35,1.29,1.32,95800,1.32,49.8942318329,1,2012
2012-03-23,1.31,1.35,1.31,1.34,67100,1.34,53.9726349547,1,2012
2012-03-26,1.31,1.34,1.3,1.34,335200,1.34,53.9726349547,1,2012
2012-03-27,1.31,1.37,1.28,1.37,756700,1.37,59.6817031393,1,2012
2012-03-28,1.34,1.37,1.3,1.36,369000,1.36,57.1376009771,1,2012
