Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.1,3.37,3.02,3.07,10400,15.350001,,1,2012
2012-01-04,3.15,3.23,3.07,3.1,3400,15.5,,1,2012
2012-01-05,3.1,3.3,3.1,3.26,3300,16.299999,,1,2012
2012-01-06,3.3,3.55,3.3,3.55,10600,17.75,,1,2012
2012-01-09,3.54,3.6,3.41,3.5,3000,17.5,,1,2012
2012-01-10,3.55,3.78,3.55,3.72,6700,18.600001,,1,2012
2012-01-11,3.75,3.75,3.6,3.65,5800,18.25,,1,2012
2012-01-12,3.74,3.75,3.6,3.7,4300,18.5,,1,2012
2012-01-13,3.71,3.71,3.3,3.5,10200,17.5,,1,2012
2012-01-17,3.53,3.66,3.4,3.61,3100,18.05,,1,2012
2012-01-18,3.52,3.65,3.32,3.49,7400,17.450001,,1,2012
2012-01-19,3.47,3.56,3.43,3.45,4300,17.25,,1,2012
2012-01-20,3.44,3.44,3.3,3.32,8600,16.600001,,1,2012
2012-01-23,3.35,3.43,3.3,3.35,2500,16.75,,1,2012
2012-01-24,3.35,3.35,3.29,3.3,10000,16.5,57.4193493444,1,2012
2012-01-25,3.35,4.35,3.3,4.3,88600,21.5,74.8755471355,1,2012
2012-01-26,4.49,4.98,4.45,4.63,132300,23.15,78.0705016589,1,2012
2012-01-27,4.57,4.62,4.26,4.51,29800,22.55,74.3670992941,1,2012
2012-01-30,4.26,4.67,4.15,4.45,31000,22.25,72.5148660849,1,2012
2012-01-31,4.5,4.5,3.82,4.15,26300,20.75,63.9397423732,1,2012
2012-02-01,4.25,4.7,4.25,4.48,32300,22.4,68.3705451586,1,2012
2012-02-02,4.65,4.65,4.33,4.45,9800,22.25,67.5578615742,1,2012
2012-02-03,4.5,4.5,4.15,4.24,10900,21.200001,62.0021287185,1,2012
2012-02-06,4.44,4.6,4.23,4.59,34500,22.950001,66.889399131,1,2012
2012-02-07,4.6,4.62,4.25,4.29,20000,21.450001,59.7907019857,1,2012
2012-02-08,4.27,4.27,4.15,4.19,12900,20.950001,57.5964792109,1,2012
2012-02-09,4.26,4.27,3.91,4.1,20200,20.5,55.618179914,1,2012
2012-02-10,3.96,4.21,3.95,4.08,14000,20.4,55.1647305823,1,2012
2012-02-13,4.21,4.36,4.02,4.24,9800,21.200001,58.1072926656,1,2012
2012-02-14,4.22,4.22,4.05,4.05,4400,20.25,53.6079098886,1,2012
2012-02-15,4.16,4.22,3.95,3.97,6300,19.850001,51.7895333284,1,2012
2012-02-16,4.22,4.22,4.05,4.13,5700,20.65,55.0719079588,1,2012
2012-02-17,4.15,4.15,3.95,4.0,3400,20.0,51.9755275304,1,2012
2012-02-21,4.0,4.12,3.9,4.0,3600,20.0,51.9755275304,1,2012
2012-02-22,3.99,4.09,3.95,4.0,3100,20.0,51.9755275304,1,2012
2012-02-23,4.01,4.05,3.9,3.93,3000,19.65,50.0818194727,1,2012
2012-02-24,3.91,4.05,3.91,4.05,1400,20.25,53.227893521,1,2012
