Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.33,2.42,2.32,2.35,36800,2.35,,1,2012
2012-01-04,2.33,2.39,2.33,2.39,2900,2.39,,1,2012
2012-01-05,2.38,2.43,2.29,2.29,16300,2.29,,1,2012
2012-01-06,2.32,2.39,2.32,2.33,24600,2.33,,1,2012
2012-01-09,2.36,2.41,2.31,2.4,25500,2.4,,1,2012
2012-01-10,2.44,2.48,2.37,2.42,22500,2.42,,1,2012
2012-01-11,2.36,2.46,2.35,2.44,27600,2.44,,1,2012
2012-01-12,2.4,2.5,2.38,2.39,12100,2.39,,1,2012
2012-01-13,2.36,2.45,2.33,2.4,20100,2.4,,1,2012
2012-01-17,2.4,2.5,2.4,2.45,8400,2.45,,1,2012
2012-01-18,2.42,2.49,2.41,2.49,13600,2.49,,1,2012
2012-01-19,2.47,2.5,2.4,2.46,8200,2.46,,1,2012
2012-01-20,2.44,2.49,2.35,2.44,11000,2.44,,1,2012
2012-01-23,2.45,2.45,2.35,2.35,15500,2.35,,1,2012
2012-01-24,2.35,2.5,2.35,2.38,7000,2.38,52.4590163934,1,2012
2012-01-25,2.36,2.44,2.35,2.37,8700,2.37,51.5489467162,1,2012
2012-01-26,2.37,2.44,2.37,2.41,19900,2.41,54.9179600887,1,2012
2012-01-27,2.59,2.78,2.52,2.61,107200,2.61,67.1991263558,1,2012
2012-01-30,2.52,2.55,2.37,2.45,20300,2.45,54.4255252165,1,2012
2012-01-31,2.46,2.51,2.35,2.37,12500,2.37,49.37209822,1,2012
2012-02-01,2.39,2.43,2.35,2.43,34400,2.43,52.9040357026,1,2012
2012-02-02,2.4,2.48,2.36,2.43,16400,2.43,52.9040357026,1,2012
2012-02-03,2.43,2.54,2.36,2.45,38800,2.45,54.1408297419,1,2012
2012-02-06,2.39,2.5,2.36,2.46,29700,2.46,54.7802647259,1,2012
2012-02-07,2.45,2.6,2.45,2.6,78600,2.6,62.6352443989,1,2012
2012-02-08,2.59,2.68,2.57,2.68,6500,2.68,66.2436786556,1,2012
2012-02-09,2.59,2.67,2.56,2.64,10400,2.64,62.9692189866,1,2012
2012-02-10,2.62,2.65,2.59,2.65,5600,2.65,63.4555603445,1,2012
2012-02-13,2.65,2.65,2.58,2.59,19800,2.59,58.4918163697,1,2012
2012-02-14,2.6,2.63,2.55,2.6,51600,2.6,59.0665302443,1,2012
2012-02-15,2.6,2.63,2.6,2.61,15400,2.61,59.6679162206,1,2012
2012-02-16,2.63,2.67,2.6,2.62,41900,2.62,60.2961083594,1,2012
2012-02-17,2.61,2.64,2.58,2.63,13900,2.63,60.951099358,1,2012
2012-02-21,2.61,2.64,2.6,2.64,16400,2.64,61.6327280429,1,2012
2012-02-22,2.62,2.65,2.62,2.65,15100,2.65,62.3406678679,1,2012
2012-02-23,2.63,2.69,2.63,2.67,17600,2.67,63.7801196254,1,2012
2012-02-24,2.66,2.72,2.66,2.7,16400,2.7,65.8864539679,1,2012
2012-02-27,2.68,2.74,2.66,2.69,29800,2.69,64.5391458117,1,2012
2012-02-28,2.69,2.75,2.69,2.75,14600,2.75,68.6777987955,1,2012
2012-02-29,2.72,2.74,2.62,2.7,24500,2.7,62.1664721789,1,2012
2012-03-01,2.69,2.73,2.66,2.66,12400,2.66,57.4720267317,1,2012
2012-03-02,2.65,2.72,2.5,2.65,21800,2.65,56.326861073,1,2012
2012-03-05,2.64,2.69,2.56,2.56,12100,2.56,47.2095133293,1,2012
2012-03-06,2.53,2.7,2.53,2.6,31900,2.6,51.0053198019,1,2012
2012-03-07,2.62,2.62,2.5,2.58,19700,2.58,49.1041484223,1,2012
2012-03-08,2.52,2.59,2.52,2.59,1100,2.59,50.1055600565,1,2012
