Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,5.600001,5.680001,5.329999,5.520002,348000,10.13619,,1,2012
2012-01-04,5.520002,5.529998,5.390002,5.480002,196000,10.06274,,1,2012
2012-01-05,5.489998,5.489998,5.350002,5.439997,316700,9.98928,,1,2012
2012-01-06,5.439997,5.439997,5.350002,5.390002,169300,9.897475,,1,2012
2012-01-09,5.319998,5.499999,5.319998,5.38,121200,9.879109,,1,2012
2012-01-10,5.399998,5.529998,5.359998,5.489998,307800,10.081095,,1,2012
2012-01-11,5.480002,5.749999,5.319998,5.649997,275000,10.374896,,1,2012
2012-01-12,5.640001,5.730002,5.59,5.67,314200,10.411626,,1,2012
2012-01-13,5.649997,5.649997,5.499999,5.510001,170700,10.117825,,1,2012
2012-01-17,5.539999,5.699998,5.369999,5.680001,402400,10.42999,,1,2012
2012-01-18,5.690002,5.940002,5.690002,5.919999,2301200,10.870691,,1,2012
2012-01-19,5.909998,6.159998,5.859997,6.05,1532200,11.109407,,1,2012
2012-01-20,6.069997,6.190002,5.959999,6.169999,447600,11.329758,,1,2012
2012-01-23,6.150002,6.360002,6.069997,6.279997,1037700,11.531743,,1,2012
2012-01-24,6.320002,6.43,6.239997,6.39,1424700,11.733738,79.5917626417,1,2012
2012-01-25,6.419999,6.489997,6.270001,6.449998,1252800,11.843909,80.4510194917,1,2012
2012-01-26,6.499998,6.499998,6.350001,6.360002,553300,11.678653,75.327750782,1,2012
2012-01-27,6.339999,6.499998,6.339999,6.489997,511400,11.917359,77.5515367288,1,2012
2012-01-30,6.440002,6.449998,6.3,6.379999,1191800,11.715373,71.6653243751,1,2012
2012-01-31,6.449998,6.449998,6.249999,6.350001,254900,11.660288,70.1026210291,1,2012
2012-02-01,6.39,6.449998,6.329998,6.43,461100,11.807188,71.864573158,1,2012
2012-02-02,6.489997,6.900001,6.449998,6.85,1556800,12.57842,78.8963671575,1,2012
2012-02-03,6.789998,6.950002,6.709998,6.919999,682800,12.706955,79.8023790391,1,2012
2012-02-06,6.869997,6.900001,6.780002,6.860002,327300,12.596785,76.7605056846,1,2012
2012-02-07,6.89,7.020001,6.799999,6.969999,753200,12.79877,78.3870983856,1,2012
2012-02-08,6.980001,7.049999,6.950002,6.999998,1276700,12.853856,78.8224446021,1,2012
2012-02-09,6.969999,6.990002,6.81,6.820002,880200,12.523335,69.7447471211,1,2012
2012-02-10,6.799999,6.829997,6.659997,6.699997,522900,12.302974,64.4180983005,1,2012
2012-02-13,6.76,6.85,6.64,6.659997,725200,12.229524,62.6992149176,1,2012
2012-02-14,6.650001,6.799999,6.600001,6.68,815500,12.266254,63.2276284901,1,2012
2012-02-15,6.76,6.839999,6.589999,6.650001,1087700,12.211169,61.8133485832,1,2012
2012-02-16,6.619998,6.629999,6.539998,6.560001,751600,12.045904,57.6471627908,1,2012
2012-02-17,6.690001,6.709998,6.520001,6.659997,882600,12.229524,60.8078345823,1,2012
2012-02-21,6.690001,6.789998,6.650001,6.68,1381200,12.266254,61.4279257061,1,2012
2012-02-22,6.72,6.789998,6.650001,6.72,1330600,12.339705,62.6989073458,1,2012
2012-02-23,6.730001,6.900001,6.709998,6.799999,410700,12.486605,65.170741226,1,2012
