Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,9.73,10.0,9.5,9.54,657600,9.54,,1,2012
2012-01-04,9.46,9.54,9.21,9.25,382200,9.25,,1,2012
2012-01-05,9.23,9.44,9.0,9.3,285300,9.3,,1,2012
2012-01-06,9.29,9.41,9.18,9.22,256400,9.22,,1,2012
2012-01-09,9.3,9.44,9.2,9.33,336100,9.33,,1,2012
2012-01-10,9.48,9.63,9.36,9.56,389000,9.56,,1,2012
2012-01-11,9.54,10.1,9.46,9.97,1287200,9.97,,1,2012
2012-01-12,10.1,10.2,9.71,9.86,805400,9.86,,1,2012
2012-01-13,9.7,10.0,9.58,9.8,576400,9.8,,1,2012
2012-01-17,9.94,10.36,9.83,10.31,861300,10.31,,1,2012
2012-01-18,10.31,10.65,10.25,10.45,1000500,10.45,,1,2012
2012-01-19,10.53,10.8,10.5,10.72,934000,10.72,,1,2012
2012-01-20,10.75,10.85,10.62,10.72,1007400,10.72,,1,2012
2012-01-23,10.76,10.88,10.26,10.31,666600,10.31,,1,2012
2012-01-24,10.27,10.4,10.11,10.25,491700,10.25,63.0036630037,1,2012
2012-01-25,10.25,10.52,10.05,10.46,815800,10.46,65.8339838668,1,2012
2012-01-26,10.51,10.65,10.25,10.32,564100,10.32,62.406314631,1,2012
2012-01-27,10.27,10.5,10.27,10.46,439200,10.46,64.4022914637,1,2012
2012-01-30,10.35,10.65,10.2,10.63,810100,10.63,66.7133764053,1,2012
2012-01-31,10.74,10.99,10.32,10.56,1419700,10.56,64.8465056795,1,2012
2012-02-01,11.07,11.28,10.56,11.26,1424000,11.26,72.9871159327,1,2012
2012-02-02,11.28,11.6,11.13,11.29,905200,11.29,73.2727764417,1,2012
2012-02-03,11.59,11.62,11.37,11.5,1072600,11.5,75.2461307457,1,2012
2012-02-06,11.46,11.58,11.33,11.35,665200,11.35,71.2022213951,1,2012
2012-02-07,11.37,11.47,11.28,11.37,858100,11.37,71.4227480665,1,2012
2012-02-08,11.43,11.45,11.1,11.28,484600,11.28,68.8670428139,1,2012
2012-02-09,11.35,11.35,10.9,11.11,405200,11.11,64.1944013558,1,2012
2012-02-10,10.61,11.24,10.61,11.14,3828000,11.14,64.650222767,1,2012
2012-02-13,11.21,11.44,11.13,11.24,1199300,11.24,66.1950758254,1,2012
2012-02-14,11.29,11.69,11.24,11.56,1085300,11.56,70.6198327811,1,2012
2012-02-15,11.7,11.8,11.2,11.27,833100,11.27,62.6204195752,1,2012
2012-02-16,11.35,11.81,11.25,11.74,1305800,11.74,68.7906420518,1,2012
2012-02-17,11.82,11.95,11.62,11.73,805200,11.73,68.5314372357,1,2012
2012-02-21,11.8,11.8,11.44,11.52,686200,11.52,63.150082699,1,2012
2012-02-22,11.51,11.51,10.94,10.97,777500,10.97,51.699746094,1,2012
2012-02-23,11.02,11.66,10.95,11.65,847800,11.65,61.0927721153,1,2012
2012-02-24,11.67,11.78,11.55,11.66,613900,11.66,61.2122332561,1,2012
2012-02-27,11.59,11.85,11.24,11.76,502700,11.76,62.4537362712,1,2012
2012-02-28,11.81,11.84,11.6,11.77,644600,11.77,62.5827125927,1,2012
2012-02-29,11.83,11.92,11.49,11.51,867600,11.51,57.0914482394,1,2012
2012-03-01,11.6,11.72,11.37,11.39,645000,11.39,54.7056025273,1,2012
2012-03-02,11.41,11.61,11.17,11.29,551900,11.29,52.7281008436,1,2012
2012-03-05,11.27,11.36,11.11,11.29,342700,11.29,52.7281008436,1,2012
2012-03-06,11.19,11.27,10.79,10.97,733000,10.97,46.4911200016,1,2012
2012-03-07,10.99,11.24,10.79,11.19,331000,11.19,50.7999121521,1,2012
2012-03-08,11.54,11.7,11.38,11.51,824300,11.51,56.3107344718,1,2012
2012-03-09,11.13,11.4,10.82,11.39,1607700,11.39,53.8737987119,1,2012
2012-03-12,11.37,11.72,11.34,11.38,915300,11.38,53.6653733897,1,2012
2012-03-13,11.52,11.78,11.34,11.76,856000,11.76,59.9984907971,1,2012
2012-03-14,11.75,12.15,11.7,12.04,1350400,12.04,63.9125483301,1,2012
2012-03-15,12.02,12.23,11.82,12.21,651100,12.21,66.0825008173,1,2012
2012-03-16,12.26,12.29,11.77,11.96,1702100,11.96,60.3366907352,1,2012
2012-03-19,11.89,12.35,11.89,12.33,690300,12.33,65.1643353961,1,2012
2012-03-20,12.28,12.29,11.82,11.99,735200,11.99,58.15905436,1,2012
