Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,19.1,19.219999,18.549999,18.610001,251400,18.610001,,1,2012
2012-01-04,18.450001,18.66,17.870001,18.23,225300,18.23,,1,2012
2012-01-05,18.18,18.18,17.440001,18.129999,229000,18.129999,,1,2012
2012-01-06,18.059999,18.459999,17.76,18.219999,194000,18.219999,,1,2012
2012-01-09,18.24,18.440001,17.799999,18.129999,197000,18.129999,,1,2012
2012-01-10,18.27,18.4,18.200001,18.389999,194800,18.389999,,1,2012
2012-01-11,18.360001,18.84,18.34,18.75,128400,18.75,,1,2012
2012-01-12,18.75,18.799999,18.209999,18.42,172700,18.42,,1,2012
2012-01-13,18.18,18.370001,18.049999,18.24,92500,18.24,,1,2012
2012-01-17,18.389999,18.620001,18.290001,18.6,189500,18.6,,1,2012
2012-01-18,18.620001,18.969999,18.48,18.959999,113600,18.959999,,1,2012
2012-01-19,18.99,19.52,18.719999,19.48,155000,19.48,,1,2012
2012-01-20,19.450001,19.719999,19.139999,19.299999,138400,19.299999,,1,2012
2012-01-23,19.26,19.4,18.83,18.950001,86600,18.950001,,1,2012
2012-01-24,18.82,19.25,18.74,19.129999,158000,19.129999,56.9518449198,1,2012
2012-01-25,19.07,19.129999,18.84,19.07,168900,19.07,55.9846236107,1,2012
2012-01-26,19.15,19.15,18.709999,18.82,222200,18.82,52.0202788631,1,2012
2012-01-27,18.77,19.07,18.709999,19.059999,252800,19.059999,55.2931635073,1,2012
2012-01-30,18.950001,19.299999,18.940001,19.26,241700,19.26,57.8721534985,1,2012
2012-01-31,19.389999,19.709999,19.280001,19.59,161300,19.59,61.7889511178,1,2012
2012-02-01,19.700001,20.42,19.65,20.17,290600,20.17,67.5070286249,1,2012
2012-02-02,20.190001,20.6,20.02,20.58,157700,20.58,70.8300786788,1,2012
2012-02-03,20.879999,21.4,20.809999,21.190001,139700,21.190001,74.9369634357,1,2012
2012-02-06,21.139999,21.15,20.67,20.84,135700,20.84,68.939484748,1,2012
2012-02-07,20.799999,21.0,20.719999,20.91,180400,20.91,69.4658317517,1,2012
2012-02-08,20.950001,21.120001,20.780001,21.059999,198800,21.059999,70.6149505575,1,2012
2012-02-09,21.200001,22.139999,21.120001,22.049999,339000,22.049999,76.8163776897,1,2012
2012-02-10,21.73,22.23,21.5,21.76,115700,21.76,72.0215430914,1,2012
2012-02-13,21.99,22.26,21.870001,22.1,109900,22.1,74.0654696823,1,2012
2012-02-14,22.08,22.08,20.93,21.4,189400,21.4,63.7410724015,1,2012
2012-02-15,21.51,21.51,20.9,21.0,173600,21.0,58.7052275985,1,2012
2012-02-16,20.950001,21.27,20.860001,21.0,286700,21.0,58.7052275985,1,2012
2012-02-17,21.030001,21.059999,20.59,20.629999,209200,20.629999,54.1184216535,1,2012
2012-02-21,20.68,20.85,20.6,20.68,260500,20.68,54.6342699145,1,2012
2012-02-22,20.66,20.75,20.41,20.5,114300,20.5,52.3523605614,1,2012
2012-02-23,20.58,20.75,20.41,20.52,255700,20.52,52.5893078341,1,2012
2012-02-24,20.549999,20.629999,20.34,20.459999,195700,20.459999,51.7577378829,1,2012
2012-02-27,20.280001,20.68,20.01,20.530001,520800,20.530001,52.697508776,1,2012
2012-02-28,20.469999,20.780001,20.15,20.709999,228500,20.709999,55.1185549479,1,2012
2012-02-29,20.780001,21.09,20.440001,20.690001,288200,20.690001,54.7830731076,1,2012
2012-03-01,20.76,21.09,20.6,20.620001,185000,20.620001,53.5543276528,1,2012
2012-03-02,20.58,20.9,20.209999,20.34,262000,20.34,48.8358637917,1,2012
2012-03-05,20.27,20.530001,20.129999,20.43,154100,20.43,50.3500946661,1,2012
2012-03-06,20.200001,20.360001,20.040001,20.139999,260900,20.139999,45.6607597317,1,2012
2012-03-07,20.18,20.469999,20.059999,20.379999,167400,20.379999,49.8255223376,1,2012
2012-03-08,20.49,20.74,20.4,20.65,190500,20.65,54.0887149292,1,2012
2012-03-09,20.65,21.450001,20.58,21.23,228300,21.23,61.630665234,1,2012
2012-03-12,21.25,21.469999,21.01,21.290001,96800,21.290001,62.3202496099,1,2012
2012-03-13,21.450001,21.73,21.34,21.73,230600,21.73,67.0035144063,1,2012
2012-03-14,21.76,22.049999,21.700001,21.870001,129600,21.870001,68.3514187552,1,2012
2012-03-15,21.91,22.129999,21.709999,22.110001,87000,22.110001,70.570812927,1,2012
2012-03-16,22.15,22.610001,22.15,22.540001,315500,22.540001,74.0782252596,1,2012
2012-03-19,22.5,23.08,22.450001,22.93,161700,22.93,76.7811223085,1,2012
2012-03-20,22.84,22.84,22.49,22.549999,120500,22.549999,69.208753961,1,2012
2012-03-21,22.6,22.65,22.07,22.1,120100,22.1,61.4766298004,1,2012
2012-03-22,21.870001,21.98,21.24,21.290001,188800,21.290001,50.5328116179,1,2012
2012-03-23,21.25,21.610001,21.25,21.379999,315000,21.379999,51.5645165716,1,2012
2012-03-26,21.530001,22.43,21.530001,22.0,709200,22.0,58.0548143787,1,2012
2012-03-27,21.98,22.469999,21.799999,21.889999,293400,21.889999,56.6055457394,1,2012
2012-03-28,21.870001,22.09,21.75,21.82,169100,21.82,55.6534456683,1,2012
2012-03-29,21.709999,22.120001,21.68,21.959999,98900,21.959999,57.2038538754,1,2012
2012-03-30,22.139999,22.219999,21.82,21.860001,202700,21.860001,55.7057656556,1,2012
2012-04-02,21.82,22.23,21.809999,22.120001,164500,22.120001,58.7319330273,2,2012
2012-04-03,22.049999,22.4,21.67,21.950001,187800,21.950001,56.0362130332,2,2012
2012-04-04,21.690001,21.84,21.51,21.690001,117700,21.690001,52.0977349184,2,2012
2012-04-05,21.58,21.959999,21.559999,21.870001,93900,21.870001,54.4828981265,2,2012
2012-04-09,21.5,21.5,20.889999,21.030001,156700,21.030001,43.5780161074,2,2012
2012-04-10,21.049999,21.15,20.57,20.639999,177700,20.639999,39.6136159186,2,2012
2012-04-11,20.85,21.059999,20.75,21.059999,139900,21.059999,45.3767018102,2,2012
2012-04-12,21.030001,21.360001,20.91,21.120001,180900,21.120001,46.1671341262,2,2012
2012-04-13,20.99,21.26,20.98,21.08,135700,21.08,45.6924323564,2,2012
2012-04-16,21.209999,21.67,21.030001,21.360001,154400,21.360001,49.5990430489,2,2012
2012-04-17,21.549999,22.18,21.52,22.110001,134600,22.110001,58.2602099445,2,2012
2012-04-18,21.940001,22.43,21.85,22.42,167500,22.42,61.2261366417,2,2012
2012-04-19,22.43,22.65,22.040001,22.530001,225200,22.530001,62.2511623554,2,2012
2012-04-20,22.719999,22.719999,21.98,22.0,491300,22.0,54.742158283,2,2012
2012-04-23,21.65,21.860001,21.540001,21.799999,169400,21.799999,52.1840842848,2,2012
2012-04-24,21.73,22.01,21.530001,21.93,159100,21.93,53.6986362517,2,2012
2012-04-25,22.219999,22.629999,22.07,22.309999,376100,22.309999,57.8966934387,2,2012
2012-04-26,22.18,22.66,21.98,22.5,380800,22.5,59.8565632974,2,2012
2012-04-27,22.559999,23.35,22.469999,23.35,285700,23.35,67.2101356794,2,2012
2012-04-30,23.32,23.74,23.280001,23.549999,235000,23.549999,68.6646306427,2,2012
2012-05-01,23.530001,23.84,23.33,23.51,251200,23.51,68.0148269241,2,2012
2012-05-02,23.27,23.440001,22.969999,23.290001,462200,23.290001,64.4046964504,2,2012
2012-05-03,23.33,24.18,22.690001,23.889999,276500,23.889999,69.2054263842,2,2012
2012-05-04,23.709999,23.92,23.110001,23.27,176500,23.27,60.1741269423,2,2012
2012-05-07,23.23,23.65,23.15,23.42,140000,23.42,61.4837288006,2,2012
2012-05-08,23.23,23.92,23.08,23.809999,234200,23.809999,64.7310375245,2,2012
2012-05-09,23.49,23.719999,23.299999,23.4,252000,23.4,59.0907311571,2,2012
2012-05-10,23.549999,23.719999,23.27,23.43,161100,23.43,59.3697048454,2,2012
2012-05-11,23.219999,23.469999,23.08,23.23,113000,23.23,56.5986749278,2,2012
2012-05-14,22.940001,22.940001,22.59,22.59,146000,22.59,48.7563913739,2,2012
2012-05-15,22.530001,22.74,22.379999,22.43,132000,22.43,47.0029701015,2,2012
2012-05-16,22.549999,22.6,22.209999,22.25,117600,22.25,45.0405343092,2,2012
2012-05-17,22.27,22.27,21.68,21.709999,128500,21.709999,39.6871675109,2,2012
2012-05-18,21.65,21.870001,21.190001,21.25,175100,21.25,35.7852787929,2,2012
2012-05-21,21.35,21.83,21.209999,21.82,106000,21.82,43.2329993723,2,2012
2012-05-22,21.790001,22.059999,20.91,21.01,114000,21.01,36.7161108483,2,2012
2012-05-23,20.860001,21.030001,20.43,20.969999,143000,20.969999,36.424109817,2,2012
2012-05-24,20.950001,21.32,20.790001,21.25,95000,21.25,40.020009151,2,2012
