Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,52.650002,53.349998,52.299999,52.459999,1155200,49.831683,,1,2012
2012-01-04,52.130001,52.880001,51.759998,51.91,919900,49.309239,,1,2012
2012-01-05,51.91,51.91,50.700001,51.23,1776600,48.663308,,1,2012
2012-01-06,51.490002,52.419998,51.490002,51.860001,1101800,49.261745,,1,2012
2012-01-09,51.939999,52.900002,51.759998,52.299999,996100,49.679699,,1,2012
2012-01-10,52.970001,54.549999,52.869999,54.52,1631500,51.788475,,1,2012
2012-01-11,54.119999,55.490002,53.389999,54.040001,1376200,51.332524,,1,2012
2012-01-12,54.450001,55.549999,54.049999,55.549999,1384400,52.76687,,1,2012
2012-01-13,55.419998,56.529999,55.240002,56.52,1559600,53.688273,,1,2012
2012-01-17,57.09,57.73,56.639999,57.189999,1147100,54.324703,,1,2012
2012-01-18,57.41,57.639999,56.759998,57.18,959600,54.315206,,1,2012
2012-01-19,57.139999,58.27,57.0,57.919998,849200,55.018129,,1,2012
2012-01-20,57.799999,57.990002,56.990002,57.200001,858700,54.334204,,1,2012
2012-01-23,57.25,57.93,56.860001,57.110001,807300,54.248713,,1,2012
2012-01-24,56.779999,56.970001,55.52,56.560001,1272500,53.72627,69.9805385847,1,2012
2012-01-25,56.709999,57.740002,55.93,57.490002,949900,54.609676,72.6503051482,1,2012
2012-01-26,57.959999,58.299999,56.900002,56.990002,1536800,54.134726,69.0925672187,1,2012
2012-01-27,57.029999,57.970001,56.75,57.48,1116700,54.600175,70.6114476862,1,2012
2012-01-30,57.099998,57.529999,56.610001,57.060001,1080100,54.201219,67.5473233055,1,2012
2012-01-31,57.299999,58.18,57.299999,57.880001,1467000,54.980135,70.2607127891,1,2012
2012-02-01,58.16,58.16,57.5,57.759998,1146000,54.866145,69.3469161027,1,2012
2012-02-02,58.040001,58.240002,57.330002,57.470001,750800,54.590677,67.076545266,1,2012
2012-02-03,57.990002,58.970001,57.549999,58.880001,1357400,55.930034,71.8945769641,1,2012
2012-02-06,58.5,59.200001,57.860001,59.189999,855900,56.2245,72.8357834787,1,2012
2012-02-07,59.25,59.669998,58.779999,59.209999,698100,56.243499,72.8988447717,1,2012
2012-02-08,59.400002,60.0,59.099998,59.84,838500,56.841936,74.8772077319,1,2012
2012-02-09,59.779999,59.860001,59.009998,59.639999,803800,56.651956,73.0539994079,1,2012
2012-02-10,58.959999,59.009998,57.540001,58.779999,1299500,55.835042,65.6514070933,1,2012
2012-02-13,59.209999,60.68,58.91,60.240002,1519200,57.221897,71.0201788086,1,2012
2012-02-14,60.049999,60.630001,59.279999,59.419998,898100,56.442977,64.8859091546,1,2012
2012-02-15,59.830002,59.830002,59.200001,59.580002,1209500,56.594964,65.5118726204,1,2012
2012-02-16,59.669998,60.5,59.330002,60.119999,1012300,57.107906,67.61042271,1,2012
2012-02-17,60.330002,60.650002,59.849998,60.610001,1182000,57.573358,69.4282844893,1,2012
2012-02-21,61.330002,62.91,60.889999,62.459999,3092000,59.330669,75.1085025972,1,2012
2012-02-22,64.139999,67.400002,64.0,66.809998,5280900,63.462727,83.0726169742,1,2012
2012-02-23,67.07,67.300003,66.260002,66.57,1793300,63.234754,81.522846126,1,2012
2012-02-24,66.739998,66.940002,65.900002,66.449997,1232000,63.120763,80.7120349521,1,2012
2012-02-27,66.580002,66.93,65.169998,66.5,1482700,63.168261,80.7977352415,1,2012
2012-02-28,66.25,67.199997,65.639999,66.970001,1764800,63.614714,81.6242052803,1,2012
2012-02-29,66.699997,67.5,66.129997,66.209999,1288900,62.892789,75.9329757665,1,2012
2012-03-01,66.099998,67.730003,65.660004,67.699997,1673600,64.308136,79.0212897594,1,2012
2012-03-02,67.669998,68.010002,67.190002,67.459999,960400,64.080163,77.3006600198,1,2012
2012-03-05,66.970001,67.379997,66.099998,66.970001,1224800,63.898877,75.8856212446,1,2012
2012-03-06,66.389999,66.489998,65.25,65.510002,1359400,62.505831,65.9023690998,1,2012
2012-03-07,65.589996,66.610001,64.93,65.919998,1472800,62.897025,67.2070504028,1,2012
2012-03-08,66.07,67.339996,66.059998,66.879997,1036000,63.813001,70.0926420666,1,2012
2012-03-09,66.900002,70.349998,66.900002,69.290001,2379800,66.112486,75.8401523201,1,2012
2012-03-12,69.510002,69.510002,68.349998,68.580002,1186800,65.435046,71.4818019832,1,2012
2012-03-13,69.110001,69.900002,68.879997,69.870003,780600,66.66589,74.3643952482,1,2012
2012-03-14,69.57,69.959999,69.330002,69.900002,785000,66.694513,74.4291249637,1,2012
2012-03-15,69.57,71.410004,69.57,70.75,1660500,67.505532,76.2583674186,1,2012
2012-03-16,70.510002,70.769997,70.110001,70.580002,1100300,67.34333,75.101236155,1,2012
2012-03-19,71.93,72.0,71.379997,71.620003,1353700,68.335638,77.3641447092,1,2012
2012-03-20,71.440002,71.720001,71.0,71.129997,908000,67.868103,73.9537718312,1,2012
2012-03-21,71.129997,71.669998,71.050003,71.129997,864100,67.868103,73.9537718312,1,2012
2012-03-22,71.010002,71.18,70.050003,70.269997,1493000,67.047541,67.864421914,1,2012
