Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,2.59,2.74,2.56,2.6,469500,2.6,,1,2012
2012-01-04,2.58,2.59,2.48,2.54,340800,2.54,,1,2012
2012-01-05,2.52,2.6,2.51,2.54,205500,2.54,,1,2012
2012-01-06,2.54,2.55,2.5,2.5,211200,2.5,,1,2012
2012-01-09,2.44,2.55,2.42,2.48,223300,2.48,,1,2012
2012-01-10,2.5,2.53,2.45,2.48,362900,2.48,,1,2012
2012-01-11,2.46,2.49,2.42,2.46,456600,2.46,,1,2012
2012-01-12,2.47,2.51,2.44,2.46,1298900,2.46,,1,2012
2012-01-13,2.43,2.46,2.36,2.39,276800,2.39,,1,2012
2012-01-17,2.41,2.44,2.38,2.41,238800,2.41,,1,2012
2012-01-18,2.39,2.44,2.32,2.42,376400,2.42,,1,2012
2012-01-19,2.42,2.94,2.35,2.79,3476500,2.79,,1,2012
2012-01-20,2.79,2.82,2.65,2.71,575600,2.71,,1,2012
2012-01-23,2.75,2.96,2.74,2.9,402500,2.9,,1,2012
2012-01-24,2.87,2.93,2.8,2.88,439900,2.88,65.5555555556,1,2012
2012-01-25,2.95,3.21,2.9,3.08,1472400,3.08,72.2068965517,1,2012
2012-01-26,3.1,3.33,3.1,3.18,627000,3.18,74.824603556,1,2012
2012-01-27,3.16,3.2,3.1,3.19,358000,3.19,75.0773948491,1,2012
2012-01-30,3.14,3.19,3.07,3.11,280900,3.11,69.0996634619,1,2012
2012-01-31,3.14,3.21,3.1,3.12,220600,3.12,69.4273472992,1,2012
2012-02-01,3.14,3.29,3.13,3.24,453000,3.24,73.1121468544,1,2012
2012-02-02,3.25,3.62,3.16,3.52,1276000,3.52,79.3624419465,1,2012
2012-02-03,3.61,3.93,3.53,3.9,1288500,3.9,84.5959200115,1,2012
2012-02-06,3.91,4.03,3.66,3.72,1154100,3.72,74.905958386,1,2012
2012-02-07,3.75,3.87,3.64,3.68,554600,3.68,72.9074018839,1,2012
2012-02-08,3.7,3.83,3.69,3.76,487300,3.76,74.3797102568,1,2012
2012-02-09,3.78,3.8,3.69,3.78,376700,3.78,74.7491543659,1,2012
2012-02-10,3.77,3.93,3.63,3.68,495200,3.68,69.3633628587,1,2012
2012-02-13,3.72,3.76,3.48,3.51,671900,3.51,61.2799417874,1,2012
2012-02-14,3.51,3.72,3.51,3.71,329500,3.71,66.2614138447,1,2012
2012-02-15,3.74,3.81,3.53,3.55,358400,3.55,59.6498290703,1,2012
2012-02-16,3.55,3.66,3.44,3.52,344800,3.52,58.4717434067,1,2012
