Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.05,3.37,3.05,3.33,2400,3.3049,,1,2012
2012-01-04,3.33,3.33,3.33,3.33,0,3.3049,,1,2012
2012-01-05,3.23,3.23,3.05,3.23,8800,3.205653,,1,2012
2012-01-06,2.85,3.35,2.8,3.35,14700,3.324749,,1,2012
2012-01-09,3.4,3.87,3.32,3.81,7200,3.781281,,1,2012
2012-01-10,3.88,3.88,3.51,3.51,12900,3.483543,,1,2012
2012-01-11,3.41,3.52,3.12,3.16,8700,3.136181,,1,2012
2012-01-12,3.37,3.41,3.21,3.25,5300,3.225503,,1,2012
2012-01-13,3.49,3.71,3.25,3.35,18100,3.324749,,1,2012
2012-01-17,3.38,3.48,3.35,3.45,2900,3.423995,,1,2012
2012-01-18,3.45,3.45,3.4,3.4,1600,3.374372,,1,2012
2012-01-19,3.41,3.41,3.35,3.35,1200,3.324749,,1,2012
2012-01-20,3.87,3.87,3.43,3.49,700,3.463694,,1,2012
2012-01-23,3.6,3.73,3.6,3.73,200,3.701885,,1,2012
2012-01-24,4.39,4.39,3.27,3.47,1900,3.443844,52.9660850512,1,2012
2012-01-25,3.28,3.28,3.27,3.27,300,3.245352,48.5364355053,1,2012
2012-01-26,3.27,3.4,3.22,3.39,2200,3.364447,51.1748918507,1,2012
2012-01-27,3.48,3.7,3.48,3.7,2900,3.672111,57.2696237141,1,2012
2012-01-30,3.61,3.71,3.53,3.53,900,3.503392,53.3375938834,1,2012
2012-01-31,3.53,3.53,3.53,3.53,0,3.503392,53.3375938834,1,2012
2012-02-01,3.77,3.77,3.69,3.7,1700,3.672111,56.7791521241,1,2012
2012-02-02,3.7,3.7,3.66,3.7,1300,3.672111,56.7791521241,1,2012
2012-02-03,3.66,3.66,3.41,3.41,3800,3.384297,49.5491054364,1,2012
2012-02-06,3.58,3.86,3.58,3.78,13500,3.751508,57.0616343882,1,2012
2012-02-07,3.95,3.95,3.75,3.82,2500,3.791206,57.7933391984,1,2012
2012-02-08,3.73,3.85,3.69,3.77,5200,3.741583,56.4973028316,1,2012
2012-02-09,3.7,3.89,3.7,3.89,1600,3.860679,58.8806353469,1,2012
2012-02-10,3.98,3.98,3.98,3.98,500,3.95,60.6230503768,1,2012
2012-02-13,3.99,4.18,3.99,4.15,19000,4.15,64.2735795264,1,2012
2012-02-14,4.04,4.04,3.37,3.8,8500,3.8,54.7140719849,1,2012
2012-02-15,3.8,3.8,3.8,3.8,0,3.8,54.7140719849,1,2012
2012-02-16,3.8,3.8,3.8,3.8,0,3.8,54.7140719849,1,2012
2012-02-17,3.72,3.72,3.72,3.72,600,3.72,52.4855408676,1,2012
2012-02-21,3.75,3.79,3.75,3.75,1000,3.75,53.2544515173,1,2012
2012-02-22,3.75,3.85,3.71,3.79,1900,3.79,54.3159947328,1,2012
2012-02-23,3.62,3.76,3.45,3.45,3700,3.45,44.9682469569,1,2012
2012-02-24,3.45,3.66,3.45,3.63,5500,3.63,49.8854831258,1,2012
2012-02-27,3.81,3.81,3.7,3.78,2400,3.78,53.6057596781,1,2012
2012-02-28,3.73,3.73,3.73,3.73,400,3.73,52.2143189118,1,2012
2012-02-29,3.77,3.89,3.57,3.81,1700,3.81,54.2600728807,1,2012
2012-03-01,3.88,4.02,3.88,4.0,4700,4.0,58.7741927546,1,2012
2012-03-02,4.03,4.03,3.84,3.92,600,3.92,56.2566738526,1,2012
2012-03-05,3.86,3.86,3.86,3.86,100,3.86,54.3754734408,1,2012
2012-03-06,3.75,3.86,3.6,3.79,4000,3.79,52.183062066,1,2012
2012-03-07,3.7,3.71,3.56,3.63,2500,3.63,47.4715625753,1,2012
2012-03-08,3.61,3.65,3.61,3.65,800,3.65,48.1023341454,1,2012
2012-03-09,3.85,3.85,3.55,3.63,4800,3.63,47.488221253,1,2012
2012-03-12,3.59,3.6,3.59,3.6,900,3.6,46.5286473381,1,2012
2012-03-13,3.6,3.6,3.6,3.6,0,3.6,46.5286473381,1,2012
2012-03-14,3.65,3.66,3.55,3.55,5100,3.55,44.7796414983,1,2012
2012-03-15,3.32,3.58,3.32,3.53,2100,3.53,44.0660985661,1,2012
2012-03-16,3.54,3.63,3.53,3.63,2100,3.63,48.4860644234,1,2012
2012-03-19,3.63,3.63,3.54,3.57,3900,3.57,46.1306397857,1,2012
2012-03-20,3.6,3.63,3.53,3.63,4600,3.63,48.8087749117,1,2012
2012-03-21,3.63,3.78,3.63,3.63,2100,3.63,48.8087749117,1,2012
2012-03-22,3.63,3.63,3.63,3.63,0,3.63,48.8087749117,1,2012
2012-03-23,3.59,3.7,3.59,3.69,800,3.69,51.8015740722,1,2012
2012-03-26,3.73,3.73,3.6,3.6,400,3.6,47.3315607429,1,2012
2012-03-27,3.61,3.78,3.59,3.7,1000,3.7,52.26083368,1,2012
2012-03-28,3.69,3.83,3.66,3.66,2600,3.66,50.235539286,1,2012
2012-03-29,3.72,3.72,3.72,3.72,200,3.72,53.1673536516,1,2012
2012-03-30,3.6,3.6,3.6,3.6,500,3.6,47.180552081,1,2012
2012-04-02,3.7,4.34,3.7,3.81,5800,3.81,56.4272649675,2,2012
2012-04-03,3.81,3.95,3.81,3.91,600,3.91,60.0167867807,2,2012
2012-04-04,3.91,3.91,3.72,3.74,5400,3.74,52.151380045,2,2012
2012-04-05,3.74,3.74,3.74,3.74,0,3.74,52.151380045,2,2012
2012-04-09,3.85,3.9,3.85,3.9,9400,3.9,58.1395336963,2,2012
2012-04-10,3.85,3.85,3.85,3.85,3100,3.85,55.7898291585,2,2012
2012-04-11,3.41,3.75,3.4,3.7,25100,3.7,49.3465828512,2,2012
2012-04-12,3.67,3.67,3.56,3.61,4300,3.61,45.9198070579,2,2012
2012-04-13,3.57,3.63,3.55,3.55,4500,3.55,43.7391260949,2,2012
2012-04-16,3.54,3.65,3.54,3.65,5300,3.65,48.1579592109,2,2012
2012-04-17,3.51,3.72,3.25,3.43,10800,3.43,40.6024941307,2,2012
2012-04-18,3.46,3.46,3.28,3.31,2400,3.31,37.1763680866,2,2012
2012-04-19,3.3,3.49,3.3,3.49,1400,3.49,44.7125767676,2,2012
2012-04-20,3.49,3.49,3.49,3.49,0,3.49,44.7125767676,2,2012
2012-04-23,3.55,3.55,3.55,3.55,300,3.55,47.1628654006,2,2012
2012-04-24,3.48,3.57,3.48,3.57,700,3.57,47.9903093701,2,2012
2012-04-25,3.42,3.43,3.4,3.43,3000,3.43,42.9230552093,2,2012
2012-04-26,3.25,3.3,3.13,3.16,6200,3.16,35.2030172081,2,2012
2012-04-27,3.29,3.29,3.07,3.07,8900,3.07,33.0680055921,2,2012
2012-04-30,3.1,3.2,3.05,3.05,6000,3.05,32.5949170777,2,2012
2012-05-01,3.15,3.16,3.05,3.1,6700,3.1,35.0949048527,2,2012
2012-05-02,3.02,3.02,3.01,3.02,3400,3.02,32.9868096586,2,2012
2012-05-03,3.02,3.07,3.02,3.06,4200,3.06,35.0864092039,2,2012
2012-05-04,3.11,3.11,3.02,3.02,400,3.02,33.9411917802,2,2012
2012-05-07,3.01,3.06,2.9,3.0,8800,3.0,33.3549669292,2,2012
2012-05-08,3.21,3.21,3.05,3.05,700,3.05,36.3163186378,2,2012
2012-05-09,3.05,3.05,2.95,2.95,2700,2.95,33.1442333269,2,2012
2012-05-10,2.95,2.96,2.88,2.96,4200,2.96,33.7672511972,2,2012
2012-05-11,2.9,2.9,2.89,2.89,1400,2.89,31.550816422,2,2012
2012-05-14,2.89,2.89,2.89,2.89,800,2.89,31.550816422,2,2012
2012-05-15,2.89,2.89,2.89,2.89,300,2.89,31.550816422,2,2012
2012-05-16,2.88,2.88,2.82,2.88,800,2.88,31.1855841538,2,2012
2012-05-17,2.73,2.75,2.72,2.72,4000,2.72,25.9996130831,2,2012
2012-05-18,2.69,2.7,2.68,2.7,4100,2.7,25.4303368976,2,2012
2012-05-21,2.72,2.72,2.7,2.7,1000,2.7,25.4303368976,2,2012
2012-05-22,2.67,2.89,2.67,2.88,2300,2.88,39.3023602508,2,2012
2012-05-23,3.02,3.05,2.92,2.92,3900,2.92,41.889411736,2,2012
2012-05-24,3.15,3.16,3.14,3.16,4700,3.16,54.4374814822,2,2012
2012-05-25,3.08,3.33,3.05,3.33,2300,3.33,60.8811105525,2,2012
2012-05-29,3.34,3.34,3.08,3.08,8000,3.08,49.7405055634,2,2012
2012-05-30,3.09,3.21,3.02,3.02,4900,3.02,47.4942302301,2,2012
2012-05-31,2.99,2.99,2.95,2.95,2500,2.95,44.9441300357,2,2012
2012-06-01,2.96,2.96,2.85,2.9,9000,2.9,43.161467091,2,2012
2012-06-04,2.87,2.87,2.75,2.79,1100,2.79,39.4538645417,2,2012
2012-06-05,2.75,2.85,2.6,2.85,800,2.85,42.3622198895,2,2012
2012-06-06,2.82,2.93,2.79,2.88,3500,2.88,43.8154442816,2,2012
2012-06-07,3.04,3.04,2.86,2.86,2200,2.86,43.0364129525,2,2012
2012-06-08,3.01,3.01,2.93,2.93,400,2.93,46.6141359109,2,2012
2012-06-11,3.18,3.25,2.94,2.94,1200,2.94,47.1250478007,2,2012
2012-06-12,3.17,3.2,3.01,3.04,1800,3.04,52.0653547595,2,2012
2012-06-13,3.05,3.05,2.74,2.82,1800,2.82,42.6287830376,2,2012
2012-06-14,2.81,2.93,2.8,2.81,1200,2.81,42.2539013471,2,2012
2012-06-15,3.0,3.0,2.8,2.9,1400,2.9,46.7893191822,2,2012
2012-06-18,2.8,2.92,2.8,2.92,300,2.92,47.7710182612,2,2012
2012-06-19,2.99,3.12,2.86,2.86,1700,2.86,45.0837820238,2,2012
2012-06-20,2.92,2.92,2.82,2.84,600,2.84,44.1914166675,2,2012
2012-06-21,3.0,3.0,3.0,3.0,100,3.0,52.3218937142,2,2012
2012-06-22,2.98,2.98,2.83,2.83,200,2.83,44.8461586652,2,2012
2012-06-25,2.8,2.81,2.7,2.7,5400,2.7,40.1248442746,2,2012
2012-06-26,2.7,2.7,2.7,2.7,0,2.7,40.1248442746,2,2012
2012-06-27,2.85,2.85,2.84,2.84,200,2.84,47.0828979464,2,2012
2012-06-28,2.84,2.84,2.83,2.83,800,2.83,46.6657443771,2,2012
2012-06-29,2.99,2.99,2.96,2.96,1100,2.96,52.5512718298,2,2012
2012-07-02,2.96,2.96,2.96,2.96,0,2.96,52.5512718298,3,2012
2012-07-03,2.96,2.96,2.96,2.96,0,2.96,52.5512718298,3,2012
2012-07-05,2.96,2.96,2.96,2.96,0,2.96,52.5512718298,3,2012
2012-07-06,2.99,2.99,2.95,2.95,1200,2.95,51.9580361539,3,2012
2012-07-09,2.99,2.99,2.99,2.99,200,2.99,54.1858961737,3,2012
2012-07-10,2.82,3.0,2.82,3.0,1900,3.0,54.7508362668,3,2012
2012-07-11,3.0,3.0,3.0,3.0,0,3.0,54.7508362668,3,2012
2012-07-12,2.99,3.06,2.99,3.06,1000,3.06,58.3267056904,3,2012
2012-07-13,3.01,3.01,2.86,3.01,1500,3.01,54.4640627329,3,2012
2012-07-16,2.98,2.98,2.9,2.97,2300,2.97,51.5243537357,3,2012
2012-07-17,2.97,2.97,2.97,2.97,0,2.97,51.5243537357,3,2012
2012-07-18,3.09,3.1,3.0,3.0,1400,3.0,53.6981712418,3,2012
2012-07-19,2.95,2.95,2.95,2.95,500,2.95,49.698057663,3,2012
2012-07-20,2.95,2.95,2.95,2.95,0,2.95,49.698057663,3,2012
2012-07-23,2.9,2.9,2.85,2.85,400,2.85,42.3760143051,3,2012
2012-07-24,2.85,2.85,2.85,2.85,0,2.85,42.3760143051,3,2012
2012-07-25,2.86,2.89,2.85,2.89,900,2.89,46.0625039627,3,2012
2012-07-26,2.91,3.0,2.91,3.0,400,3.0,54.6539549726,3,2012
2012-07-27,2.9,2.9,2.9,2.9,2000,2.9,47.2808119092,3,2012
2012-07-30,2.95,2.95,2.9,2.92,2800,2.92,48.7694021557,3,2012
2012-07-31,2.9,2.9,2.9,2.9,2100,2.9,47.3301753065,3,2012
2012-08-01,2.9,2.9,2.9,2.9,0,2.9,47.3301753065,3,2012
2012-08-02,2.9,2.9,2.9,2.9,0,2.9,47.3301753065,3,2012
2012-08-03,2.84,2.84,2.84,2.84,300,2.84,42.6177190938,3,2012
2012-08-06,2.82,2.9,2.82,2.84,7500,2.84,42.6177190938,3,2012
2012-08-07,2.86,2.89,2.84,2.89,1300,2.89,47.654749981,3,2012
2012-08-08,2.89,3.0,2.82,2.82,21700,2.82,42.0849868994,3,2012
2012-08-09,2.83,3.0,2.82,3.0,12700,3.0,56.2463230337,3,2012
2012-08-10,2.99,3.14,2.99,3.0,1700,3.0,56.2463230337,3,2012
2012-08-13,3.09,3.09,2.85,2.87,3600,2.87,46.6847686901,3,2012
2012-08-14,2.86,2.93,2.86,2.93,400,2.93,50.8386205396,3,2012
2012-08-15,2.82,2.84,2.82,2.84,5000,2.84,45.1555065597,3,2012
2012-08-16,2.9,2.93,2.9,2.93,1700,2.93,51.0485888768,3,2012
2012-08-17,2.85,2.85,2.68,2.7,12500,2.7,39.397880195,3,2012
2012-08-20,2.7,2.75,2.7,2.7,3500,2.7,39.397880195,3,2012
2012-08-21,2.71,2.71,2.7,2.71,2400,2.71,40.0873710481,3,2012
2012-08-22,2.7,2.7,2.7,2.7,1700,2.7,39.6021450224,3,2012
2012-08-23,2.7,2.7,2.45,2.45,24200,2.45,29.8685150144,3,2012
2012-08-24,2.31,2.44,2.23,2.25,16900,2.25,24.6490005148,3,2012
2012-08-27,2.13,2.54,2.13,2.3,6400,2.3,28.0348184012,3,2012
2012-08-28,2.4,2.47,2.25,2.25,4700,2.25,26.7408193126,3,2012
2012-08-29,2.36,2.53,2.36,2.53,2700,2.53,42.6929007937,3,2012
2012-08-30,2.49,2.5,2.46,2.47,2400,2.47,40.6502397081,3,2012
2012-08-31,2.42,2.42,2.18,2.2,5600,2.2,32.9989024745,3,2012
2012-09-04,2.25,2.25,2.18,2.18,5000,2.18,32.5107537194,3,2012
2012-09-05,2.18,2.7,2.18,2.45,7800,2.45,44.4562984968,3,2012
2012-09-06,2.47,2.64,2.39,2.39,4500,2.39,42.6497084272,3,2012
2012-09-07,2.27,2.29,2.25,2.27,2400,2.27,39.2171566216,3,2012
2012-09-10,2.23,2.25,2.15,2.15,12600,2.15,36.0891850818,3,2012
2012-09-11,2.2,2.53,2.15,2.19,14900,2.19,37.8681381343,3,2012
2012-09-12,2.19,2.2,2.15,2.15,1800,2.15,36.7660365425,3,2012
2012-09-13,2.15,2.15,2.15,2.15,1000,2.15,36.7660365425,3,2012
2012-09-14,2.17,2.17,2.15,2.15,4200,2.15,36.7660365425,3,2012
2012-09-17,2.15,2.15,2.15,2.15,0,2.15,36.7660365425,3,2012
2012-09-18,2.2,2.46,2.2,2.46,6400,2.46,51.4846599296,3,2012
2012-09-19,2.46,2.46,2.4,2.45,9500,2.45,51.0716885114,3,2012
2012-09-20,2.48,2.65,2.42,2.5,6300,2.5,53.0974722625,3,2012
2012-09-21,2.56,2.59,2.52,2.52,5800,2.52,53.9193293794,3,2012
2012-09-24,2.38,2.38,2.34,2.35,2800,2.35,46.4661677955,3,2012
2012-09-25,2.32,2.4,2.12,2.25,5900,2.25,42.724946923,3,2012
