Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,7.01,7.24,6.94,7.23,186200,7.23,,1,2012
2012-01-04,7.19,7.46,7.19,7.24,168400,7.24,,1,2012
2012-01-05,7.2,7.21,7.07,7.14,153300,7.14,,1,2012
2012-01-06,7.12,7.31,7.02,7.25,142400,7.25,,1,2012
2012-01-09,7.26,7.39,7.22,7.38,247700,7.38,,1,2012
2012-01-10,7.48,7.64,7.35,7.59,188600,7.59,,1,2012
2012-01-11,7.51,7.67,7.37,7.57,211600,7.57,,1,2012
2012-01-12,7.57,7.58,7.19,7.56,133300,7.56,,1,2012
2012-01-13,7.46,7.46,7.21,7.33,266700,7.33,,1,2012
2012-01-17,7.37,7.62,7.26,7.43,254000,7.43,,1,2012
2012-01-18,7.43,7.43,7.2,7.27,220500,7.27,,1,2012
2012-01-19,7.28,7.35,7.12,7.14,153600,7.14,,1,2012
2012-01-20,7.12,7.14,6.94,7.05,191900,7.05,,1,2012
2012-01-23,7.02,7.17,6.94,7.11,432800,7.11,,1,2012
2012-01-24,7.08,7.45,7.0,7.37,288500,7.37,54.3209876543,1,2012
2012-01-25,7.41,7.73,7.31,7.73,163000,7.73,63.1417624521,1,2012
2012-01-26,7.73,7.77,7.49,7.56,126800,7.56,57.4955718963,1,2012
2012-01-27,7.54,7.73,7.51,7.73,113700,7.73,61.2291782003,1,2012
2012-01-30,7.69,7.69,7.45,7.48,167500,7.48,53.7515917266,1,2012
2012-01-31,7.53,7.65,7.39,7.56,117400,7.56,55.6193940151,1,2012
2012-02-01,7.63,8.03,7.6,8.0,343500,8.0,64.1864062747,1,2012
2012-02-02,8.04,8.16,7.89,7.98,194500,7.98,63.5855691954,1,2012
2012-02-03,8.11,8.45,8.03,8.43,130800,8.43,70.3180269068,1,2012
2012-02-06,8.37,8.47,8.05,8.17,110700,8.17,63.0632812725,1,2012
2012-02-07,8.13,8.13,7.95,7.97,70800,7.97,58.0978507311,1,2012
2012-02-08,7.96,8.02,7.87,7.92,115100,7.92,56.8918295386,1,2012
2012-02-09,7.95,7.95,7.81,7.93,78700,7.93,57.0837104263,1,2012
2012-02-10,7.85,7.94,7.7,7.76,133200,7.76,52.7824542232,1,2012
2012-02-13,7.82,8.0,7.81,7.95,117800,7.95,56.7086637429,1,2012
2012-02-14,7.89,7.97,7.7,7.79,56600,7.79,52.7322000817,1,2012
2012-02-15,7.83,8.06,7.73,7.94,181200,7.94,55.8572902542,1,2012
2012-02-16,6.7,7.43,6.66,7.21,1149000,7.21,41.4830689377,1,2012
2012-02-17,7.25,7.46,7.2,7.21,188800,7.21,41.4830689377,1,2012
2012-02-21,7.21,7.58,7.2,7.47,264700,7.47,47.1056251627,1,2012
2012-02-22,7.56,7.87,7.45,7.66,256800,7.66,50.8241371902,1,2012
2012-02-23,7.65,8.0,7.59,7.98,228600,7.98,56.3853913398,1,2012
2012-02-24,8.0,8.49,7.97,8.3,178900,8.3,61.1204626709,1,2012
2012-02-27,8.26,8.36,8.02,8.03,191700,8.03,55.6323798857,1,2012
2012-02-28,8.04,8.23,7.96,8.12,81700,8.12,57.0178142204,1,2012
2012-02-29,8.13,8.22,7.91,7.95,271700,7.95,53.6123541996,1,2012
2012-03-01,8.05,8.11,7.82,7.83,184000,7.83,51.283922697,1,2012
2012-03-02,7.85,7.92,7.32,7.33,218400,7.33,42.919649707,1,2012
2012-03-05,7.29,7.42,7.16,7.22,215200,7.22,41.3228707138,1,2012
2012-03-06,7.18,7.28,6.93,6.95,238900,6.95,37.6229125207,1,2012
2012-03-07,6.99,7.11,6.93,7.04,99100,7.04,39.5653878008,1,2012
2012-03-08,7.1,7.25,7.07,7.23,223600,7.23,43.5611904247,1,2012
2012-03-09,7.25,7.85,7.25,7.8,270100,7.8,53.4951516157,1,2012
2012-03-12,7.82,7.9,7.43,7.49,112600,7.49,48.4957313241,1,2012
2012-03-13,7.57,7.72,7.35,7.64,178300,7.64,50.8874597868,1,2012
2012-03-14,7.62,7.76,7.54,7.59,222500,7.59,50.0530816859,1,2012
2012-03-15,7.59,7.73,7.47,7.66,171200,7.66,51.2580286559,1,2012
2012-03-16,7.68,7.78,7.61,7.72,324300,7.72,52.3198100405,1,2012
2012-03-19,7.68,8.0,7.68,7.85,237200,7.85,54.6261050711,1,2012
2012-03-20,7.78,7.85,7.66,7.72,109800,7.72,51.9214707454,1,2012
2012-03-21,7.74,7.83,7.62,7.71,84700,7.71,51.7093813312,1,2012
2012-03-22,7.63,7.72,7.41,7.45,193100,7.45,46.402148644,1,2012
2012-03-23,7.44,7.44,7.26,7.41,274100,7.41,45.6262853143,1,2012
