Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.9,0.9,0.88,0.9,14800,0.9,,1,2012
2012-01-04,0.87,0.9,0.8,0.9,19700,0.9,,1,2012
2012-01-05,0.93,0.93,0.88,0.9,27700,0.9,,1,2012
2012-01-06,0.92,0.92,0.88,0.89,55700,0.89,,1,2012
2012-01-09,0.92,0.92,0.82,0.88,94000,0.88,,1,2012
2012-01-10,0.7,0.82,0.69,0.79,333000,0.79,,1,2012
2012-01-11,0.79,0.79,0.74,0.76,102300,0.76,,1,2012
2012-01-12,0.79,0.79,0.7,0.76,138000,0.76,,1,2012
2012-01-13,0.75,0.81,0.74,0.81,53200,0.81,,1,2012
2012-01-17,0.83,0.84,0.74,0.74,149600,0.74,,1,2012
2012-01-18,0.73,0.76,0.65,0.73,75600,0.73,,1,2012
2012-01-19,0.73,0.75,0.72,0.72,43100,0.72,,1,2012
2012-01-20,0.73,0.84,0.72,0.84,107400,0.84,,1,2012
2012-01-23,0.85,0.85,0.74,0.75,77400,0.75,,1,2012
2012-01-24,0.76,0.78,0.74,0.74,90000,0.74,34.0,1,2012
2012-01-25,0.74,0.77,0.73,0.75,17000,0.75,35.3915662651,1,2012
2012-01-26,0.75,0.75,0.69,0.7,154100,0.7,31.7831876821,1,2012
2012-01-27,0.94,0.94,0.72,0.85,246200,0.85,48.6858580751,1,2012
2012-01-30,0.85,0.93,0.79,0.84,257500,0.84,47.8349114892,1,2012
2012-01-31,0.82,0.89,0.82,0.85,56100,0.85,48.7986638378,1,2012
2012-02-01,0.86,0.93,0.86,0.93,57200,0.93,55.8292976168,1,2012
2012-02-02,0.89,0.89,0.8,0.81,128200,0.81,45.6937746935,1,2012
2012-02-03,0.88,0.88,0.74,0.78,228400,0.78,43.5644545199,1,2012
2012-02-06,0.8,0.8,0.73,0.77,105200,0.77,42.8476927998,1,2012
2012-02-07,0.77,0.79,0.74,0.79,49600,0.79,44.8036857281,1,2012
2012-02-08,0.79,0.79,0.75,0.78,18100,0.78,43.9929647123,1,2012
2012-02-09,0.78,0.82,0.76,0.81,41900,0.81,47.0863320432,1,2012
2012-02-10,0.8,0.82,0.78,0.8,35800,0.8,46.1709112245,1,2012
2012-02-13,0.83,0.83,0.79,0.79,16700,0.79,45.2240633931,1,2012
2012-02-14,0.8,0.84,0.75,0.8,182400,0.8,46.4076478276,1,2012
2012-02-15,0.8,0.82,0.76,0.78,46300,0.78,44.3438937842,1,2012
2012-02-16,0.8,0.8,0.75,0.8,19700,0.8,46.8874996103,1,2012
2012-02-17,0.8,0.81,0.75,0.81,61600,0.81,48.1631460329,1,2012
2012-02-21,0.81,0.82,0.79,0.82,12800,0.82,49.4701187715,1,2012
2012-02-22,0.82,0.82,0.8,0.82,24300,0.82,49.4701187715,1,2012
2012-02-23,0.82,0.82,0.8,0.8,116200,0.8,46.73682411,1,2012
2012-02-24,0.8,0.82,0.8,0.8,7000,0.8,46.73682411,1,2012
2012-02-27,0.81,0.81,0.77,0.81,16700,0.81,48.3903602771,1,2012
2012-02-28,0.8,0.81,0.77,0.81,18600,0.81,48.3903602771,1,2012
2012-02-29,0.81,0.82,0.79,0.81,105700,0.81,48.3903602771,1,2012
2012-03-01,0.79,0.81,0.79,0.81,28300,0.81,48.3903602771,1,2012
2012-03-02,0.81,0.82,0.8,0.82,24600,0.82,50.4590241532,1,2012
2012-03-05,0.83,0.89,0.82,0.87,43500,0.87,59.2534024111,1,2012
2012-03-06,0.85,0.89,0.84,0.89,48500,0.89,62.1479126653,1,2012
2012-03-07,0.86,1.23,0.86,1.18,570300,1.18,82.0543952013,1,2012
2012-03-08,1.2,1.2,1.0,1.05,205800,1.05,65.4401987551,1,2012
2012-03-09,1.04,1.1,1.02,1.06,72300,1.06,66.0103182889,1,2012
2012-03-12,1.1,1.1,1.06,1.09,130900,1.09,67.7301936786,1,2012
2012-03-13,1.09,1.1,1.04,1.08,58300,1.08,66.5218850948,1,2012
2012-03-14,1.08,1.08,0.92,0.98,101200,0.98,55.8011746198,1,2012
2012-03-15,0.99,1.07,0.98,1.04,20400,1.04,59.9697117216,1,2012
2012-03-16,1.04,1.08,0.91,0.91,48800,0.91,49.1529080741,1,2012
2012-03-19,0.92,0.92,0.76,0.83,166400,0.83,43.9047186517,1,2012
2012-03-20,0.84,0.88,0.83,0.87,49700,0.87,46.9544655698,1,2012
2012-03-21,1.12,1.18,0.95,1.1,480800,1.1,60.3148285981,1,2012
2012-03-22,1.1,1.1,0.98,1.02,114200,1.02,55.1150323019,1,2012
2012-03-23,1.06,1.2,1.02,1.15,150000,1.15,60.9990676181,1,2012
2012-03-26,1.17,1.17,0.98,1.09,280100,1.09,57.2676303223,1,2012
2012-03-27,1.08,1.1,1.01,1.08,62500,1.08,56.6456835674,1,2012
2012-03-28,1.07,1.07,1.05,1.07,15800,1.07,55.9908279365,1,2012
2012-03-29,1.05,1.1,1.04,1.1,40600,1.1,57.5753663884,1,2012
2012-03-30,1.09,1.2,1.06,1.12,87200,1.12,58.644390341,1,2012
2012-04-02,1.1,1.28,1.1,1.21,304100,1.21,63.1449224298,2,2012
2012-04-03,1.23,1.31,1.18,1.21,172300,1.21,63.1449224298,2,2012
2012-04-04,1.22,1.27,1.16,1.25,77100,1.25,65.102464231,2,2012
2012-04-05,1.25,1.4,1.23,1.37,295000,1.37,70.2138034489,2,2012
2012-04-09,1.59,1.7,1.39,1.67,1424900,1.67,78.6376947142,2,2012
2012-04-10,1.75,1.88,1.55,1.58,1207300,1.58,72.0541104236,2,2012
2012-04-11,1.57,1.67,1.5,1.53,381000,1.53,68.617135308,2,2012
2012-04-12,1.55,1.55,1.36,1.42,268900,1.42,61.6499448375,2,2012
2012-04-13,1.4,1.42,1.31,1.36,146200,1.36,58.1798529984,2,2012
2012-04-16,1.42,1.55,1.36,1.55,289700,1.55,64.9146059472,2,2012
2012-04-17,1.55,1.66,1.55,1.62,216200,1.62,67.0217436869,2,2012
2012-04-18,1.62,1.76,1.61,1.76,178300,1.76,70.7990193658,2,2012
2012-04-19,1.79,1.92,1.6,1.76,246500,1.76,70.7990193658,2,2012
2012-04-20,1.79,1.81,1.72,1.8,150000,1.8,71.8667749134,2,2012
2012-04-23,1.8,1.82,1.69,1.82,142600,1.82,72.4100011906,2,2012
2012-04-24,1.84,1.89,1.78,1.89,161000,1.89,74.2817814354,2,2012
2012-04-25,1.89,1.95,1.76,1.85,274000,1.85,71.3048496658,2,2012
2012-04-26,1.85,1.85,1.67,1.74,191800,1.74,63.7397554602,2,2012
2012-04-27,1.74,1.74,1.49,1.68,364700,1.68,60.0004331059,2,2012
2012-04-30,1.65,1.73,1.4,1.5,308700,1.5,50.4402597894,2,2012
2012-05-01,1.55,1.56,1.37,1.37,357600,1.37,44.878579579,2,2012
2012-05-02,1.56,1.75,1.56,1.74,1058900,1.74,58.8020467393,2,2012
2012-05-03,1.72,1.73,1.48,1.57,326600,1.57,52.2691698008,2,2012
2012-05-04,1.51,1.55,1.44,1.45,240000,1.45,48.1985286103,2,2012
2012-05-07,1.45,1.45,1.34,1.37,158400,1.37,45.6463186307,2,2012
2012-05-08,1.27,1.42,1.2,1.41,214200,1.41,47.1531222126,2,2012
2012-05-09,1.4,1.49,1.36,1.48,85700,1.48,49.7770543169,2,2012
2012-05-10,1.49,1.49,1.42,1.46,36100,1.46,49.028032677,2,2012
2012-05-11,1.46,1.65,1.45,1.61,287000,1.61,54.5517141533,2,2012
2012-05-14,1.62,1.66,1.5,1.63,174900,1.63,55.2480718857,2,2012
2012-05-15,1.65,1.66,1.39,1.45,219500,1.45,48.1043227943,2,2012
2012-05-16,1.43,1.59,1.43,1.47,94700,1.47,48.895027636,2,2012
2012-05-17,1.44,1.54,1.4,1.43,118000,1.43,47.3414275271,2,2012
2012-05-18,1.41,1.43,1.23,1.29,307000,1.29,42.278030081,2,2012
2012-05-21,1.29,1.31,1.17,1.26,177600,1.26,41.2596632393,2,2012
2012-05-22,1.26,1.29,1.18,1.26,86100,1.26,41.2596632393,2,2012
2012-05-23,1.26,1.32,1.25,1.31,88400,1.31,43.8729084387,2,2012
2012-05-24,1.31,1.37,1.31,1.36,74100,1.36,46.4390278597,2,2012
2012-05-25,1.36,1.36,1.24,1.27,157800,1.27,42.6583828419,2,2012
2012-05-29,1.26,1.28,1.17,1.21,311700,1.21,40.3027331611,2,2012
2012-05-30,1.2,1.2,0.99,1.05,356900,1.05,34.7861946326,2,2012
