Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,0.57,0.62,0.56,0.56,23000,2.8,,1,2012
2012-01-04,0.58,0.64,0.58,0.64,24200,3.2,,1,2012
2012-01-05,0.65,0.65,0.64,0.65,11100,3.25,,1,2012
2012-01-06,0.67,0.69,0.65,0.65,10900,3.25,,1,2012
2012-01-09,0.67,0.68,0.65,0.68,10100,3.4,,1,2012
2012-01-10,0.69,0.69,0.62,0.66,13000,3.3,,1,2012
2012-01-11,0.68,0.69,0.63,0.65,2600,3.25,,1,2012
2012-01-12,0.64,0.67,0.63,0.64,9600,3.2,,1,2012
2012-01-13,0.64,0.65,0.57,0.6,3700,3.0,,1,2012
2012-01-17,0.6,0.6,0.56,0.56,12400,2.8,,1,2012
2012-01-18,0.57,0.6,0.54,0.59,17400,2.95,,1,2012
2012-01-19,0.56,0.59,0.54,0.57,15600,2.85,,1,2012
2012-01-20,0.55,0.58,0.53,0.56,2300,2.8,,1,2012
2012-01-23,0.57,0.6,0.55,0.56,3500,2.8,,1,2012
2012-01-24,0.56,0.6,0.56,0.58,900,2.9,53.125,1,2012
2012-01-25,0.56,0.59,0.56,0.59,4200,2.95,54.6511627907,1,2012
2012-01-26,0.58,0.6,0.56,0.59,5700,2.95,54.6511627907,1,2012
2012-01-27,0.6,0.6,0.55,0.57,9800,2.85,50.8137362778,1,2012
2012-01-30,0.58,0.59,0.53,0.55,6900,2.75,47.2414323177,1,2012
2012-01-31,0.54,0.56,0.53,0.54,28700,2.7,45.5183406394,1,2012
2012-02-01,0.55,0.57,0.54,0.57,3600,2.85,51.2616485681,1,2012
2012-02-02,0.57,0.57,0.54,0.55,6100,2.75,47.6549239798,1,2012
2012-02-03,0.6,0.6,0.54,0.56,3200,2.8,49.5656631813,1,2012
2012-02-06,0.55,0.58,0.55,0.56,7500,2.8,49.5656631813,1,2012
2012-02-07,0.56,0.59,0.56,0.58,6400,2.9,53.5025595945,1,2012
2012-02-08,0.57,0.59,0.57,0.57,9200,2.85,51.3444386901,1,2012
2012-02-09,0.59,0.6,0.57,0.58,27600,2.9,53.3700264524,1,2012
2012-02-10,0.57,0.6,0.55,0.55,13600,2.75,47.0427447743,1,2012
2012-02-13,0.55,0.57,0.55,0.55,5400,2.75,47.0427447743,1,2012
2012-02-14,0.58,0.58,0.54,0.57,22700,2.85,51.4894098218,1,2012
2012-02-15,0.57,0.57,0.55,0.57,1400,2.85,51.4894098218,1,2012
2012-02-16,0.56,0.57,0.54,0.56,5900,2.8,49.0987448918,1,2012
2012-02-17,0.57,0.57,0.55,0.56,5400,2.8,49.0987448918,1,2012
2012-02-21,0.56,0.56,0.54,0.55,13600,2.75,46.5899650678,1,2012
2012-02-22,0.56,0.56,0.54,0.54,2000,2.7,44.1599688393,1,2012
2012-02-23,0.55,0.58,0.54,0.58,3500,2.9,54.4042647107,1,2012
2012-02-24,0.55,0.62,0.55,0.57,16000,2.85,51.8435798406,1,2012
2012-02-27,0.58,0.61,0.58,0.58,10800,2.9,54.1667882199,1,2012
2012-02-28,0.54,0.57,0.54,0.56,15700,2.8,49.0682123573,1,2012
2012-02-29,0.55,0.55,0.51,0.51,21400,2.55,39.1474696107,1,2012
2012-03-01,0.53,0.53,0.51,0.51,2400,2.55,39.1474696107,1,2012
2012-03-02,0.52,0.53,0.52,0.52,2300,2.6,41.8734208263,1,2012
2012-03-05,0.52,0.53,0.48,0.49,27600,2.45,36.5794393189,1,2012
2012-03-06,0.5,0.5,0.48,0.5,7300,2.5,39.3327893976,1,2012
2012-03-07,0.48,0.5,0.48,0.5,6000,2.5,39.3327893976,1,2012
2012-03-08,0.5,0.5,0.48,0.48,12400,2.4,35.7343318362,1,2012
2012-03-09,0.48,0.5,0.46,0.47,15100,2.35,34.0566181546,1,2012
2012-03-12,0.49,0.5,0.48,0.48,13300,2.4,37.2303245475,1,2012
2012-03-13,0.5,0.5,0.47,0.47,7500,2.35,35.3957661873,1,2012
2012-03-14,0.47,0.5,0.47,0.49,7700,2.45,41.5945019078,1,2012
2012-03-15,0.5,0.5,0.45,0.47,15700,2.35,37.6990550139,1,2012
2012-03-16,0.49,0.5,0.48,0.5,4400,2.5,45.885755503,1,2012
2012-03-19,0.48,0.53,0.46,0.48,12800,2.4,41.9299740842,1,2012
2012-03-20,0.5,0.5,0.48,0.49,5500,2.45,44.5060277136,1,2012
2012-03-21,0.48,0.5,0.48,0.5,9300,2.5,47.0362923365,1,2012
2012-03-22,0.5,0.5,0.49,0.5,3000,2.5,47.0362923365,1,2012
2012-03-23,0.5,0.5,0.48,0.49,5300,2.45,44.6739447416,1,2012
2012-03-26,0.5,0.5,0.49,0.49,10400,2.45,44.6739447416,1,2012
2012-03-27,0.49,0.52,0.49,0.5,23500,2.5,47.7191907798,1,2012
2012-03-28,0.52,0.52,0.5,0.51,5900,2.55,50.6447616152,1,2012
2012-03-29,0.51,0.51,0.5,0.51,1500,2.55,50.6447616152,1,2012
2012-03-30,0.51,0.51,0.47,0.49,6900,2.45,44.8263901349,1,2012
2012-04-02,0.5,0.5,0.48,0.49,3100,2.45,44.8263901349,2,2012
2012-04-03,0.49,0.51,0.45,0.45,6400,2.25,35.3944429777,2,2012
2012-04-04,0.46,0.49,0.46,0.46,1400,2.3,38.8580723298,2,2012
2012-04-05,0.46,0.48,0.46,0.46,1100,2.3,38.8580723298,2,2012
